t,Pr,J,K,N,dPr_dt,dPr_dt_noisy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.345584192064786050e-02
8.001600320064012825e-03,4.220561534154001473e-04,-8.818949896032796388e-07,5.535362047681060757e-03,9.993605163980513462e-01,5.548961665907918561e-02,6.370579809409077088e-02
1.600320064012802565e-02,8.879582001450638234e-04,-3.507886610410661304e-06,1.106218683170044279e-02,9.987223382001747529e-01,6.095925727814854173e-02,6.426362803998240947e-02
2.400480096019203674e-02,1.397545772865816521e-03,-7.845621995861839251e-06,1.658029045683328748e-02,9.980854899890271303e-01,6.640879274748226480e-02,5.337722043143865169e-02
3.200640128025605130e-02,1.950657476016295347e-03,-1.385918643911587564e-05,2.208948827478872390e-02,9.974499959893522449e-01,7.183809424349323070e-02,8.089165291022440418e-02
4.000800160032006586e-02,2.547130890919823039e-03,-2.150913088091299376e-05,2.758959481690159005e-02,9.968158800648647677e-01,7.724703314895080275e-02,8.171077887259091399e-02
4.800960192038407348e-02,3.186802575784406562e-03,-3.075247190957456148e-05,3.308042379413243805e-02,9.961831657182504962e-01,8.263548104096174463e-02,7.726594868735889299e-02
5.601120224044808804e-02,3.869508065851001537e-03,-4.154270311978720907e-05,3.856178807272184206e-02,9.955518760902722919e-01,8.800330965460861909e-02,9.381449069657214757e-02
6.401280256051210260e-02,4.595081871555639283e-03,-5.383000178650045666e-05,4.403349919357923969e-02,9.949220339423352488e-01,9.335039039211848189e-02,9.699611435397924308e-02
7.201440288057611716e-02,5.363357460286351588e-03,-6.756096818043466525e-05,4.949536785398028771e-02,9.942936616749386003e-01,9.867659479345347595e-02,1.016179197600087375e-01
8.001600320064013172e-02,6.174167259699890435e-03,-8.267892449255482689e-05,5.494720332019600167e-02,9.936667813062126653e-01,1.039817939389872103e-01,1.042660163521451772e-01
8.801760352070414628e-02,7.027342660157645353e-03,-9.912404494029091763e-05,6.038881315990130699e-02,9.930414144620659522e-01,1.092658581719780642e-01,1.147329880381025291e-01
9.601920384076814696e-02,7.922714014725639950e-03,-1.168333557675378773e-04,6.582000324217503195e-02,9.924175823761846038e-01,1.145286570881194066e-01,1.071641162181027340e-01
1.040208041608321615e-01,8.860110639174542321e-03,-1.357407352446557652e-04,7.124057773749994937e-02,9.917953058900327301e-01,1.197700595250289768e-01,1.181409600450984421e-01
1.120224044808961761e-01,9.839360811979650304e-03,-1.557769136684695164e-04,7.665033911776271414e-02,9.911746054528522976e-01,1.249899335516778259e-01,1.201687404248780455e-01
1.200240048009601906e-01,1.086029177432090015e-02,-1.768694733622690229e-04,8.204908815625389096e-02,9.905555011216629069e-01,1.301881464577614722e-01,1.361766085841077389e-01
