t,N,C,phi,dN_dt,dN_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.333333333333333481e-01,-9.298774914126854974e-01
2.000400080016003206e-03,9.981346233256670475e-01,4.991340745986220205e-04,9.996004130862362353e-04,-9.316709346522833446e-01,-9.234547532172717732e-01
4.000800160032006413e-03,9.962725681042754466e-01,9.963406819280828681e-04,1.998004020520785864e-03,-9.300125420787138664e-01,-9.267081713168799917e-01
6.001200240048009185e-03,9.944138263358744956e-01,1.491626439464039397e-03,2.995214485255567015e-03,-9.283581400020267660e-01,-9.413897123180703375e-01
8.001600320064012825e-03,9.925583900459234998e-01,1.984997943955984188e-03,3.991235458840287909e-03,-9.267077128763088201e-01,-9.176541542095776327e-01
1.000200040008001647e-02,9.907062513022414363e-01,2.476461756908481318e-03,4.986070576118036522e-03,-9.250612452382162010e-01,-9.205974995145760342e-01
1.200240048009601837e-02,9.888574022040260703e-01,2.966024413845302909e-03,5.979723458782244122e-03,-9.234187216951177390e-01,-9.287882540487205629e-01
1.400280056011202201e-02,9.870118348799983288e-01,3.453692425888420410e-03,6.972197715965963889e-03,-9.217801269229449757e-01,-9.159689458809814333e-01
1.600320064012802565e-02,9.851695414884025226e-01,3.939472279758002640e-03,7.963496944241865716e-03,-9.201454456660207448e-01,-9.164997217041599420e-01
1.800360072014402929e-02,9.833305142170060131e-01,4.423370437772419263e-03,8.953624727622230134e-03,-9.185146627368858674e-01,-9.155733377703305642e-01
2.000400080016003293e-02,9.814947452830997676e-01,4.905393337848236446e-03,9.942584637558971733e-03,-9.168877630161271775e-01,-9.166035406029692245e-01
2.200440088017603657e-02,9.796622269334976929e-01,5.385547393500221200e-03,1.093038023294360880e-02,-9.152647314522047717e-01,-9.097976015860802512e-01
2.400480096019203674e-02,9.778329514445373016e-01,5.863838993841335306e-03,1.191701506010728329e-02,-9.136455530612808129e-01,-9.210100939312975132e-01
2.600520104020804038e-02,9.760069111220790461e-01,6.340274503582748328e-03,1.290249265282075383e-02,-9.120302129270468905e-01,-9.136593124069773975e-01
2.800560112022404402e-02,9.741840983015069844e-01,6.814860263033821128e-03,1.388681653229439927e-02,-9.104186962005524908e-01,-9.152398893273522296e-01
3.000600120024004766e-02,9.723645053477282252e-01,7.287602588102109341e-03,1.486999020717821862e-02,-9.088109881000332457e-01,-9.028225259736869512e-01
3.200640128025605130e-02,9.705481246551731500e-01,7.758507770293378986e-03,1.585201717356181719e-02,-9.072070739107394033e-01,-9.068098528359228583e-01
3.400680136027205147e-02,9.687349486477957461e-01,8.227582076711585646e-03,1.683290091497443436e-02,-9.056069389847658524e-01,-9.085315064944167185e-01
3.600720144028805858e-02,9.669249697790728293e-01,8.694831750058893555e-03,1.781264490238491927e-02,-9.040105687408790391e-01,-9.118296533644474344e-01
3.800760152030405875e-02,9.651181805320047102e-01,9.160263008635646104e-03,1.879125259420172389e-02,-9.024179486643474357e-01,-9.049898710705361893e-01
4.000800160032006586e-02,9.633145734191150833e-01,9.623882046340412680e-03,1.976872743627296897e-02,-9.008290643067711212e-01,-9.007476425015876753e-01
4.200840168033606603e-02,9.615141409824508045e-01,1.008569503266993662e-02,2.074507286188632255e-02,-8.992439012859108072e-01,-9.019999303389044654e-01
4.400880176035207314e-02,9.597168757935818917e-01,1.054570811271917860e-02,2.172029229176911796e-02,-8.976624452855179737e-01,-8.847218071415359208e-01
4.600920184036807331e-02,9.579227704536018573e-01,1.100392740718128190e-02,2.269438913408830527e-02,-8.960846820551648939e-01,-8.860174389021069352e-01
4.800960192038407348e-02,9.561318175929729435e-01,1.146035901247179078e-02,2.366736678450622258e-02,-8.945105974099151203e-01,-9.216222221995747921e-01
5.001000200040008059e-02,9.543440098563731322e-01,1.191500901279181172e-02,2.463922863174999173e-02,-8.929401772144964777e-01,-9.118303096741732228e-01
5.201040208041608076e-02,9.525593399238263537e-01,1.236788346286443914e-02,2.560997805021342916e-02,-8.913734074051282708e-01,-8.931211283256799138e-01
5.401080216043208787e-02,9.507778005131407584e-01,1.281898838626269535e-02,2.657961839883980423e-02,-8.898102739917709281e-01,-8.940321781075344365e-01
5.601120224044808804e-02,9.489993843687198893e-01,1.326832978447852959e-02,2.754815302510006322e-02,-8.882507630463458703e-01,-8.861143330713597832e-01
5.801160232046409515e-02,9.472240842615631262e-01,1.371591363692282670e-02,2.851558526499284665e-02,-8.866948607025757489e-01,-8.845216413923501220e-01
6.001200240048009532e-02,9.454518929892655743e-01,1.416174590092540535e-02,2.948191844304447196e-02,-8.851425531558256843e-01,-8.639641656053151930e-01
6.201240248049610243e-02,9.436828033760176204e-01,1.460583251173501809e-02,3.044715587230895776e-02,-8.835938266629448368e-01,-8.947140342898676213e-01
6.401280256051210260e-02,9.419168082726055991e-01,1.504817938251934439e-02,3.141130085436798919e-02,-8.820486675421072009e-01,-8.858247176133772216e-01
6.601320264052810971e-02,9.401539005564116813e-01,1.548879240436500798e-02,3.237435667933097339e-02,-8.805070621726550639e-01,-8.600793460977317340e-01
6.801360272054410294e-02,9.383940731314130979e-01,1.592767744627755083e-02,3.333632662583494582e-02,-8.789689969949384674e-01,-8.725019670329200450e-01
7.001400280056011005e-02,9.366373189281833600e-01,1.636484035518146959e-02,3.429721396104470216e-02,-8.774344585101601091e-01,-8.708038247863975068e-01
7.201440288057611716e-02,9.348836309038911496e-01,1.680028695592017049e-02,3.525702194065266637e-02,-8.759034332802158040e-01,-8.810434969970903918e-01
7.401480296059212427e-02,9.331330020423012073e-01,1.723402305125600747e-02,3.621575380887898099e-02,-8.743759079275387203e-01,-8.908566596360952827e-01
7.601520304060811750e-02,9.313854253537734440e-01,1.766605442187026143e-02,3.717341279847145158e-02,-8.728518691349409497e-01,-8.711772216927134993e-01
7.801560312062412461e-02,9.296408938752639406e-01,1.809638682636315055e-02,3.813000213070559530e-02,-8.713313036454578553e-01,-8.702411627672423933e-01
8.001600320064013172e-02,9.278994006703240593e-01,1.852502600125382343e-02,3.908552501538462010e-02,-8.698141982621916402e-01,-8.820877188046374329e-01
8.201640328065612495e-02,9.261609388291009992e-01,1.895197766098036599e-02,4.003998465083936920e-02,-8.683005398481544734e-01,-8.751328064659601447e-01
8.401680336067213206e-02,9.244255014683374627e-01,1.937724749789979106e-02,4.099338422392843906e-02,-8.667903153261129479e-01,-8.675107521233852426e-01
8.601720344068813917e-02,9.226930817313718780e-01,1.980084118228805229e-02,4.194572691003808224e-02,-8.652835116784325376e-01,-8.747310279090403373e-01
8.801760352070414628e-02,9.209636727881383989e-01,2.022276436234002328e-02,4.289701587308222819e-02,-8.637801159469226109e-01,-8.647628156254447696e-01
9.001800360072013951e-02,9.192372678351667936e-01,2.064302266416952192e-02,4.384725426550249716e-02,-8.622801152326808882e-01,-8.613252849579863257e-01
9.201840368073614662e-02,9.175138600955823343e-01,2.106162169180929994e-02,4.479644522826823488e-02,-8.607834966959388989e-01,-8.604276343253840498e-01
9.401880376075215373e-02,9.157934428191062404e-01,2.147856702721104294e-02,4.574459189087642930e-02,-8.592902475559083264e-01,-8.643531641390514997e-01
9.601920384076814696e-02,9.140760092820549021e-01,2.189386423024535649e-02,4.669169737135175913e-02,-8.578003550906254659e-01,-8.518628743727671981e-01
9.801960392078415407e-02,9.123615527800161829e-01,2.230751884456907280e-02,4.763776477895323436e-02,-8.563138066293283224e-01,-8.474021370865050251e-01
1.000200040008001612e-01,9.106500666196298832e-01,2.271953640389338253e-02,4.858279721749238916e-02,-8.548305895440309055e-01,-8.516221064983652278e-01
1.020204040808161683e-01,9.089415441549437702e-01,2.312992240282185988e-02,4.952679777193880195e-02,-8.533506912864661231e-01,-8.615329935603691647e-01
1.040208041608321615e-01,9.072359787655073227e-01,2.353868231473181527e-02,5.046976951621758023e-02,-8.518740993654758675e-01,-8.445575765276214231e-01
1.060212042408481686e-01,9.055333638545344233e-01,2.394582159325767470e-02,5.141171551387711813e-02,-8.504008013449866343e-01,-8.554152015296571099e-01
1.080216043208641757e-01,9.038336928489043576e-01,2.435134567229099364e-02,5.235263881808908948e-02,-8.489307848438683024e-01,-8.401391786609884171e-01
1.100220044008801829e-01,9.021369591991610370e-01,2.475525996598042927e-02,5.329254247164840613e-02,-8.474640375357893607e-01,-8.581819117045638157e-01
1.120224044808961761e-01,9.004431563795132210e-01,2.515756986873176823e-02,5.423142950697328046e-02,-8.460005471490746887e-01,-8.368558751177869182e-01
1.140228045609121832e-01,8.987522778878348495e-01,2.555828075520791276e-02,5.516930294610519758e-02,-8.445403014665625596e-01,-8.447409360127173805e-01
1.160232046409281903e-01,8.970643172456643777e-01,2.595739798032888762e-02,5.610616580070890147e-02,-8.430832883254621990e-01,-8.555707772288063673e-01
1.180236047209441835e-01,8.953792679982055525e-01,2.635492687927181582e-02,5.704202107207240885e-02,-8.416294956172114539e-01,-8.447684903368799514e-01
1.200240048009601906e-01,8.936971237143266356e-01,2.675087276747097065e-02,5.797687175110703001e-02,-8.401789112873350174e-01,-8.396378884996196224e-01
1.220244048809761978e-01,8.920178779865610696e-01,2.714524094061771323e-02,5.891072081834731328e-02,-8.387315233353028754e-01,-8.360036099436582990e-01
1.240248049609922049e-01,8.903415244311072563e-01,2.753803667466054109e-02,5.984357124395110750e-02,-8.372873198143895301e-01,-8.471092010637992775e-01
1.260252050410081981e-01,8.886680566878281118e-01,2.792926522580506041e-02,6.077542598769952037e-02,-8.358462888315317807e-01,-8.469200193031837243e-01
1.280256051210242052e-01,8.869974684202518445e-01,2.831893183051399990e-02,6.170628799899693928e-02,-8.344084185471897230e-01,-8.324125732187188653e-01
1.300260052010402123e-01,8.853297533155712884e-01,2.870704170550720385e-02,6.263616021687101743e-02,-8.329736971752050856e-01,-8.376411933440031099e-01
1.320264052810562194e-01,8.836649050846443476e-01,2.909360004776163910e-02,6.356504556997269462e-02,-8.315421129826615632e-01,-8.291870568653593176e-01
1.340268053610722265e-01,8.820029174619938850e-01,2.947861203451138459e-02,6.449294697657613484e-02,-8.301136542897461501e-01,-8.225184590649623484e-01
1.360272054410882059e-01,8.803437842058073892e-01,2.986208282324763486e-02,6.541986734457883035e-02,-8.286883094696082530e-01,-8.451761831331177088e-01
1.380276055211042130e-01,8.786874990979375299e-01,3.024401755171871736e-02,6.634580957150154612e-02,-8.272660669482221341e-01,-8.247221857830460134e-01
