rho,T,P,P_noisy
5.167034084532541094e+00,1.166519818518053420e+00,-3.163495296841877469e+00,-2.990703200809484485e+00
9.509590593626759514e+00,3.933418140496218296e+00,3.312377846275140314e+00,3.723186918025719550e+00
1.527180165924374000e+00,1.359473247183844880e+00,1.053769109671349957e+00,1.218987647763043469e+00
9.491629526658714511e+00,1.435447326962639103e+00,-1.353864065054080079e+01,-1.419021926634298048e+01
3.187131374903806158e+00,3.548677838024968167e+00,6.963948793661009162e+00,7.416626726997567864e+00
4.290931844828498321e+00,4.383929804917791273e+00,1.121225574855798257e+01,1.143544303473998802e+01
8.294255678822374023e+00,2.031472669444085000e+00,-7.093402754948961331e+00,-7.361879372629103635e+00
4.151071450054696577e+00,3.024764412306299999e+00,5.401802803109677420e+00,5.692361855207853871e+00
5.540977507963289028e+00,4.066692205987731512e+00,1.012093162142672931e+01,1.030321781951976767e+01
3.728352211063769017e-01,1.740123541036924237e+00,5.809301195336831203e-01,7.279963678614460587e-01
7.559779775880585362e+00,2.649178022890411821e+00,-1.399824149951609087e+00,-1.385613029293710774e+00
5.427618800870853910e+00,3.371634915583018532e+00,6.399040724997218987e+00,6.672397218303442123e+00
3.364343993341012418e+00,4.149579587500625166e+00,9.174129697998269606e+00,8.805902654497435478e+00
7.905444163941202973e+00,3.293723695049223910e+00,2.111575696450387341e+00,2.030120722453860882e+00
3.101628809987285518e+00,1.584457862657017380e+00,1.014119664641188301e+00,7.730600083011991419e-01
4.589629105858449520e+00,4.321872597475337585e+00,1.118499132795305684e+01,1.148441443427037001e+01
1.427012802746931097e+00,4.244406182939339800e+00,5.134350785971760089e+00,5.154211839712589338e+00
4.090818565826578990e+00,3.891700539237915368e+00,8.944931171339902676e+00,8.798702795857359149e+00
2.114206882693881351e+00,3.931989592867447758e+00,6.338782971550354972e+00,5.947828740371933876e+00
2.696902070374310512e+00,2.823026011343213071e+00,4.451313299961982217e+00,4.322717179652546982e+00
7.528610259037520791e+00,3.600946379359668548e+00,5.090447862332030837e+00,5.094518952591202243e+00
2.876046704061795634e+00,4.994934279673326039e+00,1.089176560241331515e+01,1.075396414976363069e+01
4.903390646873186931e+00,4.899472465875235550e+00,1.429380743023900102e+01,1.494083933743810455e+01
9.809298278032262175e+00,1.745793614336788924e+00,-1.351473605822796387e+01,-1.301137390057506593e+01
9.620406217271488813e+00,3.549642345154404577e+00,-3.940890348041676816e-01,-1.749670274287151939e+00
7.275420413657982976e+00,4.470148476038255936e+00,1.176208419864660470e+01,1.081757757566276901e+01
5.458145869919598603e+00,1.240525450421280595e+00,-3.467459441044631774e+00,-3.554845487072212595e+00
2.841222920049171208e+00,3.299760957858507648e+00,5.878868580338241223e+00,5.667773374550064247e+00
1.690454886873756113e+00,1.461968276127378008e+00,1.223805325150681744e+00,1.330626823899987210e+00
9.702261590839713179e+00,1.734261823011594927e+00,-1.318496947158652866e+01,-1.307630850607524664e+01
5.209078996923999227e+00,2.436785002329718619e+00,1.979247173586562880e+00,3.038166551112086999e+00
1.247069563460626362e+00,3.226676875967692926e+00,3.299770608411886741e+00,2.743760227065746182e+00
6.272548579821253689e+00,3.165846516654379439e+00,4.323064145865576080e+00,4.134261642302076822e+00
7.789162831988750035e+00,3.015942339073780509e+00,4.380026921132333939e-01,1.459388495859398560e+00
6.168732680425100590e+00,4.829041252074887325e+00,1.466119654166433151e+01,1.498454803976525440e+01
9.181247277429935849e+00,3.037364371775284067e+00,-3.243525352889840008e+00,-2.911993666701709227e+00
4.919694789756082764e-01,3.932384550054792705e+00,1.816342200344152502e+00,1.559339014500421117e+00
5.333033706274213692e+00,2.337199082356192559e+00,1.340135797140862728e+00,5.160982117130363811e-01
4.647425240565496551e+00,3.977334687498806254e+00,9.595728111566215190e+00,9.679460483677585714e+00
7.172608335837684645e-01,3.991562493576004567e+00,2.616986625657518051e+00,2.671493669568291818e+00
6.449148874479812221e+00,3.678261495405668491e+00,7.211535118447443438e+00,6.597859091325156022e+00
8.541065100958501688e+00,4.017182995995078443e+00,6.318142994009377844e+00,5.976529663119096725e+00
5.970116079232411721e+00,3.289426783535274179e+00,5.431005494691293123e+00,5.394983654827679054e+00
2.674964732598509976e+00,4.422558301024201555e+00,8.762689014679889254e+00,8.290313203149500154e+00
8.414827058210946120e+00,4.330135738986292893e+00,9.158090459669374184e+00,9.108955475743265140e+00
5.144009227062942280e+00,1.385559095596490486e+00,-2.334966708919319789e+00,-2.287225195184592774e+00
5.157799956218676485e+00,2.793423149424570706e+00,3.728168680796542844e+00,3.745961799324285746e+00
7.554999056251561207e+00,1.482688257595399239e+00,-7.502354481458398894e+00,-7.755500310615556003e+00
1.564428154271070071e+00,4.802156157166828088e+00,6.428445652650001563e+00,6.725319688542913177e+00
8.214304519280842598e+00,2.739564785116154866e+00,-2.540555369101138439e+00,-2.094971891959974464e+00
6.864540369432245548e+00,1.880313272403133507e+00,-3.931934847953245438e+00,-3.771510695669963553e+00
7.892259721392529848e+00,4.350514166890272705e+00,1.013679748144875248e+01,9.727682367753599735e+00
1.997000964299338932e+00,1.348864638384915882e+00,1.001771800572987869e+00,1.367597942465708316e+00
8.043405195231848381e+00,1.616347794583554265e+00,-8.337795286908274761e+00,-8.588515296141800093e+00
1.994106867966283003e+00,3.715319746998147377e+00,5.637165826340130081e+00,6.076746135484122568e+00
9.073709118987758337e-01,3.029693291555297208e+00,2.356551352769931995e+00,1.820657644331209912e+00
8.566747045441994501e+00,2.069178665086323754e+00,-7.731900927164684134e+00,-7.274667325600293388e+00
8.626706612158917764e+00,3.305119077048715326e+00,4.155947968771158685e-01,4.055630695693756560e-01
8.777717254524146639e+00,1.829534695246126663e+00,-9.637124990393552082e+00,-1.026149943556075961e+01
4.771906221652023383e+00,2.236942443589390539e+00,1.656937118696188094e+00,1.499987382712764106e+00
2.813079047275810929e+00,3.444242456563578969e+00,6.260238084650960211e+00,6.287289224036731738e+00
1.702091031713459934e-01,4.531728619160713123e+00,7.567910495085229394e-01,8.931867190907498699e-01
6.492636866191983103e+00,3.812713091095642604e+00,8.015389119235447168e+00,7.524295056764958467e+00
7.227102896736060877e+00,3.572911136568919677e+00,5.424162670565859656e+00,4.870476146983262922e+00
8.372135243352714085e+00,3.986588548286743805e+00,6.410343162131212580e+00,6.510135428554752579e+00
2.890590490908967247e+00,2.513503122527535716e+00,3.678972442035210566e+00,3.445597633595309350e+00
