B,T,M,M_noisy
4.143390835132027661e+00,3.998237822216641035e+00,3.162712003211238798e-01,3.197270422417717306e-01
7.608663200974889129e+00,3.720101768595461778e+01,8.150745462744529712e-02,8.972363606245688239e-02
1.238860940485106532e+00,6.313678966206138554e+00,6.328684298839240552e-02,6.659121375022628020e-02
7.594330632384226121e+00,7.225367923551669236e+00,3.745745242226755645e-01,3.615429519066319375e-01
2.563468470882835248e+00,3.258413405629961801e+01,3.109957879007763104e-02,4.015313745680880453e-02
3.444278946883347903e+00,4.260715765901349528e+01,3.209409488647677056e-02,3.655784061011688180e-02
6.638850491181489843e+00,1.437767203332902000e+01,1.786519229751361848e-01,1.732823906215333332e-01
3.332673177316374247e+00,2.629717294767559821e+01,4.994799111208780146e-02,5.575917215405132993e-02
4.441790132617169817e+00,3.880030647185278525e+01,4.546734769377982349e-02,4.911307165564057775e-02
3.177169946202401118e-01,1.088148249244309085e+01,1.065628395083857531e-02,1.359760891739383512e-02
6.052753558530971745e+00,2.179013627468494008e+01,1.094920570151412670e-01,1.097762794282992338e-01
4.351332174432298139e+00,3.045961898699622239e+01,5.656550460228255972e-02,6.203263446840703160e-02
2.704880560342828311e+00,3.979495505000750200e+01,2.694497236102138399e-02,1.958043149100471489e-02
6.328586757084393888e+00,2.952468434059068869e+01,8.508525131658603580e-02,8.345615183665550108e-02
2.495239151403995770e+00,9.013494351884208555e+00,9.920210530035890317e-02,9.438091217355912277e-02
3.682633326897147175e+00,4.186247116970404392e+01,3.493008122675296534e-02,4.091854335309923901e-02
1.158929408252601601e+00,4.093287419527207760e+01,1.120564113935717566e-02,1.160286221417376577e-02
3.284592592932320976e+00,3.670040647085498620e+01,3.547370904905280259e-02,3.254914153940191568e-02
1.707296401341582115e+00,3.718387511440937487e+01,1.816338145707693807e-02,1.034429683350851677e-02
2.172275389490611275e+00,2.387631213611855685e+01,3.567648276910206223e-02,3.310456036291335724e-02
6.027880913777415195e+00,3.321135655231601902e+01,7.212226824740620990e-02,7.220369005258964190e-02
2.315229188089715784e+00,4.993921135607990891e+01,1.840502463359737148e-02,1.564899558060366819e-02
3.933008698009917037e+00,4.879366959050283015e+01,3.204639232052083897e-02,4.498703046450291260e-02
7.847823878429784905e+00,1.094952337204146708e+01,2.716655029420968481e-01,2.817327460951548068e-01
7.697091829943915720e+00,3.259570814185285315e+01,9.401725784748954373e-02,6.690563305782985803e-02
5.825840532110915682e+00,4.364178171245907834e+01,5.314380959386159897e-02,3.425367713418486781e-02
4.375692158824730171e+00,4.886305405055367146e+00,2.839858243672063187e-01,2.822381034466546756e-01
2.287440511958429568e+00,2.959713149430209000e+01,3.048385470868775551e-02,2.626195059292421932e-02
1.369150869323502384e+00,7.543619313528536097e+00,6.181841652001848764e-02,6.395484649500460250e-02
7.762410764407447594e+00,1.081114187613913913e+01,2.716917608523282124e-01,2.738649801625538394e-01
4.176941825828241583e+00,1.924142002795662165e+01,8.482449740846809139e-02,1.060028849589785827e-01
1.015338338519085504e+00,2.872012251161231688e+01,1.390311933647322626e-02,2.782911709550412241e-03
5.025569068746253087e+00,2.799015819985255149e+01,7.106687287953755705e-02,6.729082280826757800e-02
6.235796603304153862e+00,2.619130806888536611e+01,9.430419854833282933e-02,1.147319146232561315e-01
4.942726078319019223e+00,4.794849502489865500e+01,4.102032141955423705e-02,4.748735138157270802e-02
7.346651867848130735e+00,2.644837246130340702e+01,1.102359546676370955e-01,1.168665883913997117e-01
4.127837256472025595e-01,3.718861460065751601e+01,4.382964200023266657e-03,-7.570995168513618492e-04
4.275855179754170621e+00,1.804638898827430893e+01,9.232640951768203430e-02,7.584565780912549959e-02
3.728753474794689549e+00,3.772801624998567149e+01,3.920821909823099527e-02,4.088286654045840407e-02
5.925616752840172641e-01,3.789874992291205302e+01,6.177278172775498358e-03,7.267419050990974252e-03
