t,T,T_core,dT_dt,dT_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+03,-6.414853104892234148e-01,-6.380294685685755640e-01
6.001200240048009116e-01,9.996156278900741654e+02,9.999399021671349601e+02,-6.395004084576707548e-01,-6.312842270226591834e-01
1.200240048009601823e+00,9.992324440831022230e+02,9.998796331703296119e+02,-6.375250818856684765e-01,-6.342207111238346018e-01
1.800360072014402846e+00,9.988504428501241819e+02,9.998191937522999524e+02,-6.355592742388131988e-01,-6.485908465548567703e-01
2.400480096019203646e+00,9.984696184959195762e+02,9.997585846522329120e+02,-6.336029293931957351e-01,-6.245493707264645478e-01
3.000600120024004447e+00,9.980899653583437612e+02,9.996978066058494505e+02,-6.316559916291722976e-01,-6.271922459055321308e-01
3.600720144028805692e+00,9.977114778083276860e+02,9.996368603454045569e+02,-6.297184056292481902e-01,-6.350879379828510141e-01
4.200840168033606048e+00,9.973341502498776663e+02,9.995757465996870224e+02,-6.277901164759811525e-01,-6.219789354340176102e-01
4.800960192038407293e+00,9.969579771200758387e+02,9.995144660940196673e+02,-6.258710696499014681e-01,-6.222253456880406652e-01
5.401080216043208537e+00,9.965829528731852633e+02,9.994530195519301969e+02,-6.239612109294716547e-01,-6.210198859629163515e-01
6.001200240048008894e+00,9.962090718769932209e+02,9.993914077061451735e+02,-6.220604857506570884e-01,-6.217762633374991355e-01
6.601320264052810138e+00,9.958363286699433274e+02,9.993296312716016701e+02,-6.201688407901735367e-01,-6.147017109240490162e-01
7.201440288057611383e+00,9.954647178575925182e+02,9.992676909561176899e+02,-6.182862233240723482e-01,-6.256507641940890485e-01
7.801560312062411739e+00,9.950942340726862767e+02,9.992055874645675431e+02,-6.164125809796783262e-01,-6.180416804596088332e-01
8.401680336067212096e+00,9.947248719751573844e+02,9.991433214988820737e+02,-6.145478617337576388e-01,-6.193690548605573776e-01
9.001800360072014229e+00,9.943566262521270573e+02,9.990808937580487736e+02,-6.126920139107195906e-01,-6.067035517843732961e-01
9.601920384076814585e+00,9.939894916179041502e+02,9.990183049381114415e+02,-6.108449861808209480e-01,-6.104477651060044030e-01
1.020204040808161494e+01,9.936234628139856113e+02,9.989555557321704100e+02,-6.090067275583886941e-01,-6.119312950680395602e-01
1.080216043208641707e+01,9.932585346090562552e+02,9.988926468303825459e+02,-6.071771874000562175e-01,-6.149962720236246128e-01
1.140228045609121743e+01,9.928947017989889900e+02,9.988295789199611363e+02,-6.053563154030145999e-01,-6.079282378092033534e-01
1.200240048009601779e+01,9.925319592068444763e+02,9.987663526851762299e+02,-6.035440616032726746e-01,-6.034626397980892287e-01
1.260252050410081992e+01,9.921703016828713544e+02,9.987029688073539546e+02,-6.017403763739390676e-01,-6.044964054269327258e-01
