t,T1,T2,T_bridge,dT1_dt,dT1_dt_noisy
0.000000000000000000e+00,4.000000000000000000e+02,2.800000000000000000e+02,3.400000000000000000e+02,-3.032101967567567158e+01,-3.028646125646919174e+01
1.200240048009601837e-02,3.996370420662823904e+02,2.802273351137689019e+02,3.399989595652498906e+02,-3.016001971103743173e+01,-3.007785789668731624e+01
2.400480096019203674e-02,3.992760111608362763e+02,2.804535566629884897e+02,3.399977595559003021e+02,-2.999991114617218102e+01,-2.996686743855384094e+01
3.600720144028805858e-02,3.989168966082671091e+02,2.806786701484694504e+02,3.399964013319177525e+02,-2.984068842602721716e+01,-2.997100414918765310e+01
4.800960192038407348e-02,3.985596878169354227e+02,2.809026810341568421e+02,3.399948862412268227e+02,-2.968234604401374810e+01,-2.959181045734643689e+01
6.001200240048008838e-02,3.982043742604320187e+02,2.811255947550104111e+02,3.399932156224281243e+02,-2.952487853428992182e+01,-2.948024107705352037e+01
7.201440288057611716e-02,3.978509454749351448e+02,2.813474167181478265e+02,3.399913908051899512e+02,-2.936828047050221357e+01,-2.942197579403824292e+01
8.401680336067213206e-02,3.974993910592102679e+02,2.815681523028444531e+02,3.399894131102481083e+02,-2.921254646560777957e+01,-2.915443465518814392e+01
9.601920384076814696e-02,3.971497006746100737e+02,2.817878068605335784e+02,3.399872838494061966e+02,-2.905767117169900615e+01,-2.902121393208039990e+01
1.080216043208641619e-01,3.968018640450746943e+02,2.820063857148062993e+02,3.399850043255352716e+02,-2.890364927983030086e+01,-2.887423603016474871e+01
1.200240048009601768e-01,3.964558709571313102e+02,2.822238941614115220e+02,3.399825758325740708e+02,-2.875047551984690131e+01,-2.874763329571532111e+01
1.320264052810561917e-01,3.961117112598946051e+02,2.824403374682560752e+02,3.399799996555290136e+02,-2.859814466021596147e+01,-2.854347336155471737e+01
1.440288057611522343e-01,3.957693748650663679e+02,2.826557208754044836e+02,3.399772770704739742e+02,-2.844665150785963093e+01,-2.852029691655979704e+01
1.560312062412482492e-01,3.954288517469357771e+02,2.828700495950792515e+02,3.399744093445506792e+02,-2.829599090799029426e+01,-2.831228190278960000e+01
1.680336067213442641e-01,3.950901319423792302e+02,2.830833288116605786e+02,3.399713977359681962e+02,-2.814615774394783543e+01,-2.819436967521583171e+01
1.800360072014402790e-01,3.947532055508604003e+02,2.832955636816865308e+02,3.399682434940035023e+02,-2.799714693703893786e+01,-2.793726231577547381e+01
1.920384076815362939e-01,3.944180627344302934e+02,2.835067593338530969e+02,3.399649478590009721e+02,-2.784895344637845582e+01,-2.784498123563028926e+01
2.040408081616323088e-01,3.940846936772016988e+02,2.837169208867151724e+02,3.399615120683909026e+02,-2.770157225223534780e+01,-2.773081792733185580e+01
2.160432086417283237e-01,3.937530886109371409e+02,2.839260534370478695e+02,3.399579373527903385e+02,-2.755499836642254508e+01,-2.763318921265823036e+01
2.280456091218243386e-01,3.934232379072299182e+02,2.841341620193820745e+02,3.399542249222824353e+02,-2.740922686970266753e+01,-2.743494609376455529e+01
2.400480096019203535e-01,3.930951319925441112e+02,2.843412516433123756e+02,3.399503759790813433e+02,-2.726425287698959821e+01,-2.726343865893776552e+01
2.520504100820163962e-01,3.927687613466618473e+02,2.845473272941775917e+02,3.399463917177633903e+02,-2.712007153657237168e+01,-2.714763182710230893e+01
2.640528105621123833e-01,3.924441165026835847e+02,2.847523939330606595e+02,3.399422733252667967e+02,-2.697667802997376185e+01,-2.684727164853394044e+01
2.760552110422084260e-01,3.921211880470278288e+02,2.849564564967887463e+02,3.399380219808921879e+02,-2.683406757181033342e+01,-2.673339514027975383e+01
2.880576115223044686e-01,3.917999666194314727e+02,2.851595198979330803e+02,3.399336388563020250e+02,-2.669223540965447938e+01,-2.696335165755107610e+01
3.000600120024004558e-01,3.914804429129495134e+02,2.853615890248091773e+02,3.399291251155210603e+02,-2.655117682389789380e+01,-2.674007814849466058e+01
3.120624124824964984e-01,3.911626076739551081e+02,2.855626687414766707e+02,3.399244819149361092e+02,-2.641088712761683155e+01,-2.642836433682234798e+01
3.240648129625924856e-01,3.908464517021396318e+02,2.857627638877394816e+02,3.399197104032961079e+02,-2.627136166643904147e+01,-2.631358070759667811e+01
3.360672134426885282e-01,3.905319658505127904e+02,2.859618792791455917e+02,3.399148117217119420e+02,-2.613259581841239054e+01,-2.611123151866252812e+01
3.480696139227845154e-01,3.902191410254022799e+02,2.861600197069871570e+02,3.399097870036569020e+02,-2.599458499387488786e+01,-2.597285280077263181e+01
3.600720144028805580e-01,3.899079681864541840e+02,2.863571899383005643e+02,3.399046373749661143e+02,-2.585732463532662351e+01,-2.564554075982151815e+01
3.720744148829765452e-01,3.895984383466327472e+02,2.865533947158664319e+02,3.398993639538369962e+02,-2.572081021730303263e+01,-2.583201229357226225e+01
3.840768153630725879e-01,3.892905425722202608e+02,2.867486387582093812e+02,3.398939678508289148e+02,-2.558503724624991804e+01,-2.562279774696261825e+01
3.960792158431686305e-01,3.889842719828174040e+02,2.869429267595983788e+02,3.398884501688635282e+02,-2.545000126039993660e+01,-2.524572409965070463e+01
4.080816163232646177e-01,3.886796177513430166e+02,2.871362633900465084e+02,3.398828120032244442e+02,-2.531569782965073756e+01,-2.525102753003055156e+01
4.200840168033606603e-01,3.883765711040340989e+02,2.873286532953110282e+02,3.398770544415574477e+02,-2.518212255544447942e+01,-2.511581621820685228e+01
4.320864172834566475e-01,3.880751233204458686e+02,2.875201010968933701e+02,3.398711785638704441e+02,-2.504927107064901293e+01,-2.510067170781776014e+01
4.440888177635526901e-01,3.877752657334517039e+02,2.877106113920391408e+02,3.398651854425334022e+02,-2.491713903944048880e+01,-2.508194655652605576e+01
4.560912182436486773e-01,3.874769897292432006e+02,2.879001887537381208e+02,3.398590761422784681e+02,-2.478572215718749661e+01,-2.476897568276522321e+01
4.680936187237447199e-01,3.871802867473303422e+02,2.880888377307243218e+02,3.398528517201998511e+02,-2.465501615033669580e+01,-2.464411474155454229e+01
4.800960192038407071e-01,3.868851482805409319e+02,2.882765628474758728e+02,3.398465132257538244e+02,-2.452501677629975063e+01,-2.464775198172420900e+01
4.920984196839367497e-01,3.865915658750213879e+02,2.884633686042151339e+02,3.398400617007588949e+02,-2.439571982334203071e+01,-2.446404248952008587e+01
5.041008201640327924e-01,3.862995311302360051e+02,2.886492594769085827e+02,3.398334981793955194e+02,-2.426712111047240228e+01,-2.427432547844512456e+01
5.161032206441288350e-01,3.860090356989674660e+02,2.888342399172668706e+02,3.398268236882063889e+02,-2.413921648733470349e+01,-2.423369164964078237e+01
5.281056211242247667e-01,3.857200712395815003e+02,2.890183143704438180e+02,3.398200392525828306e+02,-2.401200181552831125e+01,-2.402182881231353306e+01
5.401080216043208093e-01,3.854326294693508999e+02,2.892014872526544877e+02,3.398131458890651402e+02,-2.388547298986734191e+01,-2.387592468712039562e+01
5.521104220844168520e-01,3.851467022080291258e+02,2.893837629363828228e+02,3.398061445996693237e+02,-2.375962595490393880e+01,-2.375606733119839120e+01
5.641128225645128946e-01,3.848622813194410810e+02,2.895651457734603014e+02,3.397990363800748241e+02,-2.363445668176571601e+01,-2.368508584759714708e+01
5.761152230446089373e-01,3.845793587114665684e+02,2.897456400950720194e+02,3.397918222196269085e+02,-2.350996116805157143e+01,-2.345058636087298964e+01
5.881176235247048689e-01,3.842979263360400637e+02,2.899252502117568611e+02,3.397845031013367247e+02,-2.338613543773497128e+01,-2.329701874230674008e+01
6.001200240048009116e-01,3.840179761891508292e+02,2.901039804134074416e+02,3.397770800018811315e+02,-2.326297554106867338e+01,-2.323089071061201594e+01
6.121224244848969542e-01,3.837395003108428568e+02,2.902818349692702782e+02,3.397695538916029250e+02,-2.314047755449039911e+01,-2.322230057722942931e+01
6.241248249649929969e-01,3.834624907852148112e+02,2.904588181279454489e+02,3.397619257345106689e+02,-2.301863758052987308e+01,-2.294547235215132730e+01
6.361272254450889285e-01,3.831869397404201436e+02,2.906349341173870471e+02,3.397541964882786942e+02,-2.289745174771685754e+01,-2.294759574956356118e+01
6.481296259251849712e-01,3.829128393486670348e+02,2.908101871449027840e+02,3.397463671042472697e+02,-2.277691621049045878e+01,-2.268900014866165904e+01
6.601320264052810138e-01,3.826401818262183383e+02,2.909845813971541020e+02,3.397384385274223177e+02,-2.265702714910949567e+01,-2.276420589079723911e+01
6.721344268853770565e-01,3.823689594333916943e+02,2.911581210401562885e+02,3.397304116964757554e+02,-2.253778076956394472e+01,-2.244633404925106746e+01
6.841368273654730991e-01,3.820991644745595863e+02,2.913308102192784190e+02,3.397222875437452672e+02,-2.241917330348762860e+01,-2.242117964894917748e+01
6.961392278455690308e-01,3.818307892981489999e+02,2.915026530592433005e+02,3.397140669952342478e+02,-2.230120100807183547e+01,-2.242607589710527805e+01
