T,U,U_noisy
2.000000000000000111e-01,1.283534225938866680e+00,1.300813435542105934e+00
2.001565734788291473e-01,1.283534307620018966e+00,1.324615214795076934e+00
2.003132695339296387e-01,1.283534389990683922e+00,1.300056243799853295e+00
2.004700882612624468e-01,1.283534473056026082e+00,1.218376611475808113e+00
2.006270297568636674e-01,1.283534556821242401e+00,1.328802350154898226e+00
2.007840941168446136e-01,1.283534641291564027e+00,1.305853369909764528e+00
2.009412814373917333e-01,1.283534726472254528e+00,1.256687064704240298e+00
2.010985918147669138e-01,1.283534812368611666e+00,1.312590717578429267e+00
2.012560253453072878e-01,1.283534898985966954e+00,1.301763518795270747e+00
2.014135821254254832e-01,1.283534986329684768e+00,1.298241611162461062e+00
2.015712622516095398e-01,1.283535074405165233e+00,1.284956186470955108e+00
2.017290658204231035e-01,1.283535163217841113e+00,1.310870812548463382e+00
2.018869929285053433e-01,1.283535252773180924e+00,1.246712548423097644e+00
2.020450436725712007e-01,1.283535343076686264e+00,1.275389845677033618e+00
2.022032181494111680e-01,1.283535434133894926e+00,1.259429468499896121e+00
2.023615164558916490e-01,1.283535525950378675e+00,1.313477836582110037e+00
2.025199386889548203e-01,1.283535618531745248e+00,1.285521723905828306e+00
2.026784849456187698e-01,1.283535711883636354e+00,1.268912874335381913e+00
2.028371553229775248e-01,1.283535806011730340e+00,1.244440382893888142e+00
2.029959499182011351e-01,1.283535900921740414e+00,1.270676288890796979e+00
2.031548688285357285e-01,1.283535996619416197e+00,1.283943105645333427e+00
2.033139121513035108e-01,1.283536093110542842e+00,1.269755947845574218e+00
2.034730799839029325e-01,1.283536190400941912e+00,1.348239381120852176e+00
2.036323724238087163e-01,1.283536288496470723e+00,1.333872504261760517e+00
2.037917895685718295e-01,1.283536387403023893e+00,1.147978263454725534e+00
2.039513315158196505e-01,1.283536487126532677e+00,1.189085824828149063e+00
2.041109983632559688e-01,1.283536587672963858e+00,1.274797983070205865e+00
2.042707902086610683e-01,1.283536689048323076e+00,1.262427168469505423e+00
2.044307071498917827e-01,1.283536791258651943e+00,1.294218941133582490e+00
2.045907492848815512e-01,1.283536894310030263e+00,1.294402990861158509e+00
2.047509167116405293e-01,1.283536998208574698e+00,1.389428935961127154e+00
2.049112095282554780e-01,1.283537102960440324e+00,1.227936064825826179e+00
2.050716278328900966e-01,1.283537208571819743e+00,1.264656958215469862e+00
2.052321717237848286e-01,1.283537315048943528e+00,1.385675895423559956e+00
2.053928412992570562e-01,1.283537422398080885e+00,1.315872572208173219e+00
2.055536366577011831e-01,1.283537530625539658e+00,1.316690699244352780e+00
2.057145578975885514e-01,1.283537639737666103e+00,1.257837321153292942e+00
2.058756051174676360e-01,1.283537749740845335e+00,1.201133991198062745e+00
2.060367784159641003e-01,1.283537860641501549e+00,1.291911097852638690e+00
2.061980778917807677e-01,1.283537972446098019e+00,1.288988676837175440e+00
2.063595036436977337e-01,1.283538085161137987e+00,1.222170482448909246e+00
2.065210557705724759e-01,1.283538198793163776e+00,1.249376865704135753e+00
2.066827343713397713e-01,1.283538313348757232e+00,1.279936129362395869e+00
2.068445395450119462e-01,1.283538428834541056e+00,1.236300847681502280e+00
2.070064713906787923e-01,1.283538545257177477e+00,1.278625046864566572e+00
2.071685300075077063e-01,1.283538662623369353e+00,1.288312813996842054e+00
2.073307154947436615e-01,1.283538780939859514e+00,1.285318092792633760e+00
2.074930279517093745e-01,1.283538900213432754e+00,1.258224317297716999e+00
2.076554674778053056e-01,1.283539020450913171e+00,1.313226424040204288e+00
2.078180341725097413e-01,1.283539141659167493e+00,1.328097489373283979e+00
2.079807281353788229e-01,1.283539263845102640e+00,1.299581679073430918e+00
2.081435494660466845e-01,1.283539387015667721e+00,1.242627875646152402e+00
2.083064982642253704e-01,1.283539511177853365e+00,1.320122125367125365e+00
2.084695746297050845e-01,1.283539636338691725e+00,1.258467635415339014e+00
2.086327786623540792e-01,1.283539762505257364e+00,1.327497793419656569e+00
2.087961104621188502e-01,1.283539889684667257e+00,1.229950518840795093e+00
2.089595701290240526e-01,1.283540017884080786e+00,1.329263378040519861e+00
2.091231577631727512e-01,1.283540147110699303e+00,1.282536974379925310e+00
2.092868734647463091e-01,1.283540277371768124e+00,1.221102832855047282e+00
2.094507173340045270e-01,1.283540408674574973e+00,1.267845435076232485e+00
2.096146894712857256e-01,1.283540541026450654e+00,1.286245654965027851e+00
2.097787899770067743e-01,1.283540674434769491e+00,1.297180241392992261e+00
2.099430189516630907e-01,1.283540808906950215e+00,1.234431402659901256e+00
2.101073764958288348e-01,1.283540944450454635e+00,1.228172292092194917e+00
2.102718627101568816e-01,1.283541081072788748e+00,1.293520307715142703e+00
2.104364776953789318e-01,1.283541218781502735e+00,1.260203737937512614e+00
2.106012215523054842e-01,1.283541357584191411e+00,1.295316638170702639e+00
2.107660943818260302e-01,1.283541497488493999e+00,1.321517473612412896e+00
2.109310962849089699e-01,1.283541638502094573e+00,1.201102270184547072e+00
2.110962273626018071e-01,1.283541780632722729e+00,1.296261186458603554e+00
2.112614877160311488e-01,1.283541923888152692e+00,1.344774272264939396e+00
