t,C,S_ads,theta_occ,dC_dt,dC_dt_noisy
1.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-6.333333333333333570e+01,-6.316054123730094005e+01
1.009801960392078479e+00,9.938324404778268217e+01,3.256629153000375476e-01,6.359473882965670680e-06,-6.251243274145490147e+01,-6.210162366970432402e+01
1.019603920784156736e+00,9.877446540349404813e+01,6.491674397590018186e-01,2.525683441503099734e-05,-6.170555662841084654e+01,-6.154033809031915325e+01
1.029405881176235216e+00,9.817352897091440411e+01,9.704840739079050316e-01,5.642474729337259610e-05,-6.091222353897562414e+01,-6.156380215477780382e+01
1.039207841568313695e+00,9.758030414862497537e+01,1.289584474561682459e+00,9.960146161409735366e-05,-6.013199302874029684e+01,-5.967931509540373725e+01
1.049009801960392174e+00,9.699466454634085721e+01,1.606441574224460656e+00,1.545307323002027356e-04,-5.936446283319226325e+01,-5.914127554701025957e+01
1.058811762352470431e+00,9.641648764768233093e+01,1.921029714511604425e+00,2.209617347868504656e-04,-5.860926600508293660e+01,-5.887774262276307979e+01
1.068613722744548911e+00,9.584565410462020907e+01,2.233324886329730141e+00,2.986487881540498277e-04,-5.786606786793989698e+01,-5.757550881584172231e+01
1.078415683136627390e+00,9.528204769307467359e+01,2.543304745071379713e+00,3.873513373360355956e-04,-5.713456337179908928e+01,-5.695227717370605092e+01
1.088217643528705647e+00,9.472555527114461427e+01,2.850948619605926382e+00,4.868339353230113626e-04,-5.641447451062298768e+01,-5.626740826229522696e+01
1.098019603920784126e+00,9.417606619437989934e+01,3.156237682468915118e+00,5.968660519836321756e-04,-5.570554751925320147e+01,-5.569133639859530405e+01
1.107821564312862606e+00,9.363347234356793081e+01,3.459154989898382659e+00,7.172221556064120856e-04,-5.500755048969141114e+01,-5.473419399638518712e+01
1.117623524704940863e+00,9.309766762862139444e+01,3.759685507804781501e+00,8.476814061967573050e-04,-5.432027083245604615e+01,-5.468849787595687673e+01
1.127425485097019342e+00,9.256854784861549490e+01,4.057816131801210702e+00,9.880275833522675789e-04,-5.364351304082097016e+01,-5.372496801481749884e+01
1.137227445489097821e+00,9.204601069178795569e+01,4.353535687203379467e+00,1.138049086262720192e-03,-5.297709665529201573e+01,-5.321815631163200777e+01
1.147029405881176300e+00,9.152995572080016018e+01,4.646834924867006222e+00,1.297538922574192378e-03,-5.232085435467576673e+01,-5.202143124835845356e+01
1.156831366273254558e+00,9.102028398895902228e+01,4.937706481628631572e+00,1.466294501971654929e-03,-5.167463001467592676e+01,-5.165476896093509396e+01
