T,H,P,m,m_noisy
5.555212459832284821e+01,4.162995462951335490e-01,2.885035697525770715e-01,8.156617622218280683e-01,8.191176041424759191e-01
9.459126897300824055e+01,7.333545351240545962e+00,-1.874793841116496829e+00,nan,nan
2.283020553204740111e+01,8.986831179596121988e-01,-1.418817755405368253e+00,9.283137544151881526e-01,9.316181251770220273e-01
9.442980079521470316e+01,1.088618317406597757e+00,1.297481813375240822e+00,4.787378123602777369e-01,4.657062400442341099e-01
3.775299922893320570e+01,6.371694595062420419e+00,-6.476934960928790730e-01,8.633177628547827887e-01,8.723713215215139760e-01
4.767605395855922978e+01,8.459824512294478183e+00,7.394907701264394895e-01,8.853916005756072849e-01,8.898553462992474516e-01
8.366553085001932288e+01,2.578681673610212499e+00,-6.505729876258210531e-01,4.819726134044440835e-01,4.766030810508412596e-01
4.641872313685535545e+01,5.061911030765750219e+00,-1.697902075750857165e+00,7.736037443165401095e-01,7.794149253585036519e-01
5.891383820290229778e+01,7.666730514969329668e+00,-1.335617487812549520e+00,7.002949732924798054e-01,7.039406972543406082e-01
1.245276107863308468e+01,1.850308852592310593e+00,-1.892076713091340068e+00,9.646512164906850817e-01,9.675925414572403849e-01
7.706266667205778731e+01,4.122945057226029775e+00,-4.609712825880647458e-01,5.768971228728049239e-01,5.771813452859628768e-01
5.789475487651576202e+01,5.929087288957546775e+00,-1.215427505782171735e+00,7.105694263615117690e-01,7.160365562276362894e-01
3.934612276841920675e+01,7.873948968751562916e+00,1.147448257229096935e+00,9.617452040121167167e-01,9.543806631421000164e-01
8.017015460512799052e+01,5.734309237623059552e+00,-1.786233477006327508e+00,4.536621796654107253e-01,4.520330801854802183e-01
3.698433980695639889e+01,1.461144656642543449e+00,8.603401399561918517e-01,9.609741623250253051e-01,9.561529691982255663e-01
5.036131216377798125e+01,8.304681493688342186e+00,6.857118792518557271e-01,8.650060996027114646e-01,8.709945617290577591e-01
2.192971105499766082e+01,8.111015457348349500e+00,-3.408664475437284125e-02,9.766495797366093745e-01,9.770468008114259195e-01
4.587705579379450427e+01,7.229251348094788199e+00,-1.118005567432294178e-01,8.427526906243874016e-01,8.398281231147365355e-01
