t,A,A_amb,dA_dt,dA_dt_noisy
0.000000000000000000e+00,2.500000000000000000e+01,5.000000000000000000e-01,-9.495335939444819573e+00,-9.478056729841579653e+00
1.200240048009601837e-02,2.488665659647094230e+01,5.056858038359109964e-01,-9.391811320232996252e+00,-9.350730413057938506e+00
2.400480096019203674e-02,2.477454290593894726e+01,5.113411453115213057e-01,-9.290403951883520861e+00,-9.273882098074350822e+00
3.600720144028805858e-02,2.466363395446304807e+01,5.169663344302407593e-01,-9.191050763461237949e+00,-9.256208625041455917e+00
4.800960192038407348e-02,2.455390551675644417e+01,5.225616750448909276e-01,-9.093691123399890941e+00,-9.048423330066235337e+00
6.001200240048008838e-02,2.444533401854578258e+01,5.281274654917927913e-01,-8.998266662804486060e+00,-8.975947934186285337e+00
7.201440288057611716e-02,2.433789653657119345e+01,5.336639985907661865e-01,-8.904721193441964999e+00,-8.931568855209979674e+00
8.401680336067213206e-02,2.423157079858626517e+01,5.391715616451303594e-01,-8.813000629162358379e+00,-8.783944723952540556e+00
9.601920384076814696e-02,2.412633518335805860e+01,5.446504364417033006e-01,-8.723052910593562359e+00,-8.704824290784259233e+00
1.080216043208641619e-01,2.402216872066709996e+01,5.501008992508022999e-01,-8.634827932960304153e+00,-8.620121308127528081e+00
1.200240048009601768e-01,2.391905108621942588e+01,5.555232208602728372e-01,-8.548277472560286583e+00,-8.546856360494496485e+00
1.320264052810561917e-01,2.381696241180450713e+01,5.609176678183699361e-01,-8.463354960644744907e+00,-8.436019311314122859e+00
1.440288057611522343e-01,2.371588345920793017e+01,5.662845012222880170e-01,-8.380015572171608085e+00,-8.416838276521691142e+00
1.560312062412482492e-01,2.361579554808275461e+01,5.716239772618179060e-01,-8.298216105566078582e+00,-8.306361602965731450e+00
1.680336067213442641e-01,2.351668045761693193e+01,5.769363478894159458e-01,-8.217914846474887014e+00,-8.242020812108885153e+00
1.800360072014402790e-01,2.341852042653331623e+01,5.822218608202039958e-01,-8.139071517872039863e+00,-8.109129207240307835e+00
1.920384076815362939e-01,2.332129815308966769e+01,5.874807595319702092e-01,-8.061647232101446292e+00,-8.059661126727363012e+00
2.040408081616323088e-01,2.322499679507863135e+01,5.927132832651678118e-01,-7.985604444774462962e+00,-8.000227282322716960e+00
2.160432086417283237e-01,2.312959996982776545e+01,5.979196670229161015e-01,-7.910906910444002627e+00,-7.950002333561844381e+00
2.280456091218243386e-01,2.303509175419951660e+01,6.031001415710002256e-01,-7.837519639980349950e+00,-7.850379252011293829e+00
2.400480096019203535e-01,2.294145668363183432e+01,6.082549334448429379e-01,-7.765408858828267036e+00,-7.765001749802349806e+00
2.520504100820163962e-01,2.284867959913868063e+01,6.133842660414267067e-01,-7.694541849119421073e+00,-7.708321994384389697e+00
2.640528105621123833e-01,2.275674576236701441e+01,6.184883587358532830e-01,-7.624887004869759011e+00,-7.560183814149848303e+00
2.760552110422084260e-01,2.266564086512133969e+01,6.235674268655623242e-01,-7.556413803779348015e+00,-7.506077588014058222e+00
2.880576115223044686e-01,2.257535092118328635e+01,6.286216825306222278e-01,-7.489092691002221081e+00,-7.624650814950519440e+00
3.000600120024004558e-01,2.248586226631160301e+01,6.336513345937302422e-01,-7.422895049178892535e+00,-7.517345711477275927e+00
3.120624124824964984e-01,2.239716155824216060e+01,6.386565886802122449e-01,-7.357793169546869905e+00,-7.366531774149628120e+00
3.240648129625924856e-01,2.230923577668795943e+01,6.436376471780228536e-01,-7.293760224086960342e+00,-7.314869744665777773e+00
3.360672134426885282e-01,2.222207222333911858e+01,6.485947092377456480e-01,-7.230770238664992355e+00,-7.220088088790062031e+00
3.480696139227845154e-01,2.213565852186287941e+01,6.535279707725925036e-01,-7.168798067130182972e+00,-7.157931970579054948e+00
3.600720144028805580e-01,2.204998261790360559e+01,6.584376244584044802e-01,-7.107819366333067101e+00,-7.001927428580514423e+00
3.720744148829765452e-01,2.196503277836531609e+01,6.633238597393361635e-01,-7.047810571513163147e+00,-7.103411609647777070e+00
3.840768153630725879e-01,2.188079746571368744e+01,6.681868638069718980e-01,-6.988748783641288043e+00,-7.007629033997638146e+00
3.960792158431686305e-01,2.179726544097177410e+01,6.730268207436307382e-01,-6.930611822992425175e+00,-6.828473242617808303e+00
4.080816163232646177e-01,2.171442578126498191e+01,6.778439114285591538e-01,-6.873378220310303099e+00,-6.841043070500210987e+00
