T,Pext,P,P_noisy
3.392418201373974398e+02,7.665720564047554944e+03,3.132811291706517750e+03,3.147935562250000203e+03
3.447736715121184830e+02,2.280886937465600568e+03,3.938140939403308494e+03,3.896321064084848786e+03
4.221338610891420444e+02,1.490508959811217665e+03,1.175344677445858360e+04,1.172040169098723163e+04
3.137873913202645326e+02,3.610099101414637062e+03,2.232667459029438305e+03,2.037350068418249975e+03
3.900150788948481022e+02,5.376927254522972362e+03,7.281572645640955670e+03,7.425549236258628298e+03
4.092840790217691733e+02,5.381797670658681454e+03,9.415771876653516301e+03,9.507305146416494608e+03
3.281851610049905048e+02,7.785911088172823838e+03,2.565363506067709750e+03,2.539329679118283821e+03
3.082719940999602386e+02,2.877470459390942779e+03,2.044901909634442518e+03,2.106806436572655457e+03
3.412454051859057245e+02,5.963000023238028916e+03,3.417527269170595901e+03,3.440024122754407927e+03
3.986149522313388616e+02,3.306536572631183390e+03,8.504687461897923640e+03,8.460381634983999902e+03
3.843398494170642152e+02,1.736701468581492009e+03,7.176597172722517826e+03,7.254802568812600839e+03
3.225093394958004183e+02,5.844377451737424963e+03,2.468203208279253886e+03,2.443358684546521545e+03
3.648946186207180631e+02,5.203059937418898699e+03,5.083903327799350336e+03,5.057597415474713671e+03
4.003945947861780041e+02,5.868669923834694600e+03,8.294265474610538149e+03,8.230893734181825494e+03
3.634177009905191653e+02,1.488338398924230887e+03,5.329101482491654679e+03,5.365498128190923126e+03
3.949776598911174688e+02,7.086536880518598991e+03,7.492479362667120768e+03,7.484543518529730136e+03
4.451153928740515084e+02,3.734903692254747057e+03,1.496966311285515440e+04,1.501328620997232974e+04
4.024597233464438091e+02,2.845545719817468125e+03,9.010297401021620317e+03,8.961722545031969275e+03
3.587437249620039097e+02,7.299495480923222203e+03,4.372086934237375317e+03,4.382233162006325074e+03
3.280878854580147390e+02,4.885294390715298505e+03,2.805303680870749304e+03,2.733921757396366047e+03
3.518940998357599597e+02,1.782600612691291644e+03,4.447361546188148168e+03,4.514678743977759950e+03
3.766598960354365317e+02,3.973840833035444120e+03,6.208733979759098474e+03,6.223776786717553478e+03
