t,n,g,dn_dt,dn_dt_noisy
0.000000000000000000e+00,8.000000000000000000e+02,0.000000000000000000e+00,-1.359999999999999964e+01,-1.359054733091032219e+01
3.000600120024004766e-02,7.995920941585605988e+02,1.343987239460304496e-03,-1.358828320418769486e+01,-1.361442062626173310e+01
6.001200240048009532e-02,7.991845399639287280e+02,2.675504897421070605e-03,-1.357656158967122906e+01,-1.359721476684082297e+01
9.001800360072013951e-02,7.987773375587534019e+02,3.994695324802797869e-03,-1.356483528574963771e+01,-1.368690865488163055e+01
1.200240048009601906e-01,7.983704870819370853e+02,5.301698657015710588e-03,-1.355310441985562164e+01,-1.346311905071957682e+01
1.500300060012002279e-01,7.979639886683855821e+02,6.596652697558321593e-03,-1.354136911732381243e+01,-1.348416082372195035e+01
1.800360072014402790e-01,7.975578424492543945e+02,7.879693093090941319e-03,-1.352962950164506140e+01,-1.354590064348845324e+01
2.100420084016803302e-01,7.971520485521317596e+02,9.150953441575550296e-03,-1.351788569461308498e+01,-1.347919536527670203e+01
2.400480096019203813e-01,7.967466071010391033e+02,1.041056529227579741e-02,-1.350613781629151156e+01,-1.349207728280162932e+01
2.700540108021604047e-01,7.963415182164309272e+02,1.165865814575699558e-02,-1.349438598498112896e+01,-1.352207712680233165e+01
3.000600120024004558e-01,7.959367820151944670e+02,1.289535945388612867e-02,-1.348263031718726346e+01,-1.343375194463096101e+01
3.300660132026405069e-01,7.955323986107958945e+02,1.412079475048942309e-02,-1.347087092780489215e+01,-1.348639875513785036e+01
3.600720144028805580e-01,7.951283681131448020e+02,1.533508763352845611e-02,-1.345910793005432460e+01,-1.347554912525722237e+01
3.900780156031206092e-01,7.947246906286662806e+02,1.653835976190696708e-02,-1.344734143544773097e+01,-1.348694877321567631e+01
4.200840168033606603e-01,7.943213662605867285e+02,1.773073104387003218e-02,-1.343557155407609116e+01,-1.341282365051404923e+01
4.500900180036007114e-01,7.939183951089346465e+02,1.891231963733299229e-02,-1.342379839458160617e+01,-1.342875829716747482e+01
4.800960192038407626e-01,7.935157772705400703e+02,2.008324194988147376e-02,-1.341202206412963882e+01,-1.338475762843140515e+01
5.101020204040808137e-01,7.931135128390350246e+02,2.124361263877136419e-02,-1.340024266838090128e+01,-1.343060195337443297e+01
5.401080216043208093e-01,7.927116019048529552e+02,2.239354461092883664e-02,-1.338846031146373861e+01,-1.338211891910814444e+01
5.701140228045609160e-01,7.923100445554000544e+02,2.353314917362450340e-02,-1.337667509620033357e+01,-1.342128879837182254e+01
6.001200240048009116e-01,7.919088408748554002e+02,2.466253597806331022e-02,-1.336488712398135981e+01,-1.332281387536285244e+01
6.301260252050410182e-01,7.915079909442443977e+02,2.578181300190765524e-02,-1.335309649471346738e+01,-1.334369474036443393e+01
6.601320264052810138e-01,7.911074948417378891e+02,2.689108674085452858e-02,-1.334130330711988499e+01,-1.332477475671311851e+01
6.901380276055211205e-01,7.907073526426523813e+02,2.799046220871546226e-02,-1.332950765871671805e+01,-1.330898246306820454e+01
7.201440288057611161e-01,7.903075644194500455e+02,2.908004293741651633e-02,-1.331770964578928940e+01,-1.336824752079695600e+01
7.501500300060012227e-01,7.899081302417388315e+02,3.015993097699831010e-02,-1.330590936336856522e+01,-1.326675031356136181e+01
7.801560312062412184e-01,7.895090501762721260e+02,3.123022689561597703e-02,-1.329410690520774452e+01,-1.319127176429062587e+01
8.101620324064813250e-01,7.891103242869595533e+02,3.229102978742751096e-02,-1.328230236377244466e+01,-1.336422448893422121e+01
8.401680336067213206e-01,7.887119526350829801e+02,3.334243747901657895e-02,-1.327049583056899706e+01,-1.335696640392672130e+01
8.701740348069614273e-01,7.883139352788912220e+02,3.438454630296758352e-02,-1.325868739573222932e+01,-1.333392896642544478e+01
9.001800360072014229e-01,7.879162722739208675e+02,3.541745123637073112e-02,-1.324687714824477780e+01,-1.320480420357207763e+01
9.301860372074415295e-01,7.875189636731671499e+02,3.644124600972416250e-02,-1.323506517610380939e+01,-1.322862939323010600e+01
9.601920384076815251e-01,7.871220095270845150e+02,3.745602310693391807e-02,-1.322325156630106768e+01,-1.316933444426410205e+01
9.901980396079215208e-01,7.867254098835859395e+02,3.846187376531396557e-02,-1.321143640480298309e+01,-1.317531486118760853e+01
1.020204040808161627e+00,7.863291647880433857e+02,3.945888797558617933e-02,-1.319961977653095175e+01,-1.318909118591218821e+01
1.050210042008401734e+00,7.859332742832876875e+02,4.044715448188035412e-02,-1.318780176534168191e+01,-1.317359985807916267e+01
1.080216043208641619e+00,7.855377384096084370e+02,4.142676078173417736e-02,-1.317598245400766110e+01,-1.318447047889381807e+01
1.110222044408881725e+00,7.851425572048661934e+02,4.239779321641540949e-02,-1.316416192435394272e+01,-1.312073891379336743e+01
1.140228045609121832e+00,7.847477307044504187e+02,4.336033704182701981e-02,-1.315234025735816559e+01,-1.320882605544720256e+01
1.170234046809361939e+00,7.843532589410443734e+02,4.431447621598610942e-02,-1.314051753276571510e+01,-1.316161047407463158e+01
1.200240048009601823e+00,7.839591419450554213e+02,4.526029364246170195e-02,-1.312869382949698860e+01,-1.311654688684205183e+01
1.230246049209841930e+00,7.835653797446304907e+02,4.619787118055879160e-02,-1.311686922564833679e+01,-1.302679818272586942e+01
1.260252050410082036e+00,7.831719723656565293e+02,4.712728964531826686e-02,-1.310504379847548151e+01,-1.314326700426150119e+01
1.290258051610322143e+00,7.827789198317599357e+02,4.804862880751695903e-02,-1.309321762437691383e+01,-1.314717064733376084e+01
1.320264052810562028e+00,7.823862221643066732e+02,4.896196739366763528e-02,-1.308139077887746460e+01,-1.310955513880266565e+01
1.350270054010802134e+00,7.819938793824027243e+02,4.986738308601901259e-02,-1.306956333661196901e+01,-1.302109972655506098e+01
1.380276055211042241e+00,7.816018915028935226e+02,5.076495252255572993e-02,-1.305773537130895612e+01,-1.306948564665354695e+01
1.410282056411282348e+00,7.812102585404409183e+02,5.165475135510798343e-02,-1.304590695587645399e+01,-1.297968960491460599e+01
1.440288057611522232e+00,7.808189805075725189e+02,5.253685437507506217e-02,-1.303407816260334329e+01,-1.312770463848364422e+01
1.470294058811762339e+00,7.804280574143115246e+02,5.341133524402049554e-02,-1.302224906267115401e+01,-1.296582290557613071e+01
1.500300060012002445e+00,7.800374892686319299e+02,5.427826672716011547e-02,-1.301041972655331591e+01,-1.295867641455683916e+01
1.530306061212242330e+00,7.796472760764969507e+02,5.513772071725514534e-02,-1.299859022404334219e+01,-1.306952350853341649e+01
1.560312062412482437e+00,7.792574178418589099e+02,5.598976823461228325e-02,-1.298676062424092592e+01,-1.297908152991412756e+01
1.590318063612722543e+00,7.788679145666591239e+02,5.683447942708357709e-02,-1.297493099553819107e+01,-1.291414311377846502e+01
1.620324064812962650e+00,7.784787662508284711e+02,5.767192357006653558e-02,-1.296310140560597901e+01,-1.295870545349050218e+01
1.650330066013202535e+00,7.780899728922864824e+02,5.850216906650404503e-02,-1.295127192138019545e+01,-1.290128685027260680e+01
1.680336067213442641e+00,7.777015344869422506e+02,5.932528344688445254e-02,-1.293944260904829591e+01,-1.282069826338243956e+01
1.710342068413682748e+00,7.773134510286937484e+02,6.014133336924148976e-02,-1.292761353403576585e+01,-1.291391692130614999e+01
1.740348069613922855e+00,7.769257225095598187e+02,6.095038472060494011e-02,-1.291578476117306096e+01,-1.292980387687020816e+01
1.770354070814162739e+00,7.765383489195336324e+02,6.175250262086244557e-02,-1.290395635468506974e+01,-1.294250896267604567e+01
1.800360072014402846e+00,7.761513302464198887e+02,6.254775125253331236e-02,-1.289212837787767896e+01,-1.285972514780045550e+01
1.830366073214642952e+00,7.757646664762263526e+02,6.333619406641330385e-02,-1.288030089349496521e+01,-1.289013739681285209e+01
1.860372074414883059e+00,7.753783575931706764e+02,6.411789378549324903e-02,-1.286847396371468477e+01,-1.287741128225438736e+01
1.890378075615122944e+00,7.749924035796798307e+02,6.489291240495914659e-02,-1.285664765013671129e+01,-1.286191063905746290e+01
1.920384076815363050e+00,7.746068044163906734e+02,6.566131119219209555e-02,-1.284482201377164934e+01,-1.281232853114237535e+01
1.950390078015603157e+00,7.742215600821496082e+02,6.642315068676829526e-02,-1.283299711502945328e+01,-1.288631409563769914e+01
1.980396079215843042e+00,7.738366705540125849e+02,6.717849070045908699e-02,-1.282117301370809415e+01,-1.289766683824162286e+01
2.010402080416083148e+00,7.734521358072453268e+02,6.792739031723089849e-02,-1.280934976898235256e+01,-1.293104360383980023e+01
2.040408081616323255e+00,7.730679558153229891e+02,6.866990789324529942e-02,-1.279752743939260995e+01,-1.273759389442310663e+01
2.070414082816563361e+00,7.726841305499694954e+02,6.940610108290730385e-02,-1.278570608288083577e+01,-1.278201641490167262e+01
2.100420084016803468e+00,7.723006599812837294e+02,7.013602698937379532e-02,-1.277388575704878093e+01,-1.269837978639266396e+01
2.130426085217043575e+00,7.719175440772712591e+02,7.085974189190993866e-02,-1.276206651865281394e+01,-1.276251433355833420e+01
2.160432086417283237e+00,7.715347828042592937e+02,7.157730141782700506e-02,-1.275024842390923396e+01,-1.278735619666919199e+01
2.190438087617523344e+00,7.711523761269789929e+02,7.228876058770146440e-02,-1.273843152856679239e+01,-1.271453506362681019e+01
2.220444088817763451e+00,7.707703240085659218e+02,7.299417381537502691e-02,-1.272661588789716625e+01,-1.273044530854402545e+01
2.250450090018003557e+00,7.703886264105595956e+02,7.369359490795455991e-02,-1.271480155668542444e+01,-1.277751088978410543e+01
2.280456091218243664e+00,7.700072832929033666e+02,7.438707706581219881e-02,-1.270298858922058649e+01,-1.274724191829312581e+01
2.310462092418483770e+00,7.696262946139451060e+02,7.507467288258522220e-02,-1.269117703928623975e+01,-1.260283807341201090e+01
2.340468093618723877e+00,7.692456603304362943e+02,7.575643434517614905e-02,-1.267936696015117093e+01,-1.266164943038499402e+01
2.370474094818963984e+00,7.688653803975328174e+02,7.643241283375272477e-02,-1.266755840456009707e+01,-1.264673907780858819e+01
