t,Ca,S,h,dCa_dt,dCa_dt_noisy
0.000000000000000000e+00,1.000000000000000056e-01,2.000000000000000000e+00,1.000000000000000000e+00,4.667435897435898151e-01,4.341540321130053504e-01
1.333629695487886270e-02,1.065094487190744038e-01,1.993673772750140127e+00,9.999706144228516225e-01,5.102765267954527673e-01,5.015406621791639319e-01
2.667259390975772540e-02,1.136333093877979344e-01,1.986704907156467081e+00,9.999329099498578399e-01,5.589622794698477781e-01,6.421484790394076381e-01
4.000889086463658983e-02,1.214432978997697504e-01,1.979019409218370829e+00,9.998841608868740405e-01,6.132411881662600539e-01,6.461985756578727536e-01
5.334518781951545080e-02,1.300165343062974765e-01,1.970537680218744647e+00,9.998206654099054402e-01,6.734744006659499904e-01,5.914045359367177124e-01
6.668148477439431177e-02,1.394340738609866071e-01,1.961175989628721750e+00,9.997373874430917073e-01,7.398787632776190337e-01,7.396186000690224693e-01
8.001778172927317967e-02,1.497784514955076141e-01,1.950848945771661569e+00,9.996274797502586740e-01,8.124434500746923193e-01,7.812702630252726932e-01
9.335407868415203370e-02,1.611300017384645900e-01,1.939473206331244981e+00,9.994816649906471673e-01,8.908321677251592741e-01,8.982637438877605351e-01
1.066903756390309016e-01,1.735618328314381398e-01,1.926972553844570557e+00,9.992874678675973676e-01,9.742818301261495506e-01,8.938724409168301577e-01
1.200266725939097695e-01,1.871335402642070878e-01,1.913284253918953848e+00,9.990283254003285984e-01,1.061517266004897042e+00,1.073605859848739685e+00
1.333629695487886235e-01,2.018840273401018570e-01,1.898366329888185877e+00,9.986826612239142476e-01,1.150708996051782673e+00,1.162478041988655342e+00
1.466992665036674914e-01,2.178242275736637645e-01,1.882204956518189531e+00,9.982231128392446973e-01,1.239503534547018226e+00,1.318284836118591485e+00
1.600355634585463593e-01,2.349308220566531658e-01,1.864820873139875212e+00,9.976162117682711994e-01,1.325146904071492049e+00,1.340979154895087122e+00
1.733718604134252272e-01,2.531422507218943352e-01,1.846273505715018581e+00,9.968229266462745874e-01,1.404701520043640350e+00,1.430228853128522548e+00
1.867081573683040674e-01,2.723581110750112333e-01,1.826661688719871002e+00,9.958004527928078220e-01,1.475327851597722173e+00,1.400672017349510634e+00
2.000444543231829353e-01,2.924424038515419100e-01,1.806120511388607186e+00,9.945053787306642468e-01,1.534577185881471628e+00,1.647213642117673071e+00
2.133807512780618032e-01,3.132304924267662605e-01,1.784814409238342225e+00,9.928980281897484828e-01,1.580634426939224513e+00,1.484852149041309577e+00
2.267170482329406711e-01,3.345386575679373808e-01,1.762927611759481428e+00,9.909470710491756762e-01,1.612461716755812180e+00,1.667551809546936381e+00
2.400533451878195390e-01,3.561746242317311850e-01,1.740653572184774678e+00,9.886333023121266494e-01,1.629823410093378167e+00,1.613328206399685660e+00
2.533896421426983792e-01,3.779480278764767998e-01,1.718184416672602799e+00,9.859515820401263397e-01,1.633205297189720184e+00,1.589172971293330239e+00
2.667259390975772471e-01,3.996789357873806181e-01,1.695702316265506049e+00,9.829105379312926827e-01,1.623661171898223898e+00,1.590846921351772414e+00
2.800622360524561150e-01,4.212041828709384705e-01,1.673373033783351449e+00,9.795303932444127115e-01,1.602629320773903299e+00,1.569028586740970566e+00
2.933985330073349829e-01,4.423814330235609216e-01,1.651341739120776531e+00,9.758394160606219669e-01,1.571753420072515395e+00,1.590762874684964912e+00
3.067348299622138508e-01,4.630907391527396277e-01,1.629731352112337550e+00,9.718706965390482289e-01,1.532733436148293826e+00,1.527230501384391204e+00
