X,A,A_noisy
1.000000000000000056e-01,5.135735928907668446e-02,3.397469530410786309e-02
1.088686374749944508e-01,5.156268626914990716e-02,3.819625833733858444e-02
1.177372749499888960e-01,5.177687081867782259e-02,3.816580373302795592e-02
1.266059124249833412e-01,5.199921935693978259e-02,4.848304804415568686e-02
1.354745498999777864e-01,5.222911052964378242e-02,2.910329473267674744e-02
1.443431873749722316e-01,5.246598642492376202e-02,5.057701446407768253e-02
1.532118248499666491e-01,5.270934508494982962e-02,4.313705280398637265e-02
1.620804623249610943e-01,5.295873407968455793e-02,6.189473592898434712e-02
1.709490997999555395e-01,5.321374496012448024e-02,6.278221733591682341e-02
1.798177372749499847e-01,5.347400844611994997e-02,6.739659073751080864e-02
1.886863747499444299e-01,5.373919023242325343e-02,6.141389136337033205e-02
1.975550122249388751e-01,5.400898731855392765e-02,5.347868953098124795e-02
2.064236496999333204e-01,5.428312478515422146e-02,6.288106467459331217e-02
2.152922871749277656e-01,5.456135295297487309e-02,6.961616451681330864e-02
2.241609246499222108e-01,5.484344487136001700e-02,4.830749953718953271e-02
2.330295621249166560e-01,5.512919409173105967e-02,6.123270555003292731e-02
2.418981995999111012e-01,5.541841268857290725e-02,5.499167441146438073e-02
2.507668370749055464e-01,5.571092949615329137e-02,7.011109675030569033e-02
2.596354745498999916e-01,5.600658853392339459e-02,4.763763833295495825e-02
2.685041120248944368e-01,5.630524759745945268e-02,5.328978150180418982e-02
2.773727494998888821e-01,5.660677699506636018e-02,6.023016292676075523e-02
2.862413869748833273e-01,5.691105841289961775e-02,5.949216108310959039e-02
2.951100244498777725e-01,5.721798389376742816e-02,4.082350426929094722e-02
3.039786619248722177e-01,5.752745491672630468e-02,6.112900723910016237e-02
3.128472993998666629e-01,5.783938156624398447e-02,5.665440457107425581e-02
3.217159368748611081e-01,5.815368178112050035e-02,5.575620328910488310e-02
3.305845743498555533e-01,5.847028067457318845e-02,5.691726405455025534e-02
3.394532118248499986e-01,5.878910991793642737e-02,6.097882696871861907e-02
3.483218492998444438e-01,5.911010718132828079e-02,4.094615056678187204e-02
3.571904867748388890e-01,5.943321562541691722e-02,7.495788130538558192e-02
3.660591242498333342e-01,5.975838343909703476e-02,5.114396670621135232e-02
3.749277617248277794e-01,6.008556341847662297e-02,3.767188483660374732e-02
3.837963991998222246e-01,6.041471258308884346e-02,5.959496764474043334e-02
3.926650366748166698e-01,6.074579182569467273e-02,7.532059600093882201e-02
4.015336741498111151e-01,6.107876559243649583e-02,5.589275588140409784e-02
4.104023116248055603e-01,6.141360159045051309e-02,7.692635779950719732e-02
4.192709490998000055e-01,6.175027052035125114e-02,7.731969053063701691e-02
4.281395865747944507e-01,6.208874583127160784e-02,5.346142666015784445e-02
4.370082240497888959e-01,6.242900349638051682e-02,3.777779534360696523e-02
4.458768615247833411e-01,6.277102180701155110e-02,5.041919423893306135e-02
4.547454989997777863e-01,6.311478118372371160e-02,7.498910340926685791e-02
4.636141364747722315e-01,6.346026400278215185e-02,5.529254226657308313e-02
4.724827739497666768e-01,6.380745443669554040e-02,4.870067953419013329e-02
4.813514114247611220e-01,6.415633830757849765e-02,5.077939156703902696e-02
4.902200488997555672e-01,6.450690295222655246e-02,6.450870439442950299e-02
4.990886863747500124e-01,6.485913709789653536e-02,6.459805226060451322e-02
5.079573238497444576e-01,6.521303074787972165e-02,7.393347989697693357e-02
5.168259613247389028e-01,6.556857507604081647e-02,7.545907478070962293e-02
5.256945987997332370e-01,6.592576232957125804e-02,5.660327210461381375e-02
5.345632362747276822e-01,6.628458573927463460e-02,6.471699875210765174e-02
5.434318737497221274e-01,6.664503943676315656e-02,5.530569297111349175e-02
5.523005112247165727e-01,6.700711837800024662e-02,6.772602509861751219e-02
5.611691486997110179e-01,6.737081827267418777e-02,5.586474005289353284e-02
5.700377861747054631e-01,6.773613551893314932e-02,5.573361996440633764e-02
5.789064236496999083e-01,6.810306714305311426e-02,8.933728648257949212e-02
5.877750611246943535e-01,6.847161074364688238e-02,6.879549962790208750e-02
5.966436985996887987e-01,6.884176444005629669e-02,7.527355056375965858e-02
6.055123360746832439e-01,6.921352682460032990e-02,9.459451061112880699e-02
6.143809735496776891e-01,6.958689691837889602e-02,7.744528515528455170e-02
6.232496110246721344e-01,6.996187413035771796e-02,6.882044811103757431e-02
6.321182484996665796e-01,7.033845821948253585e-02,7.088435773492672565e-02
6.409868859746610248e-01,7.071664925959124381e-02,6.327172958829148375e-02
6.498555234496554700e-01,7.109644760691191667e-02,8.203983201627952637e-02
6.587241609246499152e-01,7.147785386995170187e-02,6.817506701540509972e-02
6.675927983996443604e-01,7.186086888159740060e-02,8.948832413759236215e-02
6.764614358746388056e-01,7.224549367326277283e-02,6.879790825883649874e-02
6.853300733496332509e-01,7.263172945093100685e-02,6.909550013169300786e-02
6.941987108246276961e-01,7.301957757295242379e-02,6.882580357047365927e-02
7.030673482996221413e-01,7.340903952946881139e-02,7.966597832681174274e-02
7.119359857746165865e-01,7.380011692334545459e-02,7.566947761763279101e-02
7.208046232496110317e-01,7.419281145250167242e-02,8.790713552628018346e-02
7.296732607246054769e-01,7.458712489353838682e-02,6.905362866727726701e-02
7.385418981995999221e-01,7.498305908656983931e-02,7.788544053200043005e-02
7.474105356745943674e-01,7.538061592117276111e-02,9.476023326679047787e-02
7.562791731495888126e-01,7.577979732337367103e-02,7.337598045383270096e-02
7.651478106245832578e-01,7.618060524360037444e-02,8.150673318396174649e-02
7.740164480995777030e-01,7.658304164552957871e-02,9.230186404718075666e-02
7.828850855745721482e-01,7.698710849576746729e-02,8.252156629487066020e-02
7.917537230495665934e-01,7.739280775430468218e-02,7.104775607324395614e-02
8.006223605245610386e-01,7.780014136569179950e-02,5.717664118403439216e-02
8.094909979995554838e-01,7.820911125088497728e-02,1.021407476958842847e-01
8.183596354745499291e-01,7.861971929971510453e-02,8.292286212101876441e-02
8.272282729495443743e-01,7.903196736393762467e-02,9.163725624000794434e-02
8.360969104245388195e-01,7.944585725082264904e-02,7.468272175943957425e-02
8.449655478995332647e-01,7.986139071724851490e-02,9.804620794874660539e-02
8.538341853745277099e-01,8.027856946426389917e-02,8.547396306619439721e-02
8.627028228495221551e-01,8.069739513208679105e-02,8.119536956523078219e-02
8.715714603245166003e-01,8.111786929551034753e-02,7.209969738327796918e-02
8.804400977995110456e-01,8.153999345968784840e-02,8.522184066550390902e-02
8.893087352745054908e-01,8.196376905627122955e-02,7.709846873196080086e-02
8.981773727494999360e-01,8.238919743987899169e-02,8.016150564617116614e-02
9.070460102244943812e-01,8.281627988487146041e-02,6.659117171094863785e-02
9.159146476994888264e-01,8.324501758241244220e-02,7.833947828003764990e-02
9.247832851744832716e-01,8.367541163779804170e-02,8.527420198617784164e-02
9.336519226494777168e-01,8.410746306803448813e-02,7.159940146800351790e-02
9.425205601244721620e-01,8.454117279964878939e-02,8.528013789531584121e-02
9.513891975994664962e-01,8.497654166671575471e-02,9.160948045629420389e-02
9.602578350744609414e-01,8.541357040908745257e-02,8.234597100211625553e-02
9.691264725494553867e-01,8.585225967081142051e-02,7.964441807121538930e-02
9.779951100244498319e-01,8.629260999872481741e-02,8.009136812262868110e-02
9.868637474994442771e-01,8.673462184121273622e-02,9.614604490102107714e-02
9.957323849744387223e-01,8.717829554712000495e-02,7.183324509413090142e-02
1.004601022449433279e+00,8.762363136480562364e-02,8.461911743169986400e-02
1.013469659924427724e+00,8.807062944133085824e-02,8.387657836648050591e-02
1.022338297399422169e+00,8.851928982177159622e-02,8.995926024636492768e-02
1.031206934874416614e+00,8.896961244864676210e-02,8.827391157884215134e-02
1.040075572349411059e+00,8.942159716145502146e-02,7.834653559521405353e-02
1.048944209824405505e+00,8.987524369631247345e-02,1.102761385680172401e-01
1.057812847299399950e+00,9.033055168568443483e-02,9.210666938156358841e-02
1.066681484774394395e+00,9.078752065820530626e-02,7.736713738845808763e-02
1.075550122249388840e+00,9.124615003857944329e-02,8.233181554021280768e-02
1.084418759724383285e+00,9.170643914755950699e-02,9.268228790260450711e-02
1.093287397199377731e+00,9.216838720199488355e-02,9.829808658566947799e-02
1.102156034674372176e+00,9.263199331494678668e-02,7.921044266912785625e-02
1.111024672149366621e+00,9.309725649586497731e-02,1.002106252368745454e-01
1.119893309624361066e+00,9.356417565082175702e-02,7.983125482171826715e-02
1.128761947099355512e+00,9.403274958279954354e-02,8.608886119576325546e-02
1.137630584574349957e+00,9.450297699202822588e-02,1.030339896177101949e-01
1.146499222049344402e+00,9.497485647636841333e-02,1.119848287693149813e-01
1.155367859524338847e+00,9.544838653173798315e-02,9.460130781552043844e-02
1.164236496999333292e+00,9.592356555257855466e-02,9.282817937852139156e-02
1.173105134474327738e+00,9.640039183235865616e-02,1.090793833187537892e-01
1.181973771949322183e+00,9.687886356411182232e-02,8.615907469481182135e-02
1.190842409424316628e+00,9.735897884100624955e-02,1.001381971481861699e-01
1.199711046899311073e+00,9.784073565694398344e-02,1.001731913785147421e-01
1.208579684374305518e+00,9.832413190718752860e-02,1.084173495092946027e-01
1.217448321849299964e+00,9.880916538901210466e-02,1.017949497623426292e-01
1.226316959324294409e+00,9.929583380238053703e-02,9.663189045840489544e-02
1.235185596799288854e+00,9.978413475064064342e-02,1.059296805945058317e-01
1.244054234274283299e+00,1.002740657412418135e-01,8.900841712493977320e-02
1.252922871749277745e+00,1.007656241864700319e-01,1.089063884993061587e-01
1.261791509224272190e+00,1.012588074042002628e-01,9.453204231219426712e-02
1.270660146699266635e+00,1.017536126186636414e-01,9.264995360811387193e-02
1.279528784174261080e+00,1.022500369612291543e-01,9.857357306031812316e-02
1.288397421649255525e+00,1.027480774711983236e-01,1.032080918864753810e-01
1.297266059124249971e+00,1.032477310966115058e-01,1.103535902019789211e-01
1.306134696599244416e+00,1.037489946950650860e-01,1.016222879575806592e-01
1.315003334074238861e+00,1.042518650345384545e-01,1.116090935492233954e-01
1.323871971549233306e+00,1.047563387942295199e-01,1.145071636550512445e-01
1.332740609024227751e+00,1.052624125653986997e-01,1.042048244859584832e-01
1.341609246499222197e+00,1.057700828522195741e-01,9.595461174691544137e-02
1.350477883974216642e+00,1.062793460726358941e-01,1.154768569648743082e-01
1.359346521449211087e+00,1.067901985592245862e-01,1.095446810326938109e-01
1.368215158924205532e+00,1.073026365600635856e-01,8.615070120750406568e-02
1.377083796399199978e+00,1.078166562396036254e-01,9.793376971996546609e-02
