Co,Vm,Vm_noisy
1.000000000000000000e+00,-8.785079927476424633e-02,-8.895413772382977646e-02
1.022004889975550057e+00,-8.773898991709684625e-02,-8.846401455734129171e-02
1.044009779951100336e+00,-8.762762909622122398e-02,-8.840943435353927626e-02
1.066014669926650393e+00,-8.751671316252751520e-02,-8.724973730613312661e-02
1.088019559902200450e+00,-8.740623851079909468e-02,-8.765481924023799110e-02
1.110024449877750730e+00,-8.729620157949562198e-02,-8.716971852798377496e-02
1.132029339853300787e+00,-8.718659885005022869e-02,-8.634355627924589216e-02
1.154034229828850844e+00,-8.707742684618097195e-02,-8.621949029670519793e-02
1.176039119804400901e+00,-8.696868213321598540e-02,-8.649349849126740375e-02
1.198044009779951180e+00,-8.686036131743199440e-02,-8.731112991551441549e-02
1.220048899755501237e+00,-8.675246104540593195e-02,-8.750739332722967667e-02
1.242053789731051294e+00,-8.664497800337941924e-02,-8.745979211071851223e-02
1.264058679706601573e+00,-8.653790891663555584e-02,-8.688176377442981269e-02
1.286063569682151631e+00,-8.643125054888815828e-02,-8.648263064267509848e-02
1.308068459657701688e+00,-8.632499970168253101e-02,-8.729727337905689166e-02
1.330073349633251745e+00,-8.621915321380833885e-02,-8.735364074676536805e-02
1.352078239608802024e+00,-8.611370796072334577e-02,-8.580800274131906991e-02
1.374083129584352081e+00,-8.600866085398860272e-02,-8.786034588404736945e-02
1.396088019559902138e+00,-8.590400884071433540e-02,-8.608106234888751596e-02
1.418092909535452417e+00,-8.579974890301640678e-02,-8.537392323573921027e-02
1.440097799511002474e+00,-8.569587805748314635e-02,-8.668123366388461037e-02
1.462102689486552531e+00,-8.559239335465233800e-02,-8.670534748528847813e-02
1.484107579462102589e+00,-8.548929187849803324e-02,-8.624991791093487847e-02
1.506112469437652868e+00,-8.538657074592699570e-02,-8.473854615709054683e-02
1.528117359413202925e+00,-8.528422710628477676e-02,-8.541405846269628510e-02
1.550122249388753204e+00,-8.518225814087067305e-02,-8.705185537371237792e-02
1.572127139364303261e+00,-8.508066106246213456e-02,-8.550401017227371447e-02
1.594132029339853318e+00,-8.497943311484758289e-02,-8.396553631504959092e-02
1.616136919315403375e+00,-8.487857157236820826e-02,-8.389485622787352936e-02
1.638141809290953432e+00,-8.477807373946792679e-02,-8.414803178873805911e-02
1.660146699266503711e+00,-8.467793695025177536e-02,-8.491599575536969147e-02
1.682151589242053769e+00,-8.457815856805232790e-02,-8.642309844400514196e-02
1.704156479217604048e+00,-8.447873598500392489e-02,-8.430915825591614454e-02
1.726161369193154105e+00,-8.437966662162474374e-02,-8.455564438587398479e-02
