I,v,v_noisy
0.000000000000000000e+00,6.666666666666667140e+01,6.526904824196262211e+01
2.222716159146476828e-02,6.663460827106607098e+01,6.543059878097054138e+01
4.445432318292953655e-02,6.660264460367879735e+01,6.530037559762249089e+01
6.668148477439431177e-02,6.657077524526074797e+01,6.594808987821686230e+01
8.890864636585907310e-02,6.653899977903807894e+01,6.798627989443171771e+01
1.111358079573238344e-01,6.650731779068912886e+01,6.490600389907368140e+01
1.333629695487886235e-01,6.647572886832635675e+01,6.741969833259327061e+01
1.555901311402533849e-01,6.644423260247853591e+01,6.770670451819449909e+01
1.778172927317181462e-01,6.641282858607307560e+01,6.605736796036202918e+01
2.000444543231829075e-01,6.638151641441837114e+01,6.568058032774256105e+01
2.222716159146476689e-01,6.635029568518653775e+01,6.682241030587734087e+01
2.444987775061124580e-01,6.631916599839615856e+01,6.753372366360056844e+01
2.667259390975772471e-01,6.628812695639513208e+01,6.844365823479643041e+01
2.889531006890420084e-01,6.625717816384386083e+01,6.714898965660951546e+01
3.111802622805067697e-01,6.622631922769834034e+01,6.782016189344358281e+01
3.334074238719715311e-01,6.619554975719358936e+01,6.574525819018838035e+01
3.556345854634362924e-01,6.616486936382716522e+01,6.529065238010613825e+01
3.778617470549010537e-01,6.613427766134277874e+01,6.441450440742673322e+01
4.000889086463658151e-01,6.610377426571407966e+01,6.495007167896808653e+01
4.223160702378305764e-01,6.607335879512862675e+01,6.570992507861258503e+01
4.445432318292953378e-01,6.604303086997192906e+01,6.623602559205608031e+01
4.667703934207601546e-01,6.601279011281165765e+01,6.469968953668910672e+01
4.889975550122249159e-01,6.598263614838199942e+01,6.679872201231280826e+01
5.112247166036896218e-01,6.595256860356809625e+01,6.584951966400232948e+01
5.334518781951544941e-01,6.592258710739071148e+01,6.528038603226053738e+01
5.556790397866192555e-01,6.589269129099092481e+01,6.512740254940722195e+01
5.779062013780840168e-01,6.586288078761504039e+01,6.788356906049804707e+01
6.001333629695487781e-01,6.583315523259955171e+01,6.600238358188727261e+01
6.223605245610135395e-01,6.580351426335633391e+01,6.490558772409342225e+01
6.445876861524783008e-01,6.577395751935780766e+01,6.481997522031718972e+01
6.668148477439430621e-01,6.574448464212242982e+01,6.758230907258916886e+01
6.890420093354078235e-01,6.571509527520011318e+01,6.513674437865681455e+01
7.112691709268725848e-01,6.568578906415788765e+01,6.687449315602357558e+01
7.334963325183373462e-01,6.565656565656566102e+01,6.707983953773889141e+01
7.557234941098021075e-01,6.562742470198207911e+01,6.330302334563626943e+01
7.779506557012668688e-01,6.559836585194055658e+01,6.694934074543685654e+01
8.001778172927316302e-01,6.556938875993529336e+01,6.536095662755757019e+01
8.224049788841963915e-01,6.554049308140760388e+01,6.445636449313923322e+01
8.446321404756611528e-01,6.551167847373220354e+01,6.496783602573960081e+01
8.668593020671259142e-01,6.548294459620368002e+01,6.604384036527105195e+01
8.890864636585906755e-01,6.545429111002307820e+01,6.582826766538519792e+01
9.113136252500555479e-01,6.542571767828455620e+01,6.585123181551328742e+01
9.335407868415203092e-01,6.539722396596218346e+01,6.467232794942655971e+01
9.557679484329850705e-01,6.536880963989690940e+01,6.664789346126042346e+01
9.779951100244498319e-01,6.534047436878347526e+01,6.684260484768009292e+01
1.000222271615914593e+00,6.531221782315761004e+01,6.714628163335058275e+01
1.022449433207379244e+00,6.528403967538322661e+01,6.628450231984774632e+01
1.044676594798844116e+00,6.525593959963980240e+01,6.715025414584687269e+01
1.066903756390308988e+00,6.522791727190980282e+01,6.732184422633328325e+01
1.089130917981773639e+00,6.519997236996616152e+01,6.590422836434785836e+01
1.111358079573238511e+00,6.517210457336000218e+01,6.605326668619319719e+01
1.133585241164703161e+00,6.514431356340841717e+01,6.572652268010156718e+01
1.155812402756168034e+00,6.511659902318221782e+01,6.566802342529143743e+01
1.178039564347632684e+00,6.508896063749398309e+01,6.595220517622338718e+01
1.200266725939097556e+00,6.506139809288606557e+01,6.335241619135847913e+01
1.222493887530562207e+00,6.503391107761869705e+01,6.471011270888934064e+01
1.244721049122027079e+00,6.500649928165833558e+01,6.549435603323807698e+01
1.266948210713491729e+00,6.497916239666598415e+01,6.287183135180024607e+01
1.289175372304956602e+00,6.495190011598553781e+01,6.351005956662889673e+01
1.311402533896421252e+00,6.492471213463241497e+01,6.650921042031994546e+01
1.333629695487886124e+00,6.489759814928216031e+01,6.383843552277294719e+01
1.355856857079350775e+00,6.487055785825916132e+01,6.440621055000191575e+01
1.378084018670815647e+00,6.484359096152540758e+01,6.521871011108677862e+01
1.400311180262280297e+00,6.481669716066951992e+01,6.434071561747390433e+01
1.422538341853745170e+00,6.478987615889559493e+01,6.392907733400846126e+01
1.444765503445210042e+00,6.476312766101236207e+01,6.424705810212202550e+01
1.466992665036674692e+00,6.473645137342241185e+01,6.430825385311040066e+01
1.489219826628139565e+00,6.470984700411135293e+01,6.413003887654457458e+01
1.511446988219604215e+00,6.468331426263713979e+01,6.486567838849003920e+01
1.533674149811069087e+00,6.465685286011964195e+01,6.626666737415507669e+01
1.555901311402533738e+00,6.463046250923004266e+01,6.498676727706829581e+01
1.578128472993998610e+00,6.460414292418046500e+01,6.622894975212210511e+01
1.600355634585463260e+00,6.457789382071366902e+01,6.531755849355424459e+01
1.622582796176928133e+00,6.455171491609279144e+01,6.538780269351497054e+01
1.644809957768392783e+00,6.452560592909127024e+01,6.511226883141418398e+01
1.667037119359857655e+00,6.449956657998266962e+01,6.420065755282607256e+01
1.689264280951322306e+00,6.447359659053074665e+01,6.489523663483245741e+01
1.711491442542787178e+00,6.444769568397953208e+01,6.475062596002538839e+01
1.733718604134251828e+00,6.442186358504349641e+01,6.330953489861632733e+01
1.755945765725716701e+00,6.439610001989785815e+01,6.514435507361473299e+01
1.778172927317181351e+00,6.437040471616877824e+01,6.494812249877946897e+01
1.800400088908646223e+00,6.434477740292386727e+01,6.471327245376845383e+01
1.822627250500111096e+00,6.431921781066260735e+01,6.376075255825735866e+01
1.844854412091575746e+00,6.429372567130698712e+01,6.166034138177577972e+01
1.867081573683040618e+00,6.426830071819199475e+01,6.573576125760244793e+01
1.889308735274505269e+00,6.424294268605645186e+01,6.417264139286129421e+01
1.911535896865970141e+00,6.421765131103369129e+01,6.204023594842649914e+01
1.933763058457434791e+00,6.419242633064251891e+01,6.484211851177941810e+01
1.955990220048899664e+00,6.416726748377793399e+01,6.346786993193124005e+01
1.978217381640364314e+00,6.414217451070236109e+01,6.482907793045275469e+01
2.000444543231829186e+00,6.411714715303655510e+01,6.401528730466458228e+01
2.022671704823293837e+00,6.409218515375073366e+01,6.522646335889987768e+01
2.044898866414758487e+00,6.406728825715588016e+01,6.430072087986948759e+01
2.067126028006223581e+00,6.404245620889497559e+01,6.432197067828070658e+01
2.089353189597688232e+00,6.401768875593418784e+01,6.416763144715167755e+01
2.111580351189152882e+00,6.399298564655452992e+01,6.522360169256972995e+01
2.133807512780617976e+00,6.396834663034313451e+01,6.267242462758649424e+01
2.156034674372082627e+00,6.394377145818488373e+01,6.512065502159663311e+01
2.178261835963547277e+00,6.391925988225399635e+01,6.460806656653623747e+01
2.200488997555011927e+00,6.389481165600569312e+01,6.334040552885384301e+01
2.222716159146477022e+00,6.387042653416790472e+01,6.386809057035057435e+01
2.244943320737941672e+00,6.384610427273312894e+01,6.339959810856304046e+01
2.267170482329406322e+00,6.382184462895025234e+01,6.388119506288632010e+01
2.289397643920870973e+00,6.379764736131645009e+01,6.473798375708044262e+01
2.311624805512336067e+00,6.377351222956923493e+01,6.309420975989320368e+01
2.333851967103800717e+00,6.374943899467845654e+01,6.449259876412479287e+01
2.356079128695265368e+00,6.372542741883844286e+01,6.466611985351734404e+01
2.378306290286730018e+00,6.370147726546012734e+01,6.433873147523650005e+01
2.400533451878195113e+00,6.367758829916332530e+01,6.524047133081035099e+01
2.422760613469659763e+00,6.365376028576896061e+01,6.358178795909836367e+01
2.444987775061124413e+00,6.362999299229151973e+01,6.432284982983949817e+01
2.467214936652589063e+00,6.360628618693134229e+01,6.608481234896515844e+01
2.489442098244054158e+00,6.358263963906717464e+01,6.361117165672627749e+01
2.511669259835518808e+00,6.355905311924858836e+01,6.341988251523229536e+01
2.533896421426983459e+00,6.353552639918868294e+01,6.353988765185142285e+01
2.556123583018448553e+00,6.351205925175666778e+01,6.409870402605052675e+01
2.578350744609913203e+00,6.348865145097047247e+01,6.287044424072998794e+01
2.600577906201377854e+00,6.346530277198963432e+01,6.322018021297260049e+01
2.622805067792842504e+00,6.344201299110801529e+01,6.168718667290747248e+01
2.645032229384307598e+00,6.341878188574667519e+01,6.236930291667269444e+01
2.667259390975772249e+00,6.339560923444675211e+01,6.237448856844503098e+01
2.689486552567236899e+00,6.337249481686248487e+01,6.221242587416782754e+01
2.711713714158701549e+00,6.334943841375415730e+01,6.290528320863230505e+01
2.733940875750166644e+00,6.332643980698126285e+01,6.401990697504818684e+01
2.756168037341631294e+00,6.330349877949552706e+01,6.292031359749363872e+01
2.778395198933095944e+00,6.328061511533412897e+01,6.195741511179004135e+01
2.800622360524560595e+00,6.325778859961291545e+01,6.350007711139761568e+01
2.822849522116025689e+00,6.323501901851967233e+01,6.340452750109086111e+01
2.845076683707490339e+00,6.321230615930747376e+01,6.181057501807882915e+01
2.867303845298954990e+00,6.318964981028799599e+01,6.333806938665056663e+01
2.889531006890420084e+00,6.316704976082498746e+01,6.209367749753688770e+01
2.911758168481884734e+00,6.314450580132778157e+01,6.251204719492692874e+01
2.933985330073349385e+00,6.312201772324471705e+01,6.238422259580978135e+01
2.956212491664814035e+00,6.309958531905675727e+01,6.391980857060257648e+01
2.978439653256279129e+00,6.307720838227113802e+01,6.225113487942427071e+01
3.000666814847743780e+00,6.305488670741495127e+01,6.273337949743096686e+01
3.022893976439208430e+00,6.303262009002897770e+01,6.321354778340695901e+01
3.045121138030673080e+00,6.301040832666132729e+01,6.404169772281152007e+01
3.067348299622138175e+00,6.298825121486129319e+01,6.416858661331411895e+01
3.089575461213602825e+00,6.296614855317319126e+01,6.194557849771830149e+01
3.111802622805067475e+00,6.294410014113026364e+01,6.412756719267584060e+01
3.134029784396532126e+00,6.292210577924863912e+01,6.321953057163256062e+01
3.156256945987997220e+00,6.290016526902124383e+01,6.409432870887398792e+01
3.178484107579461870e+00,6.287827841291191078e+01,6.393074825802437289e+01
3.200711269170926521e+00,6.285644501434939002e+01,6.232340950078227593e+01
3.222938430762391615e+00,6.283466487772153641e+01,6.287267449841676381e+01
3.245165592353856265e+00,6.281293780836936946e+01,6.251817425202678891e+01
3.267392753945320916e+00,6.279126361258137479e+01,6.316432769153258420e+01
3.289619915536785566e+00,6.276964209758764923e+01,6.442289678759262017e+01
3.311847077128250660e+00,6.274807307155428049e+01,6.280251613087492046e+01
3.334074238719715311e+00,6.272655634357761301e+01,6.206257921660630927e+01
3.356301400311179961e+00,6.270509172367863471e+01,6.523877672837743091e+01
3.378528561902644611e+00,6.268367902279736370e+01,6.168952925423142375e+01
3.400755723494109706e+00,6.266231805278733447e+01,6.266307261255771266e+01
3.422982885085574356e+00,6.264100862641008405e+01,6.262625750175140382e+01
3.445210046677039006e+00,6.261975055732963824e+01,6.134941414073968957e+01
