Lt,C,C_noisy
1.000000000000000021e-02,9.518693219669903741e-03,-2.898259674240624001e-02
2.111135807957324056e-02,2.003305150510737570e-02,-4.034285310713268957e-02
3.222271615914647919e-02,3.048283833113281382e-02,5.357210126272847484e-02
4.333407423871971781e-02,4.086897010546181042e-02,7.212460823252994646e-02
5.444543231829295643e-02,5.119234272659019258e-02,7.778269015270727893e-02
6.555679039786618811e-02,6.145383206827278316e-02,5.286198216051350707e-02
7.666814847743942674e-02,7.165429444822174476e-02,7.019652801984388457e-02
8.777950655701266536e-02,8.179456708160558198e-02,7.596362785435500919e-02
9.889086463658590398e-02,9.187546851986619356e-02,1.192403221256172208e-01
1.100022227161591426e-01,1.018977990753577312e-01,1.193371460518918015e-01
1.211135807957323812e-01,1.118623412323108968e-01,1.130298956284517126e-01
1.322249388753056198e-01,1.217698600445789731e-01,1.359323326108355656e-01
1.433362969548788723e-01,1.316211035206238944e-01,1.588272242001742829e-01
1.544476550344521248e-01,1.414168029961684336e-01,1.489073040506016521e-01
1.655590131140253496e-01,1.511576734949458545e-01,1.294473376020982835e-01
1.766703711935985743e-01,1.608444140779285436e-01,1.593485157890258963e-01
1.877817292731718268e-01,1.704777081814344841e-01,1.619445771774702114e-01
1.988930873527450793e-01,1.800582239444742105e-01,1.482212781721504447e-01
2.100044454323183041e-01,1.895866145257023572e-01,1.486694853241284364e-01
2.211158035118915288e-01,1.990635184103113908e-01,2.020377696303092274e-01
2.322271615914647813e-01,2.084895597071992346e-01,1.875819172624210718e-01
2.433385196710380338e-01,2.178653484367297777e-01,2.261517784508385587e-01
2.544498777506112308e-01,2.271914808093932758e-01,2.111871842091834484e-01
2.655612358301844833e-01,2.364685394956690390e-01,2.525290967891635208e-01
2.766725939097577358e-01,2.456970938873606625e-01,2.633985947158963836e-01
2.877839519893309883e-01,2.548777003506945693e-01,2.625229426343606565e-01
2.988953100689042408e-01,2.640109024714428765e-01,2.400256206104602053e-01
3.100066681484774378e-01,2.730972312923234391e-01,2.322721761107674754e-01
3.211180262280506903e-01,2.821372055429341441e-01,3.249744347028667435e-01
3.322293843076239428e-01,2.911313318624490498e-01,2.900622398166601834e-01
3.433407423871971398e-01,3.000801050153271143e-01,3.410654316318037504e-01
3.544521004667703923e-01,3.089840081002374617e-01,3.042319591703099846e-01
3.655634585463436448e-01,3.178435127524359416e-01,2.942612259817780629e-01
3.766748166259168973e-01,3.266590793397966541e-01,3.267354478895436731e-01
3.877861747054901498e-01,3.354311571527033298e-01,3.107644138110282062e-01
3.988975327850633468e-01,3.441601845880017940e-01,3.450991175619168572e-01
4.100088908646365993e-01,3.528465893272068055e-01,3.857644767518313422e-01
4.211202489442098518e-01,3.614907885091467321e-01,3.795163067869041784e-01
4.322316070237830488e-01,3.700931888972378569e-01,4.321125799209917240e-01
4.433429651033563013e-01,3.786541870415554567e-01,3.860711484323302578e-01
4.544543231829295538e-01,3.871741694358816210e-01,3.941401320608527992e-01
4.655656812625028063e-01,3.956535126699013416e-01,3.775978197158234018e-01
4.766770393420760588e-01,4.040925835767051888e-01,3.854993267017670089e-01
4.877883974216492557e-01,4.124917393757626671e-01,4.180225395006465505e-01
4.988997555012225082e-01,4.208513278115318945e-01,4.030952231252809548e-01
5.100111135807957607e-01,4.291716872878442723e-01,4.229059063930394879e-01
5.211224716603689577e-01,4.374531469982354537e-01,4.313690853531653158e-01
5.322338297399422657e-01,4.456960270523558920e-01,4.225883604199687782e-01
5.433451878195154627e-01,4.539006385986161241e-01,5.007067783800202010e-01
5.544565458990886597e-01,4.620672839432071743e-01,4.232648527588778742e-01
5.655679039786619677e-01,4.701962566656436859e-01,4.733200607977790519e-01
5.766792620582351647e-01,4.782878417309612828e-01,4.982938532509718077e-01
5.877906201378084727e-01,4.863423155987152136e-01,5.090934027134486062e-01
5.989019782173816697e-01,4.943599463289115592e-01,4.860648271255317843e-01
6.100133362969548667e-01,5.023409936850116164e-01,4.817035273128937867e-01
6.211246943765281747e-01,5.102857092341375189e-01,5.598461139776369500e-01
6.322360524561013717e-01,5.181943364446197631e-01,5.626492424270930215e-01
6.433474105356745687e-01,5.260671107810152014e-01,5.296686357581635862e-01
6.544587686152478767e-01,5.339042597967278425e-01,5.349364933059777005e-01
6.655701266948210737e-01,5.417060032243643519e-01,5.443521181134594045e-01
6.766814847743942707e-01,5.494725530639588129e-01,5.272254028931717684e-01
6.877928428539675787e-01,5.572041136691936458e-01,5.568887357761845847e-01
6.989042009335407757e-01,5.649008818317460268e-01,5.876776015543125897e-01
7.100155590131140837e-01,5.725630468639011372e-01,5.882209925633454795e-01
7.211269170926872807e-01,5.801907906795502612e-01,5.614865794659342768e-01
7.322382751722604777e-01,5.877842878737169485e-01,6.041136874726209527e-01
7.433496332518337857e-01,5.953437058007355898e-01,5.789133455758916913e-01
7.544609913314069827e-01,6.028692046512182934e-01,5.700383016561403338e-01
7.655723494109802907e-01,6.103609375279470672e-01,6.182266033974389563e-01
7.766837074905534877e-01,6.178190505208163152e-01,6.315566368575299405e-01
7.877950655701266847e-01,6.252436827809700892e-01,6.558216752723726728e-01
7.989064236496999927e-01,6.326349665942646583e-01,6.158375872235976045e-01
8.100177817292731897e-01,6.399930274541958397e-01,6.621192902225158106e-01
8.211291398088463867e-01,6.473179841344245400e-01,6.590278644962529464e-01
8.322404978884196947e-01,6.546099487610467227e-01,6.603623157829899837e-01
8.433518559679928916e-01,6.618690268847393643e-01,6.537048008771724206e-01
8.544632140475660886e-01,6.690953175529308350e-01,6.645190599389492192e-01
8.655745721271393966e-01,6.762889133821312626e-01,6.869648342448392286e-01
8.766859302067125936e-01,6.834499006305700952e-01,6.907069487247057271e-01
8.877972882862859016e-01,6.905783592712828600e-01,6.664000761906168080e-01
8.989086463658590986e-01,6.976743630657942230e-01,6.858935180116434438e-01
9.100200044454322956e-01,7.047379796385380146e-01,7.031179608907131007e-01
9.211313625250056036e-01,7.117692705521672103e-01,7.319639429991544599e-01
9.322427206045788006e-01,7.187682913838946419e-01,7.285172127758813287e-01
9.433540786841521086e-01,7.257350918030188724e-01,7.252028365296637746e-01
9.544654367637253056e-01,7.326697156497743446e-01,7.276148653545521094e-01
9.655767948432985026e-01,7.395722010156640103e-01,7.722137526952903563e-01
9.766881529228718106e-01,7.464425803254123304e-01,7.371003306044227044e-01
9.877995110024450076e-01,7.532808804206964082e-01,7.374358534190142977e-01
9.989108690820182046e-01,7.600871226457935892e-01,7.508922410465147523e-01
1.010022227161591513e+00,7.668613229352984062e-01,7.742237188676247550e-01
1.021133585241164710e+00,7.736034919040506441e-01,7.737240629205510700e-01
1.032244943320737907e+00,7.803136349394207416e-01,7.691475324455394613e-01
1.043356301400311104e+00,7.869917522960949707e-01,7.774082755518993970e-01
1.054467659479884523e+00,7.936378391934975074e-01,8.046421498631683988e-01
1.065579017559457720e+00,8.002518859159911679e-01,8.101704797554447612e-01
1.076690375639030917e+00,8.068338779159875962e-01,8.135155436857909317e-01
1.087801733718604114e+00,8.133837959201031254e-01,7.942718759505577042e-01
1.098913091798177311e+00,8.199016160384812180e-01,8.202060205927641512e-01
1.110024449877750730e+00,8.263873098774102699e-01,8.514520694556895197e-01
1.121135807957323927e+00,8.328408446553502431e-01,8.181228318972958435e-01
1.132247166036897124e+00,8.392621833224845895e-01,8.741943087670673851e-01
1.143358524116470321e+00,8.456512846838993847e-01,8.506133449758600529e-01
1.154469882196043518e+00,8.520081035264934766e-01,8.718180890033034869e-01
