pH,Temp,A,A_noisy
8.581889731814282385e+00,2.812650520459430936e+02,1.641271524198591791e+01,1.766716349503444405e+01
5.510514177779453071e+00,2.944027651098331262e+02,3.392132986087381852e+01,3.469823187875990556e+01
3.969576790893018625e+00,3.144527075336426947e+02,8.367006788797029415e+00,9.331887918937946225e+00
5.588732172913021046e+00,3.030119063565638271e+02,2.899502658026097990e+01,2.791284819128074091e+01
1.044969492300506886e+01,3.086755989577828245e+02,8.567669861883276283e+00,9.434687219997915264e+00
9.317338506126326081e+00,3.192885305211281093e+02,1.945113688799905205e+01,1.928297612886249368e+01
3.080152991682534314e+00,3.173804519421143482e+02,8.041257699561640493e+00,7.851596720435675358e+00
4.591465737491801313e+00,3.168142493279723908e+02,9.355953402449165068e+00,1.047651985805636876e+01
5.344909547489890222e+00,2.973004510082984098e+02,2.514642199820674406e+01,2.470964293447121207e+01
1.054732569304041334e+01,2.787742586981357817e+02,8.085591169391140198e+00,6.805945806925263852e+00
6.227496442010207467e+00,3.146197309757054086e+02,4.622458741095243795e+01,4.575508763668914014e+01
4.454528772544554371e+00,3.093628374334438718e+02,9.425137738642691332e+00,8.228310576278383692e+00
9.883103298756093835e+00,3.161286654481436358e+02,1.094743174692468912e+01,9.107574604527348683e+00
1.025656117500289888e+01,2.879535993759303096e+02,8.289240317432234662e+00,8.143683347578409837e+00
5.413983803485404422e+00,2.908449844665389037e+02,3.351044458878745758e+01,3.390872356199585624e+01
5.841584833911855235e+00,2.997984891240806746e+02,4.334181066862287679e+01,4.117974939386395761e+01
9.028419009327141254e+00,2.869903483216174322e+02,1.242593989230509699e+01,1.244041719866052098e+01
5.146736906203103423e+00,2.898458266616705146e+02,2.459700896374497248e+01,2.485220707945601148e+01
9.315379229449565202e+00,3.067468063616512381e+02,1.457282991038159103e+01,1.474602095111244893e+01
6.606719154766560465e+00,2.787924120322186923e+02,8.442848806056967703e+01,8.315839454015961962e+01
8.176538496742978168e+00,3.168571301163296994e+02,6.617756026115344525e+01,6.586659893311163216e+01
1.016128412998413388e+01,3.030678568777399846e+02,8.824283473259292521e+00,8.638067808542171377e+00
3.234540907598371540e+00,2.979096751724320598e+02,8.158378563235407555e+00,8.591354646920395410e+00
5.759305940489107378e+00,3.049468800968609230e+02,3.406388178254886157e+01,3.277653045754168915e+01
9.163017904438202521e+00,2.805252635634072931e+02,1.025782152371726319e+01,1.064123429243194252e+01
7.809655227481427708e+00,3.160965845466743076e+02,7.926810998806267605e+01,8.025999002136558147e+01
3.890468593989941049e+00,3.078910305050295619e+02,8.423576854158932647e+00,6.135931466699020120e+00
1.012130666849891902e+01,2.819084680374764957e+02,8.276021287580274333e+00,8.499960415254648183e+00
1.076055318722114862e+01,3.004043028279576220e+02,8.181364924930836224e+00,6.654751513727600987e+00
3.110540053286599438e+00,2.988395507779024456e+02,8.113261803859996846e+00,7.942794875627297913e+00
6.485440660245371802e+00,2.793418922929367341e+02,8.455242242561264732e+01,8.387227405846586237e+01
5.790728178184382458e+00,3.153393531133357328e+02,2.658907003324388540e+01,2.786270509998079348e+01
1.019955889065548149e+01,2.814755777804759305e+02,8.224656574432954059e+00,8.281765258504766081e+00
3.331959084167437801e+00,2.897966763923042777e+02,8.311009142798253535e+00,9.106297834741502228e+00
9.840254802102535336e+00,3.111392381235842777e+02,1.055904403429796368e+01,9.512265108763937604e+00
4.787742154190531174e+00,3.059756541935600467e+02,1.155917585647176260e+01,1.201970312718030343e+01
3.715081413545612499e+00,3.157929881190419223e+02,8.191784261946535750e+00,9.614156997565682872e+00
6.716579077881479343e+00,3.119203907633771564e+02,7.253921825242946397e+01,7.183196133299566100e+01
5.352997403650199715e+00,2.962718937904866721e+02,2.621068458717833849e+01,2.687655835504859425e+01
7.475994574006072035e+00,2.942246352337762119e+02,7.424758607245118469e+01,7.472895577588610649e+01
3.043856171370895147e+00,2.841576089205231028e+02,8.222948122062327059e+00,8.158274147325800030e+00
1.095743682032317246e+01,3.011564723344475283e+02,8.120038125776149585e+00,6.868544702766323340e+00
6.224770290333218270e+00,3.119602260302328887e+02,4.897667501851088900e+01,4.925977699467102155e+01
8.178402291475165953e+00,3.070601628327023604e+02,5.563795709057242789e+01,5.536766908372655394e+01
5.491418705227383512e+00,3.227963627053680966e+02,1.556287862670139610e+01,1.616489833232701301e+01
9.342801525988763345e+00,3.127413967667002908e+02,1.618444373294625294e+01,1.696332616200933074e+01
9.715375414254271647e+00,2.844773195276642923e+02,8.815441316833055652e+00,1.034998141015012507e+01
1.060282647228901709e+01,2.923234600331722959e+02,8.167506104378496445e+00,7.330949439998124539e+00
7.980081659392695315e+00,2.828017581276963028e+02,3.629868032274091405e+01,3.716372218212962508e+01
4.420450857047997673e+00,2.786690555199991195e+02,1.486365406624386409e+01,1.556447429281860373e+01
4.122262259109705340e+00,3.026916992379557314e+02,8.939356582644951033e+00,9.014779802281276844e+00
3.449533713243818411e+00,3.100757383806432017e+02,8.137893803518815972e+00,8.749686415229303904e+00
8.168273054378357045e+00,2.842724857081882988e+02,2.999363671028577727e+01,3.012532973066007713e+01
1.035742340069174006e+01,3.213351151982973875e+02,9.287797211954226029e+00,9.959102868477934578e+00
3.162587073823777573e+00,2.868508870171543208e+02,8.249891935465200277e+00,8.641892364316628772e+00
6.556340591152922670e+00,2.962005098949684907e+02,7.903334907583544577e+01,7.847072605448840932e+01
