eta,kon,kon_noisy
1.000000000000000000e+00,7.193013166327700825e-01,7.173419674231339416e-01
1.001024122674660122e+00,7.189342797689590725e-01,7.191838817765757730e-01
1.002049294176572847e+00,7.185673759514817904e-01,7.177414251230598286e-01
1.003075515579866295e+00,7.182006052806010343e-01,7.173607583298486912e-01
1.004102787959768150e+00,7.178339678563165904e-01,7.181470472438753472e-01
1.005131112392606996e+00,7.174674637783652331e-01,7.163389083717297545e-01
1.006160489955814752e+00,7.171010931462190596e-01,7.185857070091767884e-01
1.007190921727925570e+00,7.167348560590880435e-01,7.164903917584092286e-01
1.008222408788578939e+00,7.163687526159175922e-01,7.192091010404645379e-01
1.009254952218519685e+00,7.160027829153901013e-01,7.127176221591537963e-01
1.010288553099599751e+00,7.156369470559249546e-01,7.138336471102491032e-01
1.011323212514778636e+00,7.152712451356770806e-01,7.109908299016033384e-01
1.012358931548124952e+00,7.149056772525391734e-01,7.065558706756095431e-01
1.013395711284818201e+00,7.145402435041391387e-01,7.033777466055479710e-01
1.014433552811148331e+00,7.141749439878429806e-01,7.144755423164971253e-01
1.015472457214518176e+00,7.138097788007524702e-01,7.096572341962773534e-01
1.016512425583444346e+00,7.134447480397059227e-01,7.096690629190434141e-01
1.017553459007558114e+00,7.130798518012784193e-01,7.101762812300569383e-01
1.018595558577606530e+00,7.127150901817819184e-01,7.148037082628758698e-01
1.019638725385453970e+00,7.123504632772648115e-01,7.151895061287317779e-01
1.020682960524082805e+00,7.119859711835124783e-01,7.154160563133350470e-01
1.021728265087594512e+00,7.116216139960466203e-01,7.162455966717985456e-01
1.022774640171211891e+00,7.112573918101258164e-01,7.261699974589479467e-01
1.023822086871278625e+00,7.108933047207456335e-01,7.123669000699220932e-01
1.024870606285261276e+00,7.105293528226379607e-01,7.113011887705259495e-01
1.025920199511750619e+00,7.101655362102720082e-01,6.992545282832069997e-01
1.026970867650462527e+00,7.098018549778534192e-01,7.013815517996484505e-01
1.028022611802238639e+00,7.094383092193246032e-01,7.204030636363043527e-01
1.029075433069048584e+00,7.090748990283654019e-01,7.228038307462498757e-01
1.030129332553990418e+00,7.087116244983919788e-01,7.109433518842904753e-01
1.031184311361291295e+00,7.083484857225577080e-01,7.079470762325630329e-01
1.032240370596310131e+00,7.079854827937527295e-01,7.107709270422009062e-01
1.033297511365537380e+00,7.076226158046046155e-01,6.974462169888534513e-01
1.034355734776596814e+00,7.072598848474771493e-01,7.046068490832250175e-01
1.035415041938246183e+00,7.068972900144719906e-01,7.048701964095864803e-01
1.036475433960379222e+00,7.065348313974273431e-01,7.152123278032063158e-01
1.037536911954026309e+00,7.061725090879188427e-01,7.012163073506463284e-01
1.038599477031355134e+00,7.058103231772590025e-01,7.076254271154320818e-01
1.039663130305673144e+00,7.054482737564977679e-01,7.090687854208108654e-01
1.040727872891427319e+00,7.050863609164220724e-01,7.104879376667425639e-01
1.041793705904206169e+00,7.047245847475562819e-01,7.025794365471993430e-01
1.042860630460740845e+00,7.043629453401619722e-01,7.009275981554888846e-01
1.043928647678906030e+00,7.040014427842379297e-01,6.931176724807478484e-01
1.044997758677721267e+00,7.036400771695205947e-01,7.093780151107857979e-01
1.046067964577352072e+00,7.032788485854837290e-01,7.091898486281436043e-01
1.047139266499111265e+00,7.029177571213381936e-01,7.004680983900389846e-01
1.048211665565460082e+00,7.025568028660329478e-01,7.037124659363998003e-01
1.049285162900008839e+00,7.021959859082541611e-01,6.952156840990317832e-01
1.050359759627519152e+00,7.018353063364253241e-01,7.007889693892088712e-01
1.051435456873904162e+00,7.014747642387081372e-01,7.051126137615517653e-01
1.052512255766230309e+00,7.011143597030016217e-01,6.986973556646145500e-01
1.053590157432718222e+00,7.007540928169424532e-01,7.010695274058348359e-01
1.054669163002743826e+00,7.003939636679052949e-01,7.058938427099151758e-01
1.055749273606839678e+00,7.000339723430026861e-01,7.030361484934138927e-01
1.056830490376696297e+00,6.996741189290847096e-01,6.966099629545348115e-01
1.057912814445163274e+00,6.993144035127394353e-01,7.073880957636506928e-01
1.058996246946250164e+00,6.989548261802933649e-01,7.078278507032871314e-01
1.060080789015127589e+00,6.985953870178104319e-01,7.036127740724703594e-01
1.061166441788129688e+00,6.982360861110927797e-01,7.012394315302403758e-01
1.062253206402753225e+00,6.978769235456813158e-01,7.014557653557430550e-01
1.063341083997660697e+00,6.975178994068541583e-01,7.019271479012119119e-01
1.064430075712680335e+00,6.971590137796284115e-01,6.908456527395789859e-01
1.065520182688807882e+00,6.968002667487590562e-01,7.021979624817047405e-01
1.066611406068207479e+00,6.964416583987397269e-01,6.922392689565330937e-01
1.067703746994212999e+00,6.960831888138022672e-01,6.970835420627160550e-01
1.068797206611329376e+00,6.957248580779170632e-01,6.952304585597297582e-01
1.069891786065233497e+00,6.953666662747931548e-01,6.977402700042844019e-01
1.070987486502775310e+00,6.950086134878780131e-01,7.038016161007947247e-01
1.072084309071980046e+00,6.946506998003578737e-01,6.973150542940247387e-01
1.073182254922047996e+00,6.942929252951577368e-01,6.937000737900443914e-01
1.074281325203356507e+00,6.939352900549411451e-01,6.972830786724067975e-01
1.075381521067461321e+00,6.935777941621108500e-01,6.941572261994570781e-01
1.076482843667096789e+00,6.932204376988084782e-01,6.849516377569641046e-01
1.077585294156178986e+00,6.928632207469143101e-01,6.838074858322386040e-01
1.078688873689804595e+00,6.925061433880481676e-01,6.898393483719009733e-01
1.079793583424253800e+00,6.921492057035686374e-01,7.021038041978570066e-01
1.080899424516991170e+00,6.917924077745735145e-01,6.903874276933593679e-01
1.082006398126666102e+00,6.914357496819001359e-01,6.947129358805248511e-01
1.083114505413114825e+00,6.910792315061250468e-01,6.974660299073035530e-01
1.084223747537361726e+00,6.907228533275641125e-01,6.840712198681561107e-01
1.085334125661619575e+00,6.903666152262728506e-01,6.971057394844691890e-01
1.086445640949292191e+00,6.900105172820460986e-01,6.942654394892828762e-01
1.087558294564973993e+00,6.896545595744184576e-01,6.923277821213701388e-01
1.088672087674452449e+00,6.892987421826645145e-01,6.940924412557827328e-01
1.089787021444709625e+00,6.889430651857981758e-01,6.785871065610337149e-01
1.090903097043921299e+00,6.885875286625734448e-01,6.893879498356805247e-01
1.092020315641460959e+00,6.882321326914844217e-01,6.804158587844892914e-01
1.093138678407898912e+00,6.878768773507648593e-01,6.895243176799384921e-01
1.094258186515004283e+00,6.875217627183890512e-01,6.865691252966187319e-01
1.095378841135746795e+00,6.871667888720710549e-01,6.849283492341621260e-01
1.096500643444296763e+00,6.868119558892656906e-01,6.896498679811707833e-01
