t,E,dE_dt,dE_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,3.046598322460391736e-02,4.621239465628522447e-02
1.333629695487886270e-02,5.040726067134852079e-02,3.061005060889318910e-02,3.804288447592137773e-02
2.667259390975772540e-02,5.081646313489336653e-02,3.075718942952024998e-02,2.105830125394367314e-02
4.000889086463658983e-02,5.122764858674837274e-02,3.090743990455729548e-02,2.878739541093052606e-02
5.334518781951545080e-02,5.164085876885483178e-02,3.106084330635700691e-02,2.819354411634487911e-02
6.668148477439431177e-02,5.205613601389326439e-02,3.121744199331107084e-02,5.484163119544847864e-02
8.001778172927317967e-02,5.247352324528340578e-02,3.137727942582960172e-02,2.194502452974321158e-02
9.335407868415203370e-02,5.289306397718425423e-02,3.154040018229287146e-02,4.529834877944937527e-02
1.066903756390309016e-01,5.331480231449402252e-02,3.170684997496966973e-02,3.293864918123479840e-02
1.200266725939097695e-01,5.373878295285018647e-02,3.187667566589613699e-02,4.209521376884856059e-02
1.333629695487886235e-01,5.416505137457158087e-02,3.204992536292193550e-02,3.202214414658958314e-02
1.466992665036674914e-01,5.459365419959739257e-02,3.222664858699852974e-02,3.615434963352340964e-02
1.600355634585463593e-01,5.502463765394914608e-02,3.240689565901259256e-02,3.731845630614051557e-02
1.733718604134252272e-01,5.545804865329079930e-02,3.259071814916496973e-02,3.368610509007217979e-02
1.867081573683040674e-01,5.589393495066791867e-02,3.277816895942081005e-02,3.929076194407219585e-02
2.000444543231829353e-01,5.633234513650765829e-02,3.296930234629164014e-02,3.646560596248926006e-02
2.133807512780618032e-01,5.677332863861880852e-02,3.316417394355247045e-02,4.549236436119538651e-02
2.267170482329406711e-01,5.721693572219173352e-02,3.336284078488413463e-02,5.143726518281110938e-02
2.400533451878195390e-01,5.766321748979842676e-02,3.356536132643153647e-02,3.268206290089677168e-02
2.533896421426983792e-01,5.811222588139247636e-02,3.377179546926663278e-02,3.189949879314127323e-02
2.667259390975772471e-01,5.856401367430908583e-02,3.398220458174512626e-02,3.808911947988785629e-02
2.800622360524561150e-01,5.901863448326506029e-02,3.419665152174430206e-02,1.762166239567971790e-02
2.933985330073349829e-01,5.947614276035880637e-02,3.441520065876872703e-02,3.749710112225892317e-02
3.067348299622138508e-01,5.993659379507033924e-02,3.463791789591016967e-02,2.939556096417302034e-02
3.200711269170927187e-01,6.040004371426129642e-02,3.486487069164610070e-02,2.663551329720863226e-02
3.334074238719715866e-01,6.086654948217488925e-02,3.509612808146135576e-02,1.930862666384841955e-02
3.467437208268504545e-01,6.133616890043596531e-02,3.533176069927550234e-02,3.308568495981698693e-02
3.600800177817292669e-01,6.180896060805096681e-02,3.557184079865808451e-02,4.067069569303493476e-02
3.734163147366081348e-01,6.228498408140794446e-02,3.581644227381250434e-02,3.053340304871903638e-02
3.867526116914870027e-01,6.276429965976608460e-02,3.606564069363757397e-02,2.696741786954520020e-02
4.000889086463658706e-01,6.324696978244893908e-02,3.631951397745233207e-02,3.069406242799670517e-02
4.134252056012447385e-01,6.373305748994037567e-02,3.657814165153470964e-02,3.506428800597542056e-02
4.267615025561236064e-01,6.422262639000071716e-02,3.684160484356364257e-02,2.525305037779884687e-02
4.400977995110024743e-01,6.471574133489296776e-02,3.710998666463487944e-02,3.176877695342975039e-02
4.534340964658813422e-01,6.521246842138277156e-02,3.738337224093515876e-02,2.662911787092751489e-02
4.667703934207602101e-01,6.571287499073835692e-02,3.766184874508467229e-02,3.640068704327129034e-02
4.801066903756390780e-01,6.621702962873063369e-02,3.794550542711828955e-02,5.539147335398170863e-02
4.934429873305179459e-01,6.672500216563310993e-02,3.823443364507415898e-02,3.988866297972800540e-02
5.067792842853967583e-01,6.723686367622197513e-02,3.852872689515719762e-02,5.844677058463480790e-02
5.201155812402756817e-01,6.775268647977600311e-02,3.882848084144176898e-02,3.189711806311673614e-02
5.334518781951544941e-01,6.827254414007663530e-02,3.913379334507711277e-02,2.777308453917656100e-02
5.467881751500334175e-01,6.879651146540793905e-02,3.944476449295603038e-02,3.660523726841630882e-02
5.601244721049122299e-01,6.932466450855657991e-02,3.976149662580533845e-02,4.061324134973787192e-02
5.734607690597910423e-01,6.985708056681191880e-02,4.008409436565492368e-02,4.382531855668130721e-02
5.867970660146699657e-01,7.039383836950335871e-02,4.041266475802161168e-02,4.427824207182132210e-02
6.001333629695487781e-01,7.093501885562059073e-02,4.074731778713366892e-02,3.758714045551955762e-02
6.134696599244277015e-01,7.148070360705323367e-02,4.108816544791603353e-02,4.994651694424225019e-02
6.268059568793065139e-01,7.203097572817600269e-02,4.143532230943460654e-02,4.054270414805949407e-02
6.401422538341854374e-01,7.258592002942558519e-02,4.178890566483442481e-02,4.878982995412715906e-02
6.534785507890642497e-01,7.314562302730068244e-02,4.214903556860986888e-02,4.663543016380709838e-02
6.668148477439431732e-01,7.371017294436198186e-02,4.251583487294386537e-02,4.503297388207443130e-02
6.801511446988219856e-01,7.427965970923214312e-02,4.288942926304768755e-02,4.510044914571271352e-02
6.934874416537009090e-01,7.485417495659585363e-02,4.326994729142945306e-02,3.604231859784445130e-02
7.068237386085797214e-01,7.543381202719974532e-02,4.365752041101498421e-02,4.906779313259407305e-02
7.201600355634585338e-01,7.601866596785249175e-02,4.405228300704149696e-02,4.986131852334359932e-02
7.334963325183374572e-01,7.660883353142472485e-02,4.445437242763979752e-02,3.963808721683480252e-02
7.468326294732162696e-01,7.720441317684907656e-02,4.486392901301708425e-02,7.029336056917651065e-02
7.601689264280951930e-01,7.780550519058559988e-02,4.528109620783188349e-02,4.693215234500386357e-02
7.735052233829740054e-01,7.841221250147016597e-02,4.570602116445543484e-02,3.286556891806619030e-02
7.868415203378529288e-01,7.902463932501091470e-02,4.613885383477709518e-02,3.042611898305051799e-02
8.001778172927317412e-01,7.964289188901961525e-02,4.657974749929139069e-02,3.808580640815519003e-02
8.135141142476106646e-01,8.026707866249196965e-02,4.702885896303653224e-02,2.512176866423534646e-02
8.268504112024894770e-01,8.089731035560759898e-02,4.748634859143738285e-02,5.154007525374981052e-02
8.401867081573684004e-01,8.153369991973005715e-02,4.795238034403961208e-02,3.731469514553124867e-02
8.535230051122472128e-01,8.217636254740678936e-02,4.842712180599748756e-02,5.230295312245003547e-02
8.668593020671260252e-01,8.282541567236917368e-02,4.891074421717166165e-02,3.515875287795044990e-02
8.801955990220049486e-01,8.348097896953250718e-02,4.940342249868567848e-02,5.163747045449773587e-02
8.935318959768837610e-01,8.414317435499599207e-02,4.990533527678353565e-02,6.067271717291340682e-02
9.068681929317626844e-01,8.481212598604277730e-02,5.041666490382309268e-02,5.627037432760882002e-02
9.202044898866414968e-01,8.548796072623601749e-02,5.093759783622049675e-02,3.353356729279448334e-02
9.335407868415204202e-01,8.617080821342704144e-02,5.146832471721334012e-02,5.208255414523046967e-02
9.468770837963992326e-01,8.686079990814511709e-02,5.200903965654965488e-02,4.827069561016834875e-02
9.602133807512781560e-01,8.755807010938272683e-02,5.255994103058322930e-02,6.432356020159769872e-02
9.735496777061569684e-01,8.826275598028981983e-02,5.312123152593463404e-02,5.730877307874389370e-02
9.868859746610358918e-01,8.897499754817388140e-02,5.369311815938886123e-02,7.262112567383652295e-02
1.000222271615914593e+00,8.969493770449987746e-02,5.427581229351128439e-02,5.636347307682544605e-02
1.013558568570793517e+00,9.042272220489029622e-02,5.486952964773005731e-02,4.442439628859459755e-02
1.026894865525672440e+00,9.115849966912512037e-02,5.547449030462243968e-02,4.682819030440668606e-02
1.040231162480551363e+00,9.190242158114181326e-02,5.609091871113190686e-02,6.844209311089421988e-02
1.053567459435430065e+00,9.265464228903537436e-02,5.671904367443178496e-02,4.728131247120062608e-02
1.066903756390308988e+00,9.341531903296572403e-02,5.735909837571061265e-02,5.930406755452458795e-02
1.080240053345187912e+00,9.418461283187599953e-02,5.801132110992530955e-02,7.985324929829112905e-02
1.093576350300066835e+00,9.496268744557387342e-02,5.867595440305074794e-02,5.905503019053767733e-02
1.106912647254945536e+00,9.574970971233294492e-02,5.935324527102829595e-02,5.093726441529509985e-02
1.120248944209824460e+00,9.654585001573626202e-02,6.004344559708777590e-02,6.915280833990958276e-02
1.133585241164703383e+00,9.735128228467616884e-02,6.074681211029157174e-02,6.501818609103582336e-02
1.146921538119582085e+00,9.816618399335443057e-02,6.146360635621865576e-02,5.000296986140852218e-02
1.160257835074461008e+00,9.899073616128220565e-02,6.219409465937142389e-02,7.034605854142211845e-02
1.173594132029339931e+00,9.982512335328003195e-02,6.293854807687419839e-02,6.530611421871744537e-02
1.186930428984218855e+00,1.006695336794778128e-01,6.369724234301879506e-02,7.120359173089588212e-02
1.200266725939097556e+00,1.015241587953148311e-01,6.447045780419528860e-02,5.842474733607871257e-02
1.213603022893976480e+00,1.023891941267905115e-01,6.525847954963000241e-02,7.707879224513368432e-02
1.226939319848855403e+00,1.032648393199587095e-01,6.606159774627241854e-02,6.143877376131860052e-02
1.240275616803734327e+00,1.041512973565046352e-01,6.688010674335202743e-02,7.974917894624586334e-02
1.253611913758613028e+00,1.050487753296402427e-01,6.771430568081890367e-02,5.704883526203416433e-02
1.266948210713491951e+00,1.059574845122225883e-01,6.856449844975143204e-02,7.202652297936487646e-02
1.280284507668370875e+00,1.068776403567536365e-01,6.943099357788795611e-02,7.326096380727820101e-02
1.293620804623249576e+00,1.078094624953804120e-01,7.031410410151625601e-02,5.783596611379689806e-02
1.306957101578128499e+00,1.087531747398949866e-01,7.121414742309647994e-02,5.254147918592225186e-02
1.320293398533007423e+00,1.097090050817344370e-01,7.213144515398116352e-02,6.548935207597682273e-02
1.333629695487886346e+00,1.106771856919820940e-01,7.306632294158151020e-02,6.548145601645706526e-02
1.346965992442765048e+00,1.116579532747254966e-01,7.401911062462102064e-02,6.782657456997433221e-02
1.360302289397643971e+00,1.126515488943345134e-01,7.499014186812781591e-02,7.382411127210750101e-02
1.373638586352522895e+00,1.136582178960768713e-01,7.597975386663749497e-02,9.868749945833313331e-02
1.386974883307401818e+00,1.146782102852942908e-01,7.698828748095001839e-02,7.923794759155916578e-02
1.400311180262280519e+00,1.157117807274024857e-01,7.801608699045679829e-02,9.460828998629773612e-02
1.413647477217159443e+00,1.167591885478911212e-01,7.906349982529031761e-02,8.314757215035437077e-02
1.426983774172038366e+00,1.178206977323238841e-01,8.013087627752964182e-02,9.169367510444056957e-02
1.440320071126917068e+00,1.188965769263383709e-01,8.121856919069064817e-02,8.743057793406085187e-02
1.453656368081795991e+00,1.199870994360648785e-01,8.232693362715579055e-02,8.346995479815962071e-02
1.466992665036674914e+00,1.210925433577707822e-01,8.345632664472101003e-02,8.881927025682449794e-02
1.480328961991553838e+00,1.222131914881163656e-01,8.460710682729295773e-02,1.069172615902819479e-01
1.493665258946432539e+00,1.233493313523798679e-01,8.577963390993270654e-02,6.989683871860168096e-02
1.507001555901311463e+00,1.245012553210564227e-01,8.697426847101358272e-02,8.997496199733361066e-02
1.520337852856190386e+00,1.256692606098579468e-01,8.819137147964306589e-02,9.497373225350112802e-02
1.533674149811069309e+00,1.268536492797131543e-01,8.943130381579639243e-02,7.776374635211923125e-02
1.547010446765948011e+00,1.280547282367676398e-01,9.069442576243597065e-02,9.659149532791350135e-02
1.560346743720826934e+00,1.292728092323838229e-01,9.198109646891733382e-02,9.430849744857094930e-02
1.573683040675705858e+00,1.305082087893224274e-01,9.329167330653703738e-02,1.061590190263012462e-01
1.587019337630584559e+00,1.317612480373491213e-01,9.462651109544546746e-02,1.013360130397609610e-01
1.600355634585463482e+00,1.330322529119079278e-01,9.598596168599601852e-02,9.625399714856974764e-02
1.613691931540342406e+00,1.343215539230867561e-01,9.737037305202844717e-02,1.006308598075409538e-01
1.627028228495221329e+00,1.356294861385958506e-01,9.878008857818457167e-02,7.749519110791569521e-02
1.640364525450100031e+00,1.369563891837676239e-01,1.002154463337977808e-01,1.207291657391057343e-01
1.653700822404978954e+00,1.383026072415568797e-01,1.016767783150274024e-01,1.044197099159486497e-01
1.667037119359857877e+00,1.396684890525405065e-01,1.031644096550009826e-01,8.951577372588363779e-02
1.680373416314736801e+00,1.410543876516337225e-01,1.046786575137035047e-01,9.507445045889824364e-02
1.693709713269615502e+00,1.424606599425723430e-01,1.062198297524909463e-01,1.041481979088108301e-01
1.707046010224494426e+00,1.438876671858165812e-01,1.077882245745607481e-01,1.020797622533210769e-01
1.720382307179373349e+00,1.453357742743433545e-01,1.093841288061234152e-01,1.111754354072896356e-01
1.733718604134252050e+00,1.468053496981031047e-01,1.110078168964405421e-01,1.041945984847574141e-01
1.747054901089130974e+00,1.482967655440198262e-01,1.126595499280209356e-01,1.177779941663529700e-01
1.760391198044009897e+00,1.498103974959908435e-01,1.143395745989058132e-01,1.095862375169434355e-01
1.773727494998888821e+00,1.513466248184413276e-01,1.160481221595819901e-01,1.150842683004179995e-01
1.787063791953767522e+00,1.529058292437351363e-01,1.177854061012501702e-01,1.037092516004585740e-01
1.800400088908646445e+00,1.544883955193190328e-01,1.195516216614120886e-01,1.117538306238552298e-01
1.813736385863525369e+00,1.560947108405707495e-01,1.213469440682244244e-01,1.196916330290320324e-01
1.827072682818404292e+00,1.577251641715581021e-01,1.231715266348813315e-01,1.133646195449335980e-01
1.840408979773282994e+00,1.593801462450390727e-01,1.250254995945716541e-01,1.220900869095804253e-01
1.853745276728161917e+00,1.610600495624618655e-01,1.269089689235287643e-01,1.231812844204911717e-01
1.867081573683040840e+00,1.627652683939647682e-01,1.288220151545564074e-01,1.125117861135001424e-01
1.880417870637919542e+00,1.644961979010479414e-01,1.307646911988079030e-01,1.409108066145300098e-01
1.893754167592798465e+00,1.662532332764058984e-01,1.327370201822005991e-01,1.183859867920721010e-01
1.907090464547677389e+00,1.680367704519685756e-01,1.347389950450005869e-01,1.510048573986240983e-01
1.920426761502556312e+00,1.698472043281716859e-01,1.367705753673502389e-01,1.462263910438674208e-01
