c,D,R0,R0_noisy
1.991667861832640796e+01,1.526636779147085221e+01,1.047158960509012804e+00,1.059370435842600822e+00
2.269484385530901704e+00,4.121464969746207352e+00,2.099389548971061448e+00,2.133298464975004194e+00
1.580858019352288757e+00,1.564369263615572159e+01,2.458817045405892188e+00,2.429540576338288904e+00
2.533716489281987094e+01,3.209039296479355485e+00,1.097430509084815986e+00,1.051996852928548609e+00
1.802714838005369558e+01,1.239249640797867613e+01,1.394681453595594034e+00,1.295089543039525726e+00
7.516451675905108765e+00,1.926840886692629340e+01,2.837710818868995677e+00,2.886291967968305894e+00
2.280197588273984977e+01,1.714323831118021957e+01,7.462598422124818720e-01,7.470927072412841818e-01
8.647073726872864796e+00,5.776309654433311458e+00,3.200796488451120414e+00,3.211083055698461752e+00
1.317935938177177313e+01,2.419034043225284591e+00,2.015889131994804906e+00,1.976709388169524129e+00
1.407991022303215800e+01,1.899724462689602333e+01,1.594536679106203669e+00,1.655861580570501701e+00
2.870412279741589145e+01,1.826028350610897633e+01,4.183960935094256928e-01,4.655561223933265547e-01
2.686514840630823997e+01,1.208302201755645022e+01,6.487281678194590784e-01,6.426369737450745578e-01
9.080357740049361581e+00,1.352405683385473401e+00,1.561900298164809131e+00,1.534107125269694949e+00
9.077494635601894402e+00,1.098806585091968202e+01,3.048450495918741066e+00,3.030615926715812147e+00
1.323798767057062165e+01,1.579045336011770218e+01,1.903241373326406860e+00,1.863310096205174293e+00
1.118254024593671847e+00,1.285596351535400572e+01,1.934089328858238144e+00,1.935417536320265253e+00
9.958789264608659764e+00,1.433159900773315165e+01,2.636393800657751196e+00,2.605585414672723754e+00
2.860086647744481780e+01,9.288423528875055624e+00,6.520123900726408905e-01,6.812895160997429755e-01
2.530793856978590384e+01,9.109657346614142170e+00,8.674020162040306792e-01,8.494285874710935103e-01
1.651871945583051726e+01,1.529849855659301028e+01,1.431179312871057929e+00,1.413481459674090113e+00
1.507916783276714057e+01,1.123605209175600805e+01,1.888279045510064202e+00,1.965141695720163728e+00
2.840867372437286775e+01,1.069612310642380848e+01,6.115292065690270951e-01,5.752432304414243358e-01
1.820205143646075285e+01,5.767684886057324434e+00,1.774275960121811879e+00,1.695880165724538591e+00
2.834316963849260063e+01,1.952980187554410207e+01,4.114595614860235284e-01,4.297703211063959028e-01
2.993857058394949178e+01,1.656874486845304695e+00,7.061254193253216904e-01,6.022319937548530344e-01
1.979174975155189697e+00,1.918811011409160372e+01,2.741664230381454903e+00,2.754883162172740985e+00
4.438257460678059374e+00,4.300271536034390607e+00,2.913644407473819697e+00,2.962730414568451653e+00
2.307476630132856599e+01,3.017417071106977211e+00,1.260315360164069531e+00,1.263821111701775246e+00
4.657986600805874566e+00,2.112283831517961286e+00,1.946048122037308259e+00,1.946511875752118481e+00
1.091344279843838372e+01,1.229649011214715060e+01,2.581303378444636643e+00,2.478772910832158782e+00
