t,P,dP_dt,dP_dt_noisy
0.000000000000000000e+00,5.000000000000000000e+00,4.901461890243902531e+01,4.973760026888616181e+01
1.333629695487886270e-02,5.652474551685170212e+00,4.883165555772929167e+01,4.888280812754943128e+01
2.667259390975772540e-02,6.302383886129251600e+00,4.863000426322096814e+01,4.879338065210301068e+01
4.000889086463658983e-02,6.949482088620545284e+00,4.841017713701236147e+01,4.897840833433359364e+01
5.334518781951545080e-02,7.593530358384043666e+00,4.817270427078448591e+01,4.858482623866846950e+01
6.668148477439431177e-02,8.234297044490325845e+00,4.791813188293215120e+01,4.820761013815457119e+01
8.001778172927317967e-02,8.871557777831757363e+00,4.764702046580480044e+01,4.745743517394443245e+01
9.335407868415203370e-02,9.505095784482081811e+00,4.735994286559203204e+01,4.685050609017209666e+01
1.066903756390309016e-01,1.013470193175070300e+01,4.705748250739952709e+01,4.724556695549615881e+01
1.200266725939097695e-01,1.076017505297211763e+01,4.674023150630604562e+01,4.648425175153162314e+01
1.333629695487886235e-01,1.138132195787586554e+01,4.640878896940325404e+01,4.682240640215279370e+01
1.466992665036674914e-01,1.199795743258652081e+01,4.606375935909308339e+01,4.616938658311847377e+01
1.600355634585463593e-01,1.260990424388192288e+01,4.570575091021095915e+01,4.533310373437939234e+01
1.733718604134252272e-01,1.321699333248535879e+01,4.533537397516911938e+01,4.546923660658969624e+01
1.867081573683040674e-01,1.381906392690344987e+01,4.495323945249433706e+01,4.530782968989656467e+01
2.000444543231829353e-01,1.441596332675202774e+01,4.455995749591320987e+01,4.464871755405389564e+01
2.133807512780618032e-01,1.500754688498375522e+01,4.415613616301376965e+01,4.376485161404023216e+01
2.267170482329406711e-01,1.559367800788814939e+01,4.374238010829972723e+01,4.387354460813627810e+01
2.400533451878195390e-01,1.617422815509156919e+01,4.331928933108348900e+01,4.349779018344414538e+01
2.533896421426983792e-01,1.674907683955721183e+01,4.288745797745173149e+01,4.329960166543995115e+01
2.667259390975772471e-01,1.731811151514569858e+01,4.244747329007212500e+01,4.280849050140172807e+01
2.800622360524561150e-01,1.788122726597517342e+01,4.199991479621589008e+01,4.154578603973205730e+01
2.933985330073349829e-01,1.843832703567642639e+01,4.154535310876286758e+01,4.129646743066138725e+01
3.067348299622138508e-01,1.898932113640720942e+01,4.108434939849885836e+01,4.138720596247552663e+01
3.200711269170927187e-01,1.953412720908105626e+01,4.061745455739596622e+01,3.976861525635383998e+01
3.334074238719715866e-01,2.007267022336731088e+01,4.014520837321589397e+01,4.053382277870707640e+01
