t,S,dS_dt,dS_dt_noisy
0.000000000000000000e+00,9.000000000000000000e+02,-1.003604395604395592e+02,-1.028750190601196124e+02
8.890864636585907310e-03,8.991079243701624364e+02,-1.003118802041537805e+02,-9.422242801871500717e+01
1.778172927317181462e-02,8.982162829546879266e+02,-1.002627636909142410e+02,-1.016183607256880919e+02
2.667259390975772193e-02,8.973250806932677506e+02,-1.002130937056232654e+02,-9.656217708576129155e+01
3.556345854634362924e-02,8.964343224891157433e+02,-1.001628739165371087e+02,-1.060094015015193634e+02
4.445432318292953655e-02,8.955440132121565284e+02,-1.001121079762378372e+02,-1.072594424739200747e+02
5.334518781951544386e-02,8.946541577007506021e+02,-1.000607995221550937e+02,-1.001771634321354298e+02
6.223605245610135117e-02,8.937647607616938785e+02,-1.000089521765577842e+02,-1.022479148458713212e+02
7.112691709268725848e-02,8.928758271702179172e+02,-9.995656954654647564e+01,-9.951619383986499656e+01
8.001778172927316579e-02,8.919873616699898093e+02,-9.990365522404582066e+01,-9.727717725901250390e+01
8.890864636585907310e-02,8.910993689731121776e+02,-9.985021278579750970e+01,-9.826931371238748625e+01
9.779951100244498041e-02,8.902118537601232902e+02,-9.979624579335357737e+01,-1.015861124259775039e+02
1.066903756390308877e-01,8.893248206799967193e+02,-9.974175779306980871e+01,-1.043854758272464238e+02
1.155812402756167950e-01,8.884382743501419100e+02,-9.968675231610006904e+01,-1.049508896200407264e+02
1.244721049122027023e-01,8.875522193564036115e+02,-9.963123287839026432e+01,-9.845157320273409596e+01
1.333629695487886235e-01,8.866666602530623322e+02,-9.957520298067315423e+01,-9.098364125125424096e+01
1.422538341853745170e-01,8.857816015628339983e+02,-9.951866610846322203e+01,-9.954815708162192323e+01
1.511446988219604104e-01,8.848970477768700675e+02,-9.946162573205211288e+01,-1.054230405701670747e+02
1.600355634585463316e-01,8.840130033547577568e+02,-9.940408530650412899e+01,-1.002762868194902808e+02
1.689264280951322528e-01,8.831294727245195872e+02,-9.934604827165232166e+01,-9.537638231918219844e+01
1.778172927317181462e-01,8.822464603951350455e+02,-9.928751808664394218e+01,-9.832256583242313752e+01
1.867081573683040396e-01,8.813639709231873667e+02,-9.922849821968215167e+01,-1.054881660252207780e+02
1.955990220048899608e-01,8.804820085979870328e+02,-9.916899205134637896e+01,-9.911246925105086802e+01
2.044898866414758820e-01,8.796005776767565294e+02,-9.910900294681525224e+01,-9.638307918764263604e+01
2.133807512780617754e-01,8.787196823908376473e+02,-9.904853425776963149e+01,-9.485780505462955148e+01
2.222716159146476689e-01,8.778393269456911412e+02,-9.898758932238973784e+01,-1.089897434268828391e+02
2.311624805512335901e-01,8.769595155208969572e+02,-9.892617146535266670e+01,-1.009899502307967367e+02
2.400533451878195113e-01,8.760802522701538919e+02,-9.886428399783007137e+01,-9.633402315176122954e+01
2.489442098244054047e-01,8.752015413212803878e+02,-9.880193021748638671e+01,-8.914255380786431715e+01
2.578350744609912981e-01,8.743233867762133968e+02,-9.873911340847686802e+01,-9.286478138183224473e+01
2.667259390975772471e-01,8.734457927110094033e+02,-9.867583684144621259e+01,-1.041809544647917676e+02
2.756168037341631405e-01,8.725687631758437419e+02,-9.861210377352749390e+01,-9.377104683423887366e+01
2.845076683707490339e-01,8.716923021950110524e+02,-9.854791744834109579e+01,-1.007308915333360346e+02
2.933985330073349274e-01,8.708164137669249385e+02,-9.848328109599401614e+01,-9.910556159581651059e+01
3.022893976439208208e-01,8.699411018641181954e+02,-9.841819793307946895e+01,-1.000773253582947291e+02
3.111802622805067697e-01,8.690663704332425823e+02,-9.835267116267667120e+01,-9.680825557531275649e+01
3.200711269170926632e-01,8.681922233950691634e+02,-9.828670397435101336e+01,-8.981401722344125460e+01
3.289619915536785566e-01,8.673186646444879671e+02,-9.822029954415425834e+01,-1.031207837293199958e+02
3.378528561902645055e-01,8.664456980505083266e+02,-9.815346103462508154e+01,-9.385821718301181704e+01
3.467437208268503990e-01,8.655733274562583119e+02,-9.808619159478990923e+01,-9.770096767579538266e+01
3.556345854634362924e-01,8.647015566789854120e+02,-9.801849436016397021e+01,-9.394923932693569668e+01
3.645254501000221858e-01,8.638303895100561931e+02,-9.795037245275247528e+01,-9.369828979844083960e+01
3.734163147366080793e-01,8.629598297149562995e+02,-9.788182898105225149e+01,-9.841954757010213939e+01
3.823071793731940282e-01,8.620898810332902258e+02,-9.781286704005324850e+01,-9.444192019062926136e+01
3.911980440097799216e-01,8.612205471787821125e+02,-9.774348971124075547e+01,-9.160185625255437003e+01
4.000889086463658151e-01,8.603518318392746096e+02,-9.767370006259734794e+01,-1.032572989415398865e+02
4.089797732829517640e-01,8.594837386767300131e+02,-9.760350114860551685e+01,-9.109493286197505313e+01
4.178706379195376575e-01,8.586162713272292422e+02,-9.753289601025008437e+01,-9.584436407017908266e+01
4.267615025561235509e-01,8.577494334009727481e+02,-9.746188767502125927e+01,-8.976234584387032100e+01
4.356523671927094443e-01,8.568832284822797192e+02,-9.739047915691749324e+01,-1.077164338406161619e+02
4.445432318292953378e-01,8.560176601295887622e+02,-9.731867345644899103e+01,-9.749764614379196814e+01
4.534340964658812867e-01,8.551527318754574480e+02,-9.724647356064100734e+01,-9.966462572953720667e+01
4.623249611024671801e-01,8.542884472265624254e+02,-9.717388244303764111e+01,-1.004790953279228631e+02
4.712158257390530736e-01,8.534248096636994205e+02,-9.710090306370581459e+01,-1.067471739083776470e+02
4.801066903756390225e-01,8.525618226417834649e+02,-9.702753836923926656e+01,-9.827597779501226682e+01
4.889975550122249159e-01,8.516994895898484401e+02,-9.695379129276301455e+01,-9.832436269110328908e+01
4.978884196488108094e-01,8.508378139110475331e+02,-9.687966475393776022e+01,-1.025709064379179551e+02
5.067792842853967583e-01,8.499767989826530084e+02,-9.680516165896479208e+01,-1.013981110998640958e+02
5.156701489219825962e-01,8.491164481560562081e+02,-9.673028490059073192e+01,-9.287469047210345252e+01
5.245610135585685452e-01,8.482567647567673248e+02,-9.665503735811269337e+01,-9.747322699865007678e+01
5.334518781951544941e-01,8.473977520844161972e+02,-9.657942189738382410e+01,-9.146697718089542661e+01
5.423427428317403320e-01,8.465394134127512871e+02,-9.650344137081856388e+01,-8.576638928698244513e+01
5.512336074683262810e-01,8.456817519896404747e+02,-9.642709861739848520e+01,-9.639942452070616241e+01
5.601244721049121189e-01,8.448247710370704908e+02,-9.635039646267804869e+01,-9.651595010307050870e+01
5.690153367414980679e-01,8.439684737511474850e+02,-9.627333771879102642e+01,-1.042610169881919262e+02
5.779062013780840168e-01,8.431128633020963434e+02,-9.619592518445625728e+01,-1.063740334933852694e+02
5.867970660146698547e-01,8.422579428342613710e+02,-9.611816164498456772e+01,-9.749725841826600004e+01
5.956879306512558037e-01,8.414037154661058366e+02,-9.604004987228522339e+01,-9.976753256410495396e+01
6.045787952878416416e-01,8.405501842902122007e+02,-9.596159262487267938e+01,-9.285852981061097466e+01
6.134696599244275905e-01,8.396973523732818876e+02,-9.588279264787351508e+01,-9.102565058384784891e+01
6.223605245610135395e-01,8.388452227561353993e+02,-9.580365267303380961e+01,-9.708391374489717407e+01
6.312513891975993774e-01,8.379937984537126567e+02,-9.572417541872644620e+01,-9.410103019746799191e+01
6.401422538341853263e-01,8.371430824550724310e+02,-9.564436358995844500e+01,-1.001673402255538434e+02
6.490331184707712753e-01,8.362930777233926847e+02,-9.556421987837876486e+01,-9.403710088537782497e+01
6.579239831073571132e-01,8.354437871959703443e+02,-9.548374696228609082e+01,-1.040512772243537967e+02
6.668148477439430621e-01,8.345952137842216416e+02,-9.540294750663690593e+01,-9.383583853607362357e+01
6.757057123805290111e-01,8.337473603736818859e+02,-9.532182416305363404e+01,-9.037376616860417755e+01
6.845965770171148490e-01,8.329002298240052369e+02,-9.524037956983293896e+01,-1.063106898148186872e+02
6.934874416537007979e-01,8.320538249689653867e+02,-9.515861635195433621e+01,-1.002022021296773318e+02
7.023783062902866359e-01,8.312081486164548778e+02,-9.507653712108871957e+01,-9.251558289308374583e+01
7.112691709268725848e-01,8.303632035484853304e+02,-9.499414447560715757e+01,-9.348359309432319719e+01
7.201600355634585338e-01,8.295189925211875561e+02,-9.491144100059001687e+01,-9.361418283303507337e+01
7.290509002000443717e-01,8.286755182648114442e+02,-9.482842926783592929e+01,-1.006361201376776364e+02
7.379417648366303206e-01,8.278327834837259616e+02,-9.474511183587112839e+01,-8.776045657552022305e+01
7.468326294732161585e-01,8.269907908564192667e+02,-9.466149124995884279e+01,-9.311796871529159603e+01
