d,p_inf,p_inf_noisy
1.000000000000000000e+00,1.931242701769253500e-05,-1.330942637520386544e-02
1.002049294176572847e+00,1.939031071551688967e-05,1.968409626043440136e-03
1.004102787959768150e+00,1.946850588052662090e-05,-3.797346806989110313e-02
1.006160489955814752e+00,1.954701374262679536e-05,-3.878184816234973853e-02
1.008222408788578939e+00,1.962583553682950566e-05,-2.819075691848602766e-02
1.010288553099599751e+00,1.970497250292080338e-05,-1.599206944716689838e-02
1.012358931548124952e+00,1.978442588523865453e-05,-1.466226711404147905e-02
1.014433552811148331e+00,1.986419693322805102e-05,-9.116558498111338935e-03
1.016512425583444346e+00,1.994428690088589917e-05,-3.797056087023710762e-03
1.018595558577606530e+00,2.002469704731613120e-05,-1.747941150444936101e-02
1.020682960524082805e+00,2.010542863650766066e-05,1.116820669305168800e-04
1.022774640171211891e+00,2.018648293700131546e-05,1.187847218772893759e-02
1.024870606285261276e+00,2.026786122277801638e-05,5.464068888921728637e-03
1.026970867650462527e+00,2.034956477225957627e-05,1.764319653897625240e-02
1.029075433069048584e+00,2.043159486908585620e-05,3.662963554989476234e-02
1.031184311361291295e+00,2.051395280189272086e-05,-1.257022110048886324e-02
1.033297511365537380e+00,2.059663986408999392e-05,3.207013482088277856e-02
1.035415041938246183e+00,2.067965735441656960e-05,-2.117552540150325832e-02
1.037536911954026309e+00,2.076300657627427881e-05,-1.223509490990007994e-03
1.039663130305673144e+00,2.084668883828300068e-05,2.020196753883076943e-02
1.041793705904206169e+00,2.093070545428066254e-05,2.733077593647020853e-02
1.043928647678906030e+00,2.101505774287915074e-05,1.380785106926357003e-02
1.046067964577352072e+00,2.109974702801942215e-05,1.423162686991649196e-02
1.048211665565460082e+00,2.118477463863843724e-05,2.654962665375324923e-02
1.050359759627519152e+00,2.127014190900222701e-05,1.948602972824679336e-03
1.052512255766230309e+00,2.135585017815078146e-05,1.392081267002460987e-02
1.054669163002743826e+00,2.144190079078622801e-05,-1.380025332593503087e-02
1.056830490376696297e+00,2.152829509649567541e-05,-3.099498002615132600e-02
1.058996246946250164e+00,2.161503445019530290e-05,-4.291448872269418291e-02
1.061166441788129688e+00,2.170212021190831564e-05,3.037742144991130433e-02
1.063341083997660697e+00,2.178955374709801163e-05,1.323469050689608621e-02
1.065520182688807882e+00,2.187733642644573706e-05,-1.061105275751275320e-02
1.067703746994212999e+00,2.196546962585088636e-05,-1.294353067320183973e-02
1.069891786065233497e+00,2.205395472665294676e-05,-1.160914768107385552e-02
1.072084309071980046e+00,2.214279311529843142e-05,-2.432826901239135836e-02
1.074281325203356507e+00,2.223198618389599091e-05,-1.796598306092082181e-02
1.076482843667096789e+00,2.232153532966130172e-05,-9.228844580911658990e-03
1.078688873689804595e+00,2.241144195558320007e-05,2.052690044776238343e-02
1.080899424516991170e+00,2.250170746953550349e-05,5.952247255495169212e-03
1.083114505413114825e+00,2.259233328527621154e-05,-3.167047183472379568e-02
1.085334125661619575e+00,2.268332082178137199e-05,2.268323508378787198e-02
1.087558294564973993e+00,2.277467150357814774e-05,1.700939947947387870e-02
1.089787021444709625e+00,2.286638676074481680e-05,2.915300892782616508e-03
1.092020315641460959e+00,2.295846802879975002e-05,7.400486948440023090e-04
1.094258186515004283e+00,2.305091674881243335e-05,9.433562776547048390e-03
1.096500643444296763e+00,2.314373436740346790e-05,2.748046814505878625e-03
1.098747695827515747e+00,2.323692233696661447e-05,-1.523890407156546119e-02
1.100999353082098065e+00,2.333048211511368208e-05,3.680247250140385867e-02
1.103255624644779775e+00,2.342441516534066182e-05,1.775235022606243274e-02
1.105516519971635692e+00,2.351872295680568214e-05,7.706566998696865421e-03
1.107782048538118680e+00,2.361340696432900899e-05,-1.641108995155843644e-02
1.110052219839100074e+00,2.370846866817100107e-05,-2.222821472638848370e-02
1.112327043388908088e+00,2.380390955469824377e-05,1.846029896129133818e-02
1.114606528721369560e+00,2.389973111571741526e-05,6.082655458345075615e-03
1.116890685389848592e+00,2.399593484880835348e-05,1.033822445628697351e-02
1.119179522967286511e+00,2.409252225743507836e-05,-2.071174920490561136e-02
1.121473051046243175e+00,2.418949485083476958e-05,8.509975844733364122e-04
1.123771279238935605e+00,2.428685414390674424e-05,-2.433325366045540478e-02
1.126074217177279957e+00,2.438460165765654608e-05,-8.479907256559580941e-03
1.128381874512930372e+00,2.448273891864083396e-05,-1.080185960201402980e-03
1.130694260917320060e+00,2.458126745963351567e-05,2.745267802962027617e-02
1.133011386081702376e+00,2.468018881895961414e-05,-1.472556181240761500e-02
1.135333259717190568e+00,2.477950454116140122e-05,-2.246143710118028367e-02
1.137659891554798630e+00,2.487921617655430850e-05,1.111255726234267743e-02
1.139991291345482383e+00,2.497932528155999421e-05,1.469410902413523755e-02
1.142327468860180550e+00,2.507983341837327629e-05,-3.004187527556093779e-02
1.144668433889855175e+00,2.518074215540622163e-05,1.176929697183166923e-02
1.147014196245532469e+00,2.528205306706610145e-05,2.213389271185764104e-02
1.149364765758345008e+00,2.538376773375539130e-05,-6.503255350143244580e-03
1.151720152279571696e+00,2.548588774198279339e-05,3.621045950669966613e-03
1.154080365680679954e+00,2.558841468447425882e-05,1.664381711498279584e-02
