R0,H_c,H_c_noisy
1.050000000000000044e+00,1.496336807846203321e-01,1.544974948249425439e-01
1.051544787730606778e+00,1.502354032279888674e-01,1.454614834424876602e-01
1.053089575461213734e+00,1.508346962114980039e-01,1.575280924080398881e-01
1.054634363191820468e+00,1.514315723220922838e-01,1.375586268761744835e-01
1.056179150922427201e+00,1.520260440629107868e-01,1.686849283594946403e-01
1.057723938653034157e+00,1.526181238539739415e-01,1.507088086819524386e-01
1.059268726383640891e+00,1.532078240328627050e-01,1.585513126356136449e-01
1.060813514114247624e+00,1.537951568553908022e-01,1.615606747120969522e-01
1.062358301844854358e+00,1.543801344962726640e-01,1.568276381753957449e-01
1.063903089575461314e+00,1.549627690497809573e-01,1.567608732690903839e-01
1.065447877306068047e+00,1.555430725304020323e-01,1.421272256363128872e-01
1.066992665036674781e+00,1.561210568734826276e-01,1.543012444067300426e-01
1.068537452767281737e+00,1.566967339358697753e-01,1.512751252605440688e-01
1.070082240497888471e+00,1.572701154965472359e-01,1.572899118448769229e-01
1.071627028228495204e+00,1.578412132572629134e-01,1.308431219593413353e-01
1.073171815959102160e+00,1.584100388431522455e-01,1.428377781721067441e-01
1.074716603689708894e+00,1.589766038033550710e-01,1.560486775268388193e-01
1.076261391420315627e+00,1.595409196116259753e-01,1.621315534061198993e-01
1.077806179150922361e+00,1.601029976669395005e-01,1.580921094518847048e-01
1.079350966881529317e+00,1.606628492940889719e-01,1.496478587834706164e-01
1.080895754612136050e+00,1.612204857442814387e-01,1.552921492232773870e-01
1.082440542342742784e+00,1.617759181957241499e-01,1.574858446822373359e-01
1.083985330073349740e+00,1.623291577542075592e-01,1.317520712751752976e-01
1.085530117803956474e+00,1.628802154536815316e-01,1.550132015826790333e-01
1.087074905534563207e+00,1.634291022568280793e-01,1.558113719978336253e-01
1.088619693265170163e+00,1.639758290556257714e-01,1.572644150563781706e-01
1.090164480995776897e+00,1.645204066719119229e-01,1.677045435981661392e-01
1.091709268726383630e+00,1.650628458579361801e-01,1.537531375860961003e-01
1.093254056456990586e+00,1.656031572969129950e-01,1.700568286421829112e-01
1.094798844187597320e+00,1.661413516035638305e-01,1.693295196054662721e-01
1.096343631918204053e+00,1.666774393246599206e-01,1.710632883642549118e-01
1.097888419648810787e+00,1.672114309395551779e-01,1.697497465827026708e-01
1.099433207379417743e+00,1.677433368607164632e-01,1.782450945995146807e-01
1.100977995110024477e+00,1.682731674342489991e-01,1.883177727053947925e-01
1.102522782840631210e+00,1.688009329404159542e-01,1.668245760835071756e-01
1.104067570571238166e+00,1.693266435941541415e-01,1.612052492514267632e-01
1.105612358301844900e+00,1.698503095455826395e-01,1.730185296067411338e-01
1.107157146032451633e+00,1.703719408805116908e-01,1.912972099606273235e-01
1.108701933763058589e+00,1.708915476209406370e-01,1.712776354462324513e-01
1.110246721493665323e+00,1.714091397255558535e-01,1.691841937019640529e-01
1.111791509224272056e+00,1.719247270902218849e-01,1.655262799098696225e-01
1.113336296954879012e+00,1.724383195484695264e-01,1.616967198399568428e-01
1.114881084685485746e+00,1.729499268719773830e-01,1.619982395360919647e-01
1.116425872416092480e+00,1.734595587710509312e-01,2.020879537801952563e-01
1.117970660146699213e+00,1.739672248950970002e-01,1.668709982414298409e-01
1.119515447877306169e+00,1.744729348330915919e-01,1.625306890352323508e-01
1.121060235607912903e+00,1.749766981140467303e-01,1.724682648895321524e-01
1.122605023338519636e+00,1.754785242074713425e-01,1.828724298627665557e-01
1.124149811069126592e+00,1.759784225238272826e-01,1.650984522802266263e-01
1.125694598799733326e+00,1.764764024149828581e-01,1.691520760727396877e-01
1.127239386530340060e+00,1.769724731746603885e-01,1.762404274336444032e-01
1.128784174260947015e+00,1.774666440388819599e-01,1.856669950003806135e-01
1.130328961991553749e+00,1.779589241864086568e-01,1.655476578499543994e-01
1.131873749722160483e+00,1.784493227391779901e-01,1.804048256197877675e-01
1.133418537452767438e+00,1.789378487627353576e-01,1.970183654458455558e-01
1.134963325183374172e+00,1.794245112666641162e-01,1.697460696293674187e-01
1.136508112913980906e+00,1.799093192050080225e-01,1.681141039102579393e-01
1.138052900644587639e+00,1.803922814766949212e-01,1.837384982961835500e-01
1.139597688375194595e+00,1.808734069259512744e-01,1.881105236350939236e-01
1.141142476105801329e+00,1.813527043427176633e-01,1.775834464629468257e-01
1.142687263836408063e+00,1.818301824630565167e-01,1.818458409601939885e-01
1.144232051567015018e+00,1.823058499695597023e-01,1.879531481880085120e-01
1.145776839297621752e+00,1.827797154917504274e-01,1.906368969631666577e-01
1.147321627028228486e+00,1.832517876064812534e-01,1.837769360979941147e-01
1.148866414758835441e+00,1.837220748383294744e-01,1.918251281337211844e-01
1.150411202489442175e+00,1.841905856599906910e-01,1.661378619670860479e-01
1.151955990220048909e+00,1.846573284926637804e-01,1.869874452961457212e-01
1.153500777950655642e+00,1.851223117064383639e-01,1.766881398914267320e-01
1.155045565681262598e+00,1.855855436206750586e-01,1.926262608275579324e-01
1.156590353411869332e+00,1.860470325043830919e-01,1.873084577239759740e-01
1.158135141142476066e+00,1.865067865765955568e-01,2.033520894880635477e-01
1.159679928873083021e+00,1.869648140067406428e-01,1.893594213870521958e-01
1.161224716603689755e+00,1.874211229150096747e-01,1.900056630926617862e-01
1.162769504334296489e+00,1.878757213727209885e-01,1.920768288817265301e-01
1.164314292064903444e+00,1.883286174026835291e-01,1.967774190299805548e-01
1.165859079795510178e+00,1.887798189795528159e-01,1.867258911526990528e-01
1.167403867526116912e+00,1.892293340301882953e-01,1.780069736849940187e-01
1.168948655256723868e+00,1.896771704340041720e-01,1.809953326286966035e-01
1.170493442987330601e+00,1.901233360233187120e-01,1.959863035835506251e-01
1.172038230717937335e+00,1.905678385837014654e-01,2.084119659334597030e-01
1.173583018448544069e+00,1.910106858543139663e-01,1.834967970800430170e-01
1.175127806179151024e+00,1.914518855282518195e-01,1.999578546132537160e-01
1.176672593909757758e+00,1.918914452528810988e-01,1.787334885066796941e-01
1.178217381640364492e+00,1.923293726301722462e-01,2.003827126523044788e-01
1.179762169370971447e+00,1.927656752170311960e-01,1.891280883755237507e-01
1.181306957101578181e+00,1.932003605256281398e-01,1.937184189950211244e-01
1.182851744832184915e+00,1.936334360237228214e-01,2.078000992224393051e-01
1.184396532562791871e+00,1.940649091349878896e-01,2.161337859947140005e-01
