t,p,dp_dt,dp_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,2.018871879967283275e-02,1.903849713905166399e-02
2.222716159146476828e-02,5.044975056448486317e-02,2.027987793862175148e-02,1.903567930538279523e-02
4.445432318292953655e-02,5.090153006428595889e-02,2.037128222890059043e-02,2.053179181942766177e-02
6.668148477439431177e-02,5.135534393719180801e-02,2.046293063795293771e-02,2.296787533737619860e-02
8.890864636585907310e-02,5.181119759741080466e-02,2.055482211341901413e-02,1.990702887047169148e-02
1.111358079573238344e-01,5.226909643546682332e-02,2.064695558311776050e-02,1.844366806959645347e-02
1.333629695487886235e-01,5.272904581819923275e-02,2.073932995505090027e-02,1.914185974280735100e-02
1.555901311402533849e-01,5.319105108307436297e-02,2.083194411626860046e-02,2.438684634049148939e-02
1.778172927317181462e-01,5.365511754438976461e-02,2.092479693412607755e-02,2.022397721097154294e-02
2.000444543231829075e-01,5.412125050261546583e-02,2.101788725815294245e-02,1.865063712978310556e-02
2.222716159146476689e-01,5.458945522945345130e-02,2.111121391706667627e-02,2.050663534127167981e-02
2.444987775061124580e-01,5.505973696760711050e-02,2.120477571874452780e-02,2.180132207195020072e-02
2.667259390975772471e-01,5.553210093078122384e-02,2.129857145024267179e-02,2.187277559314287564e-02
2.889531006890420084e-01,5.600655230368194876e-02,2.139259987781624503e-02,2.511866089932177776e-02
3.111802622805067697e-01,5.648309624201682672e-02,2.148685974694036077e-02,2.110406515106675457e-02
3.334074238719715311e-01,5.696173787249479703e-02,2.158134978233212584e-02,1.849005831430598421e-02
3.556345854634362924e-01,5.744248229282618301e-02,2.167606868797349040e-02,2.469378876864006256e-02
3.778617470549010537e-01,5.792533457172269890e-02,2.177101514713514555e-02,2.234503415368186557e-02
4.000889086463658151e-01,5.841029974889743598e-02,2.186618782240135062e-02,2.246619163227333085e-02
4.223160702378305764e-01,5.889738283506487648e-02,2.196158535569573897e-02,2.060352436711045815e-02
4.445432318292953378e-01,5.938658881194090050e-02,2.205720636830805700e-02,1.998593863164813481e-02
4.667703934207601546e-01,5.987792263224275824e-02,2.215304946092193361e-02,2.531458862577925378e-02
4.889975550122249159e-01,6.037138921968909083e-02,2.224911321364355862e-02,1.921368072211369904e-02
5.112247166036896218e-01,6.086699346899994423e-02,2.234539618603138128e-02,2.110514482927504029e-02
5.334518781951544941e-01,6.136474024589672754e-02,2.244189691712679402e-02,2.014816269832821194e-02
5.556790397866192555e-01,6.186463438210265675e-02,2.253861392451944959e-02,2.542600323144506361e-02
5.779062013780840168e-01,6.236668064451608012e-02,2.263554569844440992e-02,2.328010711326837512e-02
6.001333629695487781e-01,6.287088379373242941e-02,2.273269071315175624e-02,2.131614135621770142e-02
6.223605245610135395e-01,6.337724856059591405e-02,2.283004742239228349e-02,2.425642749183348768e-02
6.445876861524783008e-01,6.388577963807201554e-02,2.292761425789719559e-02,2.681662336180405323e-02
6.668148477439430621e-01,6.439648168124748051e-02,2.302538962943315171e-02,2.109991863700587042e-02
6.890420093354078235e-01,6.490935930733039705e-02,2.312337192485841575e-02,2.133631529727788786e-02
7.112691709268725848e-01,6.542441709565008368e-02,2.322155951018029310e-02,2.402148311378399237e-02
7.334963325183373462e-01,6.594165958765717261e-02,2.331995072961366364e-02,2.380522129904405135e-02
7.557234941098021075e-01,6.646109128692356816e-02,2.341854390564080540e-02,2.114677023684147575e-02
7.779506557012668688e-01,6.698271665914248829e-02,2.351733733907235627e-02,2.224060213285966592e-02
8.001778172927316302e-01,6.750654013212842308e-02,2.361632930910953498e-02,2.357781044988848870e-02
8.224049788841963915e-01,6.803256609581712078e-02,2.371551807340746554e-02,2.544374588689712544e-02
