t,H,dH_dt,dH_dt_noisy
0.000000000000000000e+00,3.499999999999999778e-01,-5.099999999999998632e-03,-5.347785067784585969e-03
6.668148477439431177e-02,3.496606514813740407e-01,-5.078209931107221034e-03,-5.005458220771339534e-03
1.333629695487886235e-01,3.493227526143477535e-01,-5.056520156270109811e-03,-5.075675481212339919e-03
2.000444543231829353e-01,3.489862967030777918e-01,-5.034930916532748962e-03,-5.063240028336636091e-03
2.667259390975772471e-01,3.486512770382225734e-01,-5.013442441225680890e-03,-4.916406796216161480e-03
3.334074238719715311e-01,3.483176870192291608e-01,-4.992054950074660546e-03,-4.792268500106688402e-03
4.000889086463658706e-01,3.479855199298437785e-01,-4.970768649766400815e-03,-4.913921039480661709e-03
4.667703934207602101e-01,3.476547689548385445e-01,-4.949583734372380202e-03,-4.896074405732584942e-03
5.334518781951544941e-01,3.473254272764007000e-01,-4.928500387043992063e-03,-5.269697277578805697e-03
6.001333629695487781e-01,3.469974880741326650e-01,-4.907518780166346059e-03,-4.734101636700001857e-03
6.668148477439430621e-01,3.466709445250520383e-01,-4.886639075511818933e-03,-4.984292818481914598e-03
7.334963325183374572e-01,3.463457898035916527e-01,-4.865861424393192435e-03,-4.568870055909898288e-03
8.001778172927317412e-01,3.460220170815993534e-01,-4.845185967816435617e-03,-4.451230795765334300e-03
8.668593020671260252e-01,3.456996195283383866e-01,-4.824612836633003152e-03,-5.314401437195005740e-03
9.335407868415204202e-01,3.453785903104869548e-01,-4.804142151691630572e-03,-4.405208878150170503e-03
1.000222271615914593e+00,3.450589225921386061e-01,-4.783774023989622974e-03,-4.988068072416624796e-03
1.066903756390308988e+00,3.447406095348020116e-01,-4.763508554823525296e-03,-5.074786473890511435e-03
1.133585241164703383e+00,3.444236442974009660e-01,-4.743345835939188904e-03,-4.813061479579092139e-03
1.200266725939097556e+00,3.441080200362744423e-01,-4.723285949681165982e-03,-4.633531359102938986e-03
1.266948210713491951e+00,3.437937299051767037e-01,-4.703328969141406558e-03,-4.400655803016515974e-03
1.333629695487886124e+00,3.434807670552770809e-01,-4.683474958307225211e-03,-3.836752965160466437e-03
1.400311180262280519e+00,3.431691246351600832e-01,-4.663723972208466337e-03,-5.102746736916688279e-03
1.466992665036674914e+00,3.428587957908254547e-01,-4.644076057063911342e-03,-4.754014057651355894e-03
1.533674149811069087e+00,3.425497736656880621e-01,-4.624531250426795054e-03,-4.511668409073035790e-03
1.600355634585463482e+00,3.422420514005780068e-01,-4.605089581329488597e-03,-4.764767516069847060e-03
1.667037119359857877e+00,3.419356221337405133e-01,-4.585751070427258533e-03,-5.101565636555277852e-03
1.733718604134252050e+00,3.416304790008359848e-01,-4.566515730141115260e-03,-4.634836480045395612e-03
1.800400088908646445e+00,3.413266151349400590e-01,-4.547383564799683045e-03,-4.555482414380438404e-03
1.867081573683040840e+00,3.410240236665434410e-01,-4.528354570780101195e-03,-4.410525603098136745e-03
1.933763058457435013e+00,3.407226977235521259e-01,-4.509428736647927774e-03,-4.626991100203335650e-03
2.000444543231829186e+00,3.404226304312871765e-01,-4.490606043295967791e-03,-4.085583167260576319e-03
2.067126028006223581e+00,3.401238149124849452e-01,-4.471886464082095239e-03,-4.406285710355443107e-03
2.133807512780617976e+00,3.398262442872969080e-01,-4.453269964965954515e-03,-4.214948316981703517e-03
2.200488997555012372e+00,3.395299116732897193e-01,-4.434756504644600181e-03,-4.743677067765754776e-03
2.267170482329406767e+00,3.392348101854451015e-01,-4.416346034686984001e-03,-5.181775668825368796e-03
2.333851967103800717e+00,3.389409329361601775e-01,-4.398038499667333498e-03,-4.163866975075271835e-03
2.400533451878195113e+00,3.386482730352471382e-01,-4.379833837297347418e-03,-4.271259640460699572e-03
2.467214936652589508e+00,3.383568235899331866e-01,-4.361731978557241082e-03,-4.151844493142925821e-03
2.533896421426983903e+00,3.380665777048609821e-01,-4.343732847825603448e-03,-4.297593981721566612e-03
2.600577906201378298e+00,3.377775284820881962e-01,-4.325836363008024252e-03,-4.416370234989757879e-03
2.667259390975772249e+00,3.374896692554703037e-01,-4.308042439367527378e-03,-4.378798680263836299e-03
2.733940875750166644e+00,3.372029933600885210e-01,-4.290350986002723112e-03,-3.981845875709082855e-03
2.800622360524561039e+00,3.369174939081417963e-01,-4.272761902434493372e-03,-4.494293856480546107e-03
2.867303845298955434e+00,3.366331640254121016e-01,-4.255275082467769796e-03,-4.336263897660955040e-03
2.933985330073349829e+00,3.363499968512647098e-01,-4.237890414313548980e-03,-4.242828921904291326e-03
3.000666814847744224e+00,3.360679855386477510e-01,-4.220607780709596281e-03,-4.117236091997463279e-03
3.067348299622138175e+00,3.357871232540927120e-01,-4.203427059039895400e-03,-3.538319083751012041e-03
3.134029784396532570e+00,3.355074031777139920e-01,-4.186348121452790859e-03,-4.339722266437313035e-03
3.200711269170926965e+00,3.352288185032092360e-01,-4.169370834977858924e-03,-3.407776919251145637e-03
3.267392753945321360e+00,3.349513624378591681e-01,-4.152495061641446258e-03,-4.099824671203867836e-03
