t,q,dq_dt,dq_dt_noisy
0.000000000000000000e+00,1.000000000000000021e-02,1.095270050955414187e-01,1.105738217168646537e-01
1.778172927317181462e-02,1.194433931706785981e-02,1.091608306214384011e-01,1.010953774875551076e-01
3.556345854634362924e-02,1.388207759525140160e-02,1.087846991787432410e-01,1.177044304811703801e-01
5.334518781951544386e-02,1.581304574314555331e-02,1.083994834659684214e-01,9.911397586620911138e-02
7.112691709268725848e-02,1.773708918471659027e-02,1.080059902358715546e-01,9.664931346334318385e-02
8.890864636585907310e-02,1.965406725981330358e-02,1.076049657810649318e-01,1.127395458870513317e-01
1.066903756390308877e-01,2.156385206415416256e-02,1.071971010115518180e-01,1.203876072191827629e-01
1.244721049122027023e-01,2.346632914399664899e-02,1.067830356698443589e-01,1.195412129895620790e-01
1.422538341853745170e-01,2.536139367824767621e-02,1.063633631071844166e-01,1.199193650923584403e-01
1.600355634585463316e-01,2.724895017421729085e-02,1.059386339627906709e-01,1.099682343807631274e-01
1.778172927317181462e-01,2.912891246761867975e-02,1.055093594295786197e-01,1.020198018678866725e-01
1.955990220048899608e-01,3.100120372256815263e-02,1.050760142087372728e-01,1.108553665385546699e-01
2.133807512780617754e-01,3.286575641350797383e-02,1.046390391918540497e-01,1.104335324619629549e-01
2.311624805512335901e-01,3.472250930169848426e-02,1.041988446131704854e-01,1.048599232317372482e-01
2.489442098244054047e-01,3.657140889848867205e-02,1.037558119456434558e-01,9.676958228149676322e-02
2.667259390975772471e-01,3.841240896516320835e-02,1.033102960499990564e-01,1.015345064834634325e-01
2.845076683707490339e-01,4.024546836237298530e-02,1.028626275556674685e-01,1.055177086098317424e-01
3.022893976439208208e-01,4.207055105013510904e-02,1.024131145738758353e-01,9.085883344435406739e-02
3.200711269170926632e-01,4.388762608783289970e-02,1.019620442610527922e-01,9.832479639876658128e-02
3.378528561902645055e-01,4.569666763421589145e-02,1.015096842477421490e-01,8.933992610107409360e-02
3.556345854634362924e-01,4.749765494739982552e-02,1.010562839464805018e-01,1.188129464662057433e-01
3.734163147366080793e-01,4.929057238486665715e-02,1.006020757505715901e-01,1.077093561551735884e-01
3.911980440097799216e-01,5.107540782004432733e-02,1.001472765389527647e-01,9.874074462813968445e-02
4.089797732829517640e-01,5.285215175757196349e-02,9.969208892518742482e-02,1.092199814028665672e-01
4.267615025561235509e-01,5.462080008386070024e-02,9.923670149200028434e-02,1.009926264163229920e-01
4.445432318292953378e-01,5.638135126313886109e-02,9.878129037059756035e-02,9.330502287687619800e-02
4.623249611024671801e-01,5.813380627486124802e-02,9.832602005874092888e-02,9.861379970628689207e-02
4.801066903756390225e-01,5.987816861370909294e-02,9.787104415988101547e-02,9.655747323638549928e-02
4.978884196488108094e-01,6.161444428959007846e-02,9.741650606500432130e-02,1.338333217270618047e-01
5.156701489219825962e-01,6.334264182763835183e-02,9.696253958235032111e-02,8.710426060935966275e-02
5.334518781951544941e-01,6.506277226821452486e-02,9.650926951962852940e-02,6.866107287319350716e-02
5.512336074683262810e-01,6.677484916690562544e-02,9.605681222290243793e-02,1.037221226458188428e-01
5.690153367414980679e-01,6.847888859452513910e-02,9.560527607588988064e-02,8.234213848137983405e-02
5.867970660146698547e-01,7.017490829778327832e-02,9.515476218627404170e-02,8.116521570564651233e-02
6.045787952878416416e-01,7.186292626356989566e-02,9.470536520069415543e-02,1.082701176582618746e-01
6.223605245610135395e-01,7.354296385850009332e-02,9.425717287150614521e-02,8.533005627410866767e-02
6.401422538341853263e-01,7.521504368648086747e-02,9.381026699812688996e-02,8.057965947941017615e-02
6.579239831073571132e-01,7.687918942514189447e-02,9.336472381883174909e-02,9.354824058498910355e-02
6.757057123805290111e-01,7.853542582583551701e-02,9.292061433479138766e-02,8.026667421631732136e-02
6.934874416537007979e-01,8.018377871363667475e-02,9.247800461171540309e-02,9.989545805244136323e-02
7.112691709268725848e-01,8.182427498734298754e-02,9.203695606089094816e-02,8.410093595596916660e-02
7.290509002000443717e-01,8.345694261947469994e-02,9.159752570124296556e-02,9.253791708645688063e-02
7.468326294732161585e-01,8.508181065627473671e-02,9.115976640389848729e-02,1.062224662031310829e-01
7.646143587463880564e-01,8.669890921770864733e-02,9.072372712060429445e-02,1.109254772976613762e-01
7.823960880195598433e-01,8.830826949746461985e-02,9.028945309723093726e-02,6.760586488532874250e-02
8.001778172927316302e-01,8.990992376295348087e-02,8.985698607348861777e-02,8.485114646175671849e-02
