s1,s2,p_eq,p_eq_noisy
6.999583679977647299e-02,3.888400789305524602e-02,2.509382456986877785e-01,2.525964797452950883e-01
4.948963698066900091e-02,9.737989661347487558e-02,3.389132366181036859e-01,3.412157915111083684e-01
8.491719862642845007e-02,5.914761492281921801e-02,2.869049894227284070e-01,2.946944733719040199e-01
3.733038174657570679e-02,6.660211597031819031e-02,2.977322397286670252e-01,3.044016633420185136e-01
4.241305069073830758e-02,7.029090410657601318e-02,3.028253861446389417e-01,3.036163412199056610e-01
1.986198853805740475e-02,8.616543483978877926e-02,3.346069804858536889e-01,3.364363783832281518e-01
4.577572308612090635e-02,7.921166554266408089e-02,3.153077893519298236e-01,3.093813449031160845e-01
7.400224639627159262e-02,4.745695749827238963e-02,2.673813378725056200e-01,2.654054460129695037e-01
3.263298871605786050e-02,2.407297265353065124e-02,2.218013822838902083e-01,2.234015907991706018e-01
3.702236233206793181e-02,1.730814737350070548e-02,2.065875051364383930e-01,2.105081536783413865e-01
2.281856366080938989e-02,2.978933002341977929e-02,2.353314414542952981e-01,2.312831692077046142e-01
5.083992952058598302e-02,6.099957794710918202e-03,1.734165038507306245e-01,1.692786438855490294e-01
9.512899673463866279e-02,5.795496064471431646e-02,2.843931680095876935e-01,2.869684891503661572e-01
9.631330478057019417e-02,1.612499938906727937e-02,1.870208763720275225e-01,1.906959553738789559e-01
5.724523548017022151e-02,6.238994280126835407e-02,2.908662374259338712e-01,2.854063487851434266e-01
6.627871309450408810e-02,2.018698426222752251e-02,2.074083421797483506e-01,2.090548399342780639e-01
1.174817337832397002e-02,1.488188360846655345e-02,2.285145483164512936e-01,2.352378232271642444e-01
2.887352010727526133e-02,9.510460907768511496e-02,3.440803888019217660e-01,3.441641594429258322e-01
5.761298390585769397e-02,9.558039143154210826e-02,3.346343526231946863e-01,3.391410542496632874e-01
5.184403344514445372e-02,6.824291779101489264e-02,2.993176715894373396e-01,3.044954639756757842e-01
3.791651148044046515e-02,8.057276740051240449e-02,3.188196588280326482e-01,3.150741361257030637e-01
8.067505387739690170e-02,3.054212821661918958e-02,2.313892149718171920e-01,2.291981376908404922e-01
9.614501244483678044e-02,9.410350173045371747e-02,3.303290990671147731e-01,3.236121917259815461e-01
6.094872788733819713e-02,9.778928050766874658e-02,3.366366364747256923e-01,3.309067568105674706e-01
5.503628997918951632e-02,6.531229494007462222e-02,2.950917518003280393e-01,2.941010389879255005e-01
6.985383844697501399e-02,8.822303853993926359e-02,3.245208409644361747e-01,3.278455159967267885e-01
2.749867351284495526e-02,3.679178336215543910e-02,2.470872005450960307e-01,2.497022648201484285e-01
9.049816480909332606e-02,3.684392035350685796e-02,2.442557619358535492e-01,2.418618700354350504e-01
8.648933623105238555e-02,7.339025360581531710e-02,3.069520621344297151e-01,2.982186026733305573e-01
7.636404009386536795e-02,7.527229234451530970e-02,3.090929276714202700e-01,3.089952092669052131e-01
1.165977275678351660e-02,3.373476202895595022e-02,2.469102136388825475e-01,2.514658363326346402e-01
7.823423854627908902e-02,3.882940076983362743e-02,2.503770932440911867e-01,2.521782119038616377e-01
9.781356344791312940e-02,6.719352283140238302e-02,2.983377637039664187e-01,3.010335200990739146e-01
5.191055495921489266e-02,8.185299297278869624e-02,3.180851457865824794e-01,3.280324935245689244e-01
2.377947240532670911e-02,6.447946824848983793e-02,2.967302464616565771e-01,3.041988083106451080e-01
6.758276549287095536e-02,4.199906257086399863e-02,2.571496585668030521e-01,2.562762066936966621e-01
6.382668111004510814e-02,5.424003578457674279e-02,2.786276141779637783e-01,2.676066902640640843e-01
2.470547088705156435e-02,5.265323552318105366e-02,2.760963257457861864e-01,2.823427616948724350e-01
9.399116924643698134e-02,5.455631118501879512e-02,2.787962351445570919e-01,2.764619723273337715e-01
6.083141713820871405e-02,2.919280448336060083e-02,2.302560802303038334e-01,2.329237944077706679e-01
3.703843854368110006e-02,2.229113458482564689e-02,2.170983115252827500e-01,2.125366027698110671e-01
1.928743439720145836e-02,8.705748424635122162e-02,3.364032689922947239e-01,3.381773461050946450e-01
7.134238676990041494e-02,9.138444578359297688e-02,3.280321936267459604e-01,3.237453346218539529e-01
