d,v,v_noisy
5.000000000000000000e-01,4.463346554663851287e-03,5.952646922995620538e-02
5.065570126694820541e-01,4.625980852191619377e-03,2.154754468450050670e-02
5.131140253389642192e-01,4.791888175136716985e-03,-2.220668758753845812e-02
5.196710380084462733e-01,4.961071739490082941e-03,-5.805102110313156011e-02
5.262280506779284384e-01,5.133534120954466422e-03,-8.959752937100830261e-02
5.327850633474104924e-01,5.309277272182156421e-03,6.241191821346437144e-03
5.393420760168926575e-01,5.488302539687145258e-03,-3.504005243589299740e-02
5.458990886863747116e-01,5.670610680432966455e-03,-3.793718731629269758e-02
5.524561013558568767e-01,5.856201878098273028e-03,-5.242273476096279139e-03
5.590131140253389308e-01,6.045075759022161543e-03,3.452774352421275790e-03
5.655701266948210959e-01,6.237231407831876108e-03,-1.076019093809596622e-01
5.721271393643031500e-01,6.432667382755513467e-03,5.268999691157684462e-02
5.786841520337853151e-01,6.631381730622893343e-03,-9.471089856487840963e-02
5.852411647032673692e-01,6.833372001557599419e-03,9.981457742927495047e-02
5.917981773727495343e-01,7.038635263363839968e-03,3.656704084335696270e-02
5.983551900422315883e-01,7.247168115611503023e-03,-1.634505779105420442e-02
6.049122027117137534e-01,7.458966703423263248e-03,7.460879357246195942e-02
6.114692153811958075e-01,7.674026730967546499e-03,8.713349826839697845e-03
6.180262280506779726e-01,7.892343474661337593e-03,4.243839185582554130e-02
6.245832407201600267e-01,8.113911796086861056e-03,1.347526576844711513e-02
6.311402533896421918e-01,8.338726154626411799e-03,6.316529516114016696e-02
6.376972660591242459e-01,8.566780619819348158e-03,6.163790333861082771e-02
6.442542787286063000e-01,8.798068883445749749e-03,-3.656863818620753603e-02
6.508112913980884651e-01,9.032584271340895685e-03,-2.159200465083989384e-02
6.573683040675706302e-01,9.270319754944937249e-03,2.643167236056651048e-02
6.639253167370526842e-01,9.511267962592290931e-03,-9.892396191662402444e-04
6.704823294065347383e-01,9.755421190544946372e-03,-1.044902896371776163e-01
6.770393420760169034e-01,1.000277141377424461e-02,1.113086481598630634e-01
6.835963547454989575e-01,1.025331029649540274e-02,-9.849555839694490444e-02
6.901533674149811226e-01,1.050702920245934723e-02,-9.357011348477886625e-02
6.967103800844631767e-01,1.076391920500607835e-02,-5.304170178164084593e-02
7.032673927539453418e-01,1.102397109688405333e-02,3.926653311920134948e-02
7.098244054234273959e-01,1.128717539983983310e-02,1.010878007313533861e-01
7.163814180929095610e-01,1.155352237398248570e-02,-2.172302555218490194e-04
7.229384307623916150e-01,1.182300202692674294e-02,-7.730865500298464074e-03
7.294954434318737801e-01,1.209560412271952143e-02,2.079067733710888294e-02
7.360524561013558342e-01,1.237131819055369356e-02,-5.971668972147441828e-03
7.426094687708379993e-01,1.265013353327356857e-02,1.676839476338424367e-02
7.491664814403200534e-01,1.293203923567593470e-02,-4.406653373247444022e-02
7.557234941098021075e-01,1.321702417261105648e-02,3.512989580359936193e-02
7.622805067792842726e-01,1.350507701688732042e-02,3.313404692468809032e-02
7.688375194487664377e-01,1.379618624698386413e-02,-1.079746845702137109e-01
7.753945321182484918e-01,1.409034015457477987e-02,8.579042888383332441e-03
7.819515447877305458e-01,1.438752685186914411e-02,2.253331773566157048e-02
7.885085574572127110e-01,1.468773427877035319e-02,4.274897229192272524e-02
7.950655701266948761e-01,1.499095020985874438e-02,-2.581353761212631243e-02
8.016225827961769301e-01,1.529716226120114188e-02,-5.110455095192364267e-02
8.081795954656589842e-01,1.560635789699107816e-02,-3.193034612846679804e-02
8.147366081351411493e-01,1.591852443602312372e-02,4.332057264556948839e-02
8.212936208046233144e-01,1.623364905800505492e-02,-2.635812639159013787e-02
8.278506334741053685e-01,1.655171880971119391e-02,-2.165547176646774596e-02
8.344076461435874226e-01,1.687272061098045797e-02,7.406099949600332411e-02
8.409646588130695877e-01,1.719664126056246606e-02,-2.211123821339316259e-02
8.475216714825517528e-01,1.752346744181492236e-02,-2.740816359586893333e-02
8.540786841520338069e-01,1.785318572825564734e-02,1.329130755258709287e-02
8.606356968215158609e-01,1.818578258897244823e-02,2.811630840931111236e-02
8.671927094909979150e-01,1.852124439389380567e-02,7.040272732745625484e-02
8.737497221604800801e-01,1.885955741892371071e-02,-2.510682664062710220e-02
8.803067348299622452e-01,1.920070785094344160e-02,-5.920702187082135803e-02
8.868637474994442993e-01,1.954468179268336117e-02,1.341984921440474154e-02
8.934207601689263534e-01,1.989146526746771518e-02,5.207330605393872824e-02
8.999777728384085185e-01,2.024104422383505436e-02,-5.383528293863559105e-02
9.065347855078906836e-01,2.059340454003732654e-02,-3.769746249197521160e-03
9.130917981773727377e-01,2.094853202842023726e-02,3.625832143358541371e-02
9.196488108468547917e-01,2.130641243968762685e-02,3.285762744079410991e-02
9.262058235163369568e-01,2.166703146705253880e-02,2.583498101292213897e-02
9.327628361858191219e-01,2.203037475027730743e-02,9.185898881399687244e-03
9.393198488553011760e-01,2.239642787960568690e-02,-1.757089502396936079e-02
9.458768615247832301e-01,2.276517639958900580e-02,-2.364172364847087066e-02
9.524338741942653952e-01,2.313660581280906070e-02,8.094971752641297313e-02
9.589908868637475603e-01,2.351070158350005573e-02,-3.234978416077410185e-02
9.655478995332296144e-01,2.388744914107185716e-02,8.528745406694922260e-02
9.721049122027116685e-01,2.426683388353702633e-02,-4.148608790972936611e-02
9.786619248721938336e-01,2.464884118084361558e-02,1.698279305294859709e-01
9.852189375416759987e-01,2.503345637811612429e-02,-6.187209006605346590e-02
9.917759502111580527e-01,2.542066479880665184e-02,1.056343797715105642e-01
9.983329628806401068e-01,2.581045174775843318e-02,-1.904315614175178598e-02
1.004889975550122383e+00,2.620280251418354370e-02,2.042202848884898045e-02
1.011446988219604215e+00,2.659770237455719166e-02,2.332007382881971097e-02
1.018004000889086491e+00,2.699513659543038499e-02,-5.615996658407351044e-03
1.024561013558568545e+00,2.739509043616255440e-02,1.388147221772818574e-01
1.031118026228050599e+00,2.779754915157675241e-02,3.254331645949060103e-02
1.037675038897532875e+00,2.820249799453839606e-02,-3.785118915522928812e-02
1.044232051567014929e+00,2.860992221846018341e-02,6.093793761602489534e-02
1.050789064236496984e+00,2.901980707973429718e-02,6.463989441039091899e-02
1.057346076905979260e+00,2.943213784009401576e-02,-2.794201407603539786e-02
1.063903089575461092e+00,2.984689976890615368e-02,5.662755186766314786e-02
1.070460102244943368e+00,3.026407814539627469e-02,3.371186754183496531e-02
1.077017114914425422e+00,3.068365826080794029e-02,7.170044127421307256e-02
1.083574127583907476e+00,3.110562542049781845e-02,6.671539901022650876e-02
1.090131140253389752e+00,3.152996494596819327e-02,3.110784461702353204e-02
1.096688152922871584e+00,3.195666217683807570e-02,1.154251877546783045e-02
1.103245165592353860e+00,3.238570247275503883e-02,7.790433663008511367e-02
1.109802178261835914e+00,3.281707121524819748e-02,4.847703141654831349e-02
1.116359190931317968e+00,3.325075380952488557e-02,-4.121311484711619177e-02
1.122916203600800245e+00,3.368673568621168013e-02,6.443276998301796649e-03
1.129473216270282299e+00,3.412500230304101739e-02,9.959382372618161283e-03
1.136030228939764353e+00,3.456553914648551051e-02,2.145781385069145397e-02
1.142587241609246629e+00,3.500833173334024634e-02,1.492229349605239397e-01
1.149144254278728461e+00,3.545336561225510136e-02,1.658900037478170872e-02
1.155701266948210737e+00,3.590062636521795109e-02,5.976745963652142779e-02
1.162258279617692791e+00,3.635009960898993864e-02,1.191167672798215116e-01
1.168815292287174845e+00,3.680177099649415556e-02,6.198444767079759610e-02
1.175372304956657121e+00,3.725562621815875497e-02,5.884950483838045920e-02
1.181929317626139175e+00,3.771165100321565572e-02,1.026095863997330548e-01
1.188486330295621229e+00,3.816983112095585773e-02,4.803536561036907127e-02
1.195043342965103506e+00,3.863015238194277695e-02,4.792927142627462916e-02
1.201600355634585338e+00,3.909260063918387762e-02,7.352952783045713092e-02
1.208157368304067614e+00,3.955716178926269727e-02,6.016100609324707971e-02
1.214714380973549668e+00,4.002382177343113273e-02,6.005945491716291329e-03
1.221271393643031722e+00,4.049256657866388831e-02,-1.780197519107831750e-02
1.227828406312513998e+00,4.096338223867562744e-02,3.529475745312551233e-02
1.234385418981995830e+00,4.143625483490143147e-02,1.113368565041767261e-01
1.240942431651478106e+00,4.191117049744245981e-02,3.059038269749937700e-02
1.247499444320960160e+00,4.238811540597633293e-02,9.980959000171868434e-02
1.254056456990442214e+00,4.286707579063440965e-02,6.349701124665198260e-02
1.260613469659924490e+00,4.334803793284605633e-02,2.790318643093236267e-02
1.267170482329406545e+00,4.383098816615078885e-02,-8.783875744229897864e-02
1.273727494998888599e+00,4.431591287697939779e-02,5.542259567494405015e-02
1.280284507668370875e+00,4.480279850540458408e-02,3.095554144721089640e-02
1.286841520337852707e+00,4.529163154586190315e-02,-3.473433129366820110e-02
1.293398533007334983e+00,4.578239854784211388e-02,7.150763846515131861e-02
1.299955545676817037e+00,4.627508611655486992e-02,4.500396023380866251e-02
1.306512558346299091e+00,4.676968091356553670e-02,6.552233445464805683e-02
1.313069571015781367e+00,4.726616965740493281e-02,1.704537486336498570e-02
1.319626583685263421e+00,4.776453912415296044e-02,5.786566718101374823e-02
1.326183596354745475e+00,4.826477614799740135e-02,2.460317934620499108e-02
1.332740609024227751e+00,4.876686762176732359e-02,1.020142012764260198e-01
1.339297621693709583e+00,4.927080049744278489e-02,5.548708382128913347e-02
1.345854634363191860e+00,4.977656178664103398e-02,-2.034965230055178070e-02
