K,r,r_noisy
2.999999999999999889e-01,2.078129607116950897e-02,1.645789601575848443e-02
3.017114914425427785e-01,2.088568431580518220e-02,9.584716596900952346e-03
3.034229828850855681e-01,2.099005957915721712e-02,2.772849615843701529e-02
3.051344743276283578e-01,2.109442844617909207e-02,1.001628246343049672e-02
3.068459657701711474e-01,2.119879764812021908e-02,4.133795347903165829e-02
3.085574572127139370e-01,2.130317406279219616e-02,3.054429442980365408e-02
3.102689486552567266e-01,2.140756471526276961e-02,1.781493533442694843e-02
3.119804400977995162e-01,2.151197677800460034e-02,2.721713409075642714e-02
3.136919315403423059e-01,2.161641756854227464e-02,3.773230846746843115e-02
3.154034229828850955e-01,2.172089455189664051e-02,5.006058861772529067e-02
3.171149144254278851e-01,2.182541533824476285e-02,1.259276868521190529e-02
3.188264058679706192e-01,2.192998768290910575e-02,3.258072499427147606e-02
3.205378973105134088e-01,2.203461948594934855e-02,2.721202577793114044e-02
3.222493887530561985e-01,2.213931879131992089e-02,1.934380844063390489e-02
3.239608801955989881e-01,2.224409378618176850e-02,3.316607561700270213e-02
3.256723716381417777e-01,2.234895279998317871e-02,2.741669580111229937e-02
3.273838630806845673e-01,2.245390430360358347e-02,3.321631266146021777e-02
3.290953545232273569e-01,2.255895690790391331e-02,1.729996636462481641e-02
3.308068459657701466e-01,2.266411936351744177e-02,2.263920459714539868e-02
3.325183374083129362e-01,2.276940055862279599e-02,2.671901202770759001e-02
3.342298288508557258e-01,2.287480951884666297e-02,2.307083308274133007e-02
3.359413202933985154e-01,2.298035540467864221e-02,2.314607979016269912e-02
3.376528117359413050e-01,2.308604751100072974e-02,1.540188253050109139e-02
3.393643031784840947e-01,2.319189526550527805e-02,2.445568915174623978e-02
3.410757946210268843e-01,2.329790822684678006e-02,2.517437220822039620e-02
3.427872860635696739e-01,2.340409608299214711e-02,2.279099630692734552e-02
3.444987775061124635e-01,2.351046865028464522e-02,2.336298923437110653e-02
3.462102689486552531e-01,2.361703587059621814e-02,3.058164092331304082e-02
3.479217603911980428e-01,2.372380781068374883e-02,1.713777692046105847e-02
3.496332518337408324e-01,2.383079465943309730e-02,3.079602258770507833e-02
3.513447432762836220e-01,2.393800672666129489e-02,2.240317391075619460e-02
3.530562347188264116e-01,2.404545444062461748e-02,2.460711532576886559e-02
3.547677261613692012e-01,2.415314834634659999e-02,2.224423306524970362e-02
3.564792176039119909e-01,2.426109910342793760e-02,3.325291998864068205e-02
3.581907090464547805e-01,2.436931748405049558e-02,3.197501666367414536e-02
3.599022004889975701e-01,2.447781437061171197e-02,2.453917236910536231e-02
3.616136919315403597e-01,2.458660075388896873e-02,2.020139060664940395e-02
3.633251833740831493e-01,2.469568773041724494e-02,4.325968529411204633e-02
3.650366748166258835e-01,2.480508650046578389e-02,3.019526822858863147e-02
3.667481662591686731e-01,2.491480836574127070e-02,1.345071043696021047e-02
3.684596577017114627e-01,2.502486472683627602e-02,2.498105223709003522e-02
3.701711491442542523e-01,2.513526708109774591e-02,2.401190682165001491e-02
3.718826405867970419e-01,2.524602702008388322e-02,3.246497650896498083e-02
3.735941320293398316e-01,2.535715622698138730e-02,2.309119864285272966e-02
3.753056234718826212e-01,2.546866647453937399e-02,1.807539418693283537e-02
3.770171149144254108e-01,2.558056962220494820e-02,3.896250685852085949e-02
3.787286063569682004e-01,2.569287761370628309e-02,5.767449818811987844e-03
3.804400977995109900e-01,2.580560247461231166e-02,1.166423173927603509e-02
3.821515892420537797e-01,2.591875630969570771e-02,2.069100053986749552e-02
3.838630806845965693e-01,2.603235130033470721e-02,2.088898080509433292e-02
3.855745721271393589e-01,2.614639970201328503e-02,2.487348721128830251e-02
3.872860635696821485e-01,2.626091384156423181e-02,2.614600338163250437e-02
3.889975550122249381e-01,2.637590611470783455e-02,3.635391459354420096e-02
3.907090464547677278e-01,2.649138898334466030e-02,1.129300321039536197e-02
3.924205378973105174e-01,2.660737497282890385e-02,5.644341654953387299e-02
3.941320293398533070e-01,2.672387666957911842e-02,3.283770943477449383e-02
3.958435207823960411e-01,2.684090671808118597e-02,1.911011143953185096e-02
3.975550122249388307e-01,2.695847781854361289e-02,2.124397060657766748e-02
3.992665036674816204e-01,2.707660272397393111e-02,2.224759979768657289e-02
4.009779951100244100e-01,2.719529423774530788e-02,4.880252967984905627e-03
4.026894865525671996e-01,2.731456521077588878e-02,3.132226290397106122e-02
