N,f,f_noisy
0.000000000000000000e+00,0.000000000000000000e+00,-7.984931789427005553e-04
4.445432318292953655e-03,1.967407857884800643e-05,-2.513506033985946075e-02
8.890864636585907310e-03,7.834566016912656878e-05,5.155880945944402854e-02
1.333629695487886097e-02,1.754899818338380543e-04,9.811449505672418733e-03
1.778172927317181462e-02,3.105840446573254515e-04,1.318151653536842743e-02
2.222716159146476828e-02,4.831067820139650507e-04,-3.675426816274838821e-03
2.667259390975772193e-02,6.925392204471716301e-04,1.858280912875273118e-03
3.111802622805067559e-02,9.383646333394207468e-04,7.673217360648746516e-03
3.556345854634362924e-02,1.220068687553459413e-03,5.122210485096014010e-03
4.000889086463658290e-02,1.537139583224092802e-03,-1.064915014029852412e-02
4.445432318292953655e-02,1.889068186878886321e-03,1.418267596317875079e-02
4.889975550122249021e-02,2.275348158064900098e-03,1.208341051096032369e-02
5.334518781951544386e-02,2.695476069657054032e-03,3.301882986644485637e-04
5.779062013780839752e-02,3.148951522022146957e-03,-1.123591374863641516e-02
6.223605245610135117e-02,3.635277251210675652e-03,-1.395205007259106220e-02
6.668148477439431177e-02,4.153959231346628957e-03,-1.600660739769454999e-02
7.112691709268725848e-02,4.704506771383390115e-03,1.023708794317599452e-02
7.557234941098020520e-02,5.286432606391507950e-03,-1.731698347931408775e-03
8.001778172927316579e-02,5.899252983541890955e-03,2.332046427504153377e-02
8.446321404756612639e-02,6.542487742945381039e-03,-1.121307583219361206e-02
8.890864636585907310e-02,7.215660393507257638e-03,2.173066531192209550e-02
9.335407868415201982e-02,7.918298183952445987e-03,8.456369707703317862e-03
9.779951100244498041e-02,8.649932169174671601e-03,-2.727671873658533627e-03
1.022449433207379410e-01,9.410097272059865167e-03,3.030132011879702741e-02
1.066903756390308877e-01,1.019833234093154607e-02,1.321192834836601437e-02
1.111358079573238344e-01,1.101418020276285700e-02,2.681878232809370780e-02
1.155812402756167950e-01,1.185718771229709104e-02,3.367835992861095001e-02
1.200266725939097556e-01,1.272690579721585599e-02,2.261682226848460431e-02
1.244721049122027023e-01,1.362288949949070141e-02,3.878376225258254109e-03
1.289175372304956491e-01,1.454469801305151820e-02,1.826060706868855993e-02
1.333629695487886235e-01,1.549189471790174237e-02,3.558133239440331580e-02
1.378084018670815702e-01,1.646404721080763078e-02,3.995668653894631980e-03
1.422538341853745170e-01,1.746072733268590194e-02,2.837512954448659711e-02
1.466992665036674637e-01,1.848151119281103705e-02,1.456766932931295375e-02
1.511446988219604104e-01,1.952597918996067800e-02,9.890549692707384724e-03
1.555901311402533849e-01,2.059371603061457140e-02,9.357875723341698912e-03
1.600355634585463316e-01,2.168431074431982630e-02,5.951617621282809245e-05
1.644809957768392783e-01,2.279735669633194822e-02,1.750221749584539993e-02
1.689264280951322528e-01,2.393245159763891100e-02,3.151142338088866457e-02
1.733718604134251995e-01,2.508919751247202373e-02,-1.444979973177566712e-02
1.778172927317181462e-01,2.626720086340520247e-02,1.826789945740322357e-02
1.822627250500110929e-01,2.746607243414089100e-02,3.161261730316438506e-02
1.867081573683040396e-01,2.868542737007890794e-02,2.073182176637326790e-02
1.911535896865970141e-01,2.992488517676099649e-02,4.467121227741188000e-02
1.955990220048899608e-01,3.118406971628185503e-02,1.496864268757116395e-02
2.000444543231829075e-01,3.246260920175461639e-02,4.645606230595358127e-02
2.044898866414758820e-01,3.376013618991607207e-02,4.958066872234490746e-02
2.089353189597688287e-01,3.507628757195467573e-02,4.256530533963006485e-02
2.133807512780617754e-01,3.641070456264163674e-02,2.138483594681522826e-02
2.178261835963547222e-01,3.776303268784324957e-02,7.247760478946949081e-02
2.222716159146476689e-01,3.913292177048997150e-02,3.382743448756744820e-02
2.267170482329406433e-01,4.052002591507580798e-02,5.027271345959356819e-02
2.311624805512335901e-01,4.192400349075860871e-02,2.215971058654568962e-02
2.356079128695265368e-01,4.334451711313080935e-02,2.890099716708026401e-02
2.400533451878195113e-01,4.478123362472634372e-02,5.204623626635605793e-02
2.444987775061124580e-01,4.623382407432886226e-02,1.822180857888578212e-02
2.489442098244054047e-01,4.770196369514369955e-02,5.605695831609175395e-02
2.533896421426983792e-01,4.918533188189320310e-02,8.336093965990082344e-02
2.578350744609912981e-01,5.068361216689462601e-02,2.209360208645514551e-02
2.622805067792842726e-01,5.219649219517660116e-02,4.593545987702980782e-02
2.667259390975772471e-01,5.372366369868855629e-02,6.998114823488589542e-02
2.711713714158701660e-01,5.526482246965585404e-02,4.772256635458718005e-02
2.756168037341631405e-01,5.681966833313181753e-02,7.253932768976031897e-02
2.800622360524560595e-01,5.838790511879481809e-02,6.117771992912070245e-02
2.845076683707490339e-01,5.996924063203883104e-02,2.601081641537162509e-02
2.889531006890420084e-01,6.156338662440231924e-02,9.553894550849879874e-03
2.933985330073349274e-01,6.317005876337968007e-02,5.738397092439954938e-02
2.978439653256279018e-01,6.478897660165802708e-02,8.214897778361830716e-02
3.022893976439208208e-01,6.641986354581938534e-02,4.880651948025414855e-02
3.067348299622137953e-01,6.806244682454901107e-02,9.167163288115845465e-02
3.111802622805067697e-01,6.971645745638599401e-02,3.721228583659047517e-02
3.156256945987996887e-01,7.138163021705427880e-02,8.338157979207738713e-02
3.200711269170926632e-01,7.305770360640818917e-02,6.840306883760233214e-02
3.245165592353856376e-01,7.474441981502655263e-02,7.154310000879637865e-02
3.289619915536785566e-01,7.644152469048777487e-02,6.847459431872456037e-02
3.334074238719715311e-01,7.814876770335753287e-02,6.409118350729336999e-02
3.378528561902645055e-01,7.986590191291798035e-02,7.717816810250924253e-02
3.422982885085574245e-01,8.159268393266842778e-02,5.866708094364563031e-02
3.467437208268503990e-01,8.332887389562441960e-02,1.007232484552837426e-01
3.511891531451433179e-01,8.507423541944154899e-02,6.092398825508429233e-02
3.556345854634362924e-01,8.682853557139022516e-02,9.787095794613227817e-02
3.600800177817292669e-01,8.859154483320454132e-02,6.667668174564851669e-02
3.645254501000221858e-01,9.036303706582972384e-02,6.316348391623677339e-02
3.689708824183151603e-01,9.214278947408981180e-02,1.038922424503674058e-01
3.734163147366080793e-01,9.393058257129678623e-02,1.003244865850174694e-01
3.778617470549010537e-01,9.572620014382232645e-02,9.647990285210808481e-02
3.823071793731940282e-01,9.752942921565091461e-02,1.322720248586827796e-01
3.867526116914869472e-01,9.934006001293355093e-02,8.375599930313706865e-02
3.911980440097799216e-01,1.011578859285594545e-01,1.193899704125625655e-01
3.956434763280728961e-01,1.029827034867632357e-01,1.091987628198712312e-01
4.000889086463658151e-01,1.048143123077829170e-01,1.387691269212926182e-01
4.045343409646587896e-01,1.066525150725858434e-01,8.496865415745569194e-02
4.089797732829517640e-01,1.084971174876748906e-01,1.009695346113572700e-01
4.134252056012446830e-01,1.103479282499913727e-01,9.963157721132040456e-02
4.178706379195376575e-01,1.122047590119264054e-01,9.437713265238180382e-02
4.223160702378305764e-01,1.140674243464537968e-01,8.368205802586337061e-02
4.267615025561235509e-01,1.159357417123967476e-01,1.108735597127652878e-01
4.312069348744165254e-01,1.178095314198395888e-01,1.117559977872348981e-01
