t,N1,N2,dN1_dt,dN1_dt_noisy
0.000000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+01,6.837569837569838604e+00,6.726589251321779095e+00
1.111358079573238414e-02,2.007609803469591370e+01,1.504704350348600705e+01,6.857027812622260576e+00,6.828234211335350246e+00
2.222716159146476828e-02,2.015241215930085161e+01,1.509418751400008674e+01,6.876457235243734090e+00,6.850143873619032320e+00
3.334074238719715588e-02,2.022894205082903341e+01,1.514143188396365680e+01,6.895857081570719416e+00,6.872175332363089417e+00
4.445432318292953655e-02,2.030568737516903255e+01,1.518877646270024151e+01,6.915226322653132307e+00,7.027106494022598682e+00
5.556790397866191722e-02,2.038264778654901477e+01,1.523622109639344657e+01,6.934563924381265565e+00,6.947874884287327468e+00
6.668148477439431177e-02,2.045982292753107146e+01,1.528376562808647954e+01,6.953868847577664880e+00,6.989759014838679008e+00
7.779506557012669243e-02,2.053721242901123389e+01,1.533140989768215157e+01,6.973140048091660326e+00,6.973719811268206392e+00
8.890864636585907310e-02,2.061481591021948034e+01,1.537915374194287210e+01,6.992376476894871296e+00,6.902535545610426482e+00
1.000222271615914538e-01,2.069263297871971830e+01,1.542699699449065776e+01,7.011577080177601395e+00,7.028760840793877307e+00
1.111358079573238344e-01,2.077066323040979512e+01,1.547493948580712164e+01,7.030740799446185463e+00,7.103360218219777700e+00
1.222493887530562290e-01,2.084890624952149807e+01,1.552298104323348227e+01,7.049866571621234534e+00,7.061590277122973269e+00
1.333629695487886235e-01,2.092736160862055428e+01,1.557112149097055998e+01,7.068953329136807184e+00,7.014151887820860409e+00
1.444765503445210042e-01,2.100602886769043920e+01,1.561936065010318053e+01,7.087999999759369452e+00,6.965880351198697085e+00
1.555901311402533849e-01,2.108490757149138517e+01,1.566769833864206340e+01,7.107005505889198993e+00,7.269484206340353083e+00
1.667037119359857655e-01,2.116399725809773713e+01,1.571613437127416013e+01,7.125968767284793337e+00,7.047227747487903038e+00
1.778172927317181462e-01,2.124329745395543156e+01,1.576466855952776136e+01,7.144888699634973861e+00,7.065430119725448321e+00
