c,r,N_eq,N_eq_noisy
7.071115012974338754e+00,2.655112331719835517e+00,8.306011691767072591e+01,8.351006846773390180e+01
6.650520335944492878e+00,2.586744370245470659e+00,8.282399506667272249e+01,8.259480742596362290e+01
7.830330386970224543e-01,1.726328214451940291e+00,8.673259525584438734e+01,8.607555257770881951e+01
7.057736306386216185e+00,2.342691476476201462e+00,8.156205598096298104e+01,8.189140481909717550e+01
3.257725919730836139e+00,2.959602106827277979e+00,8.553741466650586744e+01,8.601512759595823354e+01
4.555947174682536627e+00,2.081723983959079316e+00,8.072821365502159097e+01,8.099052917352771885e+01
9.808083880684486999e+00,2.683131050961544695e+00,8.285837430294138528e+01,8.157923960055690316e+01
7.378777575126754806e-01,1.751697463611905814e+00,8.725695114269528574e+01,8.648928052423430302e+01
1.918443423898504641e+00,1.507846111323399407e+00,7.956758089413052915e+01,7.987439624377275038e+01
1.172379907885287231e+00,2.926320412582164465e+00,8.915509466214537326e+01,8.990227763898704438e+01
8.501240928826680587e+00,1.805060610424766843e+00,7.799488349261076792e+01,7.724759235127045542e+01
7.023449528109554585e+00,2.895196013761895060e+00,8.406047319685055186e+01,8.454563594197908571e+01
2.522282077529888422e+00,1.381194723972190008e+00,7.706448383676382718e+01,7.762402643423293114e+01
1.379794077395676499e+00,2.981289230144179569e+00,8.858583514203196785e+01,8.859454043081150587e+01
7.109335890648942780e+00,8.622837050340702580e-01,6.733964363278508358e+01,6.667007691987146245e+01
2.007273210958419263e+00,2.304243263603162450e+00,8.440445527548149585e+01,8.408429850033789421e+01
2.897813135472517398e+00,1.488361768946829589e+00,7.752416138260750245e+01,7.734316118763011616e+01
7.089594537811597874e+00,1.995330310399940466e+00,7.952773167649613129e+01,7.987318283189581791e+01
7.453770181155418006e-01,1.775401622336019836e+00,8.731092968157045675e+01,8.776059748869273847e+01
3.163959493467386697e+00,2.839869184625888110e+00,8.516786724712572720e+01,8.467444286987671376e+01
5.113542151160507032e+00,7.903302924830507559e-01,6.650241158354964455e+01,6.645134407865658943e+01
