S,g,g_noisy
1.000000000000000056e-01,-1.150737664004690131e-01,-1.148187508520200628e-01
1.001536577255102561e-01,-1.148763026117304298e-01,-1.119295163330226994e-01
1.003075515579866378e-01,-1.146787155809045333e-01,-1.128488274457402629e-01
1.004616818602256656e-01,-1.144810052461703309e-01,-1.231781251975193892e-01
1.006160489955814641e-01,-1.142831715456817943e-01,-1.259775313796218654e-01
1.007706533279663641e-01,-1.140852144175697469e-01,-1.106407714409440024e-01
1.009254952218519713e-01,-1.138871337999399214e-01,-1.095822826529548599e-01
1.010805750422698462e-01,-1.136889296308741248e-01,-9.464943473092449211e-02
1.012358931548125035e-01,-1.134906018484293511e-01,-1.196015064503917896e-01
1.013914499256341889e-01,-1.132921503906388350e-01,-1.091892742648605946e-01
1.015472457214518232e-01,-1.130935751955107760e-01,-1.113593027041292899e-01
1.017032809095457235e-01,-1.128948762010288931e-01,-1.150718117573461263e-01
1.018595558577606586e-01,-1.126960533451526469e-01,-1.255426070320074250e-01
1.020160709345065558e-01,-1.124971065658164626e-01,-1.272438909836442200e-01
1.021728265087594734e-01,-1.122980358009304513e-01,-9.277259332641998868e-02
1.023298229500623768e-01,-1.120988409883795223e-01,-1.169500355357949023e-01
1.024870606285261387e-01,-1.118995220660240486e-01,-9.161374817588816000e-02
1.026445399148302601e-01,-1.117000789716993681e-01,-1.045623930346505637e-01
1.028022611802238556e-01,-1.115005116432161714e-01,-1.176668878579564537e-01
1.029602247965265283e-01,-1.113008200183598362e-01,-1.066871245259826961e-01
1.031184311361291323e-01,-1.111010040348912042e-01,-1.260921087056413870e-01
1.032768805719947863e-01,-1.109010636305454156e-01,-1.154884476433214180e-01
1.034355734776596647e-01,-1.107009987430325193e-01,-1.103759422882192726e-01
1.035945102272339546e-01,-1.105008093100378619e-01,-1.071149205289843448e-01
1.037536911954026198e-01,-1.103004952692211438e-01,-1.151915357316279503e-01
1.039131167574264408e-01,-1.101000565582167523e-01,-1.200728920312363612e-01
1.040727872891427236e-01,-1.098994931146338172e-01,-1.112191345072647553e-01
1.042327031669663812e-01,-1.096988048760559331e-01,-1.083861809456158759e-01
1.043928647678906002e-01,-1.094979917800411595e-01,-1.129812128430338070e-01
1.045532724694879650e-01,-1.092970537641221318e-01,-1.104302164935982156e-01
1.047139266499111238e-01,-1.090959907658060613e-01,-9.899648715144299116e-02
1.048748276878938845e-01,-1.088948027225735693e-01,-9.518800589973926141e-02
1.050359759627519096e-01,-1.086934895718806859e-01,-9.494980454715327978e-02
1.051973718543837977e-01,-1.084920512511570734e-01,-1.156826125474027800e-01
1.053590157432718194e-01,-1.082904876978064701e-01,-1.116179617880642683e-01
1.055209080104829583e-01,-1.080887988492067464e-01,-1.014928385872580913e-01
1.056830490376696324e-01,-1.078869846427101820e-01,-1.034665506351819947e-01
1.058454392070708183e-01,-1.076850450156424666e-01,-9.139748354578812461e-02
1.060080789015127728e-01,-1.074829799053033663e-01,-1.071397108299386586e-01
1.061709685044099627e-01,-1.072807892489667236e-01,-9.722177292392654435e-02
1.063341083997660780e-01,-1.070784729838797356e-01,-1.112197545224973688e-01
1.064974989721747672e-01,-1.068760310472637309e-01,-1.124591402339857743e-01
1.066611406068207479e-01,-1.066734633763133933e-01,-1.094206978222437565e-01
1.068250336894804864e-01,-1.064707699081970937e-01,-9.439091159341914117e-02
1.069891786065233497e-01,-1.062679505800565583e-01,-1.239724604533365138e-01
1.071535757449122439e-01,-1.060650053290073669e-01,-1.116615422596124313e-01
1.073182254922048079e-01,-1.058619340921380103e-01,-1.171008440297765518e-01
1.074831282365541069e-01,-1.056587368065106669e-01,-1.069724774280298302e-01
1.076482843667097011e-01,-1.054554134091604256e-01,-9.702534622306108192e-02
1.078136942720183955e-01,-1.052519638370960076e-01,-9.951437973029075845e-02
1.079793583424253911e-01,-1.050483880272989889e-01,-9.961083650245208809e-02
1.081452769684749377e-01,-1.048446859167239120e-01,-1.179005137493780581e-01
1.083114505413114992e-01,-1.046408574422984517e-01,-1.004392530830307273e-01
1.084778794526804480e-01,-1.044369025409234708e-01,-8.963812777795021614e-02
1.086445640949292163e-01,-1.042328211494722434e-01,-1.004198868371972697e-01
1.088115048610080321e-01,-1.040286132047910650e-01,-9.052958356442628030e-02
1.089787021444709320e-01,-1.038242786436988641e-01,-1.151636349665572656e-01
1.091461563394767603e-01,-1.036198174029871466e-01,-1.005194193483352066e-01
1.093138678407898773e-01,-1.034152294194204957e-01,-9.252381465054207443e-02
1.094818370437813521e-01,-1.032105146297354059e-01,-1.038203367058496279e-01
1.096500643444296708e-01,-1.030056729706414487e-01,-1.146628195517649385e-01
1.098185501393218882e-01,-1.028007043788197739e-01,-1.167090858018281080e-01
1.099872948256543220e-01,-1.025956087909246084e-01,-1.117606539095490625e-01
1.101562988012337041e-01,-1.023903861435819795e-01,-1.030957082959555876e-01
1.103255624644779720e-01,-1.021850363733903810e-01,-1.132180372902556464e-01
1.104950862144173235e-01,-1.019795594169198849e-01,-1.085889086685186133e-01
1.106648704506949937e-01,-1.017739552107134737e-01,-1.144413137845087386e-01
1.108349155735684349e-01,-1.015682236912853753e-01,-1.086983654903771052e-01
1.110052219839099963e-01,-1.013623647951217288e-01,-1.036006700442752004e-01
1.111757900832081175e-01,-1.011563784586810288e-01,-1.042545357967648717e-01
1.113466202735680366e-01,-1.009502646183927932e-01,-1.013370284554878653e-01
1.115177129577129694e-01,-1.007440232106591171e-01,-9.643857636267479105e-02
1.116890685389848592e-01,-1.005376541718526751e-01,-9.013647566170186753e-02
1.118606874213454866e-01,-1.003311574383182747e-01,-9.876071662026568443e-02
1.120325700093772608e-01,-1.001245329463722467e-01,-1.163268539356422382e-01
1.122047167082843577e-01,-9.991778063230211115e-02,-9.312432896463462839e-02
1.123771279238935661e-01,-9.971090043236652267e-02,-1.053719205791769364e-01
1.125498040626551760e-01,-9.950389228279582499e-02,-9.329111618117615079e-02
1.127227455316441446e-01,-9.929675611979082994e-02,-1.015349652973961542e-01
1.128959527385607758e-01,-9.908949187952437176e-02,-9.146537306135531231e-02
