t,v,brake_temperature,cart_position,dv_dt
0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.614779024045122302e+00
6.001200240048009185e-03,1.999030362648831272e+01,7.197825687308370690e-02,1.199949156097594449e-01,-1.616693963474254758e+00
1.200240048009601837e-02,1.998059585327877841e+01,1.438842277622942034e-01,2.399316070576630600e-01,-1.618578047689740229e+00
1.800360072014402929e-02,1.997087686745782875e+01,2.157179221040944894e-01,3.598100064606701842e-01,-1.620430657953680242e+00
2.400480096019203674e-02,1.996114685977309122e+01,2.874793499065148583e-01,4.796300470912165936e-01,-1.622251181479529736e+00
3.000600120024004419e-02,1.995140602457885848e+01,3.591685217624648874e-01,5.993916634047918857e-01,-1.624039011587870229e+00
3.600720144028805858e-02,1.994165455983609547e+01,4.307854488497331880e-01,7.190947910399380083e-01,-1.625793547868590094e+00
4.200840168033606603e-02,1.993189266711242524e+01,5.023301429309875443e-01,8.387393668182503426e-01,-1.627514196341704356e+00
4.800960192038407348e-02,1.992212055157226658e+01,5.738026163552913950e-01,9.583253287475591575e-01,-1.629200369615272814e+00
5.401080216043208093e-02,1.991233842024851697e+01,6.452028823238310506e-01,1.077852616579324518e+00,-1.630851486787187499e+00
6.001200240048008838e-02,1.990254648516894420e+01,7.165309544242353113e-01,1.197321170830007109e+00,-1.632466974064239018e+00
6.601320264052809583e-02,1.989274496319467289e+01,7.877868466735513664e-01,1.316730932870816995e+00,-1.634046264895273826e+00
7.201440288057611716e-02,1.988293407417952707e+01,8.589705738026576221e-01,1.436081845524622924e+00,-1.635588799851523278e+00
7.801560312062412461e-02,1.987311404097001244e+01,9.300821512562613691e-01,1.555373853065953549e+00,-1.637094026776959366e+00
8.401680336067213206e-02,1.986328508940534832e+01,1.001121595192900893e+00,1.674606901220996757e+00,-1.638561400936798584e+00
9.001800360072013951e-02,1.985344744831742858e+01,1.072088922484944806e+00,1.793780937167599454e+00,-1.639990385164077802e+00
9.601920384076814696e-02,1.984360134953085364e+01,1.142984150718590719e+00,1.912895909535269112e+00,-1.641380450004251923e+00
1.020204040808161544e-01,1.983374702786291977e+01,1.213807298193868345e+00,2.031951768405170888e+00,-1.642731073857730983e+00
1.080216043208641619e-01,1.982388472112360489e+01,1.284558383924635727e+00,2.150948465310130953e+00,-1.644041743120309595e+00
