t,theta,omega,wake_drag_angular_acceleration,domega_dt
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.379863241070324875e+00
4.000800160032006413e-03,9.999330073140487718e-01,-3.347166514814953198e-02,-3.719631167196889858e-07,-8.352969312324926676e+00
8.001600320064012825e-03,9.997323080186603095e-01,-6.684262533704660170e-02,-2.954022925337583340e-06,-8.330085736521439799e+00
1.200240048009601837e-02,9.993982663108671449e-01,-1.001333433130141004e-01,-9.899467401203383257e-06,-8.312853622410132814e+00
1.600320064012802565e-02,9.989311594324296051e-01,-1.333650111574856134e-01,-2.330595640190409232e-05,-8.300287605742989072e+00
2.000400080016003293e-02,9.983311910739481876e-01,-1.665527667952056701e-01,-4.522134889685034114e-05,-8.290610640319188818e+00
2.400480096019203674e-02,9.975985178642894358e-01,-1.997050211284123744e-01,-7.764709646730981820e-05,-8.282341740991743251e+00
2.800560112022404402e-02,9.967332737413215904e-01,-2.328253239491006599e-01,-1.225397578038332075e-04,-8.274518508211031076e+00
3.200640128025605130e-02,9.957355845194550970e-01,-2.659142525943196667e-01,-1.818114771700380045e-04,-8.266582312852643000e+00
3.600720144028805858e-02,9.946055775209472483e-01,-2.989706456439898963e-01,-2.573301447465156677e-04,-8.258225654066002619e+00
4.000800160032006586e-02,9.933433869436860686e-01,-3.319924828436726094e-01,-3.509193606009304556e-04,-8.249282814203583669e+00
4.400880176035207314e-02,9.919491558907029827e-01,-3.649772126889365143e-01,-4.643583643734527987e-04,-8.239664473598233840e+00
4.800960192038407348e-02,9.904230383822035799e-01,-3.979220178495059268e-01,-5.993822223900504686e-04,-8.229321491275712219e+00
5.201040208041608076e-02,9.887652000937285912e-01,-4.308239453538396102e-01,-7.576817062856025520e-04,-8.218225554727462523e+00
5.601120224044808804e-02,9.869758186284945944e-01,-4.636799461627502117e-01,-9.409032019714892161e-04,-8.206359025191893863e+00
6.001200240048009532e-02,9.850550839018447080e-01,-4.964869077453741841e-01,-1.150648927301924909e-03,-8.193709655658372171e+00
6.401280256051210260e-02,9.830031984138171142e-01,-5.292416790324151465e-01,-1.388477095128812320e-03,-8.180267855840630986e+00
6.801360272054410294e-02,9.808203773602142128e-01,-5.619410734286964804e-01,-1.655901653839597469e-03,-8.166025280803452802e+00
7.201440288057611716e-02,9.785068486988341974e-01,-5.945818711952545188e-01,-1.954392286963306091e-03,-8.150974104218159155e+00
7.601520304060811750e-02,9.760628533438565624e-01,-6.271608218965555315e-01,-2.285374772928776711e-03,-8.135106646427242794e+00
8.001600320064013172e-02,9.734886453002931095e-01,-6.596746443435486107e-01,-2.650230928102220891e-03,-8.118415186173860931e+00
8.401680336067213206e-02,9.707844917740753310e-01,-6.921200260774629243e-01,-3.050298334132212248e-03,-8.100891867492572729e+00
