t,s,v,dv_dt
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.810000000000000497e+00
1.000200040008001603e-03,4.906962187452353644e-06,9.811960787581071319e-03,9.809995186271276424e+00
2.000400080016003206e-03,1.962784393466657581e-05,1.962391194587886911e-02,9.809980745103997535e+00
3.000600120024004593e-03,4.416263079461096419e-05,2.943584384552930255e-02,9.809956676554856259e+00
4.000800160032006413e-03,7.851129868821333060e-05,3.924774685710621935e-02,9.809922980718331686e+00
5.001000200040008233e-03,1.226738139058580843e-04,4.905961135141483076e-02,9.809879657726703783e+00
6.001200240048009185e-03,1.766501331073952615e-04,5.887142769949341853e-02,9.809826707750032071e+00
7.001400280056011005e-03,2.404402033221409655e-04,6.868318627261339737e-02,9.809764130996173392e+00
8.001600320064012825e-03,3.140439619488765810e-04,7.849487744227921782e-02,9.809691927710765924e+00
9.001800360072014645e-03,3.974613367558498716e-04,8.830649158022846335e-02,9.809610098177239834e+00
1.000200040008001647e-02,4.906922458807736788e-04,9.811801905843178795e-02,9.809518642716803072e+00
1.100220044008801829e-02,5.937365978308271420e-04,1.079294502490929369e-01,9.809417561688446696e+00
1.200240048009601837e-02,7.065942935186922663e-04,1.177407755740400852e-01,9.809306855488362231e+00
1.300260052010402019e-02,8.292652246836810940e-04,1.275519854659175334e-01,9.809186524550185027e+00
1.400280056011202201e-02,9.617492702531486599e-04,1.373630702804220782e-01,9.809056569346157772e+00
1.500300060012002383e-02,1.104046299544128237e-03,1.471740203744396069e-01,9.808916990386341794e+00
1.600320064012802565e-02,1.256156172288471493e-03,1.569848261066565942e-01,9.808767788218613504e+00
1.700340068013602574e-02,1.418078738632845993e-03,1.667954778375601577e-01,9.808608963428646632e+00
1.800360072014402929e-02,1.589813839138738780e-03,1.766059659294382800e-01,9.808440516639906903e+00
1.900380076015202938e-02,1.771361304782452907e-03,1.864162807463793647e-01,9.808262448513634268e+00
2.000400080016003293e-02,1.962720956955110903e-03,1.962264126542726528e-01,9.808074759748842908e+00
2.100420084016803302e-02,2.163892607462649352e-03,2.060363520208078614e-01,9.807877451082298137e+00
2.200440088017603657e-02,2.374876058525827137e-03,2.158460892154756006e-01,9.807670523288519959e+00
2.300460092018403666e-02,2.595671102780216545e-03,2.256556146095669291e-01,9.807453977179759974e+00
2.400480096019203674e-02,2.826277523276209125e-03,2.354649185761737151e-01,9.807227813605996047e+00
2.500500100020004030e-02,3.066695093479015252e-03,2.452739914901884699e-01,9.806992033454923430e+00
2.600520104020804038e-02,3.316923577268659790e-03,2.550828237283042643e-01,9.806746637651940546e+00
2.700540108021604394e-02,3.576962728939989036e-03,2.648914056690149232e-01,9.806491627160134783e+00
2.800560112022404402e-02,3.846812293202664206e-03,2.746997276926150255e-01,9.806227002980280716e+00
2.900580116023204758e-02,4.126472005181163610e-03,2.845077801811995988e-01,9.805952766150818789e+00
3.000600120024004766e-02,4.415941590414782653e-03,2.943155535186643412e-01,9.805668917747849989e+00
3.100620124024805122e-02,4.715220764857640766e-03,3.041230380907059550e-01,9.805375458885125184e+00
3.200640128025605130e-02,5.024309234878666236e-03,3.139302242848214242e-01,9.805072390714023811e+00
3.300660132026405486e-02,5.343206697261610946e-03,3.237371024903085148e-01,9.804759714423559203e+00
3.400680136027205147e-02,5.671912839205037367e-03,3.335436630982656636e-01,9.804437431240350165e+00
