t,x,v,Fh,Fh2,dx_dt
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000800160032006413e-03,9.999915955943051715e-01,-4.201619872775217736e-03,4.190781424622383455e-03,8.028096185348185558e-04,-4.201619872775217736e-03
8.001600320064012825e-03,9.999663783162194841e-01,-8.404740701467371122e-03,8.361462426792285602e-03,1.610872580758096950e-03,-8.404740701467371122e-03
1.200240048009601837e-02,9.999243423362637051e-01,-1.260927475854378525e-02,1.251206841134509459e-02,2.424120340544367539e-03,-1.260927475854378525e-02
1.600320064012802565e-02,9.998654821749126675e-01,-1.681513426703067776e-02,1.664262454438709266e-02,3.242484611741329806e-03,-1.681513426703067776e-02
2.000400080016003293e-02,9.997897927043403188e-01,-2.102223142788008092e-02,2.075315578751243950e-02,4.065897359499772573e-03,-2.102223142788008092e-02
2.400480096019203674e-02,9.996972691484239393e-01,-2.523047842002315577e-02,2.484368689786982387e-02,4.894290800256504217e-03,-2.523047842002315577e-02
2.800560112022404402e-02,9.995879070827438095e-01,-2.943978740037016956e-02,2.891424242816240109e-02,5.727597401734348982e-03,-2.943978740037016956e-02
3.200640128025605130e-02,9.994617024345833212e-01,-3.365007050381049747e-02,3.296484672664786592e-02,6.565749882942151748e-03,-3.365007050381049747e-02
3.600720144028805858e-02,9.993186514829285327e-01,-3.786123984321263652e-02,3.699552393713841092e-02,7.408681214174773697e-03,-3.786123984321263652e-02
4.000800160032006586e-02,9.991587508584690580e-01,-4.207320750942419862e-02,4.100629799900071260e-02,8.256324617013097514e-03,-4.207320750942419862e-02
4.400880176035207314e-02,9.989819975436488031e-01,-4.628588557516472718e-02,4.499719265163130283e-02,9.108613563288823350e-03,-4.628588557516472718e-02
4.800960192038407348e-02,9.987883888729061077e-01,-5.049918613486403113e-02,4.896823148052776437e-02,9.965481764887122382e-03,-5.049918613486403113e-02
5.201040208041608076e-02,9.985779225311967044e-01,-5.471302122290200298e-02,5.291943782382642347e-02,1.082686319600373488e-02,-5.471302122290200298e-02
5.601120224044808804e-02,9.983505965551630057e-01,-5.892730286366632680e-02,5.685083482957400264e-02,1.169269207912762565e-02,-5.892730286366632680e-02
6.001200240048009532e-02,9.981064093334854892e-01,-6.314194309244745840e-02,6.076244547969537890e-02,1.256290287938294052e-02,-6.314194309244745840e-02
6.401280256051210260e-02,9.978453596068823650e-01,-6.735685395543865306e-02,6.465429258999359774e-02,1.343743030452900292e-02,-6.735685395543865306e-02
6.801360272054410294e-02,9.975674464681100195e-01,-7.157194750973594477e-02,6.852639881014985224e-02,1.431620930496031903e-02,-7.157194750973594477e-02
7.201440288057611716e-02,9.972726693619625715e-01,-7.578713582333818088e-02,7.237878662372354555e-02,1.519917507370657610e-02,-7.578713582333818088e-02
7.601520304060811750e-02,9.969610280852722051e-01,-8.000233097514697356e-02,7.621147834815214517e-02,1.608626304643263547e-02,-8.000233097514697356e-02
8.001600320064013172e-02,9.966325227869089476e-01,-8.421744505496671362e-02,8.002449613475139112e-02,1.697740890143854819e-02,-8.421744505496671362e-02
8.401680336067213206e-02,9.962871539677808919e-01,-8.843239016350459836e-02,8.381786196871507388e-02,1.787254855965953598e-02,-8.843239016350459836e-02
8.801760352070414628e-02,9.959249224808338630e-01,-9.264707841237063146e-02,8.759159766911524259e-02,1.877161818466601198e-02,-9.264707841237063146e-02
