t,theta,omega,psi,chi,dtheta_dt
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000800160032006413e-03,1.999897200627940963e+00,-5.139051366469377102e-02,1.777672946341082698e-04,8.867546533274490994e-02,-5.139051366469377102e-02
8.001600320064012825e-03,1.999588785455930662e+00,-1.027871701300996921e-01,7.078096372536383119e-04,1.760494054571133671e-01,-1.027871701300996921e-01
1.200240048009601837e-02,1.999074731950368999e+00,-1.541889424353856675e-01,1.584289617250383628e-03,2.618079349992669669e-01,-1.541889424353856675e-01
1.600320064012802565e-02,1.998355021760104933e+00,-2.055947660543357425e-01,2.800129113995567052e-03,3.456449122204464652e-01,-2.055947660543357425e-01
2.000400080016003293e-02,1.997429640875358459e+00,-2.570035345088081957e-01,4.347042840451393990e-03,4.272632375875654032e-01,-2.570035345088081957e-01
2.400480096019203674e-02,1.996298579804246964e+00,-3.084140949781044028e-01,6.215577093182643800e-03,5.063761520632830138e-01,-3.084140949781044028e-01
2.800560112022404402e-02,1.994961833767042503e+00,-3.598252438628051775e-01,8.395153693168027134e-03,5.827085185348874763e-01,-3.598252438628051775e-01
3.200640128025605130e-02,1.993419402909100135e+00,-4.112357222625600550e-01,1.087411919348870576e-02,6.559980704957573128e-01,-4.112357222625600550e-01
3.600720144028805858e-02,1.991671292530381665e+00,-4.626442113902309305e-01,1.363979853790655249e-02,7.259965979229756616e-01,-4.626442113902309305e-01
4.000800160032006586e-02,1.989717513334171795e+00,-5.140493278720135173e-01,1.667855348512304811e-02,7.924710671522683381e-01,-5.140493278720135173e-01
4.400880176035207314e-02,1.987558081695610213e+00,-5.654496189398755535e-01,1.997584561794895491e-02,8.552046583781638400e-01,-5.654496189398755535e-01
4.800960192038407348e-02,1.985193019950257431e+00,-6.168435575391847392e-01,2.351630341041793457e-02,9.139976993458847065e-01,-6.168435575391847392e-01
5.201040208041608076e-02,1.982622356698694910e+00,-6.682295374392154264e-01,2.728379177150005996e-02,9.686684740895458168e-01,-6.682295374392154264e-01
5.601120224044808804e-02,1.979846127133481293e+00,-7.196058683046148152e-01,3.126148555912198340e-02,1.019053921748606983e+00,-7.196058683046148152e-01
6.001200240048009532e-02,1.976864373388939500e+00,-7.709707707774630103e-01,3.543194627977181571e-02,1.065010202658422500e+00,-7.709707707774630103e-01
6.401280256051210260e-02,1.973677144902454161e+00,-8.223223717628181939e-01,3.977719847572826900e-02,1.106413112207236038e+00,-8.223223717628181939e-01
6.801360272054410294e-02,1.970284498799095285e+00,-8.736586998454904940e-01,4.427880938380825138e-02,1.143158375660797255e+00,-8.736586998454904940e-01
7.201440288057611716e-02,1.966686500299061224e+00,-9.249776809160237256e-01,4.891797025705026114e-02,1.175161798582793571e+00,-9.249776809160237256e-01
7.601520304060811750e-02,1.962883223129410437e+00,-9.762771342433641530e-01,5.367557449101740402e-02,1.202359276216002693e+00,-9.762771342433641530e-01
8.001600320064013172e-02,1.958874749961205364e+00,-1.027554768872922963e+00,5.853229957121491855e-02,1.224706693933984125e+00,-1.027554768872922963e+00
8.401680336067213206e-02,1.954661172860776119e+00,-1.078808180519628346e+00,6.346868670335173435e-02,1.242179689426834432e+00,-1.078808180519628346e+00
8.801760352070414628e-02,1.950242593738130026e+00,-1.130034849096187122e+00,6.846521698555252389e-02,1.254773325284152419e+00,-1.130034849096187122e+00
9.201840368073614662e-02,1.945619124827091762e+00,-1.181232136763378016e+00,7.350239206151358562e-02,1.262501649031920525e+00,-1.181232136763378016e+00
9.601920384076814696e-02,1.940790889148763965e+00,-1.232397286763466937e+00,7.856080496930938073e-02,1.265397180904735741e+00,-1.232397286763466937e+00
1.000200040008001612e-01,1.935758020991625417e+00,-1.283527422917569272e+00,8.362121585606445417e-02,1.263510328024194163e+00,-1.283527422917569272e+00
1.040208041608321615e-01,1.930520666394843765e+00,-1.334619549950017969e+00,8.866462144656193922e-02,1.256908725551197925e+00,-1.334619549950017969e+00
1.080216043208641757e-01,1.925078983609388672e+00,-1.385670554536586163e+00,9.367232101319247772e-02,1.245676567305009197e+00,-1.385670554536586163e+00
1.120224044808961761e-01,1.919433143584517776e+00,-1.436677207257707423e+00,9.862598485169021822e-02,1.229913844829295000e+00,-1.436677207257707423e+00
1.160232046409281903e-01,1.913583330408978878e+00,-1.487636165223354734e+00,1.035077108736814772e-01,1.209735636835594041e+00,-1.487636165223354734e+00
1.200240048009601906e-01,1.907529741773928311e+00,-1.538543975607136849e+00,1.083000892299762347e-01,1.185271299159145642e+00,-1.538543975607136849e+00
1.240248049609922049e-01,1.901272589393339985e+00,-1.589397079834230064e+00,1.129862521937079478e-01,1.156663735626440648e+00,-1.589397079834230064e+00
1.280256051210242052e-01,1.894812099422942264e+00,-1.640191818480850827e+00,1.175499316257314214e-01,1.124068589305339039e+00,-1.640191818480850827e+00
1.320264052810562194e-01,1.888148512853440542e+00,-1.690924436925920649e+00,1.219755051019336539e-01,1.087653496698783417e+00,-1.690924436925920649e+00
1.360272054410882059e-01,1.881282085873207999e+00,-1.741591091311578632e+00,1.262480438441856700e-01,1.047597323516517687e+00,-1.741591091311578632e+00
1.400280056011202201e-01,1.874213090222068834e+00,-1.792187855374665739e+00,1.303533565098703995e-01,1.004089396669238354e+00,-1.792187855374665739e+00
1.440288057611522343e-01,1.866941813495874403e+00,-1.842710727210267185e+00,1.342780276442847032e-01,9.573287991728041124e-01,-1.842710727210267185e+00
1.480296059211842485e-01,1.859468559444942493e+00,-1.893155636756035820e+00,1.380094581835193956e-01,9.075235868337634404e-01,-1.893155636756035820e+00
1.520304060812162350e-01,1.851793648224106414e+00,-1.943518453143735947e+00,1.415358966015844155e-01,8.548901186605347702e-01,-1.943518453143735947e+00
1.560312062412482492e-01,1.843917416625383110e+00,-1.993794992242092334e+00,1.448464736058918956e-01,7.996522829643077923e-01,-1.993794992242092334e+00
1.600320064012802634e-01,1.835840218274752855e+00,-2.043981024217180309e+00,1.479312288622758875e-01,7.420408081902762909e-01,-2.043981024217180309e+00
1.640328065613122499e-01,1.827562423799033109e+00,-2.094072280708933587e+00,1.507811376064244757e-01,6.822925276166088571e-01,-2.094072280708933587e+00
1.680336067213442641e-01,1.819084420968713811e+00,-2.144064461992473802e+00,1.533881340423706441e-01,6.206496232214948616e-01,-2.144064461992473802e+00
1.720344068813762783e-01,1.810406614806879810e+00,-2.193953243538063091e+00,1.557451301645902397e-01,5.573589116180012182e-01,-2.193953243538063091e+00
1.760352070414082926e-01,1.801529427678364437e+00,-2.243734282114313583e+00,1.578460338230041060e-01,4.926710431824042891e-01,-2.243734282114313583e+00
1.800360072014402790e-01,1.792453299352363860e+00,-2.293403221351810295e+00,1.596857619314585031e-01,4.268397270873016680e-01,-2.293403221351810295e+00
1.840368073614722932e-01,1.783178687044713051e+00,-2.342955696491940465e+00,1.612602510999420202e-01,3.601209262630611918e-01,-2.342955696491940465e+00
1.880376075215043075e-01,1.773706065444476732e+00,-2.392387338388368700e+00,1.625664652456980663e-01,2.927719974714369511e-01,-2.392387338388368700e+00
1.920384076815362939e-01,1.764035926723864334e+00,-2.441693776646616687e+00,1.636023992025341101e-01,2.250508355908854841e-01,-2.441693776646616687e+00
1.960392078415683081e-01,1.754168780538615025e+00,-2.490870641796063101e+00,1.643670791734505587e-01,1.572149791418416542e-01,-2.490870641796063101e+00
2.000400080016003224e-01,1.744105154022239423e+00,-2.539913566465971329e+00,1.648605594997039903e-01,8.952067876079619624e-02,-2.539913566465971329e+00
2.040408081616323366e-01,1.733845591776580708e+00,-2.588818185539577321e+00,1.650839155433489747e-01,2.222195086627340443e-02,-2.588818185539577321e+00
2.080416083216643230e-01,1.723390655864088128e+00,-2.637580135247521884e+00,1.650392328789793972e-01,-4.443038691852215644e-02,-2.637580135247521884e+00
