t,x,y,vx,vy,dvx_dt
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.504415404684765312e-01
1.000200040008001647e-02,3.999982461849941551e+00,1.000440337521401463e-02,-3.507831860551924308e-03,1.000477757677345814e+00,-3.509833416597033517e-01
2.000400080016003293e-02,3.999929811382041400e+00,2.001350289258636839e-02,-7.021047336767188667e-03,1.000939027725486596e+00,-3.515180319180524759e-01
3.000600120024005113e-02,3.999841995102971115e+00,3.002713325100084610e-02,-1.053957481144084107e-02,1.001383731148164813e+00,-3.520455116303603527e-01
4.000800160032006586e-02,3.999718960247836463e+00,4.004512835643621316e-02,-1.406334166139827126e-02,1.001811788919917401e+00,-3.525656804645362352e-01
5.001000200040008059e-02,3.999560654781660229e+00,5.006732132125602669e-02,-1.759227425616741169e-02,1.002223121987434906e+00,-3.530784373755523897e-01
6.001200240048010226e-02,3.999367027447424228e+00,6.009354444446805832e-02,-2.112629791911799226e-02,1.002617651318181480e+00,-3.535836806316370318e-01
7.001400280056011005e-02,3.999138027682394014e+00,7.012362925802544111e-02,-2.466533699831353205e-02,1.002995297819665454e+00,-3.540813077883005477e-01
8.001600320064013172e-02,3.998873605655249186e+00,8.015740652711692005e-02,-2.820931484294348507e-02,1.003355982383556499e+00,-3.545712157156944433e-01
9.001800360072015339e-02,3.998573712341261466e+00,9.019470622059691522e-02,-3.175815374358442050e-02,1.003699625962642061e+00,-3.550533006382379786e-01
1.000200040008001612e-01,3.998238299522295147e+00,1.002353575109855705e-01,-3.531177493220005736e-02,1.004026149570825366e+00,-3.555274581418981783e-01
1.100220044008801829e-01,3.997867319786807982e+00,1.102791887744687810e-01,-3.887009858214128533e-02,1.004335474283126528e+00,-3.559935831816359864e-01
1.200240048009602045e-01,3.997460726529849850e+00,1.203260275908981242e-01,-4.243304380814608145e-02,1.004627521235682552e+00,-3.564515700890241168e-01
1.300260052010402123e-01,3.997018473953064532e+00,1.303757007437908455e-01,-4.600052866633960735e-02,1.004902211625746888e+00,-3.569013125800299391e-01
1.400280056011202201e-01,3.996540517064687936e+00,1.404280342203300669e-01,-4.957247015423414671e-02,1.005159466711689431e+00,-3.573427037629777203e-01
1.500300060012002556e-01,3.996026811679548985e+00,1.504828532113644812e-01,-5.314878421072916082e-02,1.005399207812996965e+00,-3.577756361466863377e-01
1.600320064012802634e-01,3.995477314544483960e+00,1.605399821199587351e-01,-5.672938565302994285e-02,1.005621356469313499e+00,-3.582000017342161780e-01
1.700340068013602712e-01,3.994891983216034781e+00,1.705992446035379251e-01,-6.031418825120454796e-02,1.005825834300796862e+00,-3.586156919632421114e-01
1.800360072014403068e-01,3.994270776015459656e+00,1.806604635505368317e-01,-6.390310474542384989e-02,1.006012562945892475e+00,-3.590225976792132401e-01
1.900380076015203146e-01,3.993613652191522423e+00,1.907234610668771535e-01,-6.749604675766911199e-02,1.006181464260589964e+00,-3.594206092493998916e-01
2.000400080016003224e-01,3.992920571920507200e+00,2.007880584759673404e-01,-7.109292479172392432e-02,1.006332460318443589e+00,-3.598096165735795160e-01
2.100420084016803579e-01,3.992191496306220611e+00,2.108540763187024825e-01,-7.469364823317410640e-02,1.006465473410570910e+00,-3.601895090949165379e-01
2.200440088017603657e-01,3.991426387379989560e+00,2.209213343534642271e-01,-7.829812534940774893e-02,1.006580426045653898e+00,-3.605601758110612565e-01
2.300460092018403735e-01,3.990625208100662125e+00,2.309896515561209729e-01,-8.190626328961521374e-02,1.006677240949938268e+00,-3.609215052854594097e-01
2.400480096019204090e-01,3.989787922354607996e+00,2.410588461200278143e-01,-8.551796808478913381e-02,1.006755841067233481e+00,-3.612733856588842274e-01
2.500500100020003891e-01,3.988914494955718482e+00,2.511287354560263196e-01,-8.913314464772434387e-02,1.006816149558912965e+00,-3.616157046611904735e-01
2.600520104020804246e-01,3.988004891645404726e+00,2.611991361924449473e-01,-9.275169677301807469e-02,1.006858089803914558e+00,-3.619483496232975273e-01
2.700540108021604602e-01,3.987059079092600378e+00,2.712698641750986295e-01,-9.637352713706970331e-02,1.006881585398739176e+00,-3.622712074893987833e-01
2.800560112022404402e-01,3.986077025083643477e+00,2.813407345174256391e-01,-9.999853725036969565e-02,1.006886560430508615e+00,-3.625841649919529508e-01
2.900580116023204758e-01,3.985058698362051732e+00,2.914115616249126073e-01,-1.036266275120653196e-01,1.006872939266873157e+00,-3.628871085472075153e-01
3.000600120024005113e-01,3.984004068482270622e+00,3.014821591283656788e-01,-1.072576972401265982e-01,1.006840646338663214e+00,-3.631799241363187214e-01
3.100620124024804913e-01,3.982913106072301979e+00,3.115523399161784779e-01,-1.108916445972008835e-01,1.006789606506832913e+00,-3.634624975342802822e-01
3.200640128025605269e-01,3.981785782834063703e+00,3.216219161343988886e-01,-1.145283665905166559e-01,1.006719745062967686e+00,-3.637347143253975013e-01
3.300660132026405624e-01,3.980622071543389762e+00,3.316906991867285548e-01,-1.181677590718833021e-01,1.006630987729284943e+00,-3.639964599187220928e-01
3.400680136027205425e-01,3.979421946050031966e+00,3.417584997345232134e-01,-1.218097167376912676e-01,1.006523260658634067e+00,-3.642476195637430747e-01
3.500700140028005780e-01,3.978185381277656418e+00,3.518251276967926944e-01,-1.254541331289120709e-01,1.006396490434496194e+00,-3.644880783663450030e-01
3.600720144028806136e-01,3.976912353223846619e+00,3.618903922502008097e-01,-1.291009006310981366e-01,1.006250604070984211e+00,-3.647177213050280531e-01
3.700740148029605936e-01,3.975602838960101693e+00,3.719541018290651313e-01,-1.327499104743830316e-01,1.006085529012842317e+00,-3.649364332474006600e-01
3.800760152030406291e-01,3.974256816631838163e+00,3.820160641253577127e-01,-1.364010527334812428e-01,1.005901193135447125e+00,-3.651440989669446635e-01
3.900780156031206647e-01,3.972874265458388177e+00,3.920760860887041455e-01,-1.400542163276883856e-01,1.005697524744806781e+00,-3.653406031600572867e-01
4.000800160032006447e-01,3.971455165732999504e+00,4.021339739263842805e-01,-1.437092890208809259e-01,1.005474452577560962e+00,-3.655258304633733357e-01
4.100820164032806803e-01,3.969999498872062382e+00,4.121895331249645356e-01,-1.473661574249906236e-01,1.005231905880632937e+00,-3.656996655220517978e-01
4.200840168033607158e-01,3.968507247734840870e+00,4.222425686338519002e-01,-1.510247070304989447e-01,1.004969814942562989e+00,-3.658619933504194122e-01
4.300860172034406959e-01,3.966978395964932069e+00,4.322928846157618743e-01,-1.546848221669755441e-01,1.004688110042334603e+00,-3.660126986860445797e-01
4.400880176035207314e-01,3.965412928333700737e+00,4.423402845291208307e-01,-1.583463860143579649e-01,1.004386721984243502e+00,-3.661516663424739249e-01
4.500900180036007669e-01,3.963810830851536515e+00,4.523845711695776983e-01,-1.620092806094237670e-01,1.004065582275610602e+00,-3.662787813418599825e-01
4.600920184036807470e-01,3.962172090767855259e+00,4.624255466700039618e-01,-1.656733868457905823e-01,1.003724623126781568e+00,-3.663939289355995221e-01
4.700940188037607825e-01,3.960496696571097264e+00,4.724630125004940506e-01,-1.693385844739160873e-01,1.003363777451127037e+00,-3.664969946252664701e-01
4.800960192038408181e-01,3.958784637988728594e+00,4.824967694683648389e-01,-1.730047521010980305e-01,1.002982978865043062e+00,-3.665878641838395957e-01
4.900980196039207981e-01,3.957035905987240643e+00,4.925266177181558680e-01,-1.766717671914741217e-01,1.002582161687950224e+00,-3.666664236772275709e-01
5.001000200040007782e-01,3.955250492772151016e+00,5.025523567316294571e-01,-1.803395060660222260e-01,1.002161260942294296e+00,-3.667325594860950666e-01
5.101020204040808137e-01,3.953428391788001761e+00,5.125737853277706479e-01,-1.840078439025601975e-01,1.001720212353546025e+00,-3.667861583279930504e-01
5.201040208041608492e-01,3.951569597718360249e+00,5.225907016627868718e-01,-1.876766547357459070e-01,1.001258952350201126e+00,-3.668271072797948951e-01
5.301060212042408848e-01,3.949674106485820513e+00,5.326029032301083932e-01,-1.913458114570773805e-01,1.000777418063780511e+00,-3.668552938004406294e-01
5.401080216043209203e-01,3.947741915252000577e+00,5.426101868603883105e-01,-1.950151858148925499e-01,1.000275547328830061e+00,-3.668706057539953269e-01
5.501100220044009559e-01,3.945773022417544240e+00,5.526123487215021113e-01,-1.986846484143695302e-01,9.997532786829201878e-01,-3.668729314330197999e-01
