t,x,v,F_relax,T_int,dx_dt
0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
6.001200240048009185e-03,3.002902918972788715e+00,4.674985666840139054e-01,5.338864216691233122e-03,9.989057631790585479e-01,4.674985666840139054e-01
1.200240048009601837e-02,3.005611733456313495e+00,4.353113328829087414e-01,1.062646210985336223e-02,9.977901512254148120e-01,4.353113328829087414e-01
1.800360072014402929e-02,3.008128326677641073e+00,4.034374825060644265e-01,1.586293695966928957e-02,9.966559363025019325e-01,4.034374825060644265e-01
2.400480096019203674e-02,3.010454576907075186e+00,3.718761944283749954e-01,2.104843749914222725e-02,9.955058062728024959e-01,3.718761944283749954e-01
3.000600120024004419e-02,3.012592357388239606e+00,3.406266420413237572e-01,2.618311783044256422e-02,9.943423656178633774e-01,3.406266420413237572e-01
3.600720144028805858e-02,3.014543536338078145e+00,3.096879932529834067e-01,3.126713742490788012e-02,9.931681354382954074e-01,3.096879932529834067e-01
4.200840168033606603e-02,3.016309976882201926e+00,2.790594090614503808e-01,3.630066091306589221e-02,9.919855559694721325e-01,2.790594090614503808e-01
4.800960192038407348e-02,3.017893537352337674e+00,2.487400421362108427e-01,4.128385808199934448e-02,9.907969874184124892e-01,2.487400421362108427e-01
5.401080216043208093e-02,3.019296071056575048e+00,2.187290363182718966e-01,4.621690368536486571e-02,9.896047117504020996e-01,2.187290363182718966e-01
6.001200240048008838e-02,3.020519425966781579e+00,1.890255249121123859e-01,5.109997705857738381e-02,9.884109367648939992e-01,1.890255249121123859e-01
6.601320264052809583e-02,3.021565444718062210e+00,1.596286306812084166e-01,5.593326211796069425e-02,9.872177961049272144e-01,1.596286306812084166e-01
7.201440288057611716e-02,3.022435964608761516e+00,1.305374658480337458e-01,6.071694736074743221e-02,9.860273492571270948e-01,1.305374658480337458e-01
7.801560312062412461e-02,3.023132817609179845e+00,1.017511318971811157e-01,6.545122584186918724e-02,9.848415818541932376e-01,1.017511318971811157e-01
