t,x,v,viscoelastic_damping_force,dv_dt
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.411317651826911046e+00
6.001200240048009185e-03,9.998305830914485659e-01,-5.644282585428787163e-02,-1.692475630103089544e-05,-9.393144454763906026e+00
1.200240048009601837e-02,9.993229858639371965e-01,-1.126681947547130691e-01,-6.756611710465055805e-05,-9.338956852353881288e+00
1.800360072014402929e-02,9.984791569012644308e-01,-1.684626065313549192e-01,-1.516284656784660633e-04,-9.249736980716084744e+00
2.400480096019203674e-02,9.973023046252031953e-01,-2.236203118558576508e-01,-2.686912772911582894e-04,-9.127076920297430007e+00
3.000600120024004419e-02,9.957968400855261581e-01,-2.779467928026869705e-01,-4.182152062088921314e-04,-8.973115012474009333e+00
3.600720144028805858e-02,9.939683003225122659e-01,-3.312617971387399884e-01,-5.995500938963874279e-04,-8.790453201178586085e+00
4.200840168033606603e-02,9.918232549759419259e-01,-3.834018428160124170e-01,-8.119446276948707889e-04,-8.582060965244433959e+00
4.800960192038407348e-02,9.893691993427404796e-01,-4.342221162551233027e-01,-1.054557322844098480e-03,-8.351171919867342197e+00
5.401080216043208093e-02,9.866144384090066444e-01,-4.835977342815505620e-01,-1.326468368913886987e-03,-8.101179190278211095e+00
6.001200240048008838e-02,9.835679655136873034e-01,-5.314244057292997203e-01,-1.626691982971782083e-03,-7.835534978566744080e+00
6.601320264052809583e-02,9.802393371276432177e-01,-5.776185022166525629e-01,-1.954189112467659591e-03,-7.557658621920345432e+00
7.201440288057611716e-02,9.766385507669491650e-01,-6.221166076282335089e-01,-2.307879778149995054e-03,-7.270856781678937786e+00
7.801560312062412461e-02,9.727759264886073343e-01,-6.648746556480795711e-01,-2.686655037029349671e-03,-6.978257590326958137e+00
8.401680336067213206e-02,9.686619927679748221e-01,-7.058666688588240978e-01,-3.089388460415010140e-03,-6.682759534438917903e+00
9.001800360072013951e-02,9.643073844417980878e-01,-7.450832977138968083e-01,-3.514946373669993081e-03,-6.386995370032597208e+00
9.601920384076814696e-02,9.597227458970842839e-01,-7.825301242598685647e-01,-3.962197553330217351e-03,-6.093309511638399734e+00
1.020204040808161544e-01,9.549186479977971320e-01,-8.182259076136033649e-01,-4.430021500948520645e-03,-5.803747943282671073e+00
1.080216043208641619e-01,9.499055140030580047e-01,-8.522007983643984375e-01,-4.917315823169607358e-03,-5.520058426323664058e+00
1.140228045609121693e-01,9.446935561960556615e-01,-8.844945399167214450e-01,-5.423002489207636757e-03,-5.243699143514482408e+00
1.200240048009601768e-01,9.392927242687277856e-01,-9.151548242018598955e-01,-5.946032926711758947e-03,-4.975853867905720485e+00
1.260252050410081981e-01,9.337126614090355270e-01,-9.442356358341600364e-01,-6.485392302590877248e-03,-4.717451626917485541e+00
