theta,a
1.000000000000000056e-01,-4.469134622900051701e-01
1.001400280056011227e-01,-4.467367917656298593e-01
1.002800560112022399e-01,-4.465600687655891798e-01
1.004200840168033709e-01,-4.463832932751368165e-01
1.005601120224044881e-01,-4.462064652795259545e-01
1.007001400280056053e-01,-4.460295847640085576e-01
1.008401680336067224e-01,-4.458526517138357015e-01
1.009801960392078535e-01,-4.456756661142579068e-01
1.011202240448089706e-01,-4.454986279505236957e-01
1.012602520504100878e-01,-4.453215372078819234e-01
1.014002800560112050e-01,-4.451443938715797799e-01
1.015403080616123221e-01,-4.449671979268631228e-01
1.016803360672134532e-01,-4.447899493589775322e-01
1.018203640728145704e-01,-4.446126481531675889e-01
1.019603920784156875e-01,-4.444352942946765417e-01
1.021004200840168047e-01,-4.442578877687467509e-01
1.022404480896179357e-01,-4.440804285606195778e-01
1.023804760952190529e-01,-4.439029166555357175e-01
1.025205041008201701e-01,-4.437253520387346439e-01
1.026605321064212872e-01,-4.435477346954549427e-01
1.028005601120224044e-01,-4.433700646109342003e-01
1.029405881176235354e-01,-4.431923417704086154e-01
1.030806161232246526e-01,-4.430145661591144979e-01
1.032206441288257698e-01,-4.428367377622859924e-01
1.033606721344268869e-01,-4.426588565651570217e-01
1.035007001400280180e-01,-4.424809225529600099e-01
1.036407281456291352e-01,-4.423029357109270476e-01
1.037807561512302523e-01,-4.421248960242888382e-01
1.039207841568313695e-01,-4.419468034782749188e-01
1.040608121624324867e-01,-4.417686580581142164e-01
1.042008401680336177e-01,-4.415904597490345473e-01
1.043408681736347349e-01,-4.414122085362626180e-01
1.044808961792358520e-01,-4.412339044050245240e-01
1.046209241848369692e-01,-4.410555473405448623e-01
1.047609521904381003e-01,-4.408771373280477857e-01
1.049009801960392174e-01,-4.406986743527562256e-01
1.050410082016403346e-01,-4.405201583998917259e-01
1.051810362072414518e-01,-4.403415894546757192e-01
1.053210642128425689e-01,-4.401629675023275290e-01
1.054610922184437000e-01,-4.399842925280667005e-01
1.056011202240448171e-01,-4.398055645171112804e-01
1.057411482296459343e-01,-4.396267834546776498e-01
1.058811762352470515e-01,-4.394479493259822456e-01
1.060212042408481825e-01,-4.392690621162398390e-01
1.061612322464492997e-01,-4.390901218106650350e-01
1.063012602520504168e-01,-4.389111283944698849e-01
1.064412882576515340e-01,-4.387320818528676059e-01
1.065813162632526512e-01,-4.385529821710681397e-01
1.067213442688537822e-01,-4.383738293342822612e-01
1.068613722744548994e-01,-4.381946233277187464e-01
1.070014002800560166e-01,-4.380153641365858164e-01
1.071414282856571337e-01,-4.378360517460904155e-01
1.072814562912582648e-01,-4.376566861414389331e-01
1.074214842968593819e-01,-4.374772673078359819e-01
1.075615123024604991e-01,-4.372977952304861193e-01
1.077015403080616163e-01,-4.371182698945922374e-01
1.078415683136627334e-01,-4.369386912853562288e-01
1.079815963192638645e-01,-4.367590593879796534e-01
1.081216243248649816e-01,-4.365793741876621836e-01
1.082616523304660988e-01,-4.363996356696031587e-01
1.084016803360672160e-01,-4.362198438190006411e-01
1.085417083416683470e-01,-4.360399986210518053e-01
1.086817363472694642e-01,-4.358601000609523823e-01
1.088217643528705814e-01,-4.356801481238979368e-01
1.089617923584716985e-01,-4.355001427950823123e-01
1.091018203640728157e-01,-4.353200840596987420e-01
1.092418483696739467e-01,-4.351399719029393487e-01
1.093818763752750639e-01,-4.349598063099948675e-01
1.095219043808761811e-01,-4.347795872660557559e-01
1.096619323864772982e-01,-4.345993147563109726e-01
1.098019603920784293e-01,-4.344189887659484772e-01
1.099419883976795465e-01,-4.342386092801553410e-01
1.100820164032806636e-01,-4.340581762841176916e-01
1.102220444088817808e-01,-4.338776897630205465e-01
1.103620724144828980e-01,-4.336971497020482014e-01
1.105021004200840151e-01,-4.335165560863831202e-01
1.106421284256851462e-01,-4.333359089012077670e-01
1.107821564312862633e-01,-4.331552081317027181e-01
1.109221844368873805e-01,-4.329744537630485501e-01
1.110622124424884977e-01,-4.327936457804236192e-01
1.112022404480896287e-01,-4.326127841690064479e-01
1.113422684536907459e-01,-4.324318689139735605e-01
1.114822964592918630e-01,-4.322509000005009261e-01
1.116223244648929802e-01,-4.320698774137639031e-01
1.117623524704940974e-01,-4.318888011389357406e-01
1.119023804760952284e-01,-4.317076711611896878e-01
1.120424084816963456e-01,-4.315264874656977723e-01
1.121824364872974628e-01,-4.313452500376305787e-01
1.123224644928985799e-01,-4.311639588621577479e-01
1.124624924984997110e-01,-4.309826139244486987e-01
1.126025205041008281e-01,-4.308012152096705183e-01
1.127425485097019453e-01,-4.306197627029906272e-01
1.128825765153030625e-01,-4.304382563895743918e-01
1.130226045209041796e-01,-4.302566962545864571e-01
1.131626325265053107e-01,-4.300750822831911346e-01
1.133026605321064278e-01,-4.298934144605503493e-01
1.134426885377075450e-01,-4.297116927718263035e-01
1.135827165433086622e-01,-4.295299172021793677e-01
1.137227445489097932e-01,-4.293480877367693016e-01
1.138627725545109104e-01,-4.291662043607546995e-01
1.140028005601120276e-01,-4.289842670592927676e-01
1.141428285657131447e-01,-4.288022758175406013e-01
1.142828565713142619e-01,-4.286202306206535195e-01
1.144228845769153929e-01,-4.284381314537856200e-01
1.145629125825165101e-01,-4.282559783020909450e-01
1.147029405881176273e-01,-4.280737711507217602e-01
1.148429685937187444e-01,-4.278915099848293879e-01
1.149829965993198755e-01,-4.277091947895640400e-01
1.151230246049209927e-01,-4.275268255500752623e-01
1.152630526105221098e-01,-4.273444022515114349e-01
1.154030806161232270e-01,-4.271619248790195500e-01
1.155431086217243442e-01,-4.269793934177461558e-01
1.156831366273254752e-01,-4.267968078528363574e-01
1.158231646329265924e-01,-4.266141681694343157e-01
1.159631926385277095e-01,-4.264314743526834151e-01
1.161032206441288406e-01,-4.262487263877252075e-01
1.162432486497299577e-01,-4.260659242597013563e-01
1.163832766553310749e-01,-4.258830679537516373e-01
1.165233046609321921e-01,-4.257001574550152156e-01
1.166633326665333092e-01,-4.255171927486298689e-01
1.168033606721344264e-01,-4.253341738197327082e-01
1.169433886777355575e-01,-4.251511006534593462e-01
1.170834166833366746e-01,-4.249679732349452843e-01
1.172234446889377918e-01,-4.247847915493233595e-01
1.173634726945389090e-01,-4.246015555817273524e-01
1.175035007001400400e-01,-4.244182653172887121e-01
1.176435287057411572e-01,-4.242349207411378886e-01
1.177835567113422743e-01,-4.240515218384045548e-01
1.179235847169433915e-01,-4.238680685942174398e-01
1.180636127225445087e-01,-4.236845609937043844e-01
1.182036407281456397e-01,-4.235009990219917864e-01
1.183436687337467569e-01,-4.233173826642049886e-01
1.184836967393478740e-01,-4.231337119054685569e-01
1.186237247449489912e-01,-4.229499867309060024e-01
1.187637527505501223e-01,-4.227662071256392262e-01
1.189037807561512394e-01,-4.225823730747902407e-01
1.190438087617523566e-01,-4.223984845634790597e-01
1.191838367673534738e-01,-4.222145415768246979e-01
1.193238647729545909e-01,-4.220305440999451707e-01
1.194638927785557220e-01,-4.218464921179584937e-01
1.196039207841568391e-01,-4.216623856159800177e-01
1.197439487897579563e-01,-4.214782245791249271e-01
1.198839767953590735e-01,-4.212940089925073517e-01
1.200240048009602045e-01,-4.211097388412403664e-01
1.201640328065613217e-01,-4.209254141104355473e-01
1.203040608121624389e-01,-4.207410347852037491e-01
1.204440888177635560e-01,-4.205566008506553266e-01
1.205841168233646732e-01,-4.203721122918983033e-01
1.207241448289658042e-01,-4.201875690940404806e-01
1.208641728345669214e-01,-4.200029712421892159e-01
1.210042008401680386e-01,-4.198183187214491463e-01
1.211442288457691557e-01,-4.196336115169255199e-01
1.212842568513702868e-01,-4.194488496137214750e-01
1.214242848569714039e-01,-4.192640329969398172e-01
