t,h,v,m,dv_dt
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.518999999999999950e+01
1.200240048009601837e-02,1.094189650820237732e-03,1.823344719358132582e-01,9.998799759951990609e+02,1.519300096030729641e+01
2.400480096019203674e-02,4.377046828040459005e-03,3.647049669229504021e-01,9.997599519903981218e+02,1.519600264116210830e+01
3.600720144028805858e-02,9.849003946632413353e-03,5.471114936112675409e-01,9.996399279855971827e+02,1.519900504282397868e+01
4.800960192038407348e-02,1.751049352544082824e-02,7.295540606537381789e-01,9.995199039807962436e+02,1.520200816555257184e+01
6.001200240048008838e-02,2.736194818719619656e-02,9.120326767064539375e-01,9.993998799759951908e+02,1.520501200960768706e+01
7.201440288057611716e-02,3.940380065851475239e-02,1.094547350428624499e+00,9.992798559711942517e+02,1.520801657524923023e+01
8.401680336067213206e-02,5.363648377790045108e-02,1.277098090482964299e+00,9.991598319663933125e+02,1.521102186273724577e+01
9.601920384076814696e-02,7.006043048749913127e-02,1.459684905535313826e+00,9.990398079615923734e+02,1.521402787233190246e+01
1.080216043208641619e-01,8.867607382068021238e-02,1.642307804254015791e+00,9.989197839567914343e+02,1.521703460429349342e+01
1.200240048009601768e-01,1.094838469154988669e-01,1.824966795310564160e+00,9.987997599519904952e+02,1.522004205888243256e+01
1.320264052810561917e-01,1.324841830147787114e-01,2.007661887379607712e+00,9.986797359471895561e+02,1.522305023635926169e+01
1.440288057611522343e-01,1.576775154661120559e-01,2.190393089138948923e+00,9.985597119423886170e+02,1.522605913698465052e+01
1.560312062412482492e-01,1.850642777218594881e-01,2.373160409269543969e+00,9.984396879375875642e+02,1.522906876101939311e+01
1.680336067213442641e-01,2.146449033391504002e-01,2.555963856455504946e+00,9.983196639327866251e+02,1.523207910872440074e+01
1.800360072014402790e-01,2.464198259798825175e-01,2.738803439384097871e+00,9.981996399279856860e+02,1.523509018036071971e+01
