M,r,m,v_orb
1.878985266149948532e+30,6.686209027666019648e+07,5.058488206225669504e+27,1.371331808785534464e+06
3.463964459891812799e+29,3.379796356145215034e+07,7.717172385722698066e+28,9.145550772477980936e+05
1.207666579232816002e+29,1.626146043398801982e+07,1.988911590959547183e+28,7.598058463375184219e+05
1.079084044538139767e+29,3.250347144969852269e+07,3.157888452959610198e+28,5.351774728379115695e+05
4.231949517477546210e+30,5.621866050385773927e+07,5.108630352272865352e+27,2.242682988096570596e+06
6.691310059954041722e+30,4.786646273739838973e+06,6.648877411811515214e+27,9.659450167700992897e+06
1.634073366424972216e+30,3.197175604279087856e+07,7.717703882538801881e+27,1.851226781111848308e+06
2.877352845007078100e+30,2.084979729801208526e+07,6.277869508615159191e+26,3.035010699728501495e+06
1.222503139009530281e+30,2.767525421145801246e+07,7.447554814314929781e+27,1.722204464331685798e+06
7.415575271957016150e+30,7.474900646951979958e+06,8.360251320901859854e+28,8.179286367294734344e+06
4.282596011997086671e+30,7.417486050092174113e+07,2.481050371093620818e+28,1.968608196267658146e+06
1.012691116616117458e+29,1.789636367993129417e+07,1.308521429301558776e+27,6.185087396600899519e+05
5.185713905447039293e+30,2.244539430760678649e+07,1.549322796393011047e+28,3.932168613823758438e+06
1.167269534333909853e+29,2.451989539706252515e+07,6.871060482534629224e+26,5.653248973059667042e+05
2.879458958733994107e+30,6.177693392146535218e+06,9.181457513180299687e+28,5.665311659203380346e+06
2.245490599131719260e+29,5.181950610955196433e+06,4.788045668353551709e+26,1.702846104096640600e+06
5.325468800563895393e+30,2.718821536568952724e+07,4.032403431526412732e+28,3.628914409991941415e+06
1.210381955338547020e+30,6.049994692953865044e+06,4.498363518180685049e+28,3.721699375194993336e+06
3.975793149585636658e+29,5.046945386051694863e+06,3.632192903157917810e+26,2.294551251458550338e+06
7.004456498012475371e+29,2.192900004756099731e+07,7.453756551166824317e+27,1.467805491880292306e+06
1.139303265824238391e+29,8.878830275837093592e+07,4.568765276403491718e+26,2.932270609503469313e+05
1.772419636899720401e+29,6.508282459190362692e+07,4.376812265011716444e+28,4.760647900139573612e+05
2.194061664763010097e+30,1.760723367405264825e+07,1.650014518620489946e+27,2.884798988368630875e+06
1.969604478764871010e+30,3.662701142130447179e+07,1.312130478854617477e+26,1.894461384334861301e+06
1.701258166558634860e+30,6.592459921534565277e+06,2.571537658226793703e+27,4.153315766700215172e+06
5.852684435879772203e+29,6.722407497080756351e+06,6.834095549836068609e+26,2.412196347293249331e+06
9.872334718899567589e+30,2.207710570326780155e+07,3.845053733909651215e+28,5.472358757021529600e+06
9.155259899264990513e+30,6.372523263581562787e+07,1.902204782399175308e+28,3.099484561895304825e+06
2.350087156121381096e+30,8.315852892153355479e+07,2.129601694229571124e+27,1.373953413603575202e+06
1.999486851269571383e+30,6.368162920921307057e+07,4.512560823439548016e+28,1.463810063074742910e+06
2.381735122843960808e+30,6.486629051588851959e+06,1.856182811659360608e+28,4.969407667943100445e+06
5.995740775500552859e+29,7.486855081969408691e+07,2.118000662900233164e+26,7.312066789951850660e+05
1.862914873167705119e+29,6.227396083348767832e+06,4.269492987688706840e+28,1.566828478176624747e+06
2.773171194143531507e+30,2.605267577692480013e+07,7.981044909402537598e+28,2.703307650306885131e+06
1.123850763479263813e+30,4.735161075291549414e+07,1.818449955007363540e+26,1.258667127258249093e+06
4.173339838585551245e+29,8.007969238483252004e+06,8.658108797944247971e+27,1.884390269557813182e+06
9.368514162695842135e+29,3.612879865802270919e+07,1.738455819033137398e+28,1.327670961836222094e+06
6.011400577322536559e+30,1.835892255789487809e+07,8.360192421631222020e+27,4.677239112966785207e+06
7.380521197625387115e+30,2.974329980175445974e+07,1.161552294341397633e+28,4.072181970990127418e+06
5.195057914303140421e+29,4.096873880253093690e+07,1.491279100204681942e+26,9.200749331055828370e+05
1.390143589888641953e+30,1.235417981315140054e+07,4.902858822076886372e+28,2.788281653074171860e+06
