t,omega1,omega2,omega3,domega1_dt
0.000000000000000000e+00,1.000000000000000056e-01,4.000000000000000000e+00,1.000000000000000056e-01,-3.552244331485889250e-01
6.001200240048009185e-03,9.787912926333978969e-02,3.998631306574793154e+00,9.917678028243058497e-02,-3.516035045965700268e-01
1.200240048009601837e-02,9.577976566357866706e-02,3.997261541530013229e+00,9.837097180348103320e-02,-3.480566421479558969e-01
1.800360072014402929e-02,9.370146727901287886e-02,3.995890749255385899e+00,9.758238741978331188e-02,-3.445829857148586806e-01
2.400480096019203674e-02,9.164379758292433287e-02,3.994518972730881856e+00,9.681084384572176404e-02,-3.411816918660730003e-01
3.000600120024004419e-02,8.960632485585739992e-02,3.993146253673008239e+00,9.605616137897426965e-02,-3.378519326694606195e-01
3.600720144028805858e-02,8.758862216636811859e-02,3.991772632539237087e+00,9.531816389153444091e-02,-3.345928956436062807e-01
4.200840168033606603e-02,8.559026737102411186e-02,3.990398148528005784e+00,9.459667882971163622e-02,-3.314037837465026448e-01
4.800960192038407348e-02,8.361084311440468431e-02,3.989022839578714397e+00,9.389153721413100173e-02,-3.282838153637251954e-01
5.401080216043208093e-02,8.164993668000318505e-02,3.987646742442652936e+00,9.320257357403806397e-02,-3.252322240237887074e-01
6.001200240048008838e-02,7.970714010403001648e-02,3.986269892710853746e+00,9.252962599519345965e-02,-3.222482585902878283e-01
6.601320264052809583e-02,7.778204996867081611e-02,3.984892324820622278e+00,9.187253602346547032e-02,-3.193311828432409127e-01
7.201440288057611716e-02,7.587426704259386812e-02,3.983514072154845653e+00,9.123114850534483344e-02,-3.164802748001790400e-01
7.801560312062412461e-02,7.398339628010296154e-02,3.982135167042287538e+00,9.060531158757105519e-02,-3.136948267016995695e-01
8.401680336067213206e-02,7.210904682113741804e-02,3.980755640757585923e+00,8.999487671713242432e-02,-3.109741449981857087e-01
9.001800360072013951e-02,7.025083198591804134e-02,3.979375523522982849e+00,8.939969863902262615e-02,-3.083175503267815420e-01
9.601920384076814696e-02,6.840836909674211097e-02,3.977994844590557300e+00,8.881963532134583283e-02,-3.057243771865245652e-01
1.020204040808161544e-01,6.658127969499839927e-02,3.976613632212960159e+00,8.825454804234945938e-02,-3.031939742908911217e-01
1.080216043208641619e-01,6.476918913974352709e-02,3.975231913706286146e+00,8.770430121787800570e-02,-3.007257038294712803e-01
1.140228045609121693e-01,6.297172642392508124e-02,3.973849715496121870e+00,8.716876232397169355e-02,-2.983189411301147009e-01
1.200240048009601768e-01,6.118852417438162827e-02,3.972467063117547159e+00,8.664780189686654976e-02,-2.959730746447867822e-01
1.260252050410081981e-01,5.941921865184267987e-02,3.971083981215135061e+00,8.614129353299436465e-02,-2.936875059351305439e-01
1.320264052810561917e-01,5.766344972020349957e-02,3.969700493552318576e+00,8.564911387686821587e-02,-2.914616496070706053e-01
1.380276055211042130e-01,5.592086071979326251e-02,3.968316623080188066e+00,8.517114257008411016e-02,-2.892949330847593981e-01
1.440288057611522343e-01,5.419109862619487378e-02,3.966932391898401189e+00,8.470726230863495632e-02,-2.871867968369000157e-01
1.500300060012002279e-01,5.247381360917425380e-02,3.965547821330457801e+00,8.425735866627402648e-02,-2.851366936197344826e-01
1.560312062412482492e-01,5.076865896685482660e-02,3.964162931938739032e+00,8.382132006847842209e-02,-2.831440883531942676e-01
1.620324064812962428e-01,4.907529112571757529e-02,3.962777743524508622e+00,8.339903779244901838e-02,-2.812084581060642630e-01
1.680336067213442641e-01,4.739336964060099355e-02,3.961392275127910700e+00,8.299040596711053375e-02,-2.793292920809245516e-01
1.740348069613922577e-01,4.572255711518427579e-02,3.960006545051174776e+00,8.259532154385486324e-02,-2.775060914762034203e-01
1.800360072014402790e-01,4.406251920405613448e-02,3.958620570892238177e+00,8.221368429442386938e-02,-2.757383694647312922e-01
1.860372074414882726e-01,4.241292456161425972e-02,3.957234369532351526e+00,8.184539678684443764e-02,-2.740256510768879217e-01
1.920384076815362939e-01,4.077344451480045817e-02,3.955847957190905984e+00,8.149036426440635361e-02,-2.723674726756851738e-01
1.980396079215843153e-01,3.914375305584108511e-02,3.954461349426975136e+00,8.114849464299846160e-02,-2.707633819305659273e-01
2.040408081616323088e-01,3.752352684224700280e-02,3.953074561139309662e+00,8.081969851110862302e-02,-2.692129378022363739e-01
2.100420084016803302e-01,3.591244518980006573e-02,3.951687606567761080e+00,8.050388912746427039e-02,-2.677157105173610940e-01
2.160432086417283237e-01,3.431018994572559988e-02,3.950300499331631077e+00,8.020098237745507119e-02,-2.662712813700552905e-01
2.220444088817763451e-01,3.271644562856640404e-02,3.948913252417376007e+00,7.991089681488923457e-02,-2.648792428851295400e-01
2.280456091218243386e-01,3.113089910645847405e-02,3.947525878211370465e+00,7.963355355073147013e-02,-2.635391983316572317e-01
2.340468093618723600e-01,2.955323948888204447e-02,3.946138388516483797e+00,7.936887621657928715e-02,-2.622507615533629100e-01
2.400480096019203535e-01,2.798315812666166136e-02,3.944750794552078332e+00,7.911679096466302241e-02,-2.610135569534731692e-01
2.460492098419683749e-01,2.642034861196611989e-02,3.943363106954010711e+00,7.887722646784585401e-02,-2.598272194794296053e-01
2.520504100820163962e-01,2.486450671559219811e-02,3.941975335787243129e+00,7.865011390034498673e-02,-2.586913945257043879e-01
2.580516103220644175e-01,2.331533038483685899e-02,3.940587490565139905e+00,7.843538693321434885e-02,-2.576057379014460857e-01
2.640528105621123833e-01,2.177251967494405610e-02,3.939199580245935195e+00,7.823298170881604063e-02,-2.565699157070813197e-01
2.700540108021604047e-01,2.023577649962599728e-02,3.937811613260302490e+00,7.804283676461826191e-02,-2.555836039945250104e-01
2.760552110422084260e-01,1.870480462632575364e-02,3.936423597512025641e+00,7.786489303175865573e-02,-2.546464887459856108e-01
2.820564112822564473e-01,1.717930967621718319e-02,3.935035540378000185e+00,7.769909383504437772e-02,-2.537582658587748674e-01
2.880576115223044686e-01,1.565899909784426725e-02,3.933647448712012107e+00,7.754538488577376876e-02,-2.529186410992548262e-01
2.940588117623524345e-01,1.414358210484357656e-02,3.932259328863940251e+00,7.740371426200216842e-02,-2.521273300045088761e-01
3.000600120024004558e-01,1.263276970008454791e-02,3.930871186674335771e+00,7.727403240973811094e-02,-2.513840578738928966e-01
3.060612122424484771e-01,1.112627441039316933e-02,3.929483027494066416e+00,7.715629207090796138e-02,-2.506885594442049836e-01
3.120624124824964984e-01,9.623810262917897526e-03,3.928094856186685746e+00,7.705044827701706955e-02,-2.500405788474258095e-01
3.180636127225444643e-01,8.125092785129704731e-03,3.926706677128432688e+00,7.695645834914981165e-02,-2.494398695956155654e-01
3.240648129625924856e-01,6.629838984954454680e-03,3.925318494210275233e+00,7.687428189322584315e-02,-2.488861945451544821e-01
3.300660132026405069e-01,5.137767293340839148e-03,3.923930310850291203e+00,7.680388078332489599e-02,-2.483793258108015212e-01
3.360672134426885282e-01,3.648597569600398917e-03,3.922542129991948290e+00,7.674521915795227966e-02,-2.479190447362645544e-01
3.420684136827365496e-01,2.162050874589449036e-03,3.921153954115156104e+00,7.669826336687297907e-02,-2.475051416476177490e-01
3.480696139227845154e-01,6.778494491640292205e-04,3.919765785237745437e+00,7.666298196611694149e-02,-2.471374158165695611e-01
3.540708141628325367e-01,-8.042832858201568597e-04,3.918377624915469148e+00,7.663934571797909046e-02,-2.468156754454002011e-01
3.600720144028805580e-01,-2.284622763153386013e-03,3.916989474244484182e+00,7.662732758381754494e-02,-2.465397376202669577e-01
3.660732146429285794e-01,-3.763443290076000109e-03,3.915601333867384071e+00,7.662690271492002270e-02,-2.463094282584424310e-01
3.720744148829765452e-01,-5.241018137561252385e-03,3.914213203973758048e+00,7.663804843217247864e-02,-2.461245820043514720e-01
3.780756151230245665e-01,-6.717619680928503881e-03,3.912825084304362377e+00,7.666074419861983180e-02,-2.459850420927912618e-01
3.840768153630725879e-01,-8.193519402119452122e-03,3.911436974151218937e+00,7.669497161901742133e-02,-2.458906603319271356e-01
3.900780156031206092e-01,-9.668987904312578360e-03,3.910048872357859917e+00,7.674071443727766006e-02,-2.458412970767146488e-01
3.960792158431686305e-01,-1.114429495546846033e-02,3.908660777321899982e+00,7.679795852572890436e-02,-2.458368211674066550e-01
4.020804160832165963e-01,-1.261970948855238410e-02,3.907272686995681532e+00,7.686669188120669183e-02,-2.458771098991274495e-01
4.080816163232646177e-01,-1.409549979512547506e-02,3.905884598886610881e+00,7.694690459369443736e-02,-2.459620488642310365e-01
4.140828165633126390e-01,-1.557193354464146001e-02,3.904496510057281711e+00,7.703858884318857958e-02,-2.460915319230097820e-01
4.200840168033606603e-01,-1.704927778510032313e-02,3.903108417125456420e+00,7.714173889961437047e-02,-2.462654611881715805e-01
4.260852170434086261e-01,-1.852779901095446408e-02,3.901720316262719201e+00,7.725635111275011568e-02,-2.464837469632485401e-01
4.320864172834566475e-01,-2.000776309571995065e-02,3.900332203196740899e+00,7.738242391535432585e-02,-2.467463077466501287e-01
4.380876175235046688e-01,-2.148943546888830436e-02,3.898944073207391448e+00,7.751995780002987613e-02,-2.470530701076963931e-01
4.440888177635526901e-01,-2.297308121455858901e-02,3.897555921124469691e+00,7.766895530695891448e-02,-2.474039686132965266e-01
4.500900180036007114e-01,-2.445896507143737603e-02,3.896167741327702938e+00,7.782942102390280614e-02,-2.477989458127247135e-01
4.560912182436486773e-01,-2.594735143790863688e-02,3.894779527746441872e+00,7.800136158576424783e-02,-2.482379522200678645e-01
4.620924184836966986e-01,-2.743850445306140334e-02,3.893391273853791912e+00,7.818478566570997990e-02,-2.487209462556022044e-01
4.680936187237447199e-01,-2.893268789589312218e-02,3.892002972671720240e+00,7.837970397797146271e-02,-2.492478942519492369e-01
4.740948189637927412e-01,-3.043016541316231893e-02,3.890614616759992206e+00,7.858612925830003870e-02,-2.498187703384344704e-01
4.800960192038407071e-01,-3.193120059207740780e-02,3.889226198212195396e+00,7.880407625803781402e-02,-2.504335563948552057e-01
4.860972194438887284e-01,-3.343605696029674362e-02,3.887837708655738744e+00,7.903356174411763080e-02,-2.510922420359687490e-01
4.920984196839367497e-01,-3.494499798604555618e-02,3.886449139251842322e+00,7.927460449905872342e-02,-2.517948245958597786e-01
4.980996199239847710e-01,-3.645828716318271628e-02,3.885060480685244677e+00,7.952722531674241702e-02,-2.525413090864921939e-01
5.041008201640327924e-01,-3.797618791623140477e-02,3.883671723169145995e+00,7.979144699999893287e-02,-2.533317081826294004e-01
5.101020204040808137e-01,-3.949896375986242797e-02,3.882282856434494445e+00,8.006729435274294315e-02,-2.541660421584341356e-01
5.161032206441288350e-01,-4.102687844194621153e-02,3.880893869717180866e+00,8.035479417492960574e-02,-2.550443388365478126e-01
5.221044208841767453e-01,-4.256019594355279351e-02,3.879504751758039216e+00,8.065397526255456417e-02,-2.559666335721300090e-01
5.281056211242247667e-01,-4.409918047895190762e-02,3.878115490802845233e+00,8.096486840765403092e-02,-2.569329692367970375e-01
5.341068213642727880e-01,-4.564409652149707675e-02,3.876726074598134453e+00,8.128750639854621929e-02,-2.579433962004830660e-01
5.401080216043208093e-01,-4.719520886923433273e-02,3.875336490373514131e+00,8.162192401733271707e-02,-2.589979722976867849e-01
5.461092218443688306e-01,-4.875278253300113079e-02,3.873946724858337465e+00,8.196815803280201040e-02,-2.600967627960860118e-01
5.521104220844168520e-01,-5.031708302166290614e-02,3.872556764247765404e+00,8.232624720370480820e-02,-2.612398403614326625e-01
5.581116223244648733e-01,-5.188837637596777075e-02,3.871166594198141908e+00,8.269623227923204867e-02,-2.624272850390351741e-01
5.641128225645128946e-01,-5.346692916854649952e-02,3.869776199826993057e+00,8.307815599901488546e-02,-2.636591842370203942e-01
5.701140228045609160e-01,-5.505300850391257883e-02,3.868385565713029273e+00,8.347206309312468764e-02,-2.649356327094734009e-01
5.761152230446089373e-01,-5.664688207039360324e-02,3.866994675884195765e+00,8.387800028515815520e-02,-2.662567325453142342e-01
5.821164232846568476e-01,-5.824881815249820238e-02,3.865603513800751401e+00,8.429601628863449270e-02,-2.676225931349058285e-01
5.881176235247048689e-01,-5.985908557720621276e-02,3.864212062372482048e+00,8.472616179841002682e-02,-2.690333311261764448e-01
5.941188237647528902e-01,-6.147795399515769421e-02,3.862820303911655984e+00,8.516848950846732380e-02,-2.704890704441738625e-01
6.001200240048009116e-01,-6.310569389327247425e-02,3.861428220130617373e+00,8.562305411273436750e-02,-2.719899422751044238e-01
6.061212242448489329e-01,-6.474257659475010640e-02,3.860035792141786271e+00,8.608991230508453163e-02,-2.735360850485002437e-01
6.121224244848969542e-01,-6.638887425906991879e-02,3.858643000457659067e+00,8.656912277933660749e-02,-2.751276444192380377e-01
6.181236247249449756e-01,-6.804485993081774153e-02,3.857249824976339170e+00,8.706074623473150642e-02,-2.767647732645848180e-01
6.241248249649929969e-01,-6.971080757204124734e-02,3.855856244952870160e+00,8.756484537570659310e-02,-2.784476316597895851e-01
6.301260252050410182e-01,-7.138699196128914237e-02,3.854462239032180992e+00,8.808148489447456542e-02,-2.801763868048692263e-01
6.361272254450889285e-01,-7.307368900427244074e-02,3.853067785182635596e+00,8.861073150638958118e-02,-2.819512131060532001e-01
