m1,m2,u1,u2,v1_out
3.257416099142980581e+00,4.448980265498503783e+00,2.488024198744986482e+00,1.180222406301768334e+00,-1.104451669964134908e-02
1.494976226066577540e+00,3.515098167390479755e+00,3.868701235202059330e+00,1.377622052530077745e+00,-3.377799287766336533e-02
3.966729148937345184e-01,2.513633841731925500e+00,3.181718058535205174e+00,3.438103999711760395e+00,-1.701882130943165317e+00
2.793326505369396751e-01,3.461639036669703628e+00,3.415962916100558466e+00,2.841987886933996954e+00,-9.270464543175263028e-01
4.103697148161307595e+00,4.211642007511940733e+00,2.493021892581517296e+00,1.103701405496667842e+00,3.237622495872153339e-01
4.581226770933064074e+00,8.395574093048185915e-01,2.626539713378059915e+00,2.995647585444641603e+00,1.748349581707048017e+00
3.111851723682463433e+00,3.439060986892984673e+00,2.702069463166514751e+00,3.226541130287239323e+00,-6.468423249155027532e-01
3.701583492723192315e+00,2.853859874279521147e+00,1.430780998281349525e+00,2.145334891275143541e+00,-4.024518716064516277e-01
2.809399959034029504e+00,3.241514475056190836e+00,2.684015993045127058e+00,1.280944365539524510e+00,2.473412675324671017e-01
4.688347634181287305e+00,1.449688474054256604e+00,3.909255888660552181e+00,1.823077564483671198e+00,2.489242332985882822e+00
4.116097059783354162e+00,4.591058934621068843e+00,3.293741511808209843e+00,3.794046907107371247e+00,-7.196628749809437231e-01
2.131448008167108610e-01,2.644770480180393957e+00,1.802910979250315959e+00,1.351883047415049166e+00,-1.040808027099941580e+00
4.315540527620332689e+00,2.954801548504902176e+00,3.055165562876509533e+00,3.241128748662383430e+00,3.100263419658788044e-01
3.612107614662288801e-01,3.075808290022015168e+00,1.476527733342552606e+00,2.436051164283616455e+00,-2.066688525708674007e+00
3.702346142863731426e+00,1.188775016547858998e+00,3.956730233692796084e+00,3.766274615713280038e+00,2.117278328646805541e+00
1.043146978892283361e+00,9.481788514614214458e-01,1.293517998061290086e+00,3.801969932388882256e+00,-1.107364470195709494e+00
4.343258827279455225e+00,3.217210239801909122e+00,3.539824638258325606e+00,3.958794776799165582e+00,1.748420804292140085e-01
2.799013857195640220e+00,1.160182779876738346e+00,3.595230306441674628e+00,3.016909120458357574e+00,1.668849465758743600e+00
1.638617074579446831e+00,9.120430865253107422e-01,1.153530389784710675e+00,2.117730503032551947e+00,-1.490679359760948564e-01
2.228898661748760279e+00,2.922940593259465647e+00,2.684437738068703894e+00,2.858023580113045359e+00,-6.683416351146150847e-01
3.359344214982222243e-01,4.837221196841770876e+00,1.269765320844335577e+00,1.367243789090910155e+00,-1.288110633637515434e+00
7.965597271979069083e-01,4.412060010555714840e+00,3.581350905245335614e+00,1.660864428264681392e+00,-9.384976057776418523e-01
3.418997190529425634e+00,2.622474805160235789e+00,1.920402393229672988e+00,3.521485309253086005e+00,-6.361446167021284070e-01
3.306509655556400418e+00,3.625134874415522734e+00,6.376398609003004481e-01,1.109519131161590400e+00,-4.553296350269995241e-01
3.153848535110018503e+00,1.277725967232684834e+00,2.145225036721413847e+00,3.484452328398877086e+00,4.673022222570093476e-01
2.041652260457040402e+00,1.304445898905262968e+00,1.473794554279681090e+00,2.321429942959816195e+00,-1.714333888196112876e-01
4.986607691788212726e+00,2.932154643245573844e+00,3.515719482258397921e+00,3.991035317816290728e+00,5.850424680976098468e-01
4.908009626125903857e+00,4.383204249902972194e+00,3.159133480750522693e+00,2.200010489583878570e+00,3.362882986817651854e-01
3.490601525507334379e+00,4.747552212797248039e+00,2.049681447578598270e+00,8.549075061484054938e-01,3.786413831456991730e-02
3.322204526085517973e+00,4.382267296404454449e+00,3.596826913456321773e+00,2.063633049437824329e+00,7.441766442038122431e-02
3.504544306740512205e+00,1.255572864086376583e+00,3.146724204561551552e+00,1.745298085486567841e+00,1.774884361800950439e+00
2.066822835099697997e+00,4.603801187107017689e+00,8.802471069818085248e-01,2.860528472267252376e+00,-2.109720708885574059e+00
8.484632241075737991e-01,1.199744155717298755e+00,3.568772355364512094e+00,1.722010601384466266e+00,5.304646866017326268e-01
3.663144032931592076e+00,3.158810212655874139e+00,3.885736380359446240e+00,2.461353250262503956e+00,7.440274745475986551e-01
2.721700747883484262e+00,3.976679416140191048e+00,8.029849123846386494e-01,2.350272111564714272e+00,-1.420958475690573986e+00
1.689161002682987078e+00,1.543984532852001879e+00,2.760326878673924789e+00,2.642504226591911642e+00,1.029763992548462515e-01
2.532009722392587481e+00,3.606387339289895522e+00,3.113524267709673499e+00,3.484512095230553275e+00,-9.673277726389960529e-01
4.469541604875201024e+00,2.679701355419214615e+00,2.742585652363791038e+00,3.224293195270883761e+00,3.338663488866839280e-01
4.683408876589997938e+00,3.340161950335101437e+00,2.909211894814667687e+00,2.335424891581317830e+00,4.890731068330054221e-01
1.917416944203537144e+00,3.778479539917822372e+00,7.024854199716887848e-01,1.316787919609726298e+00,-8.724555537478504430e-01
2.943343187502852398e+00,2.137465338945530924e+00,3.638857619225372542e+00,2.657240748263387076e+00,8.748132251739562104e-01
1.744973077164522213e+00,3.196137392549947887e+00,2.195693547563290160e+00,3.222120720797216453e+00,-1.521126528927563726e+00
3.052640144958544521e+00,3.227011224797121436e+00,1.520568043731926222e+00,3.817083222894122496e+00,-1.468717266664002485e+00
1.821973882434239522e+00,1.004406685771729091e+00,1.025721606436654110e+00,2.178177238976681807e+00,-2.522254826727406418e-01
2.079771202535174002e+00,1.861631484166985873e+00,2.121742908079788492e+00,2.665416563718914666e+00,-3.044431645411133092e-01
4.473316889623003334e+00,5.977654976884275717e-01,1.873214829483849986e+00,2.749424557317659001e+00,1.316843465769116595e+00
1.290356448960222613e+00,3.833403101703844573e+00,3.158831454066140410e+00,1.349681650977148983e+00,-4.998625739237458898e-01
3.191298294493003507e+00,2.952021190834004827e+00,1.843376569746371763e+00,3.673951921430395284e+00,-1.026565429951149300e+00
6.032736491954471258e-01,2.025810381799542537e+00,2.151417488511865539e+00,2.410203310244132702e+00,-1.399648149938106600e+00
4.196691908736308818e+00,3.480494826676771569e-01,2.496921752719804211e+00,7.488076957629560271e-01,2.235715430065645659e+00
3.978071875945679903e+00,2.858678092421374384e+00,1.692654904791240700e+00,1.741198951218386970e+00,-1.339808475497267226e-02
1.348973326366170289e+00,2.801136246102827076e+00,1.618909865927607328e+00,2.876067504771372185e+00,-1.659041086375920848e+00
4.407124307891377768e+00,2.401649664995706424e+00,1.628365395056011522e+00,8.704166407319193777e-01,5.806621131154406923e-01
4.811265670649328419e-01,4.173648150748237029e+00,2.915191647455265933e+00,3.836602707035407178e+00,-2.527397085553457323e+00
1.813361890619169747e+00,2.650070875170761897e-01,2.091806724557094377e+00,3.780884107604342681e+00,1.530198784740651519e+00
9.213414410952275313e-01,4.627594785215854323e+00,2.503580103308058913e+00,3.821951009668979715e+00,-2.743680737430402861e+00
2.361628959916577397e+00,4.873825715101810729e+00,3.938887504996357869e+00,3.053603792032976383e+00,-1.009624568605781647e+00
4.022356497379012019e+00,9.172704850131555565e-01,1.311489888461481401e+00,3.302111049646696106e+00,4.061148950729324136e-01
1.307082603169987589e+00,4.379145717538448501e+00,7.366777051430177803e-01,1.146643209992834977e+00,-9.404164732574310515e-01
4.497022451091661210e-01,3.150766676684813916e+00,1.320805682320661534e+00,1.288712306925676288e+00,-1.117987757738687860e+00
2.141848831143335463e+00,4.569820767808134399e+00,2.957408652035218299e+00,2.484156221498462713e+00,-1.047407262987784637e+00
1.152862613644425549e+00,3.786098327455837520e+00,3.141830719736335986e+00,1.620734033028322862e+00,-7.460331674853277750e-01
6.356146189717850614e-01,3.389919243616373645e+00,1.163659682186235722e+00,7.260032099189410726e-01,-5.685081855198980127e-01
2.985595452736883093e+00,3.954117490404521096e+00,1.842910603020355031e+00,3.382089753177521807e+00,-1.430312761091506957e+00
1.633741437530828344e+00,1.551457015672397244e+00,1.994215239474165013e+00,3.927243359752726981e+00,-9.209931848708026170e-01
3.425575414190524803e+00,2.589736941206549403e+00,1.946272311626064511e+00,2.374321634478905541e+00,-1.486196153909972173e-01
1.157674131047423893e+00,2.548652150271843997e+00,2.974503118180470196e+00,2.750079560170020976e+00,-1.029753505402613900e+00
4.722142930431189711e+00,9.630035279051433195e-01,3.901787504618791758e+00,2.001828557073400017e+00,2.889927478391434157e+00
1.952528807575176995e+00,1.300235852514941337e+00,1.257438099680515675e+00,6.654165626820718327e-01,3.864092774129358476e-01
7.063773419371017770e-01,2.770453616990954382e-01,2.165474457862826885e+00,2.157231631947545303e+00,1.076986068442508104e+00
3.219719127390604285e+00,4.440652241804536438e+00,2.196915587105940926e+00,2.207900285875704416e+00,-7.084843899119173116e-01
4.650341854725763113e+00,4.231187242184032971e-01,1.125259938153601480e+00,3.973223368779478015e+00,7.185189922351978842e-01
2.313810342635763018e+00,6.484430993166607760e-01,2.307163701841594694e+00,1.954019701619108762e+00,1.338582703873144153e+00
4.782034369715538524e+00,3.550882812942640410e+00,1.284949504887630711e+00,1.185104136698916788e+00,1.684385789932263400e-02
2.599499905700705771e+00,4.352420449031395577e+00,2.527117808717176395e+00,1.296486128577339025e+00,-2.521503010668335598e-01
2.241097399275562285e+00,3.544957286961490261e+00,1.580534980926378008e+00,3.867714818250565845e+00,-2.010885462958520442e+00
3.177024569673813303e+00,3.621009826021158950e+00,1.600776606740970998e+00,2.328673888557563743e+00,-8.205309032007642722e-01
4.976463225129555745e+00,1.993843097466449832e+00,2.184961010255622949e+00,1.322294871157986940e+00,1.005953258560248642e+00
4.754929639701273025e+00,3.961943177627637702e+00,3.802208683294761915e+00,3.991741343602968062e+00,3.713014068730435824e-02
2.408216668683661243e+00,3.910915646131585266e+00,3.591557271500954052e+00,5.868592161029086984e-01,6.580901590753878150e-01
3.837098457479798608e+00,1.926832715985738576e+00,2.846426315342774238e+00,1.425708522907041864e+00,1.248567251950291501e+00
2.587628938340571061e+00,4.625772255804529998e+00,3.969671492522780287e+00,3.425265320158750182e+00,-9.960616033720347540e-01
2.740698368944497698e+00,2.394264460062225375e+00,1.709941995934393555e+00,1.691143287836879505e+00,-1.488505614862559168e-01
3.971771363426275681e+00,3.428693174894244855e+00,6.358903601237423375e-01,2.479712058972945332e+00,-1.090179126077924998e+00
2.190348076907219887e+00,2.125523140295457303e+00,1.746649849417759581e+00,8.507205125456719363e-01,2.579116397783564052e-01
3.725521144585900668e+00,2.953447418494899779e+00,2.081972292860253315e+00,1.191540710593424368e+00,3.615474171478175736e-01
3.613485814350799075e+00,6.132903203349154841e-01,2.202128369596640933e+00,2.756659743622432934e+00,1.480667089139183989e+00
4.673886495744214997e+00,2.219162954036264512e+00,3.407254548057300436e+00,1.517161165838329051e+00,1.661496882122105667e+00
7.516766397483449769e-01,3.861665421585346980e+00,1.595442786524548406e+00,1.476850726336960573e+00,-1.285045195657981587e+00
3.699272561966285178e+00,4.226675272907186809e+00,2.315127767696564920e+00,1.966587757607852316e+00,-3.043207342934524107e-01
4.651634857397887401e+00,1.836303700961244845e+00,3.499710466749133886e+00,1.423097689468973304e+00,1.979396363154070970e+00
4.846045711638302222e+00,4.633030166797363347e-01,1.138913975567386938e+00,1.106592459119822403e+00,9.294646136623847532e-01
2.705902638337726041e-01,1.010104282433598621e+00,3.682039081351126342e+00,2.792886998008386357e+00,-1.481192770162811367e-01
4.345472433178763083e+00,1.558380680955078867e+00,9.796025385990192458e-01,1.975419874236015616e+00,6.931109313180483511e-02
4.909736192318452375e+00,2.575208112385179771e+00,2.922450024013948155e+00,1.645469650984072718e+00,1.156132932976466243e+00
4.794608862132625049e+00,1.463152939050925694e+00,3.827597090278279879e+00,1.909526907141437579e+00,2.419350057687958078e+00
9.140672587159899276e-01,1.977811342197828948e+00,2.624795409503292376e+00,3.364615804182358616e+00,-1.393898046614683306e+00
4.868618306350184000e+00,2.824132532836534648e-01,2.897376283388125362e+00,1.411369194685571093e+00,2.672458960419680452e+00
4.471690667458498858e+00,2.187931454825970512e+00,3.186302442377782818e+00,3.393317160288415124e+00,9.121233111318647335e-01
4.147394372206737678e+00,3.542821112494201952e+00,1.344522057786354585e+00,1.514453185223742171e+00,-2.350234147321856870e-01
2.503942034277594431e+00,2.354739914568516834e+00,8.481689642280316743e-01,1.923135536911770638e+00,-7.253783097216327524e-01
1.315390014268658314e+00,1.131295048319503227e+00,2.028659009145235448e+00,3.921552384822276860e+00,-6.649702949667459784e-01
4.049026777847877234e+00,4.665569061331348522e+00,2.529446688613715910e+00,1.716900051550054540e+00,-9.561540747180674593e-02
4.632944766960653382e+00,1.084288532206292288e+00,1.444559025980260092e+00,3.546417509247401956e+00,4.465522416066946554e-01
1.477425307003004340e+00,4.367968852948227010e+00,6.533007324495616608e-01,3.688510426296379041e+00,-2.928391770646407100e+00
2.786885156586496937e+00,1.115163091856177013e+00,3.431939775313620267e+00,1.499078548507144948e+00,1.955350237493886478e+00
2.325213579077751280e+00,9.243291236860367022e-01,3.128844360019857884e+00,8.556497780187142244e-01,1.901618744374600656e+00
4.668883116709543479e+00,2.541234892310131332e+00,3.811795780610586881e+00,3.153969490466765446e+00,1.224187587426612600e+00
3.944514137044862201e-01,3.369475436862005235e+00,1.038071487937392678e+00,3.236913659570431978e+00,-2.770577534578524848e+00
3.713629739151491638e+00,2.374290418089515242e+00,6.167117746108004006e-01,6.893739758676650231e-01,1.768492439587479592e-02
3.148991585355183975e+00,2.639131502797100737e+00,3.086004962139366814e+00,2.529483749309132889e+00,3.351122317832908037e-01
