m1,m2,I,R,a2
1.028050193517890731e+00,1.350765488572511552e+00,5.766467756485961493e-03,4.749143330490261661e-02,1.231654976986492830e-02
5.507227278930314496e-01,1.097839087001588387e+00,9.632363458565766645e-03,5.256742420791628290e-02,5.188689803801990047e-02
2.532655811170531068e-01,8.266091654690631563e-01,7.708810563898573637e-03,1.055512457068738252e-01,1.874626052377144081e+00
2.214859261870878449e-01,1.083360572431378177e+00,8.364696165081562593e-03,9.022254566401706477e-02,2.143470328374254219e+00
1.257251310960354251e+00,1.286486377034484097e+00,5.780461299228247841e-03,4.552375042705716912e-02,6.838317416999671562e-06
1.386582250461038335e+00,3.732134650200550352e-01,6.154311197458566841e-03,9.417379505429077091e-02,-2.723868650115325529e+00
9.886265084973339112e-01,1.077245683950183386e+00,6.365794496866240999e-03,1.001110576359575816e-01,9.225113943070026648e-03
1.148345529279197974e+00,9.187537159507036533e-01,2.806186795187778481e-03,7.230861148993225629e-02,-8.760306669618535269e-02
9.067124889050497405e-01,1.023743503661051824e+00,6.315244780526355593e-03,5.008142654244491371e-02,8.478777026483278953e-04
1.415594150924098793e+00,5.384572950563611959e-01,9.745916488249545262e-03,6.402199451529440311e-02,-4.607769558413533639e-01
1.260609620357991956e+00,1.389245128126539663e+00,8.022476233062987919e-03,1.147040633256181108e-01,2.261724670030718781e-02
2.035600502211925289e-01,8.621253383821900762e-01,3.848150741900884745e-03,5.190556407638697439e-02,5.970609214584293722e-01
1.314625559563840307e+00,9.460920860534111076e-01,7.354463576054226341e-03,1.004861678227469968e-01,-3.360705441341290123e-01
2.436612478971036666e-01,9.788647452142957839e-01,2.934277653359147059e-03,7.978417279586441646e-02,2.640433703703279011e+00
1.148552080358927308e+00,4.677932336483785480e-01,9.878844654339828321e-03,1.139899186897700561e-01,-1.719094350101360691e+00
4.283523067833267528e-01,4.026317722708016578e-01,2.421850394571612060e-03,1.149077982614283983e-01,-4.418928955387373299e-03
1.322132599054852697e+00,1.017161106613017063e+00,8.711508987123311662e-03,1.189404371176928238e-01,-2.873085991051295696e-01
9.038995863238192818e-01,4.600495028832833344e-01,8.866644858036688490e-03,9.472052024035776396e-02,-6.665093564621633604e-01
5.896254576986001972e-01,3.928450026006050089e-01,2.029885091397189666e-03,7.159878436369418453e-02,-2.397527424609864621e-01
7.494933875569560477e-01,9.374630773411053442e-01,6.316425666592371223e-03,9.063489206004973764e-02,7.599352711320908615e-02
