x,H,lam,y
2.656758243089381022e+00,1.419642955385198491e+02,1.197604839748997341e+00,2.722385900143545756e-01
1.298210840926320220e+00,1.283451816077778176e+02,1.473740247040411955e+00,8.896084241520604841e-02
4.516020385639203383e-01,1.137404935252572500e+02,1.336343611707041079e+00,1.108681389094401393e-02
3.611522514555576269e-01,1.275655692847665108e+02,1.383192583220111738e+00,6.495138440923096772e-03
3.309099885041008271e+00,1.385031126095491345e+02,1.198604378516303415e+00,4.350709103699265667e-01
3.677195635927570372e+00,8.932687888569526535e+01,1.225307942675611939e+00,8.854014458482417638e-01
2.544552370338565517e+00,1.272363060588560302e+02,1.240413892633303039e+00,2.911147219969179023e-01
2.999137275640794353e+00,1.187021231665763423e+02,9.861561996562698829e-01,3.462524542867039257e-01
2.311412468422064492e+00,1.243554194279027882e+02,1.236803198609025323e+00,2.452941370792975639e-01
3.759767968014742667e+00,9.822462357995790683e+01,1.481851177732110392e+00,1.018896841999690439e+00
3.318658150249669259e+00,1.440362761298905809e+02,1.358748302361642013e+00,4.761203340579467369e-01
3.101324506295479178e-01,1.156529028359640847e+02,1.060582195850063192e+00,4.076385314527056387e-03
3.472395823374006874e+00,1.201741892490298227e+02,1.311033112575301862e+00,6.126104614527287939e-01
4.242666286302181344e-01,1.219388708961543841e+02,9.953055466685105657e-01,6.767755564140699731e-03
2.999725151790793021e+00,9.441963565798961611e+01,1.491346046738559306e+00,6.748392633769131344e-01
9.499257962294683777e-01,9.091094158381240220e+01,9.587035996122580395e-01,4.458470183251323632e-02
3.493762012694580310e+00,1.240009826637778332e+02,1.407964927651665032e+00,6.448260298183922101e-01
2.303406514921639392e+00,9.400266553986909912e+01,1.419046061288334881e+00,3.775605607105037009e-01
1.408933994988323724e+00,9.038396167849411711e+01,9.307060779569421571e-01,9.587265418854402921e-02
1.863942718431336409e+00,1.197095503183672065e+02,1.236887547613740868e+00,1.659501363889669678e-01
4.047827832382129842e-01,1.476261424539424922e+02,9.539530641688671597e-01,4.810199151752428577e-03
7.598481230483865589e-01,1.414258751539375112e+02,1.416270181049067212e+00,2.636448677593806675e-02
2.781310334366432269e+00,1.153277575752534432e+02,1.084080478645934598e+00,3.376763392588679746e-01
2.694601192824725544e+00,1.299498835852263880e+02,8.275279721800601340e-01,2.124788593831801464e-01
2.576924912480639485e+00,9.571683702214332357e+01,1.129045007344282814e+00,3.681834910327854704e-01
1.719606950768968856e+00,9.610650269236842291e+01,9.947589108559362625e-01,1.432276815750813392e-01
3.989676762420081069e+00,1.198439218806646238e+02,1.403143896451679584e+00,8.736952144890031136e-01
3.929090753472051389e+00,1.410050619777516943e+02,1.331826696150104405e+00,6.716362343613336838e-01
2.836505342578570676e+00,1.463184697699598757e+02,1.109936289515719654e+00,2.783235405575165688e-01
2.706699322190920576e+00,1.409913980725649481e+02,1.419365382691264443e+00,3.379273306672299637e-01
2.847252903112478251e+00,9.539377093459299317e+01,1.329344840912310310e+00,5.335530377286622494e-01
1.739009268722684132e+00,1.442221006453106895e+02,8.760494213963617716e-01,8.366561281804148209e-02
7.998570685829214932e-01,9.457960227087727390e+01,1.413754471072902419e+00,4.473321320495682318e-02
2.969506858718102382e+00,1.231493156012315069e+02,1.477147276071889337e+00,4.911105798955967550e-01
2.243810993160185951e+00,1.350765748187111228e+02,8.605969824769277299e-01,1.469086277544671970e-01
1.447894939568135975e+00,9.959977443742502601e+01,1.252065375734785047e+00,1.231077104019464713e-01
2.097590827677619618e+00,1.296764820313109681e+02,1.322704853541934789e+00,2.064834972733869400e-01
3.591104987091301215e+00,1.161623114331968765e+02,1.248517130472758252e+00,6.472000331406030371e-01
3.755961009038124132e+00,1.257940284423868889e+02,1.281842378962933404e+00,6.677800592609682839e-01
1.623842227823559803e+00,1.321861599571349188e+02,8.404970839943377570e-01,7.685692305318923834e-02
2.414660373700115770e+00,1.082547028596223271e+02,1.427771523845074553e+00,3.592626165186834086e-01
1.490916746980986085e+00,1.236936703080200743e+02,1.139138709512658165e+00,9.431706445614669587e-02
2.498910111738878115e+00,1.241439136949580302e+02,1.004113608746385333e+00,2.330020750478165315e-01
1.550271534376393090e+00,9.173093083417104765e+01,9.051443212873307997e-01,1.111663890622396761e-01
1.748990301954196580e+00,1.042321258107685367e+02,1.124348581615957743e+00,1.537888312377830580e-01
3.594015102417731811e+00,8.580074684128956619e+01,1.074642965896769997e+00,7.706885572693121800e-01
1.140483096073505065e+00,1.329871285665144001e+02,1.331766290813227949e+00,5.969251747156621712e-02
