n,h0,e,v_wind,h_n
1.310227205910763182e+01,2.713010554947137276e+00,7.272027655708556138e-01,4.692635919923885957e-01,-3.782770564805766622e-02
6.125947561513536144e+00,2.226613628849208215e+00,8.849944268802353298e-01,5.764233999448993284e-01,-1.793377704440692055e-02
1.778496954787699202e+00,1.705017625902044642e+00,8.064820638325949087e-01,1.694970742700669719e+00,3.891129381231799855e-01
1.314025075042052793e+00,2.198770331598804084e+00,8.332529046972066977e-01,1.371364852907026810e+00,4.427382008343814790e-01
1.645213454480517612e+01,2.589396878912469280e+00,7.277739305807447989e-01,4.277236201267624605e-01,-4.257895042524288687e-02
1.834235596827671344e+01,8.331028173462596831e-01,7.430331101003496697e-01,1.454780117812805251e+00,2.204724765338906822e-01
1.252607973957641718e+01,2.187010930673429776e+00,7.516650815047445366e-01,1.580122327870215670e+00,2.532285783656074707e-01
1.486043465869597036e+01,1.882218684520583940e+00,6.063749712321542251e-01,9.931817981207921031e-01,4.753820267993844051e-02
1.132887483784303484e+01,2.084122122425099644e+00,7.496018277765860160e-01,5.239412270071703848e-01,-3.340717432538413412e-02
1.876637605196759750e+01,1.150879413569925180e+00,8.896292444183487858e-01,8.182421064339929773e-01,2.767745246745556553e-02
1.650121752830911248e+01,2.787009861781807096e+00,8.192847442066525376e-01,1.888196892429715668e+00,4.322748913815358529e-01
1.052031503232813803e+00,1.773317958427288676e+00,6.489041119143218461e-01,5.624507971681694807e-01,1.674465501247817401e-01
1.729068125516381826e+01,1.934792473179636652e+00,7.920189214716011339e-01,1.588041320702436643e+00,2.820476536526803080e-01
1.638125930803822738e+00,1.997816817719799465e+00,6.116031695248631550e-01,1.150999203468248799e+00,1.558599355671076991e-01
1.486345348216893747e+01,1.014986987785343242e+00,8.950548838506052762e-01,1.873120505672923430e+00,6.323277984191129075e-01
4.337456791448621729e+00,8.896764851361569360e-01,5.906877712070045527e-01,1.892497963296821739e+00,3.241039611853525071e-01
1.740039952464784534e+01,2.071463666563494233e+00,8.474085300866658343e-01,1.977631450262404167e+00,5.403471755183331116e-01
1.128776318473274287e+01,1.000095197852467921e+00,8.537406064504771130e-01,1.466322093963108308e+00,2.962341454369309957e-01
6.694525920210311121e+00,8.708557742319327222e-01,5.746891874039669057e-01,9.781965587890995018e-01,4.427825408034614940e-02
9.031057202755510716e+00,1.918198225655971534e+00,7.496500272078518989e-01,1.380069943489939055e+00,1.788761145614263526e-01
1.538073751763796349e+00,2.915219373355089072e+00,5.879731795250668913e-01,5.707894855064939987e-01,1.080736678701356979e-01
3.361382253491715044e+00,2.693781255497768257e+00,8.521543891708954765e-01,7.301835467722556094e-01,8.882947376619354518e-02
1.374186387917897534e+01,1.761705627687622844e+00,6.623317020833912050e-01,1.740234882165960784e+00,2.834214322539481135e-01
1.329660071991075121e+01,2.283924413758084970e+00,5.157302698171771782e-01,4.308818140591491042e-01,-3.282853555909546334e-02
1.269231711814382280e+01,1.061315607933690064e+00,6.880257184824473127e-01,1.720131263987961789e+00,2.975595615337484623e-01
8.289873530975786053e+00,1.075232239013157898e+00,6.112908062033921563e-01,1.088776254749614480e+00,7.092178613106046858e-02
1.994698877999501008e+01,1.922997210023736470e+00,8.446536551152454830e-01,1.995133458243129043e+00,5.545823560334808278e-01
