r,Q,R,temperature,E_r
8.144886973076098931e-06,5.893977097482666481e-13,1.849170337284143265e-05,2.388698517886724915e+02,7.317459582521226257e+05
6.447036682716463387e-07,2.405973851667439804e-13,4.586232541570213191e-05,2.501498315731473099e+02,4.511080191296532576e+02
1.327151712530880638e-07,9.204794574976058579e-14,2.918603936657038228e-05,3.678916571263862920e+02,1.180976993085601862e+03
1.120941392828577976e-07,2.285684405656914055e-13,3.404883572171239059e-05,3.338278792533712362e+02,1.261276804162858298e+03
2.753028565072984500e-05,4.693723507898995175e-13,1.855260212050727713e-05,2.344972231712381472e+02,5.566044655181600712e+06
5.473520283788638343e-05,1.847065318661607692e-14,2.025595761486970325e-05,3.426084334539795009e+02,5.541143643373750092e+04
6.605524798050306206e-06,2.236705185171338565e-13,2.128789444389683191e-05,3.558023503021279907e+02,3.566286034738223534e+05
1.543439757117906759e-05,1.275777526685188473e-13,9.223748068645946238e-06,2.940191366442938943e+02,4.813336231939689256e+06
4.274398161693904318e-06,1.850536680649552614e-13,2.103655275473243768e-05,2.446253923165442643e+02,1.227704976480476034e+04
6.385828802382959685e-05,3.316679686319824864e-14,4.710240858565934905e-05,2.756044322562098046e+02,7.310037526920902019e+04
2.802597061804129686e-05,6.754728372112040768e-13,3.141824086491497786e-05,3.882312518347069386e+02,2.162705142771734390e+06
1.019096946938244392e-07,1.043889109410205536e-13,1.178230563238062181e-05,2.486790312808599595e+02,1.569805699364997054e+03
3.734331170867692088e-05,1.405510125073359225e-13,2.685451467299582528e-05,3.566359284949933226e+02,9.058555246444105869e+05
1.261120908119562212e-07,1.578532232042520781e-13,9.505564829457729292e-06,3.106314951019209616e+02,3.644830280108846637e+04
1.545134676685523922e-05,2.582198296187202711e-14,4.859674865697732735e-05,3.866442637550445625e+02,9.392286098870514252e+03
3.364858933419805480e-07,2.049940180768955246e-14,8.427318975479514338e-06,3.886839961365075737e+02,3.049517469611111301e+04
3.886303977238025794e-05,1.807885548697366170e-13,3.693952695139593641e-05,3.976454158170951700e+02,1.075840817637190223e+06
4.210984673528853268e-06,2.512326956861496001e-14,3.831082642152208067e-05,3.438233783119061400e+02,3.942157360668451474e+03
7.927489429502102705e-07,1.980088581659861770e-14,7.685868909485754920e-06,2.924417430304315531e+02,4.303996457129719056e+04
1.853794817028583638e-06,1.363196870856887784e-13,2.104239032922517214e-05,3.347442045778882971e+02,5.321032783652764192e+04
1.216071228447183280e-07,8.554123157268512689e-13,8.296653509134310975e-06,2.495567879480520048e+02,5.739797957456097356e+04
