I,a,z,radial_observation_coordinate,B_z
6.732655185893088401e+01,1.396683799780969459e-01,2.720276557085559224e-02,6.636128509357509982e-03,2.867772966910388656e-04
3.428080423874833116e+01,1.221580906385714843e-01,1.849944268802353742e-01,8.271725578106356794e-03,2.942710961855384585e-05
1.368761715425752179e+01,1.033806345324736059e-01,1.064820638325948698e-01,2.534429028332601044e-02,2.714056311056173450e-05
1.148748719756761894e+01,1.211557319375569375e-01,1.332529046972066866e-01,2.040504249173882845e-02,1.783344121205716816e-05
8.319432152802451697e+01,1.352182876408488943e-01,2.777393058074482252e-02,6.002097359829532131e-03,3.636956834817165699e-04
9.214800195499495317e+01,7.199170142446534304e-02,4.303311010034969325e-02,2.167822285082702735e-02,4.984721884304752371e-04
6.459721981904618815e+01,1.207323935042434598e-01,5.166508150474453942e-02,2.359134079380855245e-02,2.625085229265725420e-04
7.565469048855985079e+01,1.097598726427410215e-01,-9.362502876784578598e-02,1.463277481342261689e-02,1.890905105941274921e-04
5.892624923188805752e+01,1.170283964073035726e-01,4.960182777658594944e-02,7.470681885898916574e-03,2.470638692697398509e-04
9.415651814089913785e+01,8.343165888851730716e-02,1.896292444183488302e-01,1.196264267715041810e-02,4.597034176481629202e-05
8.342681987093789076e+01,1.423323550241450408e-01,1.192847442066525682e-01,2.829353151603250169e-02,1.626733362996165243e-04
1.024646501531332810e+01,1.058394465033823811e-01,-5.109588808567817886e-02,8.058459535724692493e-03,4.443242011269772656e-05
8.716638489288123992e+01,1.116525290344669158e-01,9.201892147160109503e-02,2.371220963177403385e-02,2.206553555606085377e-04
1.302270177749179147e+01,1.139214054379127788e-01,-8.839683047513685610e-02,1.704156678977853528e-02,3.508737961056480924e-05
7.566899017869496902e+01,7.853953156027235205e-02,1.950548838506052651e-01,2.806341824448146255e-02,3.019689967264208334e-05
2.580900585423031046e+01,7.402835346490165003e-02,-1.093122287929954306e-01,2.835917943979359562e-02,3.545636202028489844e-05
8.768610301148979147e+01,1.165726919962857960e-01,1.474085300866657955e-01,2.965858529347879802e-02,1.084657053752803064e-04
5.873150982241825346e+01,7.800342712268884537e-02,1.537406064504771297e-01,2.185438985522639155e-02,4.228551292331500630e-05
3.697407014836463190e+01,7.335080787234957156e-02,-1.253108125960330776e-01,1.440405273941257162e-02,4.002128931163382870e-05
4.804184990778926334e+01,1.110551361236149781e-01,4.965002720785190171e-02,2.053790966379380467e-02,2.074400953797859981e-04
1.254877040309166603e+01,1.469478974407832095e-01,-1.120268204749330643e-01,8.185734252467539995e-03,2.695289685245436448e-05
2.118549488496075384e+01,1.389761251979196588e-01,1.521543891708955210e-01,1.061859097705021744e-02,2.927915768170109942e-05
7.035619732242672342e+01,1.054214025967544210e-01,-3.766829791660879917e-02,2.603516399095413825e-02,3.560292376334758878e-04
6.824705604168251227e+01,1.242212788952910540e-01,-1.842697301828228051e-01,6.050301372481749554e-03,6.021761844623782088e-05
6.538466003331284071e+01,8.020736188561283786e-02,-1.197428151755271057e-02,2.572831929244783628e-02,5.314083248933946634e-04
4.453097988356950765e+01,8.070836060447368621e-02,-8.870919379660789639e-02,1.609184809880990358e-02,1.031811406257559811e-04
9.974889422102899061e+01,1.112278995608545068e-01,1.446536551152454997e-01,2.992572120476354874e-02,1.221776364463383186e-04
9.827518048986070198e+01,1.384350796856807231e-01,1.039009692286311515e-01,1.508580119940927840e-02,2.271483935222030654e-04
7.169877860326252517e+01,1.452666039899483952e-01,-2.289354884816021882e-02,3.940662193801073437e-03,2.990168035835784072e-04
6.854133486410346165e+01,1.384175118075835209e-01,1.539230758235796415e-01,1.395581669534197086e-02,9.246508326155226487e-05
7.196020575138460629e+01,7.979199120161956094e-02,1.024827662356059127e-01,1.131818413688870373e-02,1.298319623006136353e-04
4.500292815811933878e+01,1.425712722582565817e-01,-1.565431877735076194e-01,2.055866448450009015e-02,5.980688797461858195e-05
2.215868545201701068e+01,7.874520291969934471e-02,1.507168406130871274e-01,1.112523069718557821e-02,1.739448612316454613e-05
7.493395061746736019e+01,1.154776914872976401e-01,1.869413006125081600e-01,1.725121264503217539e-02,5.847887006767090351e-05
5.728188902281532791e+01,1.308127390526285794e-01,-1.653731528703270282e-01,1.633082606725048957e-02,6.508882634214414994e-05
3.792176880030601183e+01,8.519970999097503661e-02,5.832307184844856551e-02,1.875217787747583686e-02,1.546604415875030953e-04
5.372518229486101404e+01,1.238697626116855438e-01,9.868848773824839826e-02,2.572881450333886974e-02,1.278744383888609547e-04
9.005390509141001587e+01,1.064944004141102768e-01,5.629550312729039718e-02,2.357271504653017657e-02,3.657199201610963251e-04
9.406391643606247044e+01,1.188780365687831519e-01,7.533850226453342458e-02,1.620780624453092150e-02,2.982587091960699015e-04
4.220156770381632327e+01,1.270964913734591584e-01,-1.768588091460927270e-01,7.767671333909160168e-03,4.137480186195634479e-05
6.143768476567848325e+01,9.632747510522869649e-02,1.587265850543282952e-01,1.887428048561092322e-02,5.482963460799032300e-05
3.896824519683479338e+01,1.161775761103115284e-01,-6.206451707052540630e-03,2.355471454374836321e-02,2.164437678260684066e-04
6.348700271797271455e+01,1.167564604649460325e-01,-8.336365214492272302e-02,2.848440384683701213e-02,1.801517682809483851e-04
4.041201029564199132e+01,7.508262535821992600e-02,-1.399175306929538454e-01,1.490489712294964901e-02,3.508194521979055887e-05
4.524571004753450865e+01,9.115559032813097540e-02,-1.465795336230990564e-02,1.894202295652815116e-02,3.086563023889779870e-04
9.012469168043131162e+01,6.745810308165801905e-02,-4.306116234470285659e-02,1.963808918920345592e-02,4.908637059060037009e-04
3.044418341800417593e+01,1.281263081569470885e-01,1.038664518932731762e-01,8.040219393810662390e-03,6.986145208446295138e-05
6.608684302174381742e+01,1.116003973281375905e-01,-4.647124917184322634e-02,2.729845877756613068e-02,2.952703291098642360e-04
1.756138092241463511e+01,9.423394465874142256e-02,-1.126657274150106962e-02,1.682739885630852791e-02,1.171995013696589113e-04
8.493797328880580721e+01,6.277592780001894912e-02,2.821962888226332844e-02,3.061549479178778468e-03,6.450683504279875694e-04
8.083884767398150473e+01,1.098502142329007697e-01,-6.369658230957249423e-02,1.128421988152377743e-02,2.988619231254896068e-04
3.154324986936569530e+01,1.087713046144280077e-01,-7.212458675113060658e-02,2.068741646810565507e-02,1.043707098323054479e-04
8.888358077296334159e+01,1.012809312186694899e-01,-7.104395485074155303e-02,4.069166451778761032e-03,3.023943067255115721e-04
1.527112313246749054e+01,1.345059028265294387e-01,7.602190256631612131e-02,2.864613671543623022e-02,4.676546665845678763e-05
4.025053544910943515e+01,6.121888289094517405e-02,-1.807923147918924153e-02,2.818446832015026465e-02,3.949132955643214898e-04
2.352515202053551491e+01,1.430174022227972686e-01,2.898058323520671595e-02,2.852473693725725637e-02,9.958333608797800298e-05
5.053054299843582697e+01,1.476342321581589623e-01,1.930157148567266112e-01,2.215843141970180383e-02,4.758100666621324653e-05
8.166918432585647736e+01,7.344882159399666877e-02,-1.072582984615449847e-01,2.421749155421547978e-02,1.183044793826275315e-04
3.075779880943726852e+01,1.383589822038459038e-01,-1.729511194122265449e-01,6.357900882797775516e-03,3.400828064009568614e-05
1.468191709579686410e+01,1.153268751878402526e-01,-1.061936363062101069e-01,7.535044828812746155e-03,3.177229612041230280e-05
4.640966558393753871e+01,1.419341393964025089e-01,8.084670308973924968e-02,1.744015154955869118e-02,1.345108442298035352e-04
2.786617400583298121e+01,1.272393436397969424e-01,1.019235108270098444e-01,1.028608198794896122e-02,6.523312838075226753e-05
1.816777410572096940e+01,1.198109858178069975e-01,-1.241531791787159195e-01,2.872598025042654660e-03,3.189327331271303215e-05
6.222991473881656077e+01,1.303897029450847567e-01,-4.652450251195943548e-02,2.488017224061375016e-02,2.530946659178596320e-04
3.688265195370303218e+01,8.533981904385744277e-02,-2.923254406009543477e-02,2.939715926652259129e-02,2.379855287535124835e-04
7.047953901607233718e+01,1.048075676476227930e-01,-3.471173581416407000e-02,1.653009354282521798e-02,3.644524711923320865e-04
2.795638995713919783e+01,1.040372278175970694e-01,8.280035636348231920e-02,1.964351635569445975e-02,7.960129197613772438e-05
9.479017994558481064e+01,7.430631614822143238e-02,1.887757148135762175e-01,1.344372233003674269e-02,3.898015420805341373e-05
4.285991514203457342e+01,8.062942223465514868e-02,-1.134356457507982169e-01,2.370594376508594441e-03,6.492259562308367736e-05
1.949457516132065749e+01,6.144460053185803877e-02,-9.660061958534083004e-03,1.473134780756537622e-02,1.995652033096576472e-04
6.661973363857383390e+01,1.395122295338350471e-01,-6.066790045035342499e-03,1.515117379725583469e-02,3.017930161116754318e-04
9.344390977610807170e+01,6.418347607909505315e-02,-1.285417213538741221e-01,2.977813648417281661e-02,7.405299795544120008e-05
4.963394392442055647e+01,6.840830811218738539e-02,6.532994496182276123e-03,1.304759181341547114e-02,4.616138743390202251e-04
9.591314443216634800e+01,1.228290527426745132e-01,-1.102914851556993647e-01,6.676577132648167136e-03,2.018198230882428266e-04
5.499062323188822887e+01,1.378578834193386615e-01,3.167060671053443383e-02,7.599456493926522171e-03,2.323827410078433005e-04
4.827057623641680095e+01,1.227179491305279424e-01,-7.651028789412822606e-02,2.890392277979040095e-02,1.489924228667707058e-04
6.581921068138400699e+01,1.241439342378967275e-01,-7.419695922960332923e-02,1.615186936233409948e-02,2.100302965058453957e-04
9.955868547117917444e+01,9.363455807749593296e-02,-7.433027399357384005e-03,7.813300361023321067e-03,6.649146555390831508e-04
9.540493074439888233e+01,1.305364345805181958e-01,1.773952780908299443e-01,2.993157113271030512e-02,9.267523430780784583e-05
