t,Q,V_a,dQ_dt
0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,-7.349861884204445417e+00
2.000400080016003206e-03,4.985315977495045736e+00,1.000426344535228163e+00,-7.331232225572003713e+00
4.000800160032006413e-03,4.970669171371493889e+00,1.000848073995700638e+00,-7.312652906882279424e+00
6.001200240048009185e-03,4.956059481168721526e+00,1.001265203610790522e+00,-7.294123688992911525e+00
8.001600320064012825e-03,4.941486806901059126e+00,1.001677748566114579e+00,-7.275644334747575215e+00
1.000200040008001647e-02,4.926951048895428009e+00,1.002085724014094570e+00,-7.257214608764710917e+00
1.200240048009601837e-02,4.912452106902557070e+00,1.002489145133128368e+00,-7.238834276343835583e+00
1.400280056011202201e-02,4.897989882493300584e+00,1.002888026972199809e+00,-7.220503106373962865e+00
1.600320064012802565e-02,4.883564277982311630e+00,1.003282384518076054e+00,-7.202220870002843611e+00
1.800360072014402929e-02,4.869175196079758017e+00,1.003672232717702562e+00,-7.183987340199218252e+00
2.000400080016003293e-02,4.854822539891316069e+00,1.004057586478202868e+00,-7.165802291740217989e+00
2.200440088017603657e-02,4.840506212918176843e+00,1.004438460666878141e+00,-7.147665501198870786e+00
2.400480096019203674e-02,4.826226119057041686e+00,1.004814870111207403e+00,-7.129576746931698850e+00
2.600520104020804038e-02,4.811982162600124013e+00,1.005186829598847975e+00,-7.111535809066433345e+00
2.800560112022404402e-02,4.797774248235149308e+00,1.005554353877635254e+00,-7.093542469489804603e+00
3.000600120024004766e-02,4.783602281045354232e+00,1.005917457655582048e+00,-7.075596511835446911e+00
3.200640128025605130e-02,4.769466166509489291e+00,1.006276155600879907e+00,-7.057697721471894781e+00
3.400680136027205147e-02,4.755365810501814394e+00,1.006630462341897569e+00,-7.039845885490670696e+00
3.600720144028805858e-02,4.741301119292102406e+00,1.006980392467182517e+00,-7.022040792694476785e+00
3.800760152030405875e-02,4.727271999545638259e+00,1.007325960525459418e+00,-7.004282233585476192e+00
4.000800160032006586e-02,4.713278358323218953e+00,1.007667181025631464e+00,-6.986570000353666821e+00
4.200840168033606603e-02,4.699320103081150890e+00,1.008004068436779921e+00,-6.968903886865353670e+00
4.400880176035207314e-02,4.685397141671256982e+00,1.008336637188163243e+00,-6.951283688651709092e+00
4.600920184036807331e-02,4.671509382340866878e+00,1.008664901669218850e+00,-6.933709202897425428e+00
4.800960192038407348e-02,4.657656733732824961e+00,1.008988876229561349e+00,-6.916180228429459120e+00
5.001000200040008059e-02,4.643839104885487679e+00,1.009308575178983869e+00,-6.898696565705876971e+00
5.201040208041608076e-02,4.630056405232722661e+00,1.009624012787457170e+00,-6.881258016804763677e+00
5.401080216043208787e-02,4.616308544603908715e+00,1.009935203285130312e+00,-6.863864385413248392e+00
5.601120224044808804e-02,4.602595433223936716e+00,1.010242160862329763e+00,-6.846515476816604107e+00
5.801160232046409515e-02,4.588916981713210497e+00,1.010544899669560515e+00,-6.829211097887439408e+00
6.001200240048009532e-02,4.575273101087645067e+00,1.010843433817505188e+00,-6.811951057074975502e+00
6.201240248049610243e-02,4.561663702758666616e+00,1.011137777377024705e+00,-6.794735164394409388e+00
6.401280256051210260e-02,4.548088698533213403e+00,1.011427944379157839e+00,-6.777563231416365852e+00
6.601320264052810971e-02,4.534548000613737528e+00,1.011713948815121000e+00,-6.760435071256436501e+00
6.801360272054410294e-02,4.521041521598199608e+00,1.011995804636309115e+00,-6.743350498564790740e+00
7.001400280056011005e-02,4.507569174480074992e+00,1.012273525754294523e+00,-6.726309329515888891e+00
7.201440288057611716e-02,4.494130872648349317e+00,1.012547126040828305e+00,-6.709311381798267249e+00
7.401480296059212427e-02,4.480726529887519405e+00,1.012816619327838508e+00,-6.692356474604405747e+00
7.601520304060811750e-02,4.467356060377596805e+00,1.013082019407432144e+00,-6.675444428620684434e+00
