r,E
2.000000000000000111e-01,8.072685225348898541e+01
2.007601520304060916e-01,7.983260321778865887e+01
2.015203040608121721e-01,7.895215144497701942e+01
2.022804560912182525e-01,7.808522694351536586e+01
2.030406081216243330e-01,7.723156608329954054e+01
2.038007601520304135e-01,7.639091142105019117e+01
2.045609121824364940e-01,7.556301153116032765e+01
2.053210642128425745e-01,7.474762084180891009e+01
2.060812162432486550e-01,7.394449947615687790e+01
2.068413682736547354e-01,7.315341309844966133e+01
2.076015203040608159e-01,7.237413276485546021e+01
2.083616723344668964e-01,7.160643477887718689e+01
2.091218243648729769e-01,7.085010055118020489e+01
2.098819763952790574e-01,7.010491646368511454e+01
2.106421284256851378e-01,6.937067373778050694e+01
2.114022804560912183e-01,6.864716830651519786e+01
2.121624324864972988e-01,6.793420069063596145e+01
2.129225845169033793e-01,6.723157587834081994e+01
2.136827365473094598e-01,6.653910320862310357e+01
2.144428885777155402e-01,6.585659625808645501e+01
2.152030406081216207e-01,6.518387273111488867e+01
2.159631926385277012e-01,6.452075435328639230e+01
2.167233446689337817e-01,6.386706676792287141e+01
2.174834966993398622e-01,6.322263943567332944e+01
2.182436487297459426e-01,6.258730553702992694e+01
2.190038007601520509e-01,6.196090187768165691e+01
2.197639527905581314e-01,6.134326879661282561e+01
2.205241048209642118e-01,6.073425007685671773e+01
2.212842568513702923e-01,6.013369285881937287e+01
2.220444088817763728e-01,5.954144755608960793e+01
2.228045609121824533e-01,5.895736777365613079e+01
2.235647129425885338e-01,5.838131022845385587e+01
2.243248649729946143e-01,5.781313467216590141e+01
2.250850170034006947e-01,5.725270381620875071e+01
2.258451690338067752e-01,5.669988325883189617e+01
2.266053210642128557e-01,5.615454141426473456e+01
2.273654730946189362e-01,5.561654944384675758e+01
2.281256251250250167e-01,5.508578118907836085e+01
2.288857771554310971e-01,5.456211310653236524e+01
2.296459291858371776e-01,5.404542420456847651e+01
2.304060812162432581e-01,5.353559598179430878e+01
2.311662332466493386e-01,5.303251236721941098e+01
2.319263852770554191e-01,5.253605966204953148e+01
2.326865373074614995e-01,5.204612648307119116e+01
2.334466893378675800e-01,5.156260370757748746e+01
2.342068413682736605e-01,5.108538441978851097e+01
2.349669933986797410e-01,5.061436385872021759e+01
2.357271454290858215e-01,5.014943936745859077e+01
2.364872974594919020e-01,4.969051034379610599e+01
2.372474494898979824e-01,4.923747819218966271e+01
2.380076015203040629e-01,4.879024627700027850e+01
2.387677535507101434e-01,4.834871987697614770e+01
2.395279055811162239e-01,4.791280614094204537e+01
2.402880576115223044e-01,4.748241404465922244e+01
2.410482096419283848e-01,4.705745434882097555e+01
2.418083616723344653e-01,4.663783955815057425e+01
2.425685137027405458e-01,4.622348388156884624e+01
2.433286657331466263e-01,4.581430319340034885e+01
2.440888177635527068e-01,4.541021499558726759e+01
2.448489697939588150e-01,4.501113838088232200e+01
2.456091218243648955e-01,4.461699399699161717e+01
2.463692738547709760e-01,4.422770401164022047e+01
2.471294258851770564e-01,4.384319207853393152e+01
2.478895779155831369e-01,4.346338330419104778e+01
2.486497299459892174e-01,4.308820421561971870e+01
2.494098819763952979e-01,4.271758272881619689e+01
2.501700340068013784e-01,4.235144811806086551e+01
2.509301860372074588e-01,4.198973098598931131e+01
2.516903380676135393e-01,4.163236323441649489e+01
2.524504900980196198e-01,4.127927803589270184e+01
2.532106421284257003e-01,4.093040980597074707e+01
2.539707941588317808e-01,4.058569417616441655e+01
2.547309461892378613e-01,4.024506796757878391e+01
2.554910982196439417e-01,3.990846916519380017e+01
2.562512502500500222e-01,3.957583689278285988e+01
2.570114022804561027e-01,3.924711138844870106e+01
2.577715543108621832e-01,3.892223398075974217e+01
2.585317063412682637e-01,3.860114706547031460e+01
2.592918583716743441e-01,3.828379408280846263e+01
2.600520104020804246e-01,3.797011949531612629e+01
2.608121624324865051e-01,3.766006876622648747e+01
2.615723144628925856e-01,3.735358833836380654e+01
2.623324664932986661e-01,3.705062561355163808e+01
2.630926185237047465e-01,3.675112893251559143e+01
2.638527705541108270e-01,3.645504755526755503e+01
2.646129225845169075e-01,3.616233164195796235e+01
2.653730746149229880e-01,3.587293223418412680e+01
2.661332266453290685e-01,3.558680123674192686e+01
2.668933786757351490e-01,3.530389139980941593e+01
2.676535307061412294e-01,3.502415630155061876e+01
2.684136827365473099e-01,3.474755033112862179e+01
2.691738347669533904e-01,3.447402867211683741e+01
2.699339867973594709e-01,3.420354728629828855e+01
2.706941388277655514e-01,3.393606289784247565e+01
2.714542908581716318e-01,3.367153297785007737e+01
2.722144428885777123e-01,3.340991572925577202e+01
2.729745949189837928e-01,3.315117007208002775e+01
2.737347469493898733e-01,3.289525562902058198e+01
2.744948989797959538e-01,3.264213271137496974e+01
2.752550510102020342e-01,3.239176230528555323e+01
2.760152030406081147e-01,3.214410605829866086e+01
2.767753550710141952e-01,3.189912626622991354e+01
2.775355071014202757e-01,3.165678586032770525e+01
2.782956591318263562e-01,3.141704839472746258e+01
2.790558111622324367e-01,3.117987803418910531e+01
2.798159631926385171e-01,3.094523954211064520e+01
2.805761152230445976e-01,3.071309826881081051e+01
2.813362672534506781e-01,3.048342014007403833e+01
2.820964192838567586e-01,3.025617164595113806e+01
2.828565713142628391e-01,3.003131982980934112e+01
2.836167233446689195e-01,2.980883227762526033e+01
2.843768753750750000e-01,2.958867710751497171e+01
2.851370274054810805e-01,2.937082295949515753e+01
2.858971794358871610e-01,2.915523898546963721e+01
2.866573314662932415e-01,2.894189483943562280e+01
2.874174834966993219e-01,2.873076066790445893e+01
2.881776355271054024e-01,2.852180710053136181e+01
2.889377875575114829e-01,2.831500524094917282e+01
2.896979395879175634e-01,2.811032665780108530e+01
2.904580916183236994e-01,2.790774337596748111e+01
2.912182436487297243e-01,2.770722786798221904e+01
2.919783956791358603e-01,2.750875304563354717e+01
2.927385477095418853e-01,2.731229225174568853e+01
2.934986997399480213e-01,2.711781925213597333e+01
2.942588517703540463e-01,2.692530822774411092e+01
2.950190038007601823e-01,2.673473376692874126e+01
2.957791558311662072e-01,2.654607085792792986e+01
2.965393078615723432e-01,2.635929488147897004e+01
2.972994598919783682e-01,2.617438160359449029e+01
2.980596119223845042e-01,2.599130716849038691e+01
2.988197639527905292e-01,2.581004809166267577e+01
2.995799159831966652e-01,2.563058125310906377e+01
3.003400680136026901e-01,2.545288389069260049e+01
3.011002200440088261e-01,2.527693359364315739e+01
3.018603720744148511e-01,2.510270829619454602e+01
3.026205241048209871e-01,2.493018627135304044e+01
3.033806761352270120e-01,2.475934612479519359e+01
3.041408281656331480e-01,2.459016678889112484e+01
3.049009801960391730e-01,2.442262751685113642e+01
3.056611322264453090e-01,2.425670787699200304e+01
3.064212842568513895e-01,2.409238774712099840e+01
3.071814362872574700e-01,2.392964730903418413e+01
3.079415883176635504e-01,2.376846704312693959e+01
3.087017403480696309e-01,2.360882772311379796e+01
3.094618923784757114e-01,2.345071041085522623e+01
3.102220444088817919e-01,2.329409645128892237e+01
3.109821964392878724e-01,2.313896746746319621e+01
3.117423484696939529e-01,2.298530535567021715e+01
3.125025005001000333e-01,2.283309228067669849e+01
3.132626525305061138e-01,2.268231067105002907e+01
3.140228045609121943e-01,2.253294321457757476e+01
3.147829565913182748e-01,2.238497285377706802e+01
3.155431086217243553e-01,2.223838278149609948e+01
3.163032606521304357e-01,2.209315643659870432e+01
3.170634126825365162e-01,2.194927749973701836e+01
3.178235647129425967e-01,2.180672988920631283e+01
3.185837167433486772e-01,2.166549775688133295e+01
3.193438687737547577e-01,2.152556548423226701e+01
3.201040208041608381e-01,2.138691767841864078e+01
3.208641728345669186e-01,2.124953916845926116e+01
3.216243248649729991e-01,2.111341500147668526e+01
3.223844768953790796e-01,2.097853043901452708e+01
3.231446289257851601e-01,2.084487095342602103e+01
3.239047809561912405e-01,2.071242222433226843e+01
3.246649329865973210e-01,2.058117013514868177e+01
3.254250850170034015e-01,2.045110076967815615e+01
3.261852370474094820e-01,2.032220040876949341e+01
3.269453890778155625e-01,2.019445552703968616e+01
3.277055411082216430e-01,2.006785278965867647e+01
3.284656931386277234e-01,1.994237904919529925e+01
3.292258451690338039e-01,1.981802134252303560e+01
3.299859971994398844e-01,1.969476688778433626e+01
3.307461492298459649e-01,1.957260308141224314e+01
3.315063012602520454e-01,1.945151749520813311e+01
3.322664532906581258e-01,1.933149787347432280e+01
3.330266053210642063e-01,1.921253213020046502e+01
3.337867573514702868e-01,1.909460834630253245e+01
3.345469093818763673e-01,1.897771476691330506e+01
3.353070614122824478e-01,1.886183979872324912e+01
3.360672134426885282e-01,1.874697200737085367e+01
3.368273654730946087e-01,1.863310011488116302e+01
3.375875175035006892e-01,1.852021299715176283e+01
3.383476695339067697e-01,1.840829968148502616e+01
3.391078215643128502e-01,1.829734934416574887e+01
3.398679735947189307e-01,1.818735130808327582e+01
3.406281256251250111e-01,1.807829504039708368e+01
3.413882776555310916e-01,1.797017015024500353e+01
3.421484296859371721e-01,1.786296638649324819e+01
3.429085817163432526e-01,1.775667363552721767e+01
3.436687337467493331e-01,1.765128191908249278e+01
3.444288857771554135e-01,1.754678139211495491e+01
3.451890378075614940e-01,1.744316234070940297e+01
3.459491898379675745e-01,1.734041518002580062e+01
3.467093418683736550e-01,1.723853045228243630e+01
3.474694938987797910e-01,1.713749882477520714e+01
3.482296459291858159e-01,1.703731108793236615e+01
3.489897979595919519e-01,1.693795815340385502e+01
3.497499499899979769e-01,1.683943105218484249e+01
3.505101020204041129e-01,1.674172093277234197e+01
3.512702540508101379e-01,1.664481905935473804e+01
3.520304060812162739e-01,1.654871681003307415e+01
3.527905581116222988e-01,1.645340567507395235e+01
3.535507101420284348e-01,1.635887725519292601e+01
3.543108621724344598e-01,1.626512325986829310e+01
3.550710142028405958e-01,1.617213550568417446e+01
3.558311662332466208e-01,1.607990591470275987e+01
3.565913182636527567e-01,1.598842651286477334e+01
3.573514702940587817e-01,1.589768942841793198e+01
3.581116223244649177e-01,1.580768689037249786e+01
3.588717743548709427e-01,1.571841122698379145e+01
3.596319263852770787e-01,1.562985486426071446e+01
3.603920784156831036e-01,1.554201032450020215e+01
3.611522304460892396e-01,1.545487022484670803e+01
3.619123824764952646e-01,1.536842727587657720e+01
3.626725345069014006e-01,1.528267428020650165e+01
3.634326865373074256e-01,1.519760413112595288e+01
3.641928385677135616e-01,1.511320981125272489e+01
3.649529905981195865e-01,1.502948439121158231e+01
3.657131426285257225e-01,1.494642102833510400e+01
3.664732946589317475e-01,1.486401296538677919e+01
3.672334466893378835e-01,1.478225352930544823e+01
3.679935987197439085e-01,1.470113612997116626e+01
3.687537507501500444e-01,1.462065425899160154e+01
3.695139027805560694e-01,1.454080148850902177e+01
3.702740548109622054e-01,1.446157147002709920e+01
3.710342068413682304e-01,1.438295793325751681e+01
3.717943588717743664e-01,1.430495468498558509e+01
3.725545109021803913e-01,1.422755560795503094e+01
3.733146629325865273e-01,1.415075465977102276e+01
3.740748149629925523e-01,1.407454587182162342e+01
3.748349669933986883e-01,1.399892334821692863e+01
3.755951190238047133e-01,1.392388126474580368e+01
3.763552710542108493e-01,1.384941386784973893e+01
3.771154230846168742e-01,1.377551547361366246e+01
3.778755751150230102e-01,1.370218046677315904e+01
3.786357271454290907e-01,1.362940329973814713e+01
3.793958791758351712e-01,1.355717849163228372e+01
3.801560312062412517e-01,1.348550062734816457e+01
3.809161832366473321e-01,1.341436435661786319e+01
3.816763352670534126e-01,1.334376439309851392e+01
3.824364872974594931e-01,1.327369551347274523e+01
3.831966393278655736e-01,1.320415255656364550e+01
3.839567913582716541e-01,1.313513042246398221e+01
3.847169433886777345e-01,1.306662407167944551e+01
3.854770954190838150e-01,1.299862852428567273e+01
3.862372474494898955e-01,1.293113885909874128e+01
3.869973994798959760e-01,1.286415021285896465e+01
3.877575515103020565e-01,1.279765777942770022e+01
3.885177035407081370e-01,1.273165680899694863e+01
3.892778555711142174e-01,1.266614260731151198e+01
3.900380076015202979e-01,1.260111053490351729e+01
3.907981596319263784e-01,1.253655600633901201e+01
3.915583116623324589e-01,1.247247448947649673e+01
3.923184636927385394e-01,1.240886150473713734e+01
3.930786157231446198e-01,1.234571262438644901e+01
3.938387677535507003e-01,1.228302347182726351e+01
3.945989197839567808e-01,1.222078972090378279e+01
3.953590718143628613e-01,1.215900709521649503e+01
3.961192238447689418e-01,1.209767136744779314e+01
3.968793758751750222e-01,1.203677835869810053e+01
3.976395279055811027e-01,1.197632393783231564e+01
3.983996799359871832e-01,1.191630402083635687e+01
3.991598319663932637e-01,1.185671457018372088e+01
3.999199839967993442e-01,1.179755159421178767e+01
4.006801360272054247e-01,1.173881114650775714e+01
4.014402880576115051e-01,1.168048932530402872e+01
4.022004400880175856e-01,1.162258227288286250e+01
4.029605921184236661e-01,1.156508617499017610e+01
4.037207441488297466e-01,1.150799726025828207e+01
4.044808961792358271e-01,1.145131179963745360e+01
4.052410482096419075e-01,1.139502610583615905e+01
4.060012002400479880e-01,1.133913653276978017e+01
4.067613522704540685e-01,1.128363947501771314e+01
4.075215043008601490e-01,1.122853136728868506e+01
4.082816563312662295e-01,1.117380868389414417e+01
4.090418083616723099e-01,1.111946793822960800e+01
4.098019603920783904e-01,1.106550568226381159e+01
4.105621124224844709e-01,1.101191850603552780e+01
4.113222644528905514e-01,1.095870303715792460e+01
4.120824164832966874e-01,1.090585594033036720e+01
4.128425685137027124e-01,1.085337391685749431e+01
4.136027205441088483e-01,1.080125370417542641e+01
4.143628725745148733e-01,1.074949207538512219e+01
4.151230246049210093e-01,1.069808583879254194e+01
4.158831766353270343e-01,1.064703183745574577e+01
4.166433286657331703e-01,1.059632694873856451e+01
4.174034806961391952e-01,1.054596808387099394e+01
4.181636327265453312e-01,1.049595218751595027e+01
4.189237847569513562e-01,1.044627623734247912e+01
4.196839367873574922e-01,1.039693724360516391e+01
4.204440888177635172e-01,1.034793224872977291e+01
4.212042408481696532e-01,1.029925832690486942e+01
4.219643928785756781e-01,1.025091258367949010e+01
4.227245449089818141e-01,1.020289215556656792e+01
4.234846969393878391e-01,1.015519420965224029e+01
4.242448489697939751e-01,1.010781594321070642e+01
4.250050010002000000e-01,1.006075458332478867e+01
4.257651530306061360e-01,1.001400738651184064e+01
4.265253050610121610e-01,9.967571638355204655e+00
4.272854570914182970e-01,9.921444653140827796e+00
4.280456091218243220e-01,9.875623773499224711e+00
4.288057611522304580e-01,9.830106370052490661e+00
4.295659131826364829e-01,9.784889841066437555e+00
4.303260652130426189e-01,9.739971612107629184e+00
4.310862172434486439e-01,9.695349135705393806e+00
4.318463692738547799e-01,9.651019891018560060e+00
4.326065213042608049e-01,9.606981383507022798e+00
4.333666733346669409e-01,9.563231144607875933e+00
4.341268253650729658e-01,9.519766731416231309e+00
4.348869773954791018e-01,9.476585726370437612e+00
4.356471294258851268e-01,9.433685736941846756e+00
4.364072814562912628e-01,9.391064395328864833e+00
4.371674334866972877e-01,9.348719358155383574e+00
4.379275855171034237e-01,9.306648306173345375e+00
4.386877375475094487e-01,9.264848943969591133e+00
4.394478895779155847e-01,9.223318999676676455e+00
4.402080416083216097e-01,9.182056224687864088e+00
4.409681936387277457e-01,9.141058393375953273e+00
4.417283456691337706e-01,9.100323302816113014e+00
4.424884976995399066e-01,9.059848772512513193e+00
4.432486497299459871e-01,9.019632644128765975e+00
4.440088017603520676e-01,8.979672781222078015e+00
4.447689537907581481e-01,8.939967068981081511e+00
4.455291058211642286e-01,8.900513413967283682e+00
4.462892578515703090e-01,8.861309743860054766e+00
4.470494098819763895e-01,8.822354007205134963e+00
4.478095619123824700e-01,8.783644173166569757e+00
4.485697139427885505e-01,8.745178231282055847e+00
4.493298659731946310e-01,8.706954191221619510e+00
4.500900180036007114e-01,8.668970082549579459e+00
4.508501700340067919e-01,8.631223954489767536e+00
4.516103220644128724e-01,8.593713875693902438e+00
4.523704740948189529e-01,8.556437934013143121e+00
4.531306261252250334e-01,8.519394236272711751e+00
4.538907781556311138e-01,8.482580908049568436e+00
4.546509301860371943e-01,8.445996093453066678e+00
4.554110822164432748e-01,8.409637954908600221e+00
4.561712342468493553e-01,8.373504672944109828e+00
4.569313862772554358e-01,8.337594445979501501e+00
4.576915383076615162e-01,8.301905490118834052e+00
4.584516903380675967e-01,8.266436038945338183e+00
4.592118423684736772e-01,8.231184343319110752e+00
4.599719943988797577e-01,8.196148671177571288e+00
4.607321464292858382e-01,8.161327307338513748e+00
4.614922984596919187e-01,8.126718553305803283e+00
4.622524504900979991e-01,8.092320727077634501e+00
4.630126025205040796e-01,8.058132162957340583e+00
4.637727545509101601e-01,8.024151211366687519e+00
4.645329065813162406e-01,7.990376238661620611e+00
4.652930586117223211e-01,7.956805626950473886e+00
4.660532106421284015e-01,7.923437773914517201e+00
4.668133626725344820e-01,7.890271092630892547e+00
4.675735147029405625e-01,7.857304011397858723e+00
4.683336667333466430e-01,7.824534973562307094e+00
4.690938187637527235e-01,7.791962437349551962e+00
4.698539707941588039e-01,7.759584875695312967e+00
4.706141228245648844e-01,7.727400776079894840e+00
4.713742748549709649e-01,7.695408640364522768e+00
4.721344268853770454e-01,7.663606984629782737e+00
4.728945789157831259e-01,7.631994339016173079e+00
4.736547309461892064e-01,7.600569247566696163e+00
4.744148829765952868e-01,7.569330268071484014e+00
4.751750350070013673e-01,7.538275971914433882e+00
4.759351870374074478e-01,7.507404943921798690e+00
4.766953390678135283e-01,7.476715782212727923e+00
4.774554910982196088e-01,7.446207098051727868e+00
4.782156431286256892e-01,7.415877515702989697e+00
4.789757951590317697e-01,7.385725672286588939e+00
4.797359471894378502e-01,7.355750217636528809e+00
4.804960992198439307e-01,7.325949814160558127e+00
4.812562512502500112e-01,7.296323136701790446e+00
4.820164032806560916e-01,7.266868872402080015e+00
4.827765553110621721e-01,7.237585720567114578e+00
4.835367073414682526e-01,7.208472392533218809e+00
4.842968593718743331e-01,7.179527611535828413e+00
4.850570114022804136e-01,7.150750112579641105e+00
4.858171634326864941e-01,7.122138642310376078e+00
4.865773154630925745e-01,7.093691958888159732e+00
4.873374674934986550e-01,7.065408831862487027e+00
4.880976195239047355e-01,7.037288042048753134e+00
4.888577715543108160e-01,7.009328381406323416e+00
4.896179235847168965e-01,6.981528652918127520e+00
4.903780756151229769e-01,6.953887670471745608e+00
4.911382276455290574e-01,6.926404258741980513e+00
4.918983796759351379e-01,6.899077253074876737e+00
4.926585317063412739e-01,6.871905499373180959e+00
4.934186837367473544e-01,6.844887853983229853e+00
4.941788357671534349e-01,6.818023183583206581e+00
4.949389877975595153e-01,6.791310365072807720e+00
4.956991398279655958e-01,6.764748285464233568e+00
4.964592918583716763e-01,6.738335841774552470e+00
4.972194438887777568e-01,6.712071940919356550e+00
4.979795959191838373e-01,6.685955499607738162e+00
4.987397479495899177e-01,6.659985444238536445e+00
4.994998999799959982e-01,6.634160710797862848e+00
5.002600520104021342e-01,6.608480244757865663e+00
5.010202040408081592e-01,6.582943000976734460e+00
5.017803560712141842e-01,6.557547943599904450e+00
5.025405081016203201e-01,6.532294045962480311e+00
5.033006601320264561e-01,6.507180290492824426e+00
5.040608121624324811e-01,6.482205668617323724e+00
5.048209641928385061e-01,6.457369180666284514e+00
5.055811162232446421e-01,6.432669835780979284e+00
5.063412682536507781e-01,6.408106651821819710e+00
5.071014202840568030e-01,6.383678655277614133e+00
5.078615723144628280e-01,6.359384881175905058e+00
5.086217243448689640e-01,6.335224372994413322e+00
5.093818763752751000e-01,6.311196182573519664e+00
5.101420284056811250e-01,6.287299370029784562e+00
5.109021804360871499e-01,6.263533003670512578e+00
5.116623324664932859e-01,6.239896159909328333e+00
5.124224844968994219e-01,6.216387923182753461e+00
5.131826365273054469e-01,6.193007385867781878e+00
5.139427885577114719e-01,6.169753648200410723e+00
5.147029405881176078e-01,6.146625818195153634e+00
5.154630926185237438e-01,6.123623011565507035e+00
5.162232446489297688e-01,6.100744351645331243e+00
5.169833966793357938e-01,6.077988969311176604e+00
5.177435487097419298e-01,6.055356002905511126e+00
5.185037007401480658e-01,6.032844598160863825e+00
