E_1,E_2,phi,theta,I_avg
1.455442530982181459e+00,1.827806332968282543e+00,3.568892695861413333e+00,1.221132408219273158e+00,2.524444560509386121e-03
9.046800706458054675e-01,1.535968177309524840e+00,6.047478315626952039e+00,1.575503424444618883e+00,2.870257962048949809e-03
5.614602859042920890e-01,1.223010575541226608e+00,4.814209000829990259e+00,5.274471966121961231e+00,2.540704352048889572e-03
5.247914532927936415e-01,1.519262198959282273e+00,5.234724385771400534e+00,4.204326822958761589e+00,2.788532881336112414e-03
1.719905358800408735e+00,1.753638127347481479e+00,3.577864534856434631e+00,1.083762228809117545e+00,2.203061747194821288e-03
1.869133365916582523e+00,6.998616904077558099e-01,3.817555166242576181e+00,4.480176068661656963e+00,5.170407805509385016e-03
1.409953663650769684e+00,1.512206558404057821e+00,3.953145855988920765e+00,4.894675191071987008e+00,5.592316527433947165e-03
1.594244841475997543e+00,1.329331210712350275e+00,1.670934140696047843e+00,2.953698289701264024e+00,5.289657609850904711e-03
1.315437487198134248e+00,1.450473273455059608e+00,3.920736342215473513e+00,1.401948046612107701e+00,1.727214115572465796e-03
1.902608635681652283e+00,8.905276481419551748e-01,6.120281859267202584e+00,2.375183289481471061e+00,2.017035148377750980e-03
1.723780331182298120e+00,1.872205917069084125e+00,5.015313033871231951e+00,5.913459179230236451e+00,9.504913992198903150e-03
5.041077502552221423e-01,1.263990775056373028e+00,2.338980320329876239e+00,1.529296870514463169e+00,2.247839448062375137e-03
1.786106414881353910e+00,1.360875483907781902e+00,4.587022491890876630e+00,4.920862822340223985e+00,7.508715893698158887e-03
5.503783629581965320e-01,1.398690090631879768e+00,1.753058487433125867e+00,3.475590922579160580e+00,2.285891091439638811e-03
1.594483169644916210e+00,8.089921926712060340e-01,6.205507604171786262e+00,5.863602478307643473e+00,5.081521286920895331e-03
7.634834309038385225e-01,7.338058910816942504e-01,1.424520178931071968e+00,5.927682560954745661e+00,9.091887175452199746e-04
1.794768383524829813e+00,1.442878199938096628e+00,5.457080429417515255e+00,6.209213863289389401e+00,8.576379425395205466e-03
1.312191830373637513e+00,8.000571187114806637e-01,5.556544452347267793e+00,4.518344687062356257e+00,2.666902524929101997e-03
9.495678358060771762e-01,7.225134645391595445e-01,1.173215012220936160e+00,2.904143007811385235e+00,1.200163112571669619e-03
1.134030831796487782e+00,1.350918935393583098e+00,3.921493457111313141e+00,4.233114032035950380e+00,4.979620278371923309e-03
5.424795067181944486e-01,1.949131624013053621e+00,1.381879472504934592e+00,1.556872409486575126e+00,5.214610536359342088e-03
6.864249147493459713e-01,1.816268753298660776e+00,5.531628209585326417e+00,2.083978948311886459e+00,2.110102448330721490e-03
1.505936622040445538e+00,1.257023376612573795e+00,2.549900413476662298e+00,5.424157742975811658e+00,1.055110030343916778e-03
1.470784267361375131e+00,1.570354648254850938e+00,2.470905004760834134e-01,1.094206185499974504e+00,6.985922777564972791e-03
1.423077667221880782e+00,8.367893647602140383e-01,2.953501079267577989e+00,5.357676291210789365e+00,1.276891247499768994e-03
1.075516331392825098e+00,8.451393434078946498e-01,1.748151895853344406e+00,3.269823387238561807e+00,2.094195473133619607e-03
1.995814903683816421e+00,1.353798326014241882e+00,5.413806954559889917e+00,6.267091947177540590e+00,8.958491487985170351e-03
1.971253008164345122e+00,1.807251328094678922e+00,4.773665261600985588e+00,3.051851694256943581e+00,5.587091506818677930e-03
1.528312976721041938e+00,1.921110066499140068e+00,2.781981629130382494e+00,6.371284651359065965e-01,2.425525727460992043e-03
1.475688914401724450e+00,1.806958530126391960e+00,5.559410674557406118e+00,2.807027486219240586e+00,1.175756131845944992e-03
1.532670095856410120e+00,8.298665200269926823e-01,4.751388181080686834e+00,2.235553895304123628e+00,1.602438657178227067e-03
1.083382135968655735e+00,1.876187870970943194e+00,6.826180101763875685e-01,4.237610803915645263e+00,2.003061801085574169e-03
7.026447575336167706e-01,8.124200486616559580e-01,5.509047249644024369e+00,2.193748301604889317e+00,3.411905753775453095e-04
1.582232510291122551e+00,1.424628191454960779e+00,6.078059736699953142e+00,3.521013121110302624e+00,8.763939670027217623e-04
1.288031483713588887e+00,1.680212317543809730e+00,5.439172427822410727e-01,3.321600727238650741e+00,1.138357301443041533e-03
9.653628133384335452e-01,9.199951665162506842e-01,4.057729323743193284e+00,3.846214593345056443e+00,2.889237181262396814e-03
1.228753038247683671e+00,1.564496043528092351e+00,4.691787793817529639e+00,5.357783584376113240e+00,5.723316056957751877e-03
1.834231751523500265e+00,1.274906673568504623e+00,4.025880348748908766e+00,4.890639707567456362e+00,6.550598579902881281e-03
1.901065273934374522e+00,1.481300609479719199e+00,4.325007079699756396e+00,3.294947060253087479e+00,7.438397524884968193e-03
1.036692795063605343e+00,1.618274856224319436e+00,3.635009758993826834e-01,1.466294244407694070e+00,4.706211345828959294e-03
1.357294746094641402e+00,1.105457918420478469e+00,5.634864021109103227e+00,3.872669535185771839e+00,1.900463488641830579e-03
9.828040866139131637e-01,1.436292935171858742e+00,3.044101938064105894e+00,4.886739690512377443e+00,2.522008648498281179e-03
1.391450045299545302e+00,1.445941007749100393e+00,1.832119467762906462e+00,5.954813876624159619e+00,2.057874461072620089e-03
1.006866838260700003e+00,7.513770893036653131e-01,9.437732208957774205e-01,3.012656734422890281e+00,9.544198746993198899e-04
1.087428500792241959e+00,1.019259838802183182e+00,2.911346060508107847e+00,3.887346724769461748e+00,3.426121581552881660e-03
1.835411528007188542e+00,6.243017180276335676e-01,2.465189497133553509e+00,4.038157522212369344e+00,4.056756755419253964e-03
8.407363903000695249e-01,1.635438469282451290e+00,4.773123064565091056e+00,1.525344932870606796e+00,1.789681977544247586e-03
1.434780717029063624e+00,1.360006622135626619e+00,2.411623978513846911e+00,5.697865165101680063e+00,7.862823957483206340e-04
6.260230153735772962e-01,1.070565744312357070e+00,2.964617742725884408e+00,3.429188963516771160e+00,2.591420697048004481e-03
1.748966221480096728e+00,5.462654633336491150e-01,3.584865547405074349e+00,4.466585309389518588e-01,1.675077118039723688e-03
1.680647461233025108e+00,1.330836903881679412e+00,2.141049078315945042e+00,2.228195146674051053e+00,7.456188343963505126e-03
8.590541644894282847e-01,1.312855076907133434e+00,2.008662294129623493e+00,4.265506409834182833e+00,1.837303298568745231e-03
1.814726346216055664e+00,1.188015520311158202e+00,2.025636820326623067e+00,6.649703984328839690e-01,4.258661735913887511e-03
5.878520522077914645e-01,1.741765047108823961e+00,4.335741906537157853e+00,5.989855172611799006e+00,3.168356514377666105e-03
1.004175590818490615e+00,5.203147148490863128e-01,2.857604749520265663e+00,5.889829376819831985e+00,3.603012585169814135e-04
7.254192003422585966e-01,1.883623370379954531e+00,3.596818590429353257e+00,5.963552507007413794e+00,2.337314424808464072e-03
