w,I
3.000000000000001091e+04,2.974359110439855057e-04
3.001382145711320481e+04,2.975979640534788420e-04
3.002764928198229245e+04,2.977601307898589730e-04
3.004148347754092902e+04,2.979224113709240309e-04
3.005532404672431585e+04,2.980848059146493610e-04
3.006917099246881480e+04,2.982473145391833472e-04
3.008302431771220654e+04,2.984099373628509898e-04
3.009688402539362141e+04,2.985726745041527674e-04
3.011075011845348854e+04,2.987355260817652330e-04
3.012462259983376498e+04,2.988984922145432365e-04
3.013850147247759014e+04,2.990615730215167808e-04
3.015238673932951860e+04,2.992247686218937322e-04
3.016627840333545464e+04,2.993880791350594407e-04
3.018017646744260855e+04,2.995515046805766863e-04
3.019408093459972224e+04,2.997150453781887683e-04
3.020799180775671994e+04,2.998787013478152776e-04
3.022190908986494105e+04,3.000424727095555655e-04
3.023583278387708924e+04,3.002063595836883649e-04
3.024976289274716328e+04,3.003703620906711391e-04
3.026369941943071171e+04,3.005344803511439313e-04
3.027764236688445453e+04,3.006987144859245937e-04
3.029159173806653780e+04,3.008630646160124740e-04
3.030554753593647547e+04,3.010275308625882528e-04
3.031950976345507297e+04,3.011921133470128048e-04
3.033347842358469643e+04,3.013568121908312110e-04
3.034745351928888340e+04,3.015216275157683672e-04
3.036143505353260116e+04,3.016865594437323993e-04
3.037542302928218487e+04,3.018516080968141214e-04
3.038941744950526845e+04,3.020167735972867102e-04
3.040341831717104651e+04,3.021820560676091207e-04
3.041742563524988873e+04,3.023474556304220199e-04
3.043143940671360178e+04,3.025129724085507147e-04
3.044545963453536024e+04,3.026786065250052058e-04
3.045948632168963741e+04,3.028443581029798080e-04
3.047351947115247822e+04,3.030102272658558612e-04
3.048755908590109902e+04,3.031762141371985861e-04
3.050160516891415682e+04,3.033423188407595233e-04
3.051565772317168376e+04,3.035085415004766963e-04
3.052971675165501438e+04,3.036748822404741234e-04
3.054378225734704756e+04,3.038413411850647994e-04
3.055785424323186817e+04,3.040079184587472804e-04
3.057193271229500533e+04,3.041746141862081772e-04
3.058601766752335607e+04,3.043414284923226434e-04
3.060010911190512707e+04,3.045083615021531827e-04
3.061420704843010390e+04,3.046754133409536607e-04
3.062831148008925084e+04,3.048425841341647507e-04
3.064242240987497280e+04,3.050098740074174038e-04
3.065653984078105350e+04,3.051772830865325773e-04
3.067066377580260087e+04,3.053448114975208555e-04
3.068479421793628353e+04,3.055124593665855940e-04
3.069893117017996337e+04,3.056802268201189079e-04
3.071307463553295020e+04,3.058481139847052496e-04
3.072722461699592895e+04,3.060161209871206504e-04
3.074138111757091247e+04,3.061842479543327739e-04
3.075554414026147424e+04,3.063524950135035189e-04
3.076971368807239560e+04,3.065208622919861456e-04
3.078388976400989486e+04,3.066893499173273360e-04
3.079807237108158006e+04,3.068579580172676818e-04
3.081226151229638344e+04,3.070266867197410333e-04
3.082645719066480888e+04,3.071955361528777529e-04
3.084065940919855711e+04,3.073645064450008114e-04
3.085486817091078774e+04,3.075335977246289863e-04
3.086908347881603913e+04,3.077028101204765912e-04
3.088330533593018117e+04,3.078721437614531501e-04
3.089753374527065534e+04,3.080415987766666505e-04
3.091176870985611458e+04,3.082111752954193144e-04
3.092601023270665610e+04,3.083808734472116646e-04
3.094025831684377408e+04,3.085506933617410065e-04
3.095451296529029423e+04,3.087206351689022413e-04
3.096877418107061385e+04,3.088906989987903599e-04
3.098304196721034168e+04,3.090608849816967019e-04
3.099731632673654894e+04,3.092311932481125883e-04
3.101159726267768565e+04,3.094016239287283453e-04
3.102588477806354786e+04,3.095721771544333585e-04
3.104017887592551051e+04,3.097428530563195426e-04
3.105447955929616364e+04,3.099136517656772213e-04
3.106878683120954156e+04,3.100845734139978378e-04
3.108310069470109374e+04,3.102556181329746052e-04
3.109742115280759390e+04,3.104267860545013684e-04
3.111174820856741280e+04,3.105980773106767237e-04
3.112608186502011813e+04,3.107694920337988149e-04
3.114042212520675821e+04,3.109410303563701580e-04
3.115476899216977108e+04,3.111126924110960146e-04
3.116912246895293356e+04,3.112844783308848259e-04
3.118348255860161589e+04,3.114563882488510858e-04
3.119784926416241069e+04,3.116284222983119797e-04
3.121222258868336212e+04,3.118005806127897156e-04
3.122660253521392588e+04,3.119728633260120663e-04
3.124098910680490371e+04,3.121452705719119898e-04
3.125538230650868718e+04,3.123178024846301232e-04
3.126978213737888655e+04,3.124904591985120175e-04
3.128418860247057819e+04,3.126632408481101982e-04
3.129860170484025002e+04,3.128361475681849238e-04
3.131302144754573237e+04,3.130091794937032101e-04
3.132744783364645991e+04,3.131823367598426792e-04
3.134188086620307877e+04,3.133556195019866265e-04
3.135632054827771572e+04,3.135290278557287908e-04
3.137076688293390180e+04,3.137025619568714575e-04
3.138521987323652138e+04,3.138762219414265964e-04
3.139967952225205954e+04,3.140500079456180847e-04
3.141414583304822372e+04,3.142239201058782375e-04
3.142861880869419474e+04,3.143979585588512773e-04
