w,a,theta_obs,P
1.028050193517890731e+00,4.540816887915419819e-01,1.747220050388702983e+00,3.195582948098045148e-03
5.507227278930314496e-01,3.762581806158733500e-01,2.891209594881706035e+00,1.818058434393841699e-04
2.532655811170531068e-01,2.928028201443271250e-01,2.321994962786312566e+00,5.700831050442033771e-06
2.214859261870878449e-01,3.718032530558086357e-01,2.516083559054748342e+00,5.745331825441396074e-06
1.257251310960354251e+00,4.343035006259950981e-01,1.751360996710399798e+00,7.094347259417288845e-03
1.386582250461038335e+00,1.532964507754015493e-01,1.861990048227535111e+00,1.055996369345662145e-03
9.886265084973339112e-01,3.699217489077487597e-01,1.924571840909397924e+00,1.513206940978062843e-03
1.148345529279197974e+00,3.211549895232934659e-01,8.712185414331181654e-01,1.351939322322302101e-02
9.067124889050497405e-01,3.534595395880159585e-01,1.909613251380248178e+00,9.842079822341514000e-04
1.415594150924098793e+00,2.041407061711880688e-01,2.924812022033028924e+00,2.028354835052982932e-03
1.260609620357991956e+00,4.659215778850891443e-01,2.414814395498230848e+00,6.214341958799100840e-03
2.035600502211925289e-01,3.037308733483661816e-01,1.179554811378833223e+00,2.664611459666858062e-06
1.314625559563840307e+00,3.295667957087418665e-01,2.217137180669107810e+00,3.498384550613916656e-03
2.436612478971036666e-01,3.396506908351679677e-01,9.091229790552578516e-01,9.291612565534664831e-06
1.148552080358927308e+00,1.823979180456549443e-01,2.964147907916887981e+00,8.091013231284983551e-04
4.283523067833267528e-01,1.623482376217851297e-01,7.574863412507831795e-01,2.238479564213291179e-05
1.322132599054852697e+00,3.514341866501591305e-01,2.618711843128326944e+00,3.985596994250937761e-03
9.038995863238192818e-01,1.800152316563948807e-01,2.664619396765958825e+00,3.212795286484800786e-04
5.896254576986001972e-01,1.593369238771092378e-01,6.414966086787602384e-01,9.346345551102604350e-05
7.494933875569560477e-01,3.269117161049555076e-01,1.909962697256926134e+00,4.007792938617916502e-04
2.368155724891018721e-01,4.864350997368143137e-01,7.378055515567352174e-01,2.252879804593932458e-05
3.615682594494331603e-01,4.510050008796429033e-01,2.653119321488992099e+00,5.146117771037994783e-05
1.071811739101719452e+00,3.018729004300196861e-01,1.276904840104586158e+00,3.028942314973154075e-03
1.041346365046525113e+00,3.854279062012935797e-01,2.140444561745347141e-01,5.191767453674122484e-02
1.000000644925630011e+00,1.898104972693904213e-01,1.463186458997742800e+00,5.510827211971406833e-04
6.987808205404485440e-01,1.920371582421052659e-01,9.068583449745928338e-01,2.363591726974758451e-04
1.496372916525974484e+00,3.276795536037978573e-01,2.598738999585529896e+00,5.696554586582602310e-03
1.475085940409099239e+00,4.486003541585810717e-01,2.303282026907575553e+00,1.218123218889773096e-02
1.091204579824903043e+00,4.789626843997707439e-01,1.384021770850838440e+00,1.028430737366742807e-02
1.045597059148161145e+00,4.485222747003712040e-01,2.665942299720952313e+00,2.537081602787814080e-03
1.094980749742222148e+00,1.879644053405313819e-01,2.293000055208142651e+00,6.398750160149602271e-04
7.055978511728349112e-01,4.669834322589181963e-01,4.150618886420699427e-01,7.425734260177997009e-03
3.756254565291345937e-01,1.833120129764415907e-01,2.642697094444881767e+00,1.258450325057627050e-05
1.137934842252306344e+00,3.465675177213228819e-01,2.905324429440684142e+00,2.183358452299096440e-03
8.829606192184437097e-01,4.147232846783492910e-01,3.510446416901291666e-01,2.030941712969822760e-02
6.033144382266424355e-01,2.119987110710001843e-01,1.972842270901252082e+00,7.705742694010070891e-05
8.315859664813258778e-01,3.838656116074913305e-01,2.265491536102300696e+00,7.867834949723012021e-04
1.356334184653700481e+00,3.066417796182678845e-01,1.958142397672855362e+00,3.658375726729033457e-03
1.414256570743124719e+00,3.616801625279251198e-01,2.096204141417867373e+00,5.946059989245751354e-03
6.651337557217913421e-01,3.982066283264852347e-01,2.677736336908278503e-01,3.145181079166036505e-03
