p_0,f,P_rad
6.732655185893088811e-11,2.667092243738679504e+10,3.807975504666391015e+08
3.428080423874832815e-11,2.102871809465081406e+10,3.910308405255649239e+07
1.368761715425752059e-11,1.497820446046371651e+10,1.624200283126193332e+06
1.148748719756761801e-11,2.070573584654612732e+10,4.131335513598161284e+06
8.319432152802451981e-11,2.523700379538464355e+10,4.697691083934547305e+08
9.214800195499494776e-11,4.863992681216611862e+09,8.219427485281825066e+05
6.459721981904618859e-11,2.056932679581178284e+10,1.272792478830409944e+08
7.565469048855985474e-11,1.703373674043877220e+10,8.275746751955051720e+07
5.892624923188806142e-11,1.937581662013115311e+10,8.365272112903536856e+07
9.415651814089913524e-11,8.550201197411133766e+09,8.191733548645649105e+06
8.342681987093789380e-11,2.752931439666896057e+10,6.602345220174906254e+08
1.024646501531332811e-11,1.577048831775654793e+10,1.117500658641699934e+06
8.716638489288124327e-11,1.764359268888378525e+10,1.263207231110657603e+08
1.302270177749179158e-11,1.837467508554967499e+10,3.311950538758268580e+06
7.566899017869496891e-11,6.973849058309982300e+09,2.341991085826493800e+06
2.580900585423031043e-11,5.520247227579421043e+09,1.069718345119121659e+05
8.768610301148978656e-11,1.922897853213653564e+10,1.797471569134385884e+08
5.873150982241824847e-11,6.801104295088626862e+09,1.276219166659519309e+06
3.697407014836462665e-11,5.301926981090418816e+09,1.868205122522519669e+05
4.804184990778925737e-11,1.745109941760927200e+10,3.673768177068253607e+07
1.254877040309166578e-11,2.901654473091903305e+10,1.825198759499486536e+07
2.118549488496075507e-11,2.644786256377410889e+10,3.650621075066059828e+07
7.035619732242672948e-11,1.563578528117642593e+10,5.091897746383535117e+07
6.824705604168250057e-11,2.169352319959378433e+10,1.751553395439487696e+08
6.538466003331285074e-11,7.511261052030804634e+09,2.353094422455274034e+06
4.453097988356950519e-11,7.672693972552631378e+09,1.188348707685548812e+06
9.974889422102899214e-11,1.750676763627534485e+10,1.603900876485655308e+08
9.827518048986070639e-11,2.627352567649712753e+10,7.658009126424506903e+08
7.169877860326252429e-11,2.847479461898337555e+10,5.546967830900335312e+08
6.854133486410347134e-11,2.626786491577691269e+10,3.721968812665177584e+08
7.196020575138460377e-11,7.377419387188525200e+09,2.652438049755232409e+06
