t,I,M,dI_dt
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+02
1.000200040008001603e-04,1.190882205674980744e-02,3.979436548159087593e-06,1.181333928468195182e+02
2.000400080016003206e-04,2.363232070509450194e-02,1.582966338864622854e-05,1.162942548386142931e+02
3.000600120024004809e-04,3.517323766254040751e-02,3.541986340522401271e-05,1.144824664366346667e+02
4.000800160032006413e-04,4.653430138157653440e-02,6.262095944884504589e-05,1.126978874772914878e+02
5.001000200040008016e-04,5.771822577943537536e-02,9.730561557427639839e-05,1.109403586346159898e+02
6.001200240048009619e-04,6.872770774349697132e-02,1.393482732297927353e-04,1.092097030289885140e+02
7.001400280056011222e-04,7.956542527908030960e-02,1.886251348017840921e-04,1.075057276724945154e+02
8.001600320064012825e-04,9.023403680338931698e-02,2.450141521688143286e-04,1.058282246826843931e+02
9.001800360072014428e-04,1.007361793996602445e-01,3.083950459252512229e-04,1.041769726163355045e+02
1.000200040008001603e-03,1.110744669401477203e-01,3.786493250193320855e-04,1.025517377757019517e+02
1.100220044008801655e-03,1.212514891564276387e-01,4.556602435559396150e-04,1.009522753052035569e+02
1.200240048009601924e-03,1.312698113803104361e-01,5.393127946516540656e-04,9.937833014267074816e+01
1.300260052010402193e-03,1.411319730483118762e-01,6.294937226635991673e-04,9.782963812566553941e+01
1.400280056011202244e-03,1.508404861867336522e-01,7.260915425737991466e-04,9.630592705956297550e+01
1.500300060012002296e-03,1.603978351447076789e-01,8.289964816743664380e-04,9.480691753081980266e+01
1.600320064012802565e-03,1.698064764051728515e-01,9.381004688778598038e-04,9.333232367690649767e+01
1.700340068013602834e-03,1.790688380623996212e-01,1.053297133973518391e-03,9.188185397262493836e+01
1.800360072014402886e-03,1.881873179929471340e-01,1.174481833105040039e-03,9.045521219240904998e+01
1.900380076015202938e-03,1.971642841376263222e-01,1.301551600585922758e-03,8.905209798719383230e+01
2.000400080016003206e-03,2.060020744490416444e-01,1.434405110728584863e-03,8.767220748232202254e+01
2.100420084016803475e-03,2.147029968704035896e-01,1.572942676803602445e-03,8.631523384516363251e+01
2.200440088017603310e-03,2.232693283870440248e-01,1.717066250609034991e-03,8.498086796926119746e+01
2.300460092018403579e-03,2.317033142385468147e-01,1.866679435032938704e-03,8.366879910568232503e+01
