B_0,omega,phi,theta_incidence,V_ind
6.732655185893089422e-01,1.781888021759824312e+02,3.568892695963419737e+00,2.035220680423626693e-01,9.443718188254549561e-01
3.428080423874833027e-01,1.412226357925398190e+02,6.047478315799800441e+00,2.625839040816084213e-01,-6.988029459937569188e-01
1.368761715425752257e-01,1.015813395685553786e+02,4.814209000967590413e+00,8.790786610454530692e-01,1.839318581389048912e-02
1.148748719756761960e-01,1.391065452015091068e+02,5.234724385921019518e+00,7.007211371798219846e-01,1.017614332747322076e-01
8.319432152802451741e-01,1.687941627973476670e+02,3.577864534958697273e+00,1.806270381400156833e-01,1.046896147148315581e+00
9.214800195499496249e-01,3.531581411831573547e+01,3.817555166351689788e+00,7.466960114649517921e-01,5.265131057769462802e-02
6.459721981904619215e-01,1.382128307311806452e+02,3.953145856101909938e+00,8.157791985353147757e-01,5.080876559694051942e-01
7.565469048855986145e-01,1.150486200235643821e+02,1.670934140743806529e+00,4.922830482976146005e-01,6.247156742641503113e-01
5.892624923188806152e-01,1.303932813043075782e+02,3.920736342327535873e+00,2.336580077753631357e-01,5.075139846312028968e-01
9.415651814089914806e-01,5.946683543131432259e+01,6.120281859442132877e+00,3.958638815915598852e-01,-1.942797326260455204e+00
8.342681987093789608e-01,1.838127494954173358e+02,5.015313034014579507e+00,9.855765298998762081e-01,-2.696463922697514004e-01
1.024646501531332882e-01,1.067721648404739341e+02,2.338980320396728985e+00,2.548828117596956822e-01,8.370770839454411139e-02
8.716638489288124347e-01,1.190442279616523820e+02,4.587022492021983311e+00,8.201438037468123943e-01,5.236579391201963141e-01
1.302270177749179358e-01,1.238340781467047691e+02,1.753058487483231787e+00,5.792651537797501859e-01,6.565993900308195186e-02
7.566899017869497257e-01,4.913901107168609173e+01,6.205507604349151940e+00,9.772670797458732350e-01,-1.237029760495602648e+00
2.580900585423031024e-01,3.961541287034793157e+01,1.424520178971787621e+00,9.879470935206955406e-01,-3.872281188496214284e-03
8.768610301148979103e-01,1.294312386588255777e+02,5.457080429573489155e+00,1.034868977244477239e+00,-2.771052015347456599e-01
5.873150982241825968e-01,4.800723503678755577e+01,5.556544452506085641e+00,7.530574478652501957e-01,-2.074634061348465675e-01
3.697407014836462946e-01,3.818503884162688422e+01,1.173215012254469114e+00,4.840238346490654542e-01,2.584171213820476987e-02
4.804184990778926356e-01,1.177830651498538401e+02,3.921493457223397705e+00,7.055190053594904143e-01,2.940813610098740316e-01
1.254877040309166636e-01,1.935566723749867890e+02,1.381879472544431442e+00,2.594787349218456995e-01,-6.555328600635045022e-02
2.118549488496075661e-01,1.767273754178303875e+02,5.531628209743431057e+00,3.473298247285752094e-01,-3.366660922278534862e-01
7.035619732242672786e-01,1.058896277042593397e+02,2.549900413549543554e+00,9.040262905218078293e-01,6.110592773813355860e-02
6.824705604168250783e-01,1.455782554456144453e+02,2.470905004831457641e-01,1.823676975885415996e-01,-1.132330244226215310e+00
6.538466003331284693e-01,5.265998620296044663e+01,2.953501079351994907e+00,8.929460485606540709e-01,1.886618482916779804e-01
4.453097988356951031e-01,5.371765016499999490e+01,1.748151895903310216e+00,5.449705645553368782e-01,1.045906707795193485e-01
9.974889422102899417e-01,1.181477879618039708e+02,5.413806954714627473e+00,1.044515324559444736e+00,-4.666877031390944536e-02
9.827518048986071397e-01,1.755851682253260151e+02,4.773665261737426668e+00,5.086419490573620417e-01,6.971276742306369290e-01
7.169877860326252517e-01,1.900072750898910954e+02,2.781981629209897111e+00,1.061880775256862086e-01,1.468595989473463925e+00
6.854133486410346476e-01,1.755480804826763119e+02,5.559410674716305678e+00,4.678379143832453457e-01,-1.084956315181324182e+00
7.196020575138460940e-01,5.178309253675240598e+01,4.751388181216491091e+00,3.725923158946701785e-01,2.040648792055372585e-01
4.500292815811934299e-01,1.843171303229861451e+02,6.826180101958981838e-01,7.062684673394610257e-01,-5.892531290268110400e-01
2.215868545201701012e-01,4.957320616380975054e+01,5.509047249801484192e+00,3.656247169445986933e-01,-8.781969586193463795e-02
7.493395061746735974e-01,1.271195709176283515e+02,6.078059736873676400e+00,5.868355202018236128e-01,-1.934090859698966325e+00
5.728188902281533545e-01,1.594935602222159048e+02,5.439172427977874147e-01,5.536001212222649848e-01,3.588123795294707596e-01
3.792176880030601049e-01,6.319938775872508074e+01,4.057729323859171622e+00,6.410357655758317508e-01,2.042022475463900200e-01
5.372518229486101804e-01,1.448361655135583703e+02,4.691787793951630370e+00,8.929639307548752347e-01,3.999156231095641889e-01
9.005390509141002475e-01,1.081548453186772463e+02,4.025880348863976721e+00,8.151066179512070908e-01,6.999504966583797172e-01
9.406391643606247799e-01,1.342980772007644248e+02,4.325007079823373957e+00,5.491578433912107648e-01,-4.116173566932992273e-02
4.220156770381632283e-01,1.516481484550804737e+02,3.635009759097722615e-01,2.443823740749340445e-01,7.657305645377111558e-01
6.143768476567849079e-01,8.669133633326059396e+01,5.634864021270159284e+00,6.454449225494103271e-01,-3.090477246182050663e-01
3.896824519683479426e-01,1.285971051217687773e+02,3.044101938151112741e+00,8.144566151086752859e-01,1.525570229838017489e-01
6.348700271797271810e-01,1.298191943148860616e+02,1.832119467815272129e+00,9.924689794657269859e-01,4.496133734220961187e-02
4.041201029564199243e-01,4.184109797846428336e+01,9.437732209227523983e-01,5.021094557514999002e-01,8.157619044517674944e-02
4.524571004753450976e-01,7.577291291494319125e+01,2.911346060591319951e+00,6.478911208134284783e-01,2.854979891772007616e-01
9.012469168043131251e-01,2.574488428350025870e+01,2.465189497204013591e+00,6.730262537212983176e-01,4.024128261836582010e-02
3.044418341800417815e-01,1.538222061091105104e+02,4.773123064701516149e+00,2.542241554857008201e-01,2.111143277056001799e-01
6.608684302174382408e-01,1.189341721371793597e+02,2.411623978582776218e+00,9.496441942107564094e-01,1.997273600567607832e-01
1.756138092241463500e-01,8.227166094623190418e+01,2.964617742810619294e+00,5.715314939357976076e-01,9.984060631485028314e-02
8.493797328880580144e-01,1.586029202226222168e+01,3.584865547507537276e+00,7.444308849195306610e-02,9.690363138905537521e-02
8.083884767398150650e-01,1.152393411583460647e+02,2.141049078377140535e+00,3.713658577896230550e-01,7.336687376705433028e-01
3.154324986936569708e-01,1.129616430749035629e+02,2.008662294187034902e+00,7.109177349926835143e-01,3.757572908708734644e-02
8.888358077296334425e-01,9.714863257274670616e+01,2.025636820384519865e+00,1.108283997419817341e-01,1.899726774826365483e-01
1.527112313246749287e-01,1.672902393004510486e+02,4.335741906661081835e+00,9.983091954638338983e-01,-8.293280610503238337e-03
4.025053544910943693e-01,1.257319721421760050e+01,2.857604749601942107e+00,9.816382294980295908e-01,3.269845189059019525e-02
2.352515202053551691e-01,1.852589602481275790e+02,3.596818590532157689e+00,9.939254178629777225e-01,1.564545771916508732e-01
5.053054299843583452e-01,1.950056012227800011e+02,6.173476412696166093e+00,7.640364679266513637e-01,-3.736210300974219134e+00
8.166918432585648091e-01,3.839195669843741143e+01,1.456783241173137622e+00,8.383896655345569604e-01,2.703831539174007814e-02
3.075779880943727007e-01,1.754245179858969266e+02,4.248828227118833234e-01,1.934751960006869664e-01,7.914659138286846973e-01
1.468191709579686477e-01,1.268011809521072166e+02,1.473506915201913126e+00,2.359821704031965506e-01,4.283265134722499118e-02
4.640966558393753716e-01,1.829720720590719907e+02,4.411529696058193117e+00,5.936581532413386375e-01,-2.199661519549837504e-02
2.786617400583298321e-01,1.519497254617935766e+02,4.742603417800862253e+00,3.353228385514134269e-01,2.529644827697491438e-01
1.816777410572097129e-01,1.362676367264814701e+02,1.191399075451437195e+00,6.762000228276736358e-02,2.101655370958816979e-02
6.222991473881656077e-01,1.586004839951789620e+02,2.410787477072334983e+00,8.623192376732310427e-01,2.829398220766300986e-01
3.688265195370303284e-01,6.349517353703239309e+01,2.682408925265114430e+00,1.025428815339387789e+00,7.740854100656928416e-02
7.047953901607234561e-01,1.045937539227592481e+02,2.596341982454155151e+00,5.607957216517471810e-01,1.491981234121298461e-01
2.795638995713919939e-01,1.029674809482604871e+02,4.442217609920457555e+00,6.732222301164469958e-01,1.460413981573424613e-02
9.479017994558480709e-01,4.020222297957859325e+01,6.106874647762257524e+00,4.493460535098242614e-01,-1.148420796433151869e+00
4.285991514203457142e-01,5.355100249538310209e+01,1.359749696860183654e+00,4.949251981943546957e-02,-8.089658890905869482e-02
1.949457516132065693e-01,1.304971223392252710e+01,2.989852755179028598e+00,4.958425447831461552e-01,1.562379744113094084e-02
6.661973363857383035e-01,1.778591512380962456e+02,3.046295738408019371e+00,5.110025705877163649e-01,4.490477246974708403e-01
9.344390977610806948e-01,1.883178283364513206e+01,1.122464016164207212e+00,1.039186001869905285e+00,4.793755808550935471e-02
4.963394392442055936e-01,2.775087268128449125e+01,3.244212691165536899e+00,4.350416774077539572e-01,5.813897573027087401e-02
9.591314443216635288e-01,1.426391113456461994e+02,1.409138055996528971e+00,2.049826783616471304e-01,-2.054591367693326398e-01
5.499062323188823598e-01,1.743666427741594305e+02,3.639073380472526154e+00,2.383080924023566194e-01,4.096958932023467281e-01
