z,s,omega,A
3.293719930410835328e+00,1.362245066374625946e+00,3.488024198744986482e+00,-8.547657472957546076e-01
1.567997554690190531e+00,1.128774541847619828e+00,4.868701235202059330e+00,1.786353880248597870e-01
4.925755625001150273e-01,8.784084604329813750e-01,4.181718058535205174e+00,8.569356092961164517e-01
3.776798869840867212e-01,1.115409759167425907e+00,4.415962916100558466e+00,9.467768277921040365e-01
4.122370124241280465e+00,1.302910501877985183e+00,3.493021892581517296e+00,-7.859691383568772061e-01
4.589951213205292646e+00,4.598893523262046479e-01,3.626539713378059915e+00,-4.884609800940112878e-01
3.151188146105745602e+00,1.109765246723246168e+00,3.702069463166514751e+00,-6.050639213038289110e-01
3.728633836624792419e+00,9.634649685698801758e-01,2.430780998281349525e+00,-6.355588884939900041e-01
2.855037459887487472e+00,1.060378618764047820e+00,3.684015993045127058e+00,-3.985244535492353246e-01
4.694840391802510560e+00,6.124221185135640955e-01,4.909255888660552181e+00,-6.617294222360543543e-01
4.134511704371201191e+00,1.397764733655267211e+00,4.293741511808209843e+00,-7.088387007452822131e-01
3.128709507996960126e-01,9.111926200450984892e-01,2.802910979250316181e+00,9.961382111504737402e-01
4.329800099961576443e+00,9.887003871262255439e-01,4.055165562876509533e+00,-7.860995373719781298e-01
4.578522039356824891e-01,1.018952072505503681e+00,2.476527733342552828e+00,8.916099877659242612e-01
3.729380598220737308e+00,5.471937541369648050e-01,4.956730233692796084e+00,-3.877738431851769363e-01
1.125581416832027282e+00,4.870447128653553337e-01,2.293517998061290086e+00,5.946357107541180298e-01
4.356940935044467444e+00,1.054302559950477169e+00,4.539824638258325606e+00,-7.730664592295926063e-01
2.844867735170731216e+00,5.400456949691845310e-01,4.595230306441674628e+00,-1.031827573298295109e-01
1.708645885525708508e+00,4.780107716313276578e-01,2.153530389784710675e+00,3.742940441330968038e-01
2.286629939628994634e+00,9.807351483148663007e-01,3.684437738068703894e+00,-6.325622044032774838e-02
4.331024543836759499e-01,1.459305299210442719e+00,2.269765320844335577e+00,9.107051401919932232e-01
8.841313995479505028e-01,1.353015002638928710e+00,4.581350905245335170e+00,4.836951907674001960e-01
3.451934749060062479e+00,9.056187012900589473e-01,2.920402393229672988e+00,-5.318118759298231524e-01
3.341790704398975631e+00,1.156283718603880573e+00,1.637639860900300448e+00,-4.496069094973046965e-01
3.192310023961893339e+00,5.694314918081712085e-01,3.145225036721413847e+00,-1.943357590813074576e-01
2.103284505030852181e+00,5.761114747263157421e-01,2.473794554279681090e+00,1.777157759980467766e-01
4.986886698209292312e+00,9.830386608113934610e-01,4.515719482258398365e+00,-5.392622628215689717e-01
4.909926092248281471e+00,1.345801062475743048e+00,4.159133480750522693e+00,-1.122982240057418812e-01
3.522047327059265154e+00,1.436888053199312010e+00,3.049681447578598270e+00,-9.162499146877518541e-01
3.357158598458736876e+00,1.345566824101113612e+00,4.596826913456321329e+00,-8.981772101076701542e-01
3.535699633683418330e+00,5.638932160215941458e-01,4.146724204561551552e+00,-3.291747721821303152e-01
2.127930692701788029e+00,1.400950296776754422e+00,1.880247106981808525e+00,2.782417333901304746e-02
9.349535736053327106e-01,5.499360389293247442e-01,4.568772355364512094e+00,6.369185591007292535e-01
3.690995198912184083e+00,1.039702553163968535e+00,4.885736380359446684e+00,-7.949940855408788032e-01
2.769165315635911728e+00,1.244169854035047651e+00,1.802984912384638649e+00,-2.567305308977049227e-01
1.758136815127091745e+00,6.359961332130005252e-01,3.760326878673924789e+00,2.373050415379532041e-01
2.583426186509408584e+00,1.151596834822473880e+00,4.113524267709673055e+00,-3.091883842145764505e-01
4.480592821440301243e+00,9.199253388548036536e-01,3.742585652363791038e+00,-7.593416069959613157e-01
4.690004524994373369e+00,1.085040487583775359e+00,3.909211894814667687e+00,-6.200321315262314892e-01
1.981637424532630032e+00,1.194619884979455593e+00,1.702485419971688785e+00,1.592877735324247923e-01
2.986190204429876704e+00,7.843663347363827310e-01,4.638857619225372098e+00,-2.992646046697773343e-01
1.812786138056928120e+00,1.049034348137487083e+00,3.195693547563290160e+00,1.271319086636024664e-01
3.093210141938575131e+00,1.056752806199280359e+00,2.520568043731926444e+00,-4.451082402175127739e-01
1.888182759883526352e+00,5.011016714429322727e-01,2.025721606436654110e+00,3.099611947072750118e-01
2.140609302482357812e+00,7.154078710417464126e-01,3.121742908079788492e+00,8.797694747341333610e-02
4.484289454422524024e+00,3.994413744221068652e-01,2.873214829483849986e+00,-3.751944315552699916e-01
1.367640689606884674e+00,1.208350775425961032e+00,4.158831454066140410e+00,2.554725747571723882e-01
3.228979580024399443e+00,9.880052977085012067e-01,2.843376569746371985e+00,-4.927727920050889443e-01
6.948721148372086764e-01,7.564525954498856342e-01,3.151417488511865539e+00,7.381191509983119348e-01
4.213427493970969273e+00,3.370123706669193031e-01,3.496921752719804211e+00,-2.817425357654275153e-01
3.999362045196812154e+00,9.646695231053434849e-01,2.692654904791240700e+00,-7.312482763478180825e-01
1.425036382066875218e+00,9.502840615257066581e-01,2.618909865927607328e+00,3.163333426109313229e-01
4.419475884810307953e+00,8.504124162489266059e-01,2.628365395056011522e+00,-7.123755032888938743e-01
5.752697635844133961e-01,1.293412037687059257e+00,3.915191647455265933e+00,7.556432987282020175e-01
1.879750184564603854e+00,3.162517718792690613e-01,3.091806724557094377e+00,3.784639230598254023e-01
1.006313494405743691e+00,1.406898696303963581e+00,3.503580103308058913e+00,4.107083488563315621e-01
2.416595023251648655e+00,1.468456428775452682e+00,4.938887504996357869e+00,-4.024428585833251248e-01
4.042724070350282695e+00,4.793176212532888614e-01,2.311489888461481623e+00,-3.068718068925874731e-01
1.384018382270612912e+00,1.344786429384612125e+00,1.736677705143017780e+00,3.464195076783881388e-01
5.445001150027251047e-01,1.037691669171203479e+00,2.320805682320661756e+00,8.264315780546410695e-01
2.201393647161182798e+00,1.392455191952033600e+00,3.957408652035218299e+00,-1.723001375772187371e-01
1.233011309193499994e+00,1.196524581863959380e+00,4.141830719736335986e+00,3.172034337835528683e-01
7.265393144098729605e-01,1.097479810904093300e+00,2.163659682186235944e+00,6.905449179800431381e-01
3.027562214138198371e+00,1.238529372601130163e+00,2.842910603020354809e+00,-5.828959280003616072e-01
1.703871824248936351e+00,6.378642539180993110e-01,2.994215239474165013e+00,2.750520591128042813e-01
3.458375926394888999e+00,8.974342353016373508e-01,2.946272311626064511e+00,-5.295462274286942828e-01
1.237722586650602530e+00,8.871630375679609992e-01,3.974503118180470196e+00,3.835321183311883320e-01
4.727931619380539630e+00,4.907508819762858021e-01,4.901787504618791758e+00,-5.676970545117860922e-01
2.016017790750694427e+00,5.750589631287353898e-01,2.257438099680515897e+00,2.203253539655345705e-01
