t,V_C,dielectric_absorption_voltage,secondary_dielectric_absorption_voltage,resistor_temperature_rise,dV_C_dt
0.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,-1.220512953857282355e+03
1.000200040008001739e-05,1.198779896462773031e+01,1.199998780299087997e+01,1.199999694911462278e+01,1.438823135481139548e-05,-1.219206332077228353e+03
2.000400080016003477e-05,1.197561099016575703e+01,1.199995126176590432e+01,1.199998780284282063e+01,2.874720496605264250e-05,-1.217901278627070269e+03
3.000600120024005216e-05,1.196343606095469170e+01,1.199989045090238982e+01,1.199997257075200707e+01,4.307698178833217057e-05,-1.216597791142400865e+03
4.000800160032006955e-05,1.195127416135743026e+01,1.199980544480929368e+01,1.199995126239749865e+01,5.737762265099462331e-05,-1.215295867263913578e+03
5.001000200040008693e-05,1.193912527575915306e+01,1.199969631772722600e+01,1.199992388732251669e+01,7.164918825812090252e-05,-1.213995504637384784e+03
6.001200240048010432e-05,1.192698938856732482e+01,1.199956314372843913e+01,1.199989045505817664e+01,8.589173918852807666e-05,-1.212696700913658105e+03
7.001400280056012848e-05,1.191486648421169292e+01,1.199940599671683295e+01,1.199985097512349874e+01,1.001053358957694554e-04,-1.211399453748631686e+03
8.001600320064013909e-05,1.190275654714429443e+01,1.199922495042795489e+01,1.199980545702540446e+01,1.142900387081346167e-04,-1.210103760803243176e+03
9.001800360072014970e-05,1.189065956183944195e+01,1.199902007842899998e+01,1.199975391025871474e+01,1.284459078286493122e-04,-1.208809619743448820e+03
1.000200040008001739e-04,1.187857551279373780e+01,1.199879145411880721e+01,1.199969634430615351e+01,1.425730033350755207e-04,-1.207517028240217769e+03
1.100220044008801980e-04,1.186650438452606870e+01,1.199853915072786670e+01,1.199963276863834238e+01,1.566713851799114764e-04,-1.206225983969510708e+03
1.200240048009602086e-04,1.185444616157760045e+01,1.199826324131830901e+01,1.199956319271380600e+01,1.707411131903915729e-04,-1.204936484612267577e+03
1.300260052010402193e-04,1.184240082851179032e+01,1.199796379878391406e+01,1.199948762597897023e+01,1.847822470684864994e-04,-1.203648527854395297e+03
1.400280056011202570e-04,1.183036836991437291e+01,1.199764089585011284e+01,1.199940607786816216e+01,1.987948463909032135e-04,-1.202362111386748666e+03
