d,I1,I2,theta_tilt,F
3.366327592946544850e-02,8.966837997809695082e+01,6.112062225344250521e+01,9.717462947168120646e-02,1.698007442711876522e-02
1.714040211937416583e-02,7.215809063857149397e+01,9.662374604805295064e+01,1.253745789328682414e-01,7.209856823767400724e-02
6.843808577128761284e-03,5.338063453247360002e+01,7.895846436233384225e+01,4.197291428159657389e-01,2.068714207550255146e-01
5.743743598783809801e-03,7.115573193755693637e+01,8.498190355687150088e+01,3.345696981334281284e-01,5.025845629843996853e-01
4.159716076401226426e-02,8.521828764084888519e+01,6.124913438066758431e+01,8.624305792809539017e-02,1.107624546724633730e-02
4.607400097749748263e-02,2.199170142446534726e+01,6.468244977257867845e+01,3.565210836349487766e-01,2.340011601680828772e-03
3.229860990952309469e-02,7.073239350424346128e+01,6.662464333856752319e+01,3.895058757553199191e-01,1.464528982939822081e-02
3.782734524427993489e-02,5.975987264274102273e+01,3.393436852723470309e+01,2.350478416107347757e-01,4.928229616883362217e-03
2.946312461594403215e-02,6.702839640730358894e+01,6.616041124973183685e+01,1.115634807913606363e-01,1.728468500929434756e-02
4.707825907044957403e-02,3.343165888851731182e+01,9.766657999412848312e+01,1.890110806405244648e-01,5.499077421567709345e-03
4.171340993546895221e-02,9.233235502414504481e+01,8.183906744649682707e+01,4.705781295867673131e-01,1.446102288977261716e-02
5.123232507656664235e-03,5.583944650338239057e+01,4.350342518072240949e+01,1.216975782021498809e-01,1.390754868468386807e-01
4.358319244644062729e-02,6.165252903446691590e+01,7.570425733111024158e+01,3.915898212374833709e-01,8.484471322417835859e-03
6.511350888745896272e-03,6.392140543791278162e+01,3.511071314309420899e+01,2.765787377548023507e-01,7.345321283834080339e-02
3.783449508934748351e-02,2.853953156027235849e+01,9.888734886638617638e+01,4.666106593876114261e-01,6.598033166735423755e-03
1.290450292711515720e-02,2.402835346490165236e+01,3.040474852157602825e+01,4.717099903412689255e-01,8.186819646291499178e-03
4.384305150574489829e-02,6.657269199628579770e+01,8.816691926949980029e+01,4.941135395427379562e-01,1.013079603075155329e-02
2.936575491120912984e-02,2.800342712268884426e+01,8.959163645135734555e+01,3.595584457797653677e-01,9.563014484059037534e-03
1.848703507418231543e-02,2.335080787234957711e+01,2.680506716589255944e+01,2.311043575760788338e-01,4.644245122077774075e-03
2.402092495389463248e-02,6.105513612361497877e+01,6.617125612176667460e+01,3.368605114447207893e-01,2.086485619615266462e-02
6.274385201545833353e-03,9.694789744078320837e+01,2.979396539314005921e+01,1.238919698701300143e-01,9.754465447943322376e-02
1.059274744248037831e-02,8.897612519791965724e+01,8.923473756345148900e+01,1.658377754663830639e-01,1.892108245873936889e-01
3.517809866121336670e-02,5.542140259675442593e+01,4.652463296876302223e+01,4.316407584647265483e-01,6.686068081769032390e-03
3.412352802084125947e-02,7.422127889529105005e+01,1.353931070886486943e+01,8.707416159451292215e-02,2.971521087256108126e-03
3.269233001665642485e-02,3.020736188561284052e+01,5.230578665855063747e+01,4.263503326284109884e-01,4.674828050196955763e-03
2.226548994178475724e-02,3.070836060447368254e+01,3.504043139576322829e+01,2.602042775656880358e-01,6.114388111340095244e-03
4.987444711051450263e-02,6.122789956085451024e+01,8.754707240093023302e+01,4.987193311166129295e-01,7.136420335677315895e-03
4.913759024493035560e-02,8.843507968568073352e+01,7.837771807644200805e+01,2.428586413691254942e-01,1.046224708356877954e-02
3.584938930163126397e-02,9.526660398994840762e+01,4.984895150916395323e+01,5.070107230691506262e-02,1.312824798387051892e-02
3.427066743205173932e-02,8.841751180758352291e+01,8.963269206030541625e+01,2.233761499196891820e-01,2.398960362998701912e-02
3.598010287569231025e-02,2.979199120161955960e+01,7.805862240301132715e+01,1.778997264980811122e-01,6.433505278338047875e-03
2.250146407905967427e-02,9.257127225825658456e+01,1.977778275096078886e+01,3.372183531810360457e-01,9.871536568354825208e-03
1.107934272600850575e-02,2.874520291969935570e+01,8.891128913794460686e+01,1.745729430549237682e-01,5.560915945697554597e-02
3.746697530873367710e-02,6.547769148729764765e+01,9.706179263781433519e+01,2.801933214660720095e-01,1.624932117278127253e-02
2.864094451140766773e-02,8.081273905262858648e+01,1.779104060417642330e+01,2.643245873663877532e-01,5.488679183460789743e-03
1.896088440015300525e-02,3.519970999097503750e+01,6.812269116590093176e+01,3.060720323702730838e-01,1.826116386432136834e-02
2.686259114743051041e-02,7.386976261168554458e+01,7.720490974110589377e+01,4.263588707472218964e-01,2.411734950881741849e-02
4.502695254570501793e-02,5.649440041411027380e+01,6.766648820364034123e+01,3.891847421815547992e-01,6.502380379048351179e-03
4.703195821803123761e-02,6.887803656878315905e+01,7.195116300952001609e+01,2.622035559401882931e-01,8.098233542414722333e-03
2.110078385190816350e-02,7.709649137345917325e+01,1.520676794212914018e+01,1.166839885156751855e-01,7.283425568905901176e-03
3.071884238283924609e-02,4.632747510522870726e+01,9.071348163722386460e+01,3.081772497519124632e-01,1.510443543708391359e-02
1.948412259841739852e-02,6.617757611031153431e+01,5.360354836591317707e+01,3.888743886853166520e-01,2.426553988290938019e-02
3.174350135898636183e-02,6.675646046494603070e+01,3.624317826739238768e+01,4.738690318420175074e-01,7.271226328023654671e-03
2.020600514782099760e-02,2.508262535821992145e+01,2.351855559408538809e+01,2.397396055680974247e-01,3.836790201796729579e-03
2.262285502376725627e-02,4.115559032813098383e+01,5.170196049348027145e+01,3.093452233884164126e-01,1.189663904438247911e-02
4.506234584021565764e-02,1.745810308165801672e+01,4.531123847244185754e+01,3.213463653310941193e-01,1.364284301602009105e-03
1.522209170900208804e-02,7.812630815694708986e+01,7.836995167598645651e+01,1.213830929967355532e-01,7.169172059033611377e-02
3.304342151087191065e-02,6.160039732813759628e+01,4.454396893633527554e+01,4.534217030614850485e-01,7.829047382324589091e-03
8.780690461207317846e-03,4.423394465874142867e+01,5.246502113316226001e+01,2.728861871777332748e-01,5.561466469602080465e-02
4.246898664440290627e-02,1.277592780001894646e+01,6.134941649850924961e+01,3.554395653756514672e-02,1.604858512141343245e-03
4.041942383699075741e-02,5.985021423290076825e+01,4.066826898034619120e+01,1.773141358883409957e-01,5.328294449742801940e-03
1.577162493468284993e-02,5.877130461442800424e+01,3.877196798099561192e+01,3.394382149673388915e-01,2.092082043859509050e-02
4.444179038648167490e-02,5.128093121866949389e+01,3.901511015858314835e+01,5.291666296170277617e-02,3.721274005354753209e-03
7.635561566233746433e-03,8.450590282652945007e+01,7.210492807742112120e+01,4.766575295764867715e-01,2.121484293383833486e-01
2.012526772455471707e-02,1.121888289094517788e+01,5.093217291718242024e+01,4.686977296577632401e-01,3.569748927634779946e-03
1.176257601026775915e-02,9.301740222279727277e+01,6.152063122792151262e+01,4.745644299527113641e-01,8.397700658176437960e-02
2.526527149921791587e-02,9.763423215815895162e+01,9.842853584276348045e+01,3.648005417189966182e-01,4.815737142329001852e-02
4.083459216292824323e-02,2.344882159399666577e+01,3.086688284615237876e+01,4.003015785209566024e-01,1.450123022334780286e-03
1.537889940471863504e-02,8.835898220384591184e+01,1.608599813224902775e+01,9.237760142754786186e-02,1.370835624052248007e-02
7.340958547898433079e-03,6.532687518784025826e+01,3.110643183110272503e+01,1.126731867036680490e-01,5.533113475349756005e-02
2.320483279196876997e-02,9.193413939640251442e+01,7.319050819519132745e+01,2.834508887854946813e-01,3.786227201660349179e-02
1.393308700291649195e-02,7.723934363979695661e+01,7.793278993607721361e+01,1.601048618611889962e-01,8.112796268910202335e-02
9.083887052860485645e-03,6.981098581780700840e+01,2.706553468478891844e+01,3.228617284556301037e-02,3.758370530689578853e-02
3.111495736940828385e-02,8.038970294508477821e+01,4.453198693480912596e+01,4.117271075967888216e-01,1.151540907840779317e-02
1.844132597685151781e-02,3.533981904385745310e+01,4.842267758647852816e+01,4.896061942503895370e-01,1.198636949013584703e-02
3.523976950803617281e-02,5.480756764762280397e+01,4.718985944181308412e+01,2.677602334969865217e-01,7.101904133957662700e-03
1.397819497856959969e-02,5.403722781759707061e+01,7.363008018178351222e+01,3.214399371671458616e-01,5.016013481067240626e-02
4.739508997279240354e-02,2.430631614822143760e+01,9.747453583305464520e+01,2.145469367247714310e-01,3.915716580733958826e-03
2.142995757101728849e-02,3.062942223465515212e+01,2.947697970607040219e+01,2.363093752601025388e-02,5.582643088042310402e-03
9.747287580660329159e-03,1.144460053185803972e+01,5.282648605932983088e+01,2.367473759925065036e-01,1.238381546674045645e-02
3.330986681928691656e-02,8.951222953383506820e+01,5.363497223986704654e+01,2.439857551251006229e-01,1.467951911292617560e-02
4.672195488805403613e-02,1.418347607909506181e+01,2.607811269537832288e+01,4.961747669684968831e-01,5.485515653347006974e-04
2.481697196221028037e-02,1.840830811218739171e+01,5.646992376164101302e+01,2.077171002313012438e-01,5.205335036348215406e-03
4.795657221608318199e-02,7.282905274267450579e+01,3.018441583996764521e+01,9.787201952841667607e-02,3.509162288786176528e-03
2.749531161594412007e-02,8.785788341933867684e+01,6.212588650987024863e+01,1.137837326539055671e-01,2.372167398325620777e-02
2.413528811820840267e-02,7.271794913052794129e+01,3.778518522382115208e+01,4.811021168929379699e-01,1.272195626125129098e-02
3.290960534069200388e-02,7.414393423789672966e+01,3.830568417333925169e+01,2.612391269367948521e-01,8.735514300207906924e-03
4.977934273558959344e-02,4.363455807749593873e+01,5.332756883514458934e+01,1.174706958797124279e-01,3.463588231095303133e-03
4.770246537219944433e-02,8.053643458051820403e+01,9.491393757043672963e+01,4.988201919432811438e-01,1.118852809151505909e-02
2.570203126890932555e-02,7.957966836496721896e+01,8.949718698145309759e+01,1.240845944327267913e-02,3.641324342664580688e-02
3.909779803887311611e-02,4.237811342473260368e+01,7.033667668024277475e+01,1.322440747010059647e-01,7.098695394951281233e-03
2.738402129694285717e-02,9.298322979633493901e+01,9.922012409344291939e+01,4.178950457369642879e-01,3.940522785385080357e-02
2.881904720885467008e-02,5.114245862616672866e+01,4.111279418117012341e+01,1.701633268338399452e-01,8.222581161843357800e-03
4.036035653212134006e-02,7.053799702926708903e+01,1.349432354603908912e+01,2.828160084247064998e-01,2.023640144303101747e-03
2.365951322100518645e-02,4.610355888053982198e+01,4.205671041359953222e+01,5.010293036366741948e-02,1.047518325529361513e-02
3.805176073049282293e-02,6.162713909677937352e+01,5.067928753069222836e+01,9.879153008477492559e-02,7.745349455216902698e-03
3.700142950953874688e-02,1.774919350627966708e+01,5.376901521819934260e+01,3.223799633746332605e-01,2.375496711702793431e-03
4.694268589760202531e-02,4.785930538817996194e+01,8.475797409290200335e+01,1.453087379769041343e-01,6.865106452198412555e-03
1.017196849764073416e-02,7.865622665472525910e+01,3.816852879634553375e+01,1.395501037624229390e-01,5.357966841031814448e-02
3.780568026843392909e-02,8.550016136700975267e+01,5.667471402648309464e+01,2.095125368011217515e-01,1.199204561512158020e-02
4.673407678810519855e-02,4.068069439302334445e+01,8.713541200212057447e+01,1.318710984955676069e-01,6.072633845680836147e-03
4.855667854660909027e-02,1.493693156274505540e+01,2.642921651458995314e+01,8.665606558854604957e-02,6.151036988500195027e-04
5.661783723441618336e-03,2.518945529562997265e+01,9.182386209188609882e+01,3.275552854297694716e-01,2.211271505886295841e-01
4.386380406105091362e-02,3.546963776790773437e+01,2.233263670683192359e+01,2.107742677480022309e-01,1.472754713070391309e-03
4.915377680298550073e-02,5.453515210722211748e+01,7.229157204607294318e+01,1.636385215691532613e-01,6.026744206985543834e-03
4.807445808249336677e-02,3.368411760720485404e+01,9.556678232144147955e+01,2.013609867344910986e-01,5.177482157799393955e-03
1.169438055046240731e-02,4.333396266620929538e+01,6.463759624437038553e+01,4.092308291689083499e-01,4.360003857531930677e-02
4.876829662203297638e-02,1.154524849906850292e+01,7.164681871569464988e+01,1.301955992407958784e-01,1.290692119363977220e-03
4.504710000742343651e-02,4.727371477798694599e+01,7.907634851828584033e+01,4.133310228983450019e-01,6.329079925045277832e-03
4.200682223943817684e-02,7.267789585926628604e+01,3.171628148593483232e+01,1.449218836033917546e-01,4.711656859336292059e-03
